State,County,# of Ranked Counties,Mortality Rank,Morbidity Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Alabama,Autauga,67,19,35,35,14,8,37,5
Alabama,Baldwin,67,4,2,5,22,3,43,20
Alabama,Barbour,67,30,56,51,12,54,46,25
Alabama,Bibb,67,57,24,31,53,17,10,29
Alabama,Blount,67,9,19,12,60,2,11,33
Alabama,Bullock,67,65,58,61,41,62,63,37
Alabama,Butler,67,60,27,58,58,49,23,39
Alabama,Calhoun,67,45,41,49,11,35,28,43
Alabama,Chambers,67,29,36,29,9,61,9,47
Alabama,Cherokee,67,41,45,41,56,21,38,51
Alabama,Chilton,67,54,49,50,51,25,2,56
Alabama,Choctaw,67,37,62,26,16,45,60,58
Alabama,Clarke,67,23,28,43,21,50,49,61
Alabama,Clay,67,28,34,15,63,39,29,65
Alabama,Cleburne,67,31,37,13,57,13,64,67
Alabama,Coffee,67,10,10,32,35,7,40,70
Alabama,Colbert,67,25,47,57,17,19,58,73
Alabama,Conecuh,67,55,40,4,67,60,65,80
Alabama,Coosa,67,59,14,36,33,53,34,82
Alabama,Covington,67,39,5,48,55,29,61,88
Alabama,Crenshaw,67,15,42,44,64,26,45,90
Alabama,Cullman,67,17,29,17,38,9,4,98
Alabama,Dale,67,13,16,54,30,22,22,101
Alabama,Dallas,67,62,55,63,8,67,8,110
Alabama,DeKalb,67,16,30,16,65,37,17,112
Alabama,Elmore,67,12,7,7,28,6,12,118
Alabama,Escambia,67,51,43,52,50,56,36,122
Alabama,Etowah,67,47,20,47,24,24,39,131
Alabama,Fayette,67,49,63,20,18,23,15,134
Alabama,Franklin,67,32,52,18,59,32,13,138
Alabama,Geneva,67,20,13,22,52,31,19,140
Alabama,Greene,67,63,66,66,48,63,57,148
Alabama,Hale,67,46,51,59,36,57,7,150
Alabama,Henry,67,44,12,23,32,46,55,158
Alabama,Houston,67,5,11,25,3,28,30,160
Alabama,Jackson,67,40,33,56,47,20,27,164
Alabama,Jefferson,67,36,21,24,1,34,67,171
Alabama,Lamar,67,8,44,9,62,38,5,174
Alabama,Lauderdale,67,6,32,2,29,14,16,176
Alabama,Lawrence,67,48,31,42,54,12,3,181
Alabama,Lee,67,2,3,8,40,10,35,187
Alabama,Limestone,67,7,8,3,25,5,31,197
Alabama,Lowndes,67,64,60,67,44,66,54,205
Alabama,Macon,67,61,9,30,10,55,44,210
Alabama,Madison,67,3,6,6,7,4,47,217
Alabama,Marengo,67,43,65,27,20,52,56,220
Alabama,Marion,67,53,18,10,37,40,1,224
Alabama,Marshall,67,34,15,34,45,27,18,231
Alabama,Mobile,67,33,53,28,5,44,33,240
Alabama,Monroe,67,22,59,39,46,58,20,250
Alabama,Montgomery,67,24,22,21,4,51,52,256
Alabama,Morgan,67,11,4,46,27,15,51,262
Alabama,Perry,67,67,67,64,42,65,50,264
Alabama,Pickens,67,38,39,11,34,43,5,273
Alabama,Pike,67,50,26,33,31,42,48,279
Alabama,Randolph,67,42,25,38,61,36,26,284
Alabama,Russell,67,52,46,45,19,47,53,288
Alabama,St. Clair,67,21,23,53,39,11,32,292
Alabama,Shelby,67,1,1,1,2,1,66,298
Alabama,Sumter,67,58,61,62,26,59,59,303
Alabama,Talladega,67,35,64,37,13,41,24,306
Alabama,Tallapoosa,67,26,57,60,15,48,41,308
Alabama,Tuscaloosa,67,14,38,14,6,16,42,313
Alabama,Walker,67,66,54,55,23,18,21,317
Alabama,Washington,67,18,17,40,49,30,25,319
Alabama,Wilcox,67,56,50,65,43,64,62,326
Alabama,Winston,67,27,48,19,66,33,14,332
Alaska,Aleutians East,22,NR,NR,NR,NR,NR,NR,346
Alaska,Aleutians West,22,14,3,12,22,6,11,381
Alaska,Anchorage,22,5,17,2,5,3,10,400
Alaska,Bethel,22,18,14,18,12,20,6,411
Alaska,Bristol Bay,22,NR,NR,NR,NR,NR,NR,423
Alaska,Denali,22,NR,NR,NR,NR,NR,NR,426
Alaska,Dillingham,22,13,7,19,1,17,14,445
Alaska,Fairbanks North Star,22,3,10,4,9,5,5,454
Alaska,Haines,22,14,13,7,3,11,3,462
Alaska,Juneau,22,1,6,1,2,1,17,482
Alaska,Kenai Peninsula,22,11,9,8,18,10,7,494
Alaska,Ketchikan Gateway,22,4,19,13,4,8,15,514
Alaska,Kodiak Island,22,2,5,5,21,4,16,533
Alaska,Lake and Peninsula,22,NR,NR,NR,NR,NR,NR,544
Alaska,Matanuska-Susitna,22,9,21,9,10,7,8,556
Alaska,Nome,22,20,16,21,13,18,9,571
Alaska,North Slope,22,17,8,22,8,12,4,614
Alaska,Northwest Arctic,22,19,15,20,7,19,13,638
