State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Alabama,Autauga,67,5,6,9,18,5,46,5
Alabama,Baldwin,67,4,2,3,7,2,2,20
Alabama,Barbour,67,44,54,55,38,62,13,25
Alabama,Bibb,67,52,26,41,36,46,36,29
Alabama,Blount,67,36,13,17,46,20,54,33
Alabama,Bullock,67,32,64,67,52,63,39,37
Alabama,Butler,67,56,59,52,57,55,59,39
Alabama,Calhoun,67,42,29,14,17,28,37,43
Alabama,Chambers,67,25,48,46,35,31,44,47
Alabama,Cherokee,67,48,20,32,37,29,29,51
Alabama,Chilton,67,19,24,45,47,24,47,56
Alabama,Choctaw,67,40,46,58,29,48,18,58
Alabama,Clarke,67,41,58,50,41,61,34,61
Alabama,Clay,67,33,27,54,62,49,4,65
Alabama,Cleburne,67,43,17,27,53,26,38,67
Alabama,Coffee,67,8,7,16,20,9,15,70
Alabama,Colbert,67,27,22,20,13,17,14,73
Alabama,Conecuh,67,58,62,60,63,56,33,80
Alabama,Coosa,67,55,57,61,26,45,20,82
Alabama,Covington,67,47,32,37,54,27,25,88
Alabama,Crenshaw,67,26,36,49,49,40,3,90
Alabama,Cullman,67,20,14,25,23,13,41,98
Alabama,Dale,67,23,9,36,16,18,24,101
Alabama,Dallas,67,63,61,56,27,64,64,110
Alabama,DeKalb,67,30,43,28,65,50,1,112
Alabama,Elmore,67,7,4,8,15,6,66,118
Alabama,Escambia,67,49,44,51,64,52,26,122
Alabama,Etowah,67,45,19,31,43,22,7,131
Alabama,Fayette,67,28,41,42,8,36,63,134
Alabama,Franklin,67,18,28,23,66,39,10,138
Alabama,Geneva,67,50,38,62,48,33,12,140
Alabama,Greene,67,57,67,64,55,65,17,148
Alabama,Hale,67,62,56,59,58,54,58,150
Alabama,Henry,67,16,31,18,31,38,16,158
Alabama,Houston,67,13,30,26,6,19,6,160
Alabama,Jackson,67,37,42,30,19,25,65,164
Alabama,Jefferson,67,35,11,7,3,14,48,171
Alabama,Lamar,67,38,40,35,32,21,30,174
Alabama,Lauderdale,67,10,12,5,9,12,32,176
Alabama,Lawrence,67,46,18,24,56,37,43,181
Alabama,Lee,67,2,10,4,10,4,56,187
Alabama,Limestone,67,3,5,6,11,7,51,197
Alabama,Lowndes,67,66,63,63,45,66,62,205
Alabama,Macon,67,61,60,53,33,59,67,210
Alabama,Madison,67,6,3,2,1,3,5,217
Alabama,Marengo,67,60,45,43,14,51,40,220
Alabama,Marion,67,29,33,39,61,35,57,224
Alabama,Marshall,67,15,21,34,28,16,52,231
Alabama,Mobile,67,24,23,21,30,34,21,240
Alabama,Monroe,67,53,53,57,42,58,31,250
Alabama,Montgomery,67,14,34,13,5,15,23,256
Alabama,Morgan,67,17,8,10,22,10,11,262
Alabama,Perry,67,64,66,65,59,60,42,264
Alabama,Pickens,67,11,52,29,21,47,19,273
Alabama,Pike,67,31,35,15,40,42,27,279
Alabama,Randolph,67,54,25,38,50,41,45,284
Alabama,Russell,67,39,37,22,24,23,61,288
Alabama,St. Clair,67,12,15,12,34,11,60,292
Alabama,Shelby,67,1,1,1,2,1,53,298
Alabama,Sumter,67,59,55,47,39,57,50,303
Alabama,Talladega,67,51,51,44,44,44,8,306
Alabama,Tallapoosa,67,22,49,19,12,43,55,308
Alabama,Tuscaloosa,67,9,16,11,4,8,9,313
Alabama,Walker,67,65,47,48,25,32,35,317
Alabama,Washington,67,21,50,33,60,53,22,319
Alabama,Wilcox,67,67,65,66,51,67,28,326
Alabama,Winston,67,34,39,40,67,30,49,332
Alaska,Aleutians East,25,NR,NR,NR,NR,NR,NR,346
Alaska,Aleutians West,25,12,16,15,17,5,11,381
Alaska,Anchorage,25,7,13,2,3,7,20,400
Alaska,Bethel,25,21,23,22,23,23,21,411
Alaska,Bristol Bay,25,NR,NR,NR,NR,NR,NR,423
Alaska,Denali,25,12,8,4,7,6,8,426
Alaska,Dillingham,25,20,21,20,11,19,7,445
Alaska,Fairbanks North Star,25,4,11,5,2,3,23,454
Alaska,Haines,25,12,7,11,4,11,3,462
Alaska,Hoonah-Angoon,25,12,15,14,21,18,1,476
Alaska,Juneau,25,6,4,3,1,1,12,482
Alaska,Kenai Peninsula,25,8,6,9,13,10,24,494
Alaska,Ketchikan Gateway,25,3,18,13,6,9,17,514
Alaska,Kodiak Island,25,1,2,6,12,4,19,533
Alaska,Wade Hampton,25,25,25,25,25,25,18,725
Alaska,Lake and Peninsula,25,12,20,18,22,20,10,544
Alaska,Matanuska-Susitna,25,5,12,7,10,12,25,556
Alaska,Nome,25,22,22,24,24,21,16,571
Alaska,North Slope,25,11,17,21,14,16,4,614
Alaska,Northwest Arctic,25,24,24,23,16,24,14,638
Alaska,Petersburg,25,12,9,10,9,13,2,645
Alaska,Prince of Wales-Hyder,25,19,10,17,19,17,6,669
Alaska,Sitka,25,2,3,1,5,2,5,679
Alaska,Skagway,25,NR,NR,NR,NR,NR,NR,683
Alaska,Southeast Fairbanks,25,10,1,12,20,15,9,690
Alaska,Valdez-Cordova,25,9,5,8,8,8,15,710
Alaska,Wrangell,25,12,14,16,15,14,13,733
Alaska,Yakutat,25,NR,NR,NR,NR,NR,NR,744
Alaska,Yukon-Koyukuk,25,23,19,19,18,22,22,753
Arizona,Apache,15,15,15,15,15,15,14,761
Arizona,Cochise,15,7,9,6,7,7,6,763
Arizona,Coconino,15,10,8,3,4,3,2,771
Arizona,Gila,15,12,13,11,13,10,5,787
Arizona,Graham,15,9,12,10,5,8,3,0
Arizona,Greenlee,15,5,4,9,8,1,4,1
Arizona,La Paz,15,14,11,12,14,13,1,3
Arizona,Maricopa,15,3,2,1,2,4,13,9
Arizona,Mohave,15,11,10,13,10,9,8,15
Arizona,Navajo,15,13,14,14,9,12,9,17
Arizona,Pima,15,6,5,5,1,5,10,21
Arizona,Pinal,15,4,7,7,6,6,15,26
Arizona,Santa Cruz,15,1,6,2,11,11,11,32
Arizona,Yavapai,15,8,3,4,3,2,7,35
Arizona,Yuma,15,2,1,8,12,14,12,42
Arkansas,Arkansas,75,44,52,46,30,24,2,46
Arkansas,Ashley,75,32,65,61,54,54,24,50
Arkansas,Baxter,75,14,3,13,4,10,6,54
Arkansas,Benton,75,1,1,1,3,1,60,59
Arkansas,Boone,75,19,9,16,5,7,18,62
Arkansas,Bradley,75,65,56,20,45,53,33,68
Arkansas,Calhoun,75,60,46,33,16,38,25,72
Arkansas,Carroll,75,34,4,8,36,13,28,74
Arkansas,Chicot,75,71,68,65,39,74,10,77
