State,County,LACCESS_HISP15,FID
Alabama,Autauga,471.1361644,5
Alabama,Baldwin,1377.874834,20
Alabama,Barbour,509.3775251,25
Alabama,Bibb,8.596762482,29
Alabama,Blount,497.4898913,33
Alabama,Bullock,24.07888941,37
Alabama,Butler,11.08490189,39
Alabama,Calhoun,970.8931906,43
Alabama,Chambers,126.7866311,47
Alabama,Cherokee,0.348952026,51
Alabama,Chilton,80.89555631,56
Alabama,Choctaw,11.32193666,58
Alabama,Clarke,80.77300899,61
Alabama,Clay,11.1301352,65
Alabama,Cleburne,13.6692528,67
Alabama,Coffee,606.8316581,70
Alabama,Colbert,199.1002813,73
Alabama,Conecuh,21.90984193,80
Alabama,Coosa,28.54339624,82
Alabama,Covington,26.08843548,88
Alabama,Crenshaw,35.68250291,90
Alabama,Cullman,366.7296901,98
Alabama,Dale,1217.465176,101
Alabama,Dallas,51.47217931,110
Alabama,DeKalb,1077.655859,112
Alabama,Elmore,421.3208563,118
Alabama,Escambia,96.48625212,122
Alabama,Etowah,517.4562776,131
Alabama,Fayette,5.931032412,134
Alabama,Franklin,597.1944007,138
Alabama,Geneva,19.24613529,140
Alabama,Greene,20.35505475,148
Alabama,Hale,12.30251676,150
Alabama,Henry,4.810767096,158
Alabama,Houston,688.1757716,160
Alabama,Jackson,208.2675456,164
Alabama,Jefferson,7097.673679,171
Alabama,Lamar,1.002302255,174
Alabama,Lauderdale,301.1851901,176
Alabama,Lawrence,21.49996427,181
Alabama,Lee,955.1692189,187
Alabama,Limestone,426.7419985,197
Alabama,Lowndes,22.67604521,205
Alabama,Macon,88.36632594,210
Alabama,Madison,4985.633169,217
Alabama,Marengo,37.41690252,220
Alabama,Marion,25.1430527,224
Alabama,Marshall,1973.740234,231
Alabama,Mobile,2039.540255,240
Alabama,Monroe,28.87325138,250
Alabama,Montgomery,3031.370982,256
Alabama,Morgan,928.81404,262
Alabama,Perry,3.49094988,264
Alabama,Pickens,6.898121381,273
Alabama,Pike,39.67731306,279
Alabama,Randolph,132.2075919,284
Alabama,Russell,187.1887336,288
Alabama,St. Clair,94.00880704,292
Alabama,Shelby,2432.816655,298
