State,County,LACCESS_SENIORS15,FID,FID
Alabama,Autauga,2180.809285,5,5
Alabama,Baldwin,5580.66279,20,20
Alabama,Barbour,824.1752624,25,25
Alabama,Bibb,137.6882309,29,29
Alabama,Blount,505.9142824,33,33
Alabama,Bullock,566.5393544,37,37
Alabama,Butler,254.7681402,39,39
Alabama,Calhoun,4455.312468,43,43
Alabama,Chambers,1266.433475,47,47
Alabama,Cherokee,13.77900349,51,51
Alabama,Chilton,246.4547517,56,56
Alabama,Choctaw,452.8804652,58,58
Alabama,Clarke,842.5925592,61,61
Alabama,Clay,109.3991982,65,65
Alabama,Cleburne,112.0748496,67,67
Alabama,Coffee,1103.329245,70,70
Alabama,Colbert,1868.019982,73,73
Alabama,Conecuh,749.7020029,80,80
Alabama,Coosa,564.9494347,82,82
Alabama,Covington,728.613374,88,88
Alabama,Crenshaw,758.593092,90,90
Alabama,Cullman,1015.570676,98,98
Alabama,Dale,1364.677324,101,101
Alabama,Dallas,1246.919871,110,110
Alabama,DeKalb,258.2532407,112,112
Alabama,Elmore,1533.079912,118,118
Alabama,Escambia,843.729216,122,122
Alabama,Etowah,4543.736213,131,131
Alabama,Fayette,71.38033756,134,134
Alabama,Franklin,496.7614257,138,138
Alabama,Geneva,93.38329902,140,140
Alabama,Greene,475.5195007,148,148
Alabama,Hale,294.9883486,150,150
Alabama,Henry,175.0371023,158,158
Alabama,Houston,2481.792342,160,160
Alabama,Jackson,652.2841802,164,164
Alabama,Jefferson,25970.64624,171,171
Alabama,Lamar,37.98387996,174,174
Alabama,Lauderdale,2026.38679,176,176
Alabama,Lawrence,249.2459613,181,181
Alabama,Lee,2684.66457,187,187
Alabama,Limestone,1421.280344,197,197
Alabama,Lowndes,354.5811705,205,205
Alabama,Macon,1056.148068,210,210
Alabama,Madison,9827.749177,217,217
Alabama,Marengo,837.0627511,220,220
Alabama,Marion,367.8656876,224,224
Alabama,Marshall,1321.664777,231,231
Alabama,Mobile,13686.04782,240,240
Alabama,Monroe,938.620741,250,250
Alabama,Montgomery,6843.530965,256,256
Alabama,Morgan,2186.843207,262,262
Alabama,Perry,217.6382582,264,264
Alabama,Pickens,98.17733732,273,273
Alabama,Pike,497.6718258,279,279
Alabama,Randolph,525.1357038,284,284
Alabama,Russell,929.2611072,288,288
Alabama,St. Clair,597.6681726,292,292
Alabama,Shelby,5195.247904,298,298
Alabama,Sumter,404.3782018,303,303
Alabama,Talladega,1555.479288,306,306
Alabama,Tallapoosa,690.1461704,308,308
Alabama,Tuscaloosa,3919.3507,313,313
Alabama,Walker,1162.076273,317,317
Alabama,Washington,229.4978916,319,319
Alabama,Wilcox,746.6462012,326,326
Alabama,Winston,263.0160919,332,332
Alaska,Aleutians East,97.99999907,346,346
Alaska,Aleutians West,76.21187723,381,381
Alaska,Anchorage,5427.888248,400,400
Alaska,Bethel,764.0721545,411,411
Alaska,Bristol Bay,83.00000021,423,423
Alaska,Denali,137.0000001,426,426
Alaska,Dillingham,187.0000006,445,445
Alaska,Fairbanks North Star,1863.709458,454,454
Alaska,Haines,58.28279315,462,462
Alaska,Hoonah-Angoon,286.999999,476,476
Alaska,Juneau,713.6300101,482,482
Alaska,Kenai Peninsula,1281.299694,494,494
Alaska,Ketchikan Gateway,105.9073589,514,514
Alaska,Kodiak Island,97.30710718,533,533
Alaska,Lake and Peninsula,125.2018202,544,544
Alaska,Matanuska-Susitna,1917.929194,556,556
Alaska,Nome,322.8693289,571,571
Alaska,North Slope,229.0737555,614,614
Alaska,Northwest Arctic,245.9509862,638,638
Alaska,Petersburg,14.7214776,645,645
Alaska,Prince of Wales-Hyder,195.1334414,669,669
Alaska,Sitka,162.8967856,679,679
Alaska,Skagway,0.70064373,683,683
Alaska,Southeast Fairbanks,374.7371892,690,690
Alaska,Valdez-Cordova,379.5504999,710,710
Alaska,Wade Hampton,271.9999993,725,725
Alaska,Wrangell,70.54157463,733,733
Alaska,Yakutat,64.00000075,744,744
Alaska,Yukon-Koyukuk,568.9999992,753,753
Arizona,Apache,5992.641511,761,761
Arizona,Cochise,10314.61039,763,763
Arizona,Coconino,4642.268737,771,771
Arizona,Gila,3846.810431,787,787
Arizona,Graham,1357.564542,0,0
Arizona,Greenlee,686.1574574,1,1
Arizona,La Paz,4301.447382,3,3
Arizona,Maricopa,86014.56148,9,9
Arizona,Mohave,21605.4891,15,15
Arizona,Navajo,4524.221562,17,17
Arizona,Pima,42727.21948,21,21
Arizona,Pinal,17843.59391,26,26
Arizona,Santa Cruz,1808.001457,32,32
Arizona,Yavapai,16969.9576,35,35
Arizona,Yuma,7548.44558,42,42
Arkansas,Arkansas,1104.003955,46,46
Arkansas,Ashley,748.3975656,50,50
Arkansas,Baxter,1375.530348,54,54
Arkansas,Benton,4800.336241,59,59
Arkansas,Boone,1711.160119,62,62
Arkansas,Bradley,245.5570815,68,68
Arkansas,Calhoun,652.7918148,72,72
Arkansas,Carroll,319.6781274,74,74
Arkansas,Chicot,1423.96965,77,77
Arkansas,Clark,1154.316068,86,86
Arkansas,Clay,400.4072373,93,93
Arkansas,Cleburne,414.5304072,97,97
Arkansas,Cleveland,319.3594559,103,103
Arkansas,Columbia,560.4487986,107,107
Arkansas,Conway,614.8939358,109,109
Arkansas,Craighead,1519.161374,114,114
Arkansas,Crawford,1219.317325,115,115
Arkansas,Crittenden,658.1773029,119,119
Arkansas,Cross,382.9045351,124,124
Arkansas,Dallas,594.514172,128,128
Arkansas,Desha,691.7279188,130,130
Arkansas,Drew,607.406803,136,136
Arkansas,Faulkner,1483.054535,141,141
Arkansas,Franklin,134.0257892,144,144
Arkansas,Fulton,491.2392066,146,146
Arkansas,Garland,6556.116739,151,151
Arkansas,Grant,303.2156274,155,155
Arkansas,Greene,1342.469246,162,162
Arkansas,Hempstead,1100.224702,172,172
Arkansas,Hot Spring,925.1236046,184,184
Arkansas,Howard,1021.059444,191,191
Arkansas,Independence,839.3985409,200,200
Arkansas,Izard,33.75615758,203,203
Arkansas,Jackson,498.6676506,209,209
Arkansas,Jefferson,2310.966956,213,213
Arkansas,Johnson,266.7889677,218,218
Arkansas,Lafayette,284.531094,222,222
Arkansas,Lawrence,888.9700152,230,230
Arkansas,Lee,559.0660224,237,237
Arkansas,Lincoln,235.4173278,244,244
Arkansas,Little River,307.6770204,251,251
Arkansas,Logan,303.9160885,258,258
Arkansas,Lonoke,1375.226777,268,268
Arkansas,Madison,654.3829474,277,277
Arkansas,Marion,547.3825808,282,282
Arkansas,Miller,2049.519348,287,287
Arkansas,Mississippi,659.6617472,294,294
Arkansas,Monroe,205.2903905,300,300
Arkansas,Montgomery,456.5382394,304,304
Arkansas,Nevada,547.2966641,307,307
Arkansas,Newton,719.7908621,311,311
Arkansas,Ouachita,1156.132917,316,316
Arkansas,Perry,280.2366199,318,318
Arkansas,Phillips,1797.003341,322,322
Arkansas,Pike,520.3609458,327,327
Arkansas,Poinsett,1226.221665,333,333
Arkansas,Polk,1354.514938,337,337
Arkansas,Pope,945.4997412,340,340
Arkansas,Prairie,649.7448402,345,345
Arkansas,Pulaski,11195.56874,350,350
Arkansas,Randolph,1056.025387,353,353
Arkansas,St. Francis,946.7917808,357,357
Arkansas,Saline,3729.593131,360,360
Arkansas,Scott,392.5690452,364,364
Arkansas,Searcy,542.054193,372,372
Arkansas,Sebastian,1712.304459,378,378
Arkansas,Sevier,534.4517169,390,390
Arkansas,Sharp,1186.959355,394,394
Arkansas,Stone,582.7028458,399,399
Arkansas,Union,1795.441774,403,403
Arkansas,Van Buren,348.8732391,407,407
Arkansas,Washington,2373.277922,417,417
Arkansas,White,1324.64408,428,428
Arkansas,Woodruff,79.11526071,435,435
Arkansas,Yell,611.2439601,438,438
California,Alameda,12620.95096,457,457
California,Alpine,89.07594565,461,461
California,Amador,689.345242,472,472
California,Butte,9265.650123,486,486
California,Calaveras,742.1831902,489,489
California,Colusa,355.9079088,497,497
California,Contra Costa,30905.66168,503,503
California,Del Norte,1295.285649,511,511
California,El Dorado,6849.891436,522,522
California,Fresno,7910.702282,527,527
California,Glenn,375.2024705,537,537
California,Humboldt,3113.089054,551,551
California,Imperial,2908.389008,557,557
California,Inyo,1521.58348,562,562
California,Kern,11329.67332,84,84
California,Kings,1264.664505,94,94
California,Lake,2285.217508,100,100
California,Lassen,1279.302831,104,104
California,Los Angeles,81045.2097,139,139
California,Madera,2532.550826,153,153
California,Marin,6082.168036,168,168
California,Mariposa,434.1001533,178,178
California,Mendocino,2125.49133,190,190
California,Merced,3574.163388,204,204
California,Modoc,582.7528725,207,207
California,Mono,944.5148757,214,214
California,Monterey,6619.120394,228,228
California,Napa,3432.82091,236,236
California,Nevada,5447.608131,243,243
California,Orange,27462.66383,257,257
California,Placer,9584.227707,266,266
California,Plumas,316.6832916,275,275
California,Riverside,57464.45977,281,281
California,Sacramento,22468.87732,289,289
California,San Benito,1168.692408,295,295
California,San Bernardino,42276.4225,302,302
California,San Diego,54397.45818,315,315
California,San Francisco,138.2628069,331,331
California,San Joaquin,7876.862152,339,339
California,San Luis Obispo,7480.926083,351,351
California,San Mateo,10981.35162,368,368
California,Santa Barbara,9066.680017,391,391
California,Santa Clara,18408.38603,406,406
California,Santa Cruz,4065.898373,415,415
California,Shasta,7461.357492,431,431
California,Sierra,594.8069042,439,439
California,Siskiyou,1863.318555,446,446
California,Solano,6829.765204,453,453
California,Sonoma,12120.38194,463,463
California,Stanislaus,5815.998428,473,473
California,Sutter,3791.888653,483,483
California,Tehama,2189.49783,492,492
California,Trinity,535.1545069,500,500
California,Tulare,5441.24887,501,501
California,Tuolumne,3075.552722,513,513
California,Ventura,17163.86203,521,521
California,Yolo,1622.667428,525,525
California,Yuba,1181.457761,541,541
Colorado,Adams,5270.136758,545,545
Colorado,Alamosa,122.92319,549,549
Colorado,Arapahoe,6301.200547,558,558
Colorado,Archuleta,607.3303686,560,560
Colorado,Baca,197.0624937,563,563
Colorado,Bent,181.1765722,564,564
Colorado,Boulder,4629.065607,570,570
Colorado,Broomfield,1634.689814,577,577
Colorado,Chaffee,455.4320458,582,582
Colorado,Cheyenne,106.3763431,587,587
Colorado,Clear Creek,157.7775153,591,591
Colorado,Conejos,86.9200902,596,596
Colorado,Costilla,806.9999998,599,599
Colorado,Crowley,100.3907825,605,605
Colorado,Custer,261.6081196,610,610
Colorado,Delta,448.0274351,617,617
Colorado,Denver,4969.869238,628,628
Colorado,Dolores,387.9999981,636,636
Colorado,Douglas,3694.519316,644,644
Colorado,Eagle,480.9152353,648,648
Colorado,Elbert,696.3709433,655,655
Colorado,El Paso,15098.57493,661,661
Colorado,Fremont,3054.194454,664,664
Colorado,Garfield,531.7028683,667,667
Colorado,Gilpin,0,672,672
Colorado,Grand,39.45427073,677,677
Colorado,Gunnison,306.3781744,682,682
Colorado,Hinsdale,19.23201418,688,688
Colorado,Huerfano,588.2387615,693,693
Colorado,Jackson,82.54760804,701,701
Colorado,Jefferson,13283.54611,706,706
Colorado,Kiowa,300.0000015,711,711
Colorado,Kit Carson,172.6180529,716,716
Colorado,Lake,130.4721074,721,721
Colorado,La Plata,938.4614705,727,727
Colorado,Larimer,8020.990121,734,734
Colorado,Las Animas,1126.563672,741,741
Colorado,Lincoln,276.2994952,747,747
Colorado,Logan,674.3571201,749,749
Colorado,Mesa,6371.496683,751,751
Colorado,Mineral,24.77135778,757,757
Colorado,Moffat,365.1213491,758,758
Colorado,Montezuma,498.7600184,766,766
Colorado,Montrose,1350.332846,769,769
Colorado,Morgan,327.0204381,775,775
Colorado,Otero,1079.60384,777,777
Colorado,Ouray,51.97205265,780,780
Colorado,Park,1147.607087,782,782
Colorado,Phillips,34.96474865,785,785
Colorado,Pitkin,185.183388,789,789
Colorado,Prowers,482.6555795,792,792
Colorado,Pueblo,8659.995124,795,795
Colorado,Rio Blanco,93.81884409,799,799
Colorado,Rio Grande,337.0143121,802,802
Colorado,Routt,395.0744983,809,809
Colorado,Saguache,211.5232391,811,811
Colorado,San Juan,85.91686493,347,347
Colorado,San Miguel,64.00423472,359,359
Colorado,Sedgwick,100.8220758,366,366
Colorado,Summit,385.7816461,373,373
Colorado,Teller,348.1857519,375,375
Colorado,Washington,436.7908941,377,377
Colorado,Weld,3945.694032,382,382
Colorado,Yuma,323.9744872,385,385
Connecticut,Fairfield,41087.9242,410,410
Connecticut,Hartford,41562.80128,432,432
Connecticut,Litchfield,5009.386282,443,443
Connecticut,Middlesex,8083.233885,450,450
Connecticut,New Haven,39526.47717,466,466
Connecticut,New London,14978.26062,517,517
Connecticut,Tolland,6396.336383,524,524
Connecticut,Windham,2562.915099,529,529
Delaware,Kent,3815.353663,532,532
Delaware,New Castle,15207.1744,536,536
Delaware,Sussex,6827.91697,609,609
District of Columbia,District of Columbia,1881.052365,630,630
Florida,Alachua,4026.628164,639,639
Florida,Baker,917.1458775,641,641
Florida,Bay,7574.043024,658,658
Florida,Bradford,276.9567702,665,665
Florida,Brevard,42232.57745,686,686
Florida,Broward,22845.29808,695,695
Florida,Calhoun,328.3504106,699,699
Florida,Charlotte,22594.77954,743,743
Florida,Citrus,14388.64727,843,843
Florida,Clay,5287.540875,852,852
Florida,Collier,28989.96879,894,894
Florida,Columbia,1660.8065,903,903
Florida,DeSoto,495.8481745,906,906
Florida,Dixie,424.2556384,918,918
Florida,Duval,21725.07526,924,924
Florida,Escambia,15126.94422,931,931
Florida,Flagler,7990.115377,935,935
Florida,Franklin,53.58049841,937,937
Florida,Gadsden,527.8611505,938,938
Florida,Gilchrist,22.00037833,939,939
Florida,Glades,1399.042675,940,940
Florida,Gulf,594.6815893,941,941
Florida,Hamilton,589.466038,942,942
Florida,Hardee,1317.115379,943,943
Florida,Hendry,781.8822929,944,944
Florida,Hernando,17226.32928,945,945
Florida,Highlands,10393.41204,946,946
Florida,Hillsborough,33909.38559,947,947
Florida,Holmes,508.0426925,948,948
Florida,Indian River,17008.74959,949,949
Florida,Jackson,406.9321405,950,950
Florida,Jefferson,393.5720458,951,951
Florida,Lafayette,111.5485367,952,952
Florida,Lake,20980.42366,953,953
Florida,Lee,37629.94724,954,954
Florida,Leon,8701.510508,955,955
Florida,Levy,685.211259,956,956
Florida,Liberty,269.466914,957,957
Florida,Madison,712.2455942,958,958
Florida,Manatee,19896.24349,959,959
Florida,Marion,24431.16275,960,960
Florida,Martin,14453.94891,961,961
Florida,Miami-Dade,16397.69837,962,962
Florida,Monroe,4007.722065,963,963
Florida,Nassau,3257.401847,964,964
Florida,Okaloosa,8321.037496,965,965
Florida,Okeechobee,2768.616135,966,966
Florida,Orange,21512.70513,967,967
Florida,Osceola,6229.480544,968,968
Florida,Palm Beach,46936.53784,969,969
Florida,Pasco,22090.42151,970,970
Florida,Pinellas,26064.04983,971,971
Florida,Polk,37116.50505,972,972
Florida,Putnam,3078.828994,973,973
Florida,St. Johns,8249.978822,974,974
Florida,St. Lucie,20954.08298,975,975
Florida,Santa Rosa,7601.60736,976,976
Florida,Sarasota,35277.029,977,977
Florida,Seminole,12732.91223,978,978
Florida,Sumter,6281.869056,979,979
Florida,Suwannee,1913.244847,980,980
Florida,Taylor,1490.228168,981,981
Florida,Union,410.1158335,982,982
Florida,Volusia,36051.92391,983,983
Florida,Wakulla,88.03622908,984,984
Florida,Walton,1183.248097,985,985
Florida,Washington,1317.896642,986,986
