State,County,LACCESS_MULTIR15,FID
Alabama,Autauga,482.8486329,5
Alabama,Baldwin,1127.696098,20
Alabama,Barbour,462.382655,25
Alabama,Bibb,5.259244042,29
Alabama,Blount,202.9141865,33
Alabama,Bullock,36.52317132,37
Alabama,Butler,11.44098716,39
Alabama,Calhoun,886.5734644,43
Alabama,Chambers,104.1896201,47
Alabama,Cherokee,1.003704677,51
Alabama,Chilton,59.31806504,56
Alabama,Choctaw,8.86854066,58
Alabama,Clarke,54.99088723,61
Alabama,Clay,15.9832988,65
Alabama,Cleburne,14.05641705,67
Alabama,Coffee,521.2422909,70
Alabama,Colbert,264.3318978,73
Alabama,Conecuh,48.18541346,80
Alabama,Coosa,32.66927264,82
Alabama,Covington,42.32742636,88
Alabama,Crenshaw,93.15406389,90
Alabama,Cullman,191.1006126,98
Alabama,Dale,990.8618411,101
Alabama,Dallas,62.49427703,110
Alabama,DeKalb,762.887411,112
Alabama,Elmore,422.0979895,118
Alabama,Escambia,137.3905455,122
Alabama,Etowah,612.9567331,131
Alabama,Fayette,8.044222686,134
Alabama,Franklin,452.8548232,138
Alabama,Geneva,11.85222492,140
Alabama,Greene,12.92056825,148
Alabama,Hale,11.3912015,150
Alabama,Henry,8.822786138,158
Alabama,Houston,597.9511357,160
Alabama,Jackson,224.8997688,164
Alabama,Jefferson,6376.995723,171
Alabama,Lamar,1.574941804,174
Alabama,Lauderdale,318.3744717,176
Alabama,Lawrence,85.3342135,181
Alabama,Lee,878.497843,187
Alabama,Limestone,422.220573,197
Alabama,Lowndes,28.50498,205
Alabama,Macon,106.4737744,210
Alabama,Madison,4507.154947,217
Alabama,Marengo,43.48723785,220
Alabama,Marion,36.11798151,224
Alabama,Marshall,1443.120781,231
Alabama,Mobile,2216.348385,240
Alabama,Monroe,53.35589834,250
Alabama,Montgomery,2713.059912,256
Alabama,Morgan,857.0973826,262
Alabama,Perry,8.239215949,264
Alabama,Pickens,3.192737319,273
Alabama,Pike,62.63124005,279
Alabama,Randolph,114.1839968,284
Alabama,Russell,143.7785178,288
Alabama,St. Clair,116.3840341,292
Alabama,Shelby,1591.900506,298
Alabama,Sumter,5.000000103,303
Alabama,Talladega,243.7375179,306
Alabama,Tallapoosa,88.61212624,308
Alabama,Tuscaloosa,751.4315381,313
Alabama,Walker,386.4124477,317
Alabama,Washington,12.07889514,319
Alabama,Wilcox,15.35438177,326
Alabama,Winston,47.84048861,332
Alaska,Aleutians East,163.9999986,346
Alaska,Aleutians West,97.70931878,381
Alaska,Anchorage,7178.471845,400
