State,County,LACCESS_WHITE15,FID,FID
Alabama,Autauga,12640.61541,5,5
Alabama,Baldwin,25483.18681,20,20
Alabama,Barbour,2828.876711,25,25
Alabama,Bibb,540.5122387,29,29
Alabama,Blount,3387.241266,33,33
Alabama,Bullock,1462.196457,37,37
Alabama,Butler,729.7324117,39,39
Alabama,Calhoun,21058.35896,43,43
Alabama,Chambers,4281.110416,47,47
Alabama,Cherokee,100.8908362,51,51
Alabama,Chilton,1125.956187,56,56
Alabama,Choctaw,743.8167363,58,58
Alabama,Clarke,2229.402621,61,61
Alabama,Clay,558.463331,65,65
Alabama,Cleburne,771.7754258,67,67
Alabama,Coffee,8462.375776,70,70
Alabama,Colbert,9455.683577,73,73
Alabama,Conecuh,2548.220255,80,80
Alabama,Coosa,2311.026408,82,82
Alabama,Covington,3387.282897,88,88
Alabama,Crenshaw,3871.50898,90,90
Alabama,Cullman,5594.810444,98,98
Alabama,Dale,10039.80009,101,101
Alabama,Dallas,1865.149459,110,110
Alabama,DeKalb,1727.096467,112,112
Alabama,Elmore,9447.677189,118,118
Alabama,Escambia,3014.965811,122,122
Alabama,Etowah,18781.92115,131,131
Alabama,Fayette,287.7605748,134,134
Alabama,Franklin,3072.714228,138,138
Alabama,Geneva,537.236358,140,140
Alabama,Greene,409.2722489,148,148
Alabama,Hale,1261.208751,150,150
Alabama,Henry,603.0660375,158,158
Alabama,Houston,13377.854,160,160
Alabama,Jackson,3664.925587,164,164
Alabama,Jefferson,94905.921,171,171
Alabama,Lamar,220.0886158,174,174
Alabama,Lauderdale,10957.01665,176,176
Alabama,Lawrence,1367.633699,181,181
Alabama,Lee,26724.41127,187,187
Alabama,Limestone,6814.984993,197,197
Alabama,Lowndes,608.9155986,205,205
Alabama,Macon,570.9875049,210,210
Alabama,Madison,57839.33621,217,217
Alabama,Marengo,2038.559208,220,220
Alabama,Marion,1871.566598,224,224
Alabama,Marshall,8632.03877,231,231
Alabama,Mobile,64581.59954,240,240
Alabama,Monroe,2315.948512,250,250
Alabama,Montgomery,19163.7968,256,256
Alabama,Morgan,12662.05422,262,262
Alabama,Perry,567.8617242,264,264
Alabama,Pickens,291.9661605,273,273
Alabama,Pike,2767.694595,279,279
Alabama,Randolph,2204.843872,284,284
Alabama,Russell,3353.236078,288,288
Alabama,St. Clair,3950.901428,292,292
Alabama,Shelby,40786.1146,298,298
Alabama,Sumter,470.0280741,303,303
Alabama,Talladega,7740.310074,306,306
Alabama,Tallapoosa,2543.950304,308,308
Alabama,Tuscaloosa,21741.21039,313,313
Alabama,Walker,6112.44696,317,317
Alabama,Washington,1081.172873,319,319
Alabama,Wilcox,960.387047,326,326
Alabama,Winston,1399.383853,332,332
Alaska,Aleutians East,507.9999964,346,346
Alaska,Aleutians West,305.8104071,381,381
Alaska,Anchorage,58056.93975,400,400
Alaska,Bethel,722.8114388,411,411
Alaska,Bristol Bay,481.0000026,423,423
Alaska,Denali,1636.999998,426,426
Alaska,Dillingham,141.5106503,445,445
Alaska,Fairbanks North Star,26236.60015,454,454
Alaska,Haines,445.8412396,462,462
Alaska,Hoonah-Angoon,1003.904793,476,476
Alaska,Juneau,7191.302594,482,482
Alaska,Kenai Peninsula,8810.116016,494,494
Alaska,Ketchikan Gateway,726.0677969,514,514
Alaska,Kodiak Island,1328.227571,533,533
Alaska,Lake and Peninsula,378.0588606,544,544
Alaska,Matanuska-Susitna,19619.08116,556,556
Alaska,Nome,357.1649774,571,571
Alaska,North Slope,2472.653193,614,614
Alaska,Northwest Arctic,333.9346488,638,638
Alaska,Petersburg,148.8864658,645,645
Alaska,Prince of Wales-Hyder,1273.478025,669,669
Alaska,Sitka,1136.608498,679,679
Alaska,Skagway,2.999953762,683,683
Alaska,Southeast Fairbanks,2353.661293,690,690
Alaska,Valdez-Cordova,3750.730685,710,710
Alaska,Wade Hampton,123.9999998,725,725
Alaska,Wrangell,419.428259,733,733
Alaska,Yakutat,281.000001,744,744
Alaska,Yukon-Koyukuk,1243.000003,753,753
Arizona,Apache,8602.417554,761,761
Arizona,Cochise,44249.76395,763,763
Arizona,Coconino,19894.87407,771,771
Arizona,Gila,10837.60865,787,787
Arizona,Graham,7617.013936,0,0
Arizona,Greenlee,4669.455571,1,1
Arizona,La Paz,7540.850722,3,3
Arizona,Maricopa,389366.236,9,9
Arizona,Mohave,78105.86996,15,15
Arizona,Navajo,12403.1012,17,17
Arizona,Pima,163852.6549,21,21
Arizona,Pinal,62934.68694,26,26
Arizona,Santa Cruz,9690.899721,32,32
Arizona,Yavapai,61621.02175,35,35
Arizona,Yuma,29074.18127,42,42
Arkansas,Arkansas,4234.900193,46,46
Arkansas,Ashley,2524.831404,50,50
Arkansas,Baxter,4470.31635,54,54
Arkansas,Benton,27677.80308,59,59
Arkansas,Boone,8111.533814,62,62
Arkansas,Bradley,856.9740876,68,68
Arkansas,Calhoun,2556.742603,72,72
Arkansas,Carroll,1707.387816,74,74
Arkansas,Chicot,3179.27288,77,77
Arkansas,Clark,6488.849882,86,86
Arkansas,Clay,1614.691689,93,93
Arkansas,Cleburne,2291.417324,97,97
Arkansas,Cleveland,1596.343125,103,103
Arkansas,Columbia,2863.505117,107,107
Arkansas,Conway,3218.279864,109,109
Arkansas,Craighead,12013.8279,114,114
Arkansas,Crawford,8864.742552,115,115
Arkansas,Crittenden,3637.804949,119,119
Arkansas,Cross,2064.919666,124,124
Arkansas,Dallas,1715.1576,128,128
Arkansas,Desha,2094.389717,130,130
Arkansas,Drew,2879.319175,136,136
Arkansas,Faulkner,15010.28451,141,141
Arkansas,Franklin,1069.623689,144,144
Arkansas,Fulton,2298.191685,146,146
Arkansas,Garland,23831.21249,151,151
Arkansas,Grant,1921.037964,155,155
Arkansas,Greene,9240.211761,162,162
