State,County,Agency,Ori,total aggravated-assault crimes (2006-2014),total aggravated-assault cleared crimes (2006-2014),total aggravated-assault actual crimes (2006-2014),total violent-crime crimes (2006-2014),total violent-crime cleared crimes (2006-2014),total violent-crime actual crimes (2006-2014),total arson crimes (2006-2014),total arson cleared crimes (2006-2014),total arson actual crimes (2006-2014),total human-trafficing crimes (2006-2014),total human-trafficing cleared crimes (2006-2014),total human-trafficing actual crimes (2006-2014),total rape-legacy crimes (2006-2014),total rape-legacy cleared crimes (2006-2014),total rape-legacy actual crimes (2006-2014),total homicide crimes (2006-2014),total homicide cleared crimes (2006-2014),total homicide actual crimes (2006-2014),total burglary crimes (2006-2014),total burglary cleared crimes (2006-2014),total burglary actual crimes (2006-2014),total motor-vehicle-theft crimes (2006-2014),total motor-vehicle-theft cleared crimes (2006-2014),total motor-vehicle-theft actual crimes (2006-2014),total larceny crimes (2006-2014),total larceny cleared crimes (2006-2014),total larceny actual crimes (2006-2014),total rape crimes (2006-2014),total rape cleared crimes (2006-2014),total rape actual crimes (2006-2014),total property-crime crimes (2006-2014),total property-crime cleared crimes (2006-2014),total property-crime actual crimes (2006-2014),Latitude,Longitude
New Mexico,BERNALILLO,Bernalillo County Sheriff's Office,NM0010000,49203,3666,5662,58974,4117,7094,2997,14,581,0,0,0,2816,177,391,582,45,69,42571,736,7779,17566,375,2729,64880,1428,11316,2816,177,391,125017,2539,21824,35.054002,-106.669064
New Mexico,BERNALILLO,Albuquerque Police Department,NM0010100,209493,14880,26448,296297,18333,40341,5334,172,890,0,0,0,20382,1241,3010,3207,265,363,301112,5701,56121,202938,3202,33527,1032335,34842,177570,20382,1241,3010,1536385,43745,267218,35.089184,-106.65081
New Mexico,BERNALILLO,University of New Mexico,NM0010200,865,26,182,1154,34,235,106,2,13,0,0,0,105,1,26,0,0,0,1828,20,308,2083,4,408,20080,55,4210,105,1,26,23991,79,4926,35.054002,-106.669064
New Mexico,CATRON,Catron County Sheriff's Office,NM0020000,98,5,14,116,6,16,0,0,0,0,0,0,0,0,0,18,1,2,318,7,55,52,3,9,212,1,43,0,0,0,582,11,107,33.901813,-108.392097
New Mexico,CHAVES,Chaves County Sheriff's Office,NM0030000,2412,160,311,3139,198,426,144,3,24,0,0,0,488,24,78,87,3,13,9764,72,1743,1739,36,306,7896,91,1468,488,24,78,19399,199,3517,33.361604,-104.469837
New Mexico,CHAVES,Roswell Police Department,NM0030100,17197,847,2491,21441,1073,3148,944,16,212,0,0,0,1485,103,235,419,33,60,30534,380,5793,5424,110,987,97636,3224,17463,1485,103,235,133594,3714,24243,33.361604,-104.469837
New Mexico,CHAVES,Dexter Police Department,NM0030200,213,14,20,230,14,24,0,0,0,0,0,0,3,0,1,0,0,0,306,6,41,60,2,15,458,14,65,3,0,1,824,22,121,33.361604,-104.469837
New Mexico,CHAVES,New Mexico Military Institute,NM0030400,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,18,1,8,0,0,0,75,2,42,0,0,0,93,3,50,33.408695,-104.52283
New Mexico,COLFAX,Colfax County Sheriff's Office,NM0040000,178,9,30,184,9,31,0,0,0,0,0,0,6,0,1,0,0,0,193,1,44,15,0,6,205,2,53,6,0,1,413,3,103,36.612962,-104.640126
New Mexico,COLFAX,Raton Police Department,NM0040100,1542,18,229,1734,33,260,134,8,16,0,0,0,49,3,7,11,1,2,4544,473,806,519,44,88,4933,391,821,49,3,7,9996,908,1715,36.90456,-104.43978
New Mexico,COLFAX,Cimarron Police Department,NM0040200,74,13,27,77,13,28,4,1,1,0,0,0,3,0,1,0,0,0,66,1,33,5,0,1,79,2,28,3,0,1,150,3,62,36.612962,-104.640126
New Mexico,COLFAX,Springer Police Department,NM0040300,18,3,2,18,3,2,6,1,1,0,0,0,0,0,0,0,0,0,33,3,9,0,0,0,8,1,1,0,0,0,41,4,10,36.612962,-104.640126
New Mexico,COLFAX,Angel Fire Police Department,NM0040500,377,15,43,446,15,52,0,0,0,0,0,0,29,0,4,0,0,0,799,18,131,29,2,4,1005,36,148,29,0,4,1833,56,283,36.612962,-104.640126
New Mexico,CURRY,Curry County Sheriff's Office,NM0050000,865,30,119,1067,32,153,54,5,11,0,0,0,119,1,20,43,0,7,4631,12,818,722,6,137,2059,13,446,119,1,20,7412,31,1401,34.572984,-103.346055
New Mexico,CURRY,Clovis Police Department,NM0050100,12891,895,1474,17394,1149,2030,1576,42,261,0,0,0,2004,125,255,226,22,18,31126,660,5474,5366,212,792,79513,2880,12623,2004,125,255,116005,3752,18889,34.572984,-103.346055
New Mexico,CURRY,Texico Police Department,NM0050300,40,3,7,74,5,10,0,0,0,0,0,0,28,2,2,6,0,1,107,3,18,0,0,0,161,8,27,28,2,2,268,11,45,34.572984,-103.346055
New Mexico,DE BACA,De Baca County Sheriff's Office,NM0060000,78,14,21,81,14,22,0,0,0,0,0,0,3,0,1,0,0,0,61,7,17,19,2,7,30,4,7,3,0,1,110,13,31,34.359269,-104.368692
New Mexico,DONA ANA,Dona Ana County Sheriff's Office,NM0070000,17178,1178,2184,20602,1408,2688,650,30,86,0,0,0,2434,170,371,267,23,29,24015,547,4444,7893,287,1198,37747,1046,6523,2434,170,371,69655,1880,12165,32.350912,-106.832182
New Mexico,DONA ANA,Las Cruces Police Department,NM0070100,23361,1702,2658,32352,2287,3760,588,35,71,0,0,0,3127,211,360,374,41,41,46433,1094,8226,14292,600,2080,180919,8514,29142,3127,211,360,241644,10208,39448,32.316395,-106.77963
New Mexico,DONA ANA,Anthony Police Department,NM0070200,198,13,101,216,13,110,3,0,1,0,0,0,6,0,3,1,0,1,221,5,106,38,0,27,155,1,111,6,0,3,414,6,244,32.350912,-106.832182
