State,County,WICS11,FID
Alabama,Autauga,5,5
Alabama,Baldwin,26,20
Alabama,Barbour,7,25
Alabama,Bibb,6,29
Alabama,Blount,8,33
Alabama,Bullock,2,37
Alabama,Butler,4,39
Alabama,Calhoun,19,43
Alabama,Chambers,6,47
Alabama,Cherokee,6,51
Alabama,Chilton,7,56
Alabama,Choctaw,3,58
Alabama,Clarke,10,61
Alabama,Clay,3,65
Alabama,Cleburne,5,67
Alabama,Coffee,6,70
Alabama,Colbert,9,73
Alabama,Conecuh,2,80
Alabama,Coosa,1,82
Alabama,Covington,10,88
Alabama,Crenshaw,5,90
Alabama,Cullman,11,98
Alabama,Dale,8,101
Alabama,Dallas,11,110
Alabama,DeKalb,11,112
Alabama,Elmore,11,118
Alabama,Escambia,6,122
Alabama,Etowah,16,131
Alabama,Fayette,5,134
Alabama,Franklin,7,138
Alabama,Geneva,6,140
Alabama,Greene,2,148
Alabama,Hale,4,150
Alabama,Henry,3,158
Alabama,Houston,22,160
Alabama,Jackson,11,164
Alabama,Jefferson,96,171
Alabama,Lamar,4,174
Alabama,Lauderdale,17,176
Alabama,Lawrence,6,181
Alabama,Lee,14,187
Alabama,Limestone,9,197
Alabama,Lowndes,4,205
Alabama,Macon,4,210
Alabama,Madison,37,217
Alabama,Marengo,6,220
Alabama,Marion,7,224
Alabama,Marshall,15,231
Alabama,Mobile,54,240
Alabama,Monroe,7,250
Alabama,Montgomery,28,256
Alabama,Morgan,17,262
Alabama,Perry,4,264
Alabama,Pickens,6,273
Alabama,Pike,6,279
Alabama,Randolph,5,284
Alabama,Russell,12,288
Alabama,St. Clair,14,292
Alabama,Shelby,26,298
Alabama,Sumter,7,303
Alabama,Talladega,12,306
Alabama,Tallapoosa,8,308
Alabama,Tuscaloosa,22,313
Alabama,Walker,10,317
Alabama,Washington,4,319
Alabama,Wilcox,6,326
Alabama,Winston,8,332
Alaska,Aleutians East,3,346
Alaska,Aleutians West,4,381
Alaska,Anchorage,24,400
Alaska,Bethel,19,411
Alaska,Bristol Bay,2,423
Alaska,Denali,,426
Alaska,Dillingham,6,445
Alaska,Fairbanks North Star,8,454
Alaska,Haines,2,462
Alaska,Hoonah-Angoon,2,476
Alaska,Juneau,5,482
Alaska,Kenai Peninsula,11,494
Alaska,Ketchikan Gateway,3,514
Alaska,Kodiak Island,3,533
Alaska,Lake and Peninsula,2,544
Alaska,Matanuska-Susitna,8,556
Alaska,Nome,19,571
Alaska,North Slope,8,614
Alaska,Northwest Arctic,13,638
Alaska,Petersburg,3,645
Alaska,Prince of Wales-Hyder,4,669
Alaska,Sitka,3,679
Alaska,Skagway,,683
Alaska,Southeast Fairbanks,3,690
Alaska,Valdez-Cordova,5,710
Alaska,Wade Hampton,15,725
Alaska,Wrangell,2,733
Alaska,Yakutat,2,744
Alaska,Yukon-Koyukuk,9,753
Arizona,Apache,26,761
Arizona,Cochise,16,763
Arizona,Coconino,22,771
Arizona,Gila,9,787
Arizona,Graham,5,0
Arizona,Greenlee,1,1
Arizona,La Paz,8,3
Arizona,Maricopa,416,9
Arizona,Mohave,22,15
Arizona,Navajo,26,17
Arizona,Pima,88,21
Arizona,Pinal,33,26
Arizona,Santa Cruz,5,32
Arizona,Yavapai,23,35
Arizona,Yuma,26,42
Arkansas,Arkansas,5,46
Arkansas,Ashley,6,50
Arkansas,Baxter,5,54
Arkansas,Benton,22,59
Arkansas,Boone,4,62
Arkansas,Bradley,2,68
Arkansas,Calhoun,1,72
Arkansas,Carroll,5,74
Arkansas,Chicot,4,77
Arkansas,Clark,4,86
Arkansas,Clay,3,93
Arkansas,Cleburne,3,97
Arkansas,Cleveland,1,103
Arkansas,Columbia,6,107
Arkansas,Conway,3,109
Arkansas,Craighead,16,114
Arkansas,Crawford,8,115
Arkansas,Crittenden,13,119
Arkansas,Cross,4,124
Arkansas,Dallas,1,128
Arkansas,Desha,3,130
Arkansas,Drew,2,136
Arkansas,Faulkner,10,141
Arkansas,Franklin,2,144
Arkansas,Fulton,1,146
Arkansas,Garland,12,151
Arkansas,Grant,2,155
Arkansas,Greene,4,162
Arkansas,Hempstead,4,172
Arkansas,Hot Spring,5,184
Arkansas,Howard,5,191
Arkansas,Independence,6,200
Arkansas,Izard,4,203
Arkansas,Jackson,5,209
Arkansas,Jefferson,9,213
Arkansas,Johnson,2,218
Arkansas,Lafayette,2,222
Arkansas,Lawrence,5,230
Arkansas,Lee,1,237
Arkansas,Lincoln,1,244
Arkansas,Little River,3,251
Arkansas,Logan,2,258
Arkansas,Lonoke,9,268
Arkansas,Madison,2,277
Arkansas,Marion,4,282
Arkansas,Miller,5,287
Arkansas,Mississippi,12,294
Arkansas,Monroe,3,300
Arkansas,Montgomery,2,304
Arkansas,Nevada,1,307
Arkansas,Newton,1,311
Arkansas,Ouachita,7,316
Arkansas,Perry,1,318
Arkansas,Phillips,5,322
Arkansas,Pike,4,327
Arkansas,Poinsett,6,333
Arkansas,Polk,4,337
Arkansas,Pope,9,340
Arkansas,Prairie,4,345
Arkansas,Pulaski,41,350
Arkansas,Randolph,2,353
Arkansas,St. Francis,6,357
Arkansas,Saline,10,360
Arkansas,Scott,2,364
Arkansas,Searcy,2,372
Arkansas,Sebastian,15,378
Arkansas,Sevier,3,390
Arkansas,Sharp,4,394
Arkansas,Stone,3,399
Arkansas,Union,6,403
Arkansas,Van Buren,4,407
Arkansas,Washington,26,417
Arkansas,White,12,428
Arkansas,Woodruff,3,435
Arkansas,Yell,3,438
California,Alameda,178,457
California,Alpine,,461
California,Amador,9,472
California,Butte,29,486
California,Calaveras,11,489
California,Colusa,9,497
California,Contra Costa,122,503
California,Del Norte,7,511
California,El Dorado,19,522
California,Fresno,283,527
California,Glenn,8,537
California,Humboldt,26,551
California,Imperial,33,557
California,Inyo,4,562
California,Kern,230,84
California,Kings,25,94
California,Lake,15,100
California,Lassen,6,104
California,Los Angeles,1579,139
California,Madera,34,153
California,Marin,20,168
California,Mariposa,2,178
California,Mendocino,20,190
California,Merced,71,204
California,Modoc,4,207
California,Mono,2,214
California,Monterey,83,228
California,Napa,23,236
California,Nevada,10,243
California,Orange,430,257
California,Placer,37,266
California,Plumas,6,275
California,Riverside,276,281
California,Sacramento,172,289
California,San Benito,9,295
California,San Bernardino,269,302
California,San Diego,502,315
California,San Francisco,63,331
California,San Joaquin,108,339
California,San Luis Obispo,33,351
California,San Mateo,74,368
California,Santa Barbara,55,391
California,Santa Clara,162,406
California,Santa Cruz,27,415
California,Shasta,24,431
California,Sierra,1,439
California,Siskiyou,14,446
California,Solano,46,453
California,Sonoma,68,463
California,Stanislaus,114,473
California,Sutter,11,483
California,Tehama,8,492
California,Trinity,3,500
California,Tulare,99,501
California,Tuolumne,8,513
California,Ventura,118,521
California,Yolo,32,525
California,Yuba,19,541
Colorado,Adams,36,545
Colorado,Alamosa,4,549
Colorado,Arapahoe,40,558
Colorado,Archuleta,2,560
Colorado,Baca,2,563
Colorado,Bent,1,564
Colorado,Boulder,19,570
Colorado,Broomfield,7,577
Colorado,Chaffee,3,582
Colorado,Cheyenne,2,587
Colorado,Clear Creek,1,591
Colorado,Conejos,2,596
Colorado,Costilla,1,599
Colorado,Crowley,1,605
Colorado,Custer,1,610
Colorado,Delta,5,617
Colorado,Denver,33,628
Colorado,Dolores,1,636
Colorado,Douglas,14,644
Colorado,Eagle,8,648
Colorado,Elbert,2,655
Colorado,El Paso,40,661
Colorado,Fremont,5,664
Colorado,Garfield,7,667
Colorado,Gilpin,,672
Colorado,Grand,3,677
Colorado,Gunnison,2,682
Colorado,Hinsdale,,688
Colorado,Huerfano,2,693
Colorado,Jackson,1,701
Colorado,Jefferson,40,706
Colorado,Kiowa,1,711
Colorado,Kit Carson,4,716
Colorado,Lake,1,721
Colorado,La Plata,5,727
Colorado,Larimer,23,734
Colorado,Las Animas,3,741
Colorado,Lincoln,2,747
Colorado,Logan,3,749
Colorado,Mesa,14,751
Colorado,Mineral,,757
Colorado,Moffat,3,758
Colorado,Montezuma,5,766
Colorado,Montrose,7,769
Colorado,Morgan,5,775
Colorado,Otero,5,777
Colorado,Ouray,2,780
Colorado,Park,1,782
Colorado,Phillips,2,785
Colorado,Pitkin,2,789
Colorado,Prowers,4,792
Colorado,Pueblo,14,795
Colorado,Rio Blanco,2,799
Colorado,Rio Grande,3,802
Colorado,Routt,3,809
Colorado,Saguache,2,811
Colorado,San Juan,,347
Colorado,San Miguel,2,359
Colorado,Sedgwick,1,366
Colorado,Summit,3,373
Colorado,Teller,5,375
Colorado,Washington,1,377
Colorado,Weld,15,382
Colorado,Yuma,4,385
Connecticut,Fairfield,134,410
Connecticut,Hartford,182,432
Connecticut,Litchfield,20,443
Connecticut,Middlesex,20,450
Connecticut,New Haven,164,466
Connecticut,New London,37,517
Connecticut,Tolland,16,524
Connecticut,Windham,20,529
Delaware,Kent,19,532
Delaware,New Castle,50,536
Delaware,Sussex,19,609
District of Columbia,District of Columbia,27,630
Florida,Alachua,26,639
Florida,Baker,4,641
Florida,Bay,23,658
Florida,Bradford,3,665
Florida,Brevard,52,686
Florida,Broward,164,695
Florida,Calhoun,3,699
Florida,Charlotte,19,743
Florida,Citrus,15,843
Florida,Clay,21,852
Florida,Collier,37,894
Florida,Columbia,7,903
Florida,DeSoto,6,906
Florida,Dixie,2,918
Florida,Duval,99,924
Florida,Escambia,30,931
Florida,Flagler,10,935
Florida,Franklin,4,937
Florida,Gadsden,9,938
Florida,Gilchrist,2,939
Florida,Glades,1,940
Florida,Gulf,3,941
Florida,Hamilton,2,942
Florida,Hardee,6,943
Florida,Hendry,8,944
Florida,Hernando,23,945
Florida,Highlands,12,946
Florida,Hillsborough,136,947
Florida,Holmes,2,948
Florida,Indian River,14,949
Florida,Jackson,10,950
Florida,Jefferson,1,951
Florida,Lafayette,1,952
Florida,Lake,33,953
Florida,Lee,72,954
Florida,Leon,28,955
Florida,Levy,6,956
Florida,Liberty,1,957
Florida,Madison,3,958
Florida,Manatee,36,959
Florida,Marion,38,960
Florida,Martin,21,961
Florida,Miami-Dade,250,962
Florida,Monroe,10,963
Florida,Nassau,9,964
Florida,Okaloosa,22,965
Florida,Okeechobee,7,966
Florida,Orange,117,967
Florida,Osceola,35,968
Florida,Palm Beach,137,969
Florida,Pasco,55,970
Florida,Pinellas,126,971
Florida,Polk,66,972
Florida,Putnam,9,973
Florida,St. Johns,22,974
Florida,St. Lucie,24,975
Florida,Santa Rosa,16,976
Florida,Sarasota,41,977
Florida,Seminole,47,978
Florida,Sumter,11,979
Florida,Suwannee,5,980
Florida,Taylor,4,981
Florida,Union,1,982
Florida,Volusia,54,983
Florida,Wakulla,3,984
Florida,Walton,10,985
Florida,Washington,4,986
Georgia,Appling,4,987
Georgia,Atkinson,3,988
Georgia,Bacon,4,989
Georgia,Baker,1,990
Georgia,Baldwin,8,991
Georgia,Banks,,992
Georgia,Barrow,12,993
Georgia,Bartow,10,994
Georgia,Ben Hill,8,995
Georgia,Berrien,5,996
Georgia,Bibb,31,997
Georgia,Bleckley,3,998
Georgia,Brantley,2,999
Georgia,Brooks,3,565
Georgia,Bryan,7,573
Georgia,Bulloch,7,579
Georgia,Burke,5,583
Georgia,Butts,5,588
Georgia,Calhoun,2,592
Georgia,Camden,10,603
Georgia,Candler,2,616
Georgia,Carroll,18,620
Georgia,Catoosa,11,626
Georgia,Charlton,3,635
Georgia,Chatham,50,646
Georgia,Chattahoochee,2,656
Georgia,Chattooga,7,659
Georgia,Cherokee,34,662
Georgia,Clarke,21,666
Georgia,Clay,1,670
Georgia,Clayton,62,673
Georgia,Clinch,3,676
Georgia,Cobb,96,680
Georgia,Coffee,18,684
Georgia,Colquitt,10,689
Georgia,Columbia,22,692
Georgia,Cook,4,697
Georgia,Coweta,19,700
Georgia,Crawford,1,704
Georgia,Crisp,7,707
Georgia,Dade,4,708
Georgia,Dawson,3,713
Georgia,Decatur,7,714
Georgia,DeKalb,121,718
Georgia,Dodge,5,720
Georgia,Dooly,3,724
Georgia,Dougherty,22,728
Georgia,Douglas,21,731
Georgia,Early,5,735
Georgia,Echols,1,737
Georgia,Effingham,7,742
Georgia,Elbert,5,746
Georgia,Emanuel,7,750
Georgia,Evans,2,754
Georgia,Fannin,6,755
Georgia,Fayette,13,760
Georgia,Floyd,19,764
Georgia,Forsyth,22,768
Georgia,Franklin,6,772
Georgia,Fulton,175,779
Georgia,Gilmer,6,781
Georgia,Glascock,1,783
Georgia,Glynn,16,793
Georgia,Gordon,9,796
Georgia,Grady,4,797
Georgia,Greene,4,800
Georgia,Gwinnett,107,804
Georgia,Habersham,7,806
Georgia,Hall,40,808
Georgia,Hancock,1,810
Georgia,Haralson,8,813
Georgia,Harris,4,814
Georgia,Hart,6,816
Georgia,Heard,1,817
Georgia,Henry,26,820
Georgia,Houston,24,823
Georgia,Irwin,1,825
Georgia,Jackson,10,828
Georgia,Jasper,3,830
Georgia,Jeff Davis,4,832
Georgia,Jefferson,6,834
Georgia,Jenkins,1,835
Georgia,Johnson,2,837
Georgia,Jones,3,839
Georgia,Lamar,4,841
Georgia,Lanier,1,845
Georgia,Laurens,12,847
Georgia,Lee,7,849
Georgia,Liberty,8,855
Georgia,Lincoln,1,857
Georgia,Long,1,860
Georgia,Lowndes,16,863
Georgia,Lumpkin,4,865
Georgia,McDuffie,5,868
Georgia,McIntosh,2,871
Georgia,Macon,4,874
Georgia,Madison,4,875
Georgia,Marion,3,877
Georgia,Meriwether,5,879
Georgia,Miller,2,881
Georgia,Mitchell,5,883
Georgia,Monroe,4,885
Georgia,Montgomery,2,887
Georgia,Morgan,3,890
Georgia,Murray,6,892
Georgia,Muscogee,38,896
Georgia,Newton,13,899
Georgia,Oconee,4,901
Georgia,Oglethorpe,1,905
Georgia,Paulding,14,908
Georgia,Peach,4,910
Georgia,Pickens,9,912
Georgia,Pierce,4,915
Georgia,Pike,1,7
Georgia,Polk,7,8
Georgia,Pulaski,2,11
Georgia,Putnam,4,13
Georgia,Quitman,,16
Georgia,Rabun,4,18
Georgia,Randolph,4,23
Georgia,Richmond,32,24
Georgia,Rockdale,17,28
Georgia,Schley,1,31
Georgia,Screven,4,34
Georgia,Seminole,4,38
Georgia,Spalding,15,41
Georgia,Stephens,6,45
Georgia,Stewart,2,48
Georgia,Sumter,8,52
Georgia,Talbot,1,57
Georgia,Taliaferro,1,60
Georgia,Tattnall,6,63
Georgia,Taylor,3,69
Georgia,Telfair,5,75
Georgia,Terrell,4,78
Georgia,Thomas,12,83
Georgia,Tift,11,87
Georgia,Toombs,8,91
Georgia,Towns,2,95
Georgia,Treutlen,3,102
Georgia,Troup,12,105
Georgia,Turner,1,108
Georgia,Twiggs,1,116
Georgia,Union,6,120
Georgia,Upson,3,123
Georgia,Walker,11,126
Georgia,Walton,12,127
Georgia,Ware,8,132
Georgia,Warren,1,135
Georgia,Washington,4,143
Georgia,Wayne,4,147
Georgia,Webster,1,149
Georgia,Wheeler,1,154
Georgia,White,5,157
Georgia,Whitfield,22,159
Georgia,Wilcox,2,163
Georgia,Wilkes,4,167
Georgia,Wilkinson,3,169
Georgia,Worth,3,173
Hawaii,Hawaii,28,198
Hawaii,Honolulu,68,234
Hawaii,Kalawao,,247
Hawaii,Kauai,12,261
Hawaii,Maui,20,323
Idaho,Ada,29,336
Idaho,Adams,3,338
Idaho,Bannock,11,343
Idaho,Bear Lake,2,349
Idaho,Benewah,4,354
Idaho,Bingham,6,362
Idaho,Blaine,3,371
Idaho,Boise,3,380
Idaho,Bonner,6,387
Idaho,Bonneville,8,395
Idaho,Boundary,2,405
Idaho,Butte,1,414
Idaho,Camas,,429
Idaho,Canyon,15,441
Idaho,Caribou,3,449
Idaho,Cassia,4,456
Idaho,Clark,1,464
Idaho,Clearwater,5,474
Idaho,Custer,3,484
Idaho,Elmore,7,490
Idaho,Franklin,1,498
Idaho,Fremont,2,502
Idaho,Gem,1,510
Idaho,Gooding,4,519
Idaho,Idaho,5,528
Idaho,Jefferson,2,540
Idaho,Jerome,2,547
Idaho,Kootenai,16,552
Idaho,Latah,5,559
Idaho,Lemhi,1,566
Idaho,Lewis,3,574
Idaho,Lincoln,2,578
Idaho,Madison,4,581
Idaho,Minidoka,3,585
Idaho,Nez Perce,7,589
Idaho,Oneida,1,593
Idaho,Owyhee,3,601
Idaho,Payette,4,606
Idaho,Power,1,613
Idaho,Shoshone,6,621
Idaho,Teton,1,627
Idaho,Twin Falls,13,634
Idaho,Valley,3,643
Idaho,Washington,2,649
Illinois,Adams,11,650
Illinois,Alexander,2,651
Illinois,Bond,3,652
Illinois,Boone,7,653
Illinois,Brown,1,654
Illinois,Bureau,5,2
Illinois,Calhoun,1,4
Illinois,Carroll,2,6
Illinois,Cass,5,10
Illinois,Champaign,36,12
Illinois,Christian,9,14
Illinois,Clark,4,19
Illinois,Clay,5,22
Illinois,Clinton,10,27
Illinois,Coles,11,30
Illinois,Cook,911,36
Illinois,Crawford,3,40
Illinois,Cumberland,3,44
Illinois,DeKalb,12,49
Illinois,De Witt,5,53
Illinois,Douglas,3,55
Illinois,DuPage,144,64
Illinois,Edgar,5,66
Illinois,Edwards,2,71
Illinois,Effingham,7,76
Illinois,Fayette,5,79
Illinois,Ford,3,81
Illinois,Franklin,11,85
Illinois,Fulton,8,89
Illinois,Gallatin,,92
Illinois,Greene,5,96
Illinois,Grundy,7,99
Illinois,Hamilton,2,106
Illinois,Hancock,5,111
Illinois,Hardin,2,113
Illinois,Henderson,2,117
Illinois,Henry,12,121
Illinois,Iroquois,6,125
Illinois,Jackson,12,129
Illinois,Jasper,2,133
Illinois,Jefferson,7,137
Illinois,Jersey,3,142
Illinois,Jo Daviess,5,145
Illinois,Johnson,2,152
Illinois,Kane,68,156
Illinois,Kankakee,19,161
Illinois,Kendall,19,165
Illinois,Knox,10,166
Illinois,Lake,125,170
Illinois,LaSalle,22,175
Illinois,Lawrence,4,177
Illinois,Lee,8,180
Illinois,Livingston,8,182
Illinois,Logan,5,186
Illinois,McDonough,7,189
Illinois,McHenry,34,192
Illinois,McLean,28,193
Illinois,Macon,28,194
Illinois,Macoupin,11,196
Illinois,Madison,62,199
Illinois,Marion,12,201
Illinois,Marshall,3,202
Illinois,Mason,3,206
Illinois,Massac,4,208
Illinois,Menard,2,212
Illinois,Mercer,4,216
Illinois,Monroe,6,219
Illinois,Montgomery,7,223
Illinois,Morgan,9,225
Illinois,Moultrie,4,227
Illinois,Ogle,8,229
Illinois,Peoria,47,233
Illinois,Perry,6,235
Illinois,Piatt,3,238
Illinois,Pike,5,241
Illinois,Pope,1,245
Illinois,Pulaski,3,248
Illinois,Putnam,1,253
Illinois,Randolph,4,255
Illinois,Richland,5,259
Illinois,Rock Island,35,265
Illinois,St. Clair,63,269
Illinois,Saline,8,271
Illinois,Sangamon,47,274
Illinois,Schuyler,1,278
Illinois,Scott,1,280
Illinois,Shelby,3,283
Illinois,Stark,1,285
Illinois,Stephenson,12,290
Illinois,Tazewell,25,291
Illinois,Union,7,293
Illinois,Vermilion,18,296
Illinois,Wabash,3,299
Illinois,Warren,4,301
Illinois,Washington,4,305
Illinois,Wayne,4,310
Illinois,White,7,312
Illinois,Whiteside,11,314
Illinois,Will,100,320
Illinois,Williamson,15,324
Illinois,Winnebago,60,325
Illinois,Woodford,8,328
Indiana,Adams,7,330
Indiana,Allen,28,335
Indiana,Bartholomew,9,342
Indiana,Benton,2,179
Indiana,Blackford,4,183
Indiana,Boone,7,185
Indiana,Brown,4,188
Indiana,Carroll,4,195
Indiana,Cass,7,211
Indiana,Clark,9,215
Indiana,Clay,4,221
Indiana,Clinton,4,226
Indiana,Crawford,3,232
Indiana,Daviess,6,239
Indiana,Dearborn,4,242
Indiana,Decatur,7,246
Indiana,DeKalb,7,249
Indiana,Delaware,12,252
Indiana,Dubois,9,254
Indiana,Elkhart,21,260
Indiana,Fayette,7,263
Indiana,Floyd,10,267
Indiana,Fountain,6,270
Indiana,Franklin,10,272
Indiana,Fulton,5,276
Indiana,Gibson,7,286
Indiana,Grant,11,297
Indiana,Greene,7,309
Indiana,Hamilton,21,321
Indiana,Hancock,5,329
Indiana,Harrison,4,334
Indiana,Hendricks,10,341
Indiana,Henry,6,344
Indiana,Howard,8,348
Indiana,Huntington,4,352
Indiana,Jackson,7,355
Indiana,Jasper,6,356
Indiana,Jay,4,358
Indiana,Jefferson,5,363
Indiana,Jennings,5,367
Indiana,Johnson,11,370
Indiana,Knox,6,376
Indiana,Kosciusko,8,384
Indiana,LaGrange,4,386
Indiana,Lake,45,389
Indiana,LaPorte,12,392
Indiana,Lawrence,7,396
Indiana,Madison,19,401
Indiana,Marion,97,409
Indiana,Marshall,5,412
Indiana,Martin,4,418
Indiana,Miami,4,420
Indiana,Monroe,10,422
Indiana,Montgomery,5,425
Indiana,Morgan,9,430
Indiana,Newton,4,433
