State,County,WICS16,FID,FID
Alabama,Autauga,5,5,5
Alabama,Baldwin,28,20,20
Alabama,Barbour,6,25,25
Alabama,Bibb,5,29,29
Alabama,Blount,8,33,33
Alabama,Bullock,3,37,37
Alabama,Butler,4,39,39
Alabama,Calhoun,20,43,43
Alabama,Chambers,6,47,47
Alabama,Cherokee,4,51,51
Alabama,Chilton,6,56,56
Alabama,Choctaw,3,58,58
Alabama,Clarke,8,61,61
Alabama,Clay,3,65,65
Alabama,Cleburne,4,67,67
Alabama,Coffee,7,70,70
Alabama,Colbert,9,73,73
Alabama,Conecuh,2,80,80
Alabama,Coosa,1,82,82
Alabama,Covington,7,88,88
Alabama,Crenshaw,3,90,90
Alabama,Cullman,12,98,98
Alabama,Dale,6,101,101
Alabama,Dallas,8,110,110
Alabama,DeKalb,11,112,112
Alabama,Elmore,9,118,118
Alabama,Escambia,6,122,122
Alabama,Etowah,14,131,131
Alabama,Fayette,4,134,134
Alabama,Franklin,7,138,138
Alabama,Geneva,7,140,140
Alabama,Greene,2,148,148
Alabama,Hale,2,150,150
Alabama,Henry,4,158,158
Alabama,Houston,22,160,160
Alabama,Jackson,11,164,164
Alabama,Jefferson,79,171,171
Alabama,Lamar,4,174,174
Alabama,Lauderdale,18,176,176
Alabama,Lawrence,4,181,181
Alabama,Lee,16,187,187
Alabama,Limestone,8,197,197
Alabama,Lowndes,2,205,205
Alabama,Macon,4,210,210
Alabama,Madison,44,217,217
Alabama,Marengo,5,220,220
Alabama,Marion,6,224,224
Alabama,Marshall,16,231,231
Alabama,Mobile,55,240,240
Alabama,Monroe,5,250,250
Alabama,Montgomery,25,256,256
Alabama,Morgan,17,262,262
Alabama,Perry,3,264,264
Alabama,Pickens,4,273,273
Alabama,Pike,6,279,279
Alabama,Randolph,4,284,284
Alabama,Russell,11,288,288
Alabama,St. Clair,12,292,292
Alabama,Shelby,26,298,298
Alabama,Sumter,4,303,303
Alabama,Talladega,12,306,306
Alabama,Tallapoosa,8,308,308
Alabama,Tuscaloosa,22,313,313
Alabama,Walker,11,317,317
Alabama,Washington,3,319,319
Alabama,Wilcox,5,326,326
Alabama,Winston,6,332,332
Alaska,Aleutians East,3,346,346
Alaska,Aleutians West,3,381,381
Alaska,Anchorage,24,400,400
Alaska,Bethel,14,411,411
Alaska,Bristol Bay,2,423,423
Alaska,Denali,,426,426
Alaska,Dillingham,3,445,445
Alaska,Fairbanks North Star,8,454,454
Alaska,Haines,2,462,462
Alaska,Hoonah-Angoon,2,476,476
Alaska,Juneau,5,482,482
Alaska,Kenai Peninsula,11,494,494
Alaska,Ketchikan Gateway,3,514,514
Alaska,Kodiak Island,2,533,533
Alaska,Lake and Peninsula,1,544,544
Alaska,Matanuska-Susitna,6,556,556
Alaska,Nome,15,571,571
Alaska,North Slope,6,614,614
Alaska,Northwest Arctic,13,638,638
Alaska,Petersburg,3,645,645
Alaska,Prince of Wales-Hyder,4,669,669
Alaska,Sitka,3,679,679
Alaska,Skagway,,683,683
Alaska,Southeast Fairbanks,3,690,690
Alaska,Valdez-Cordova,4,710,710
Alaska,Wade Hampton,14,725,725
Alaska,Wrangell,2,733,733
Alaska,Yakutat,2,744,744
Alaska,Yukon-Koyukuk,7,753,753
Arizona,Apache,27,761,761
Arizona,Cochise,17,763,763
Arizona,Coconino,22,771,771
Arizona,Gila,8,787,787
Arizona,Graham,5,0,0
Arizona,Greenlee,1,1,1
Arizona,La Paz,6,3,3
Arizona,Maricopa,417,9,9
Arizona,Mohave,20,15,15
Arizona,Navajo,24,17,17
Arizona,Pima,97,21,21
Arizona,Pinal,31,26,26
Arizona,Santa Cruz,4,32,32
Arizona,Yavapai,22,35,35
Arizona,Yuma,26,42,42
Arkansas,Arkansas,4,46,46
Arkansas,Ashley,4,50,50
Arkansas,Baxter,6,54,54
Arkansas,Benton,28,59,59
Arkansas,Boone,5,62,62
Arkansas,Bradley,1,68,68
Arkansas,Calhoun,,72,72
Arkansas,Carroll,5,74,74
Arkansas,Chicot,2,77,77
Arkansas,Clark,2,86,86
Arkansas,Clay,3,93,93
Arkansas,Cleburne,4,97,97
Arkansas,Cleveland,1,103,103
Arkansas,Columbia,6,107,107
Arkansas,Conway,3,109,109
Arkansas,Craighead,14,114,114
Arkansas,Crawford,8,115,115
Arkansas,Crittenden,11,119,119
Arkansas,Cross,4,124,124
Arkansas,Dallas,1,128,128
Arkansas,Desha,3,130,130
Arkansas,Drew,2,136,136
Arkansas,Faulkner,13,141,141
Arkansas,Franklin,4,144,144
Arkansas,Fulton,1,146,146
Arkansas,Garland,13,151,151
Arkansas,Grant,2,155,155
Arkansas,Greene,5,162,162
Arkansas,Hempstead,4,172,172
Arkansas,Hot Spring,4,184,184
Arkansas,Howard,2,191,191
Arkansas,Independence,5,200,200
Arkansas,Izard,4,203,203
Arkansas,Jackson,3,209,209
Arkansas,Jefferson,9,213,213
Arkansas,Johnson,3,218,218
Arkansas,Lafayette,1,222,222
Arkansas,Lawrence,5,230,230
Arkansas,Lee,1,237,237
Arkansas,Lincoln,1,244,244
Arkansas,Little River,3,251,251
Arkansas,Logan,4,258,258
Arkansas,Lonoke,8,268,268
Arkansas,Madison,2,277,277
Arkansas,Marion,4,282,282
Arkansas,Miller,5,287,287
Arkansas,Mississippi,8,294,294
Arkansas,Monroe,2,300,300
Arkansas,Montgomery,1,304,304
Arkansas,Nevada,1,307,307
Arkansas,Newton,1,311,311
Arkansas,Ouachita,6,316,316
Arkansas,Perry,1,318,318
Arkansas,Phillips,3,322,322
Arkansas,Pike,2,327,327
Arkansas,Poinsett,5,333,333
Arkansas,Polk,3,337,337
Arkansas,Pope,9,340,340
Arkansas,Prairie,2,345,345
Arkansas,Pulaski,40,350,350
Arkansas,Randolph,2,353,353
Arkansas,St. Francis,4,357,357
Arkansas,Saline,12,360,360
Arkansas,Scott,4,364,364
Arkansas,Searcy,2,372,372
Arkansas,Sebastian,16,378,378
Arkansas,Sevier,3,390,390
Arkansas,Sharp,4,394,394
Arkansas,Stone,3,399,399
Arkansas,Union,6,403,403
Arkansas,Van Buren,4,407,407
Arkansas,Washington,28,417,417
Arkansas,White,13,428,428
Arkansas,Woodruff,2,435,435
Arkansas,Yell,3,438,438
California,Alameda,145,457,457
California,Alpine,,461,461
California,Amador,9,472,472
California,Butte,23,486,486
California,Calaveras,7,489,489
California,Colusa,7,497,497
California,Contra Costa,95,503,503
California,Del Norte,2,511,511
California,El Dorado,19,522,522
California,Fresno,216,527,527
California,Glenn,6,537,537
California,Humboldt,23,551,551
California,Imperial,31,557,557
California,Inyo,2,562,562
California,Kern,189,84,84
California,Kings,22,94,94
California,Lake,14,100,100
California,Lassen,3,104,104
California,Los Angeles,1188,139,139
California,Madera,29,153,153
California,Marin,16,168,168
California,Mariposa,1,178,178
California,Mendocino,12,190,190
California,Merced,60,204,204
California,Modoc,4,207,207
California,Mono,2,214,214
California,Monterey,66,228,228
California,Napa,18,236,236
California,Nevada,11,243,243
California,Orange,364,257,257
California,Placer,43,266,266
California,Plumas,6,275,275
California,Riverside,244,281,281
California,Sacramento,158,289,289
California,San Benito,8,295,295
California,San Bernardino,232,302,302
California,San Diego,376,315,315
California,San Francisco,42,331,331
California,San Joaquin,80,339,339
California,San Luis Obispo,34,351,351
California,San Mateo,64,368,368
California,Santa Barbara,60,391,391
California,Santa Clara,145,406,406
California,Santa Cruz,27,415,415
California,Shasta,20,431,431
California,Sierra,1,439,439
California,Siskiyou,11,446,446
California,Solano,47,453,453
California,Sonoma,55,463,463
California,Stanislaus,89,473,473
California,Sutter,13,483,483
California,Tehama,6,492,492
California,Trinity,3,500,500
California,Tulare,87,501,501
California,Tuolumne,8,513,513
California,Ventura,122,521,521
California,Yolo,27,525,525
California,Yuba,12,541,541
Colorado,Adams,40,545,545
Colorado,Alamosa,4,549,549
Colorado,Arapahoe,50,558,558
Colorado,Archuleta,3,560,560
Colorado,Baca,2,563,563
Colorado,Bent,1,564,564
Colorado,Boulder,20,570,570
Colorado,Broomfield,5,577,577
Colorado,Chaffee,3,582,582
Colorado,Cheyenne,1,587,587
Colorado,Clear Creek,1,591,591
Colorado,Conejos,2,596,596
Colorado,Costilla,1,599,599
Colorado,Crowley,1,605,605
Colorado,Custer,1,610,610
Colorado,Delta,5,617,617
Colorado,Denver,31,628,628
Colorado,Dolores,1,636,636
Colorado,Douglas,17,644,644
Colorado,Eagle,7,648,648
Colorado,Elbert,2,655,655
Colorado,El Paso,44,661,661
Colorado,Fremont,5,664,664
Colorado,Garfield,7,667,667
Colorado,Gilpin,,672,672
Colorado,Grand,3,677,677
Colorado,Gunnison,2,682,682
Colorado,Hinsdale,,688,688
Colorado,Huerfano,2,693,693
Colorado,Jackson,1,701,701
Colorado,Jefferson,39,706,706
Colorado,Kiowa,1,711,711
Colorado,Kit Carson,3,716,716
Colorado,Lake,1,721,721
Colorado,La Plata,5,727,727
Colorado,Larimer,23,734,734
Colorado,Las Animas,3,741,741
Colorado,Lincoln,2,747,747
Colorado,Logan,3,749,749
Colorado,Mesa,14,751,751
Colorado,Mineral,,757,757
Colorado,Moffat,2,758,758
Colorado,Montezuma,5,766,766
Colorado,Montrose,7,769,769
Colorado,Morgan,5,775,775
Colorado,Otero,5,777,777
Colorado,Ouray,2,780,780
Colorado,Park,1,782,782
Colorado,Phillips,2,785,785
Colorado,Pitkin,1,789,789
Colorado,Prowers,4,792,792
Colorado,Pueblo,16,795,795
Colorado,Rio Blanco,2,799,799
Colorado,Rio Grande,3,802,802
Colorado,Routt,3,809,809
Colorado,Saguache,1,811,811
Colorado,San Juan,,347,347
Colorado,San Miguel,2,359,359
Colorado,Sedgwick,1,366,366
Colorado,Summit,4,373,373
Colorado,Teller,5,375,375
Colorado,Washington,1,377,377
Colorado,Weld,15,382,382
Colorado,Yuma,3,385,385
Connecticut,Fairfield,168,410,410
Connecticut,Hartford,219,432,432
Connecticut,Litchfield,22,443,443
Connecticut,Middlesex,18,450,450
Connecticut,New Haven,183,466,466
Connecticut,New London,43,517,517
Connecticut,Tolland,15,524,524
Connecticut,Windham,22,529,529
Delaware,Kent,18,532,532
Delaware,New Castle,46,536,536
Delaware,Sussex,22,609,609
District of Columbia,District of Columbia,34,630,630
Florida,Alachua,28,639,639
Florida,Baker,3,641,641
Florida,Bay,29,658,658
Florida,Bradford,4,665,665
Florida,Brevard,54,686,686
Florida,Broward,185,695,695
Florida,Calhoun,3,699,699
Florida,Charlotte,19,743,743
Florida,Citrus,15,843,843
Florida,Clay,20,852,852
Florida,Collier,32,894,894
Florida,Columbia,7,903,903
Florida,DeSoto,5,906,906
Florida,Dixie,3,918,918
Florida,Duval,99,924,924
