State,County,PCT_WIC12,FID
Alabama,Autauga,2.947682282,5
Alabama,Baldwin,2.947682282,20
Alabama,Barbour,2.947682282,25
Alabama,Bibb,2.947682282,29
Alabama,Blount,2.947682282,33
Alabama,Bullock,2.947682282,37
Alabama,Butler,2.947682282,39
Alabama,Calhoun,2.947682282,43
Alabama,Chambers,2.947682282,47
Alabama,Cherokee,2.947682282,51
Alabama,Chilton,2.947682282,56
Alabama,Choctaw,2.947682282,58
Alabama,Clarke,2.947682282,61
Alabama,Clay,2.947682282,65
Alabama,Cleburne,2.947682282,67
Alabama,Coffee,2.947682282,70
Alabama,Colbert,2.947682282,73
Alabama,Conecuh,2.947682282,80
Alabama,Coosa,2.947682282,82
Alabama,Covington,2.947682282,88
Alabama,Crenshaw,2.947682282,90
Alabama,Cullman,2.947682282,98
Alabama,Dale,2.947682282,101
Alabama,Dallas,2.947682282,110
Alabama,DeKalb,2.947682282,112
Alabama,Elmore,2.947682282,118
Alabama,Escambia,2.947682282,122
Alabama,Etowah,2.947682282,131
Alabama,Fayette,2.947682282,134
Alabama,Franklin,2.947682282,138
Alabama,Geneva,2.947682282,140
Alabama,Greene,2.947682282,148
Alabama,Hale,2.947682282,150
Alabama,Henry,2.947682282,158
Alabama,Houston,2.947682282,160
Alabama,Jackson,2.947682282,164
Alabama,Jefferson,2.947682282,171
Alabama,Lamar,2.947682282,174
Alabama,Lauderdale,2.947682282,176
Alabama,Lawrence,2.947682282,181
Alabama,Lee,2.947682282,187
Alabama,Limestone,2.947682282,197
Alabama,Lowndes,2.947682282,205
Alabama,Macon,2.947682282,210
Alabama,Madison,2.947682282,217
Alabama,Marengo,2.947682282,220
Alabama,Marion,2.947682282,224
Alabama,Marshall,2.947682282,231
Alabama,Mobile,2.947682282,240
Alabama,Monroe,2.947682282,250
Alabama,Montgomery,2.947682282,256
Alabama,Morgan,2.947682282,262
Alabama,Perry,2.947682282,264
Alabama,Pickens,2.947682282,273
Alabama,Pike,2.947682282,279
Alabama,Randolph,2.947682282,284
Alabama,Russell,2.947682282,288
Alabama,St. Clair,2.947682282,292
Alabama,Shelby,2.947682282,298
Alabama,Sumter,2.947682282,303
Alabama,Talladega,2.947682282,306
Alabama,Tallapoosa,2.947682282,308
Alabama,Tuscaloosa,2.947682282,313
Alabama,Walker,2.947682282,317
Alabama,Washington,2.947682282,319
Alabama,Wilcox,2.947682282,326
Alabama,Winston,2.947682282,332
Alaska,Aleutians East,3.416595396,346
Alaska,Aleutians West,3.416595396,381
Alaska,Anchorage,3.416595396,400
Alaska,Bethel,3.416595396,411
Alaska,Bristol Bay,3.416595396,423
Alaska,Denali,3.416595396,426
Alaska,Dillingham,3.416595396,445
Alaska,Fairbanks North Star,3.416595396,454
Alaska,Haines,3.416595396,462
Alaska,Hoonah-Angoon,3.416595396,476
Alaska,Juneau,3.416595396,482
Alaska,Kenai Peninsula,3.416595396,494
Alaska,Ketchikan Gateway,3.416595396,514
Alaska,Kodiak Island,3.416595396,533
Alaska,Lake and Peninsula,3.416595396,544
Alaska,Matanuska-Susitna,3.416595396,556
Alaska,Nome,3.416595396,571
Alaska,North Slope,3.416595396,614
Alaska,Northwest Arctic,3.416595396,638
Alaska,Petersburg,3.416595396,645
Alaska,Prince of Wales-Hyder,3.416595396,669
Alaska,Sitka,3.416595396,679
Alaska,Skagway,3.416595396,683
Alaska,Southeast Fairbanks,3.416595396,690
Alaska,Valdez-Cordova,3.416595396,710
Alaska,Wade Hampton,3.416595396,725
Alaska,Wrangell,3.416595396,733
Alaska,Yakutat,3.416595396,744
Alaska,Yukon-Koyukuk,3.416595396,753
Arizona,Apache,2.952442753,761
Arizona,Cochise,2.952442753,763
Arizona,Coconino,2.952442753,771
Arizona,Gila,2.952442753,787
Arizona,Graham,2.952442753,0
Arizona,Greenlee,2.952442753,1
Arizona,La Paz,2.952442753,3
Arizona,Maricopa,2.952442753,9
Arizona,Mohave,2.952442753,15
Arizona,Navajo,2.952442753,17
Arizona,Pima,2.952442753,21
Arizona,Pinal,2.952442753,26
Arizona,Santa Cruz,2.952442753,32
Arizona,Yavapai,2.952442753,35
Arizona,Yuma,2.952442753,42
Arkansas,Arkansas,3.19722278,46
Arkansas,Ashley,3.19722278,50
Arkansas,Baxter,3.19722278,54
Arkansas,Benton,3.19722278,59
Arkansas,Boone,3.19722278,62
Arkansas,Bradley,3.19722278,68
Arkansas,Calhoun,3.19722278,72
Arkansas,Carroll,3.19722278,74
Arkansas,Chicot,3.19722278,77
Arkansas,Clark,3.19722278,86
Arkansas,Clay,3.19722278,93
Arkansas,Cleburne,3.19722278,97
Arkansas,Cleveland,3.19722278,103
Arkansas,Columbia,3.19722278,107
Arkansas,Conway,3.19722278,109
Arkansas,Craighead,3.19722278,114
Arkansas,Crawford,3.19722278,115
Arkansas,Crittenden,3.19722278,119
Arkansas,Cross,3.19722278,124
Arkansas,Dallas,3.19722278,128
Arkansas,Desha,3.19722278,130
Arkansas,Drew,3.19722278,136
Arkansas,Faulkner,3.19722278,141
Arkansas,Franklin,3.19722278,144
Arkansas,Fulton,3.19722278,146
Arkansas,Garland,3.19722278,151
Arkansas,Grant,3.19722278,155
Arkansas,Greene,3.19722278,162
Arkansas,Hempstead,3.19722278,172
Arkansas,Hot Spring,3.19722278,184
Arkansas,Howard,3.19722278,191
Arkansas,Independence,3.19722278,200
Arkansas,Izard,3.19722278,203
Arkansas,Jackson,3.19722278,209
Arkansas,Jefferson,3.19722278,213
Arkansas,Johnson,3.19722278,218
Arkansas,Lafayette,3.19722278,222
Arkansas,Lawrence,3.19722278,230
Arkansas,Lee,3.19722278,237
Arkansas,Lincoln,3.19722278,244
Arkansas,Little River,3.19722278,251
Arkansas,Logan,3.19722278,258
Arkansas,Lonoke,3.19722278,268
Arkansas,Madison,3.19722278,277
Arkansas,Marion,3.19722278,282
Arkansas,Miller,3.19722278,287
Arkansas,Mississippi,3.19722278,294
Arkansas,Monroe,3.19722278,300
Arkansas,Montgomery,3.19722278,304
Arkansas,Nevada,3.19722278,307
Arkansas,Newton,3.19722278,311
Arkansas,Ouachita,3.19722278,316
Arkansas,Perry,3.19722278,318
Arkansas,Phillips,3.19722278,322
Arkansas,Pike,3.19722278,327
Arkansas,Poinsett,3.19722278,333
Arkansas,Polk,3.19722278,337
Arkansas,Pope,3.19722278,340
Arkansas,Prairie,3.19722278,345
Arkansas,Pulaski,3.19722278,350
Arkansas,Randolph,3.19722278,353
Arkansas,St. Francis,3.19722278,357
Arkansas,Saline,3.19722278,360
Arkansas,Scott,3.19722278,364
Arkansas,Searcy,3.19722278,372
Arkansas,Sebastian,3.19722278,378
Arkansas,Sevier,3.19722278,390
Arkansas,Sharp,3.19722278,394
Arkansas,Stone,3.19722278,399
Arkansas,Union,3.19722278,403
Arkansas,Van Buren,3.19722278,407
Arkansas,Washington,3.19722278,417
Arkansas,White,3.19722278,428
Arkansas,Woodruff,3.19722278,435
Arkansas,Yell,3.19722278,438
California,Alameda,3.872979346,457
California,Alpine,3.872979346,461
California,Amador,3.872979346,472
California,Butte,3.872979346,486
California,Calaveras,3.872979346,489
California,Colusa,3.872979346,497
California,Contra Costa,3.872979346,503
California,Del Norte,3.872979346,511
California,El Dorado,3.872979346,522
California,Fresno,3.872979346,527
California,Glenn,3.872979346,537
California,Humboldt,3.872979346,551
California,Imperial,3.872979346,557
California,Inyo,3.872979346,562
California,Kern,3.872979346,84
California,Kings,3.872979346,94
California,Lake,3.872979346,100
California,Lassen,3.872979346,104
California,Los Angeles,3.872979346,139
California,Madera,3.872979346,153
California,Marin,3.872979346,168
California,Mariposa,3.872979346,178
California,Mendocino,3.872979346,190
California,Merced,3.872979346,204
California,Modoc,3.872979346,207
California,Mono,3.872979346,214
California,Monterey,3.872979346,228
California,Napa,3.872979346,236
California,Nevada,3.872979346,243
California,Orange,3.872979346,257
California,Placer,3.872979346,266
California,Plumas,3.872979346,275
California,Riverside,3.872979346,281
California,Sacramento,3.872979346,289
California,San Benito,3.872979346,295
California,San Bernardino,3.872979346,302
California,San Diego,3.872979346,315
California,San Francisco,3.872979346,331
California,San Joaquin,3.872979346,339
California,San Luis Obispo,3.872979346,351
California,San Mateo,3.872979346,368
California,Santa Barbara,3.872979346,391
California,Santa Clara,3.872979346,406
California,Santa Cruz,3.872979346,415
California,Shasta,3.872979346,431
California,Sierra,3.872979346,439
California,Siskiyou,3.872979346,446
California,Solano,3.872979346,453
California,Sonoma,3.872979346,463
California,Stanislaus,3.872979346,473
California,Sutter,3.872979346,483
California,Tehama,3.872979346,492
California,Trinity,3.872979346,500
California,Tulare,3.872979346,501
California,Tuolumne,3.872979346,513
California,Ventura,3.872979346,521
California,Yolo,3.872979346,525
California,Yuba,3.872979346,541
Colorado,Adams,2.000812713,545
Colorado,Alamosa,2.000812713,549
Colorado,Arapahoe,2.000812713,558
Colorado,Archuleta,2.000812713,560
Colorado,Baca,2.000812713,563
Colorado,Bent,2.000812713,564
Colorado,Boulder,2.000812713,570
Colorado,Broomfield,2.000812713,577
Colorado,Chaffee,2.000812713,582
Colorado,Cheyenne,2.000812713,587
Colorado,Clear Creek,2.000812713,591
Colorado,Conejos,2.000812713,596
Colorado,Costilla,2.000812713,599
Colorado,Crowley,2.000812713,605
Colorado,Custer,2.000812713,610
Colorado,Delta,2.000812713,617
Colorado,Denver,2.000812713,628
Colorado,Dolores,2.000812713,636
Colorado,Douglas,2.000812713,644
Colorado,Eagle,2.000812713,648
Colorado,Elbert,2.000812713,655
Colorado,El Paso,2.000812713,661
Colorado,Fremont,2.000812713,664
Colorado,Garfield,2.000812713,667
Colorado,Gilpin,2.000812713,672
Colorado,Grand,2.000812713,677
Colorado,Gunnison,2.000812713,682
Colorado,Hinsdale,2.000812713,688
Colorado,Huerfano,2.000812713,693
Colorado,Jackson,2.000812713,701
Colorado,Jefferson,2.000812713,706
Colorado,Kiowa,2.000812713,711
Colorado,Kit Carson,2.000812713,716
Colorado,Lake,2.000812713,721
Colorado,La Plata,2.000812713,727
Colorado,Larimer,2.000812713,734
Colorado,Las Animas,2.000812713,741
Colorado,Lincoln,2.000812713,747
Colorado,Logan,2.000812713,749
