State,County,PCT_WIC17,FID,FID
Alabama,Autauga,2.543569611,5,5
Alabama,Baldwin,2.543569611,20,20
Alabama,Barbour,2.543569611,25,25
Alabama,Bibb,2.543569611,29,29
Alabama,Blount,2.543569611,33,33
Alabama,Bullock,2.543569611,37,37
Alabama,Butler,2.543569611,39,39
Alabama,Calhoun,2.543569611,43,43
Alabama,Chambers,2.543569611,47,47
Alabama,Cherokee,2.543569611,51,51
Alabama,Chilton,2.543569611,56,56
Alabama,Choctaw,2.543569611,58,58
Alabama,Clarke,2.543569611,61,61
Alabama,Clay,2.543569611,65,65
Alabama,Cleburne,2.543569611,67,67
Alabama,Coffee,2.543569611,70,70
Alabama,Colbert,2.543569611,73,73
Alabama,Conecuh,2.543569611,80,80
Alabama,Coosa,2.543569611,82,82
Alabama,Covington,2.543569611,88,88
Alabama,Crenshaw,2.543569611,90,90
Alabama,Cullman,2.543569611,98,98
Alabama,Dale,2.543569611,101,101
Alabama,Dallas,2.543569611,110,110
Alabama,DeKalb,2.543569611,112,112
Alabama,Elmore,2.543569611,118,118
Alabama,Escambia,2.543569611,122,122
Alabama,Etowah,2.543569611,131,131
Alabama,Fayette,2.543569611,134,134
Alabama,Franklin,2.543569611,138,138
Alabama,Geneva,2.543569611,140,140
Alabama,Greene,2.543569611,148,148
Alabama,Hale,2.543569611,150,150
Alabama,Henry,2.543569611,158,158
Alabama,Houston,2.543569611,160,160
Alabama,Jackson,2.543569611,164,164
Alabama,Jefferson,2.543569611,171,171
Alabama,Lamar,2.543569611,174,174
Alabama,Lauderdale,2.543569611,176,176
Alabama,Lawrence,2.543569611,181,181
Alabama,Lee,2.543569611,187,187
Alabama,Limestone,2.543569611,197,197
Alabama,Lowndes,2.543569611,205,205
Alabama,Macon,2.543569611,210,210
Alabama,Madison,2.543569611,217,217
Alabama,Marengo,2.543569611,220,220
Alabama,Marion,2.543569611,224,224
Alabama,Marshall,2.543569611,231,231
Alabama,Mobile,2.543569611,240,240
Alabama,Monroe,2.543569611,250,250
Alabama,Montgomery,2.543569611,256,256
Alabama,Morgan,2.543569611,262,262
Alabama,Perry,2.543569611,264,264
Alabama,Pickens,2.543569611,273,273
Alabama,Pike,2.543569611,279,279
Alabama,Randolph,2.543569611,284,284
Alabama,Russell,2.543569611,288,288
Alabama,St. Clair,2.543569611,292,292
Alabama,Shelby,2.543569611,298,298
Alabama,Sumter,2.543569611,303,303
Alabama,Talladega,2.543569611,306,306
Alabama,Tallapoosa,2.543569611,308,308
Alabama,Tuscaloosa,2.543569611,313,313
Alabama,Walker,2.543569611,317,317
Alabama,Washington,2.543569611,319,319
Alabama,Wilcox,2.543569611,326,326
Alabama,Winston,2.543569611,332,332
Alaska,Aleutians East,2.458541447,346,346
Alaska,Aleutians West,2.458541447,381,381
Alaska,Anchorage,2.458541447,400,400
Alaska,Bethel,2.458541447,411,411
Alaska,Bristol Bay,2.458541447,423,423
Alaska,Denali,2.458541447,426,426
Alaska,Dillingham,2.458541447,445,445
Alaska,Fairbanks North Star,2.458541447,454,454
Alaska,Haines,2.458541447,462,462
Alaska,Hoonah-Angoon,2.458541447,476,476
Alaska,Juneau,2.458541447,482,482
Alaska,Kenai Peninsula,2.458541447,494,494
Alaska,Ketchikan Gateway,2.458541447,514,514
Alaska,Kodiak Island,2.458541447,533,533
Alaska,Lake and Peninsula,2.458541447,544,544
Alaska,Matanuska-Susitna,2.458541447,556,556
Alaska,Nome,2.458541447,571,571
Alaska,North Slope,2.458541447,614,614
Alaska,Northwest Arctic,2.458541447,638,638
Alaska,Petersburg,2.458541447,645,645
Alaska,Prince of Wales-Hyder,2.458541447,669,669
Alaska,Sitka,2.458541447,679,679
Alaska,Skagway,2.458541447,683,683
Alaska,Southeast Fairbanks,2.458541447,690,690
Alaska,Valdez-Cordova,2.458541447,710,710
Alaska,Wade Hampton,2.458541447,725,725
Alaska,Wrangell,2.458541447,733,733
