PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
AS9721042,Fagalii Village Water System,Region 9,American Samoa,Community water system,259,Fagali'I Village,,4,423,9
AS9721040,Fagamalo Village Water System,Region 9,American Samoa,Community water system,55,Fagamalo,,3,423,9
AS9710601,Onenoa Village Water System,Region 9,American Samoa,Community water system,60,Onenoa,,3,422,7
AS9530447,Olosega ASG,Region 9,American Samoa,Community water system,206,Olosega,,11,108,4
AS9710652,Aoa ASG,Region 9,American Samoa,Community water system,507,Aoa,,7,17,2
AS9630243,Tau-Faleasao ASG,Region 9,American Samoa,Community water system,515,Ta'u & Faleasao,,17,31,4
AS9711356,Fagasa ASG,Region 9,American Samoa,Community water system,900,Fagasa,,7,5,2
AS9710855,Masefau ASG,Region 9,American Samoa,Community water system,692,"Masefau, Masausi & Sailele",,16,6,2
AS9711110,Fagasa (Upper) Village Water System,Region 9,American Samoa,Community water system,49,Fagasa (Upper),,3,20,0
AS9630145,Fitiuta ASG,Region 9,American Samoa,Community water system,358,Fitiuta,,8,24,2
AS9711948,Central ASG,Region 9,American Samoa,Community water system,55000,Tutuila,,184,57,4
AS9310751,Aunuu ASG,Region 9,American Samoa,Community water system,162,Aunu'u,,13,45,2
AS9430546,Ofu ASG,Region 9,American Samoa,Community water system,259,Ofu,,8,36,6
AS9710657,Vatia ASG,Region 9,American Samoa,Community water system,648,Vatia,,8,5,2
AS9710858,Afono ASG,Region 9,American Samoa,Community water system,187,Afono,,7,7,2
AS9900055,Pelene Supermarket - Pavaiai,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900058,Bell Mart - Faleniu,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900013,Young Mart - Utulei,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900016,Coconut Point Store - Nuuuli,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900053,California Store Inc. 1 (R ) - Leone,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900006,Lepua Mart 2 (R ),Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900019,Rainbow Laundromat - Nuuuli,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900048,JFL Malae Store - Vailoa,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900054,California Store Inc. 2 (L) - Leone,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900005,Lepua Mart 1 (L),Region 9,American Samoa,Transient non-community system,25,,,5,0,0
AS9900008,LYC Inc  II - Leloaloa,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900060,Tui's Market - Malaeimi,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900059,Samoa Tasty - Mapusaga,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900011,Aiga Mart-Pago,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900021,Daily Store - Nuuuli,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
AS9900051,Dudu Mart - Afao,Region 9,American Samoa,Transient non-community system,25,,,6,0,0
