PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
AZ0415373,PRICKLEY PEAR RV PARK,Region 9,Arizona,Transient non-community system,162,BOUSE,La Paz,5,11,11
AZ0407120,PIMA UTILITIES,Region 9,Arizona,Community water system,20000,CHANDLER,Maricopa,15,111,18
AZ0409024,PORTER MOUNTAIN DWID,Region 9,Arizona,Community water system,378,LAKESIDE,Navajo,7,138,17
AZ0409031,TAYLOR TOWN OF,Region 9,Arizona,Community water system,3060,TAYLOR,Navajo,18,127,18
AZ0413106,COTTONWOOD MUNICIPAL WATER VV6,Region 9,Arizona,Community water system,3668,COTTONWOOD,Yavapai,18,471,14
AZ0411708,ARIZONIAN TRAVEL TRAILER,Region 9,Arizona,Community water system,300,APACHE JUNCTION,Pinal,8,26,16
AZ0402049,CLEAR SPRINGS UTILITY WELL 6,Region 9,Arizona,Community water system,54,PEARCE,Cochise,7,55,12
AZ0411557,NEW SADDLEBACK VISTA DWID,Region 9,Arizona,Community water system,129,MARICOPA,Pinal,6,105,3
AZ0413025,COTTONWOOD MUNICIPAL WATER CW1,Region 9,Arizona,Community water system,11265,COTTONWOOD,Yavapai,33,173,13
AZ0413105,COTTONWOOD MUNICIPAL WATER VV3,Region 9,Arizona,Community water system,1689,COTTONWOOD,Yavapai,11,221,13
AZ0411017,FLORENCE WATER CO,Region 9,Arizona,Community water system,13733,FLORENCE,Pinal,16,209,16
AZ0410178,MIRABELL WATER CO,Region 9,Arizona,Community water system,130,TUCSON,Pima,6,103,17
AZ0402006,BOWIE WID,Region 9,Arizona,Community water system,650,BOWIE,Cochise,7,50,16
AZ0402011,SOUTHERN SUNRISE WC COCHISE HORSESHOE,Region 9,Arizona,Community water system,1985,SIERRA VISTA,Cochise,19,220,26
AZ0410058,HALCYON ACRES 2,Region 9,Arizona,Community water system,100,TUCSON,Pima,7,104,14
AZ0409086,SWEETWATER RANCH -- TOWN OF TAYLOR,Region 9,Arizona,Community water system,180,TAYLOR,Navajo,3,21,4
AZ0407072,TALIESIN WEST,Region 9,Arizona,Non-Transient non-community system,85,SCOTTSDALE,Maricopa,5,99,20
AZ0420613,HOT ROD WATER,Region 9,Arizona,Non-Transient non-community system,60,VAIL,Pima,4,0,1
AZ0402324,PJS FAMILY TRAVEL CENTER/STORE N MORE,Region 9,Arizona,Transient non-community system,100,BOWIE,Cochise,3,27,15
AZ0402101,SIERRA VISTA MH VILLAGE,Region 9,Arizona,Community water system,400,SIERRA VISTA,Cochise,6,93,7
