PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA3310081,PALM SPRINGS CREST,Region 9,California,Community water system,473,,Riverside,4,0,6
CA1400151,Gus  Water,Region 9,California,Transient non-community system,100,,Inyo,3,0,2
CA1000611,KEN'S CLOTHING AND GIFTS,Region 9,California,Transient non-community system,45,,Fresno,1,0,0
CA3210002,PLUMAS COUNTY FLOOD CONTROL,Region 9,California,Community water system,100,,Plumas,7,0,10
CA0900536,TAHOE CHALET INN,Region 9,California,Transient non-community system,100,,El Dorado,4,15,0
CA1000214,HARRIS RANCH,Region 9,California,Non-Transient non-community system,275,,Fresno,5,34,11
CA0900641,FALLEN LEAF MUTUAL WATER CO,Region 9,California,Transient non-community system,100,,El Dorado,4,25,6
CA1900158,LITTLE BALDY,Region 9,California,Community water system,76,,Los Angeles,7,6,10
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",Region 9,California,Community water system,16223,SANTA FE SPRINGS,,27,1,15
CA0900560,FLL MUTUAL,Region 9,California,Transient non-community system,100,,El Dorado,4,26,1
CA3700923,LAKE MORENA OAK SHORES MW CO.,Region 9,California,Community water system,700,,San Diego,16,47,9
CA3400156,SOUTHWEST TRACT W M D [SWS],Region 9,California,Community water system,150,,Sacramento,2,0,13
CA4000217,CROSSROADS/ HOUSE OF PRAYER,Region 9,California,Transient non-community system,30,,San Luis Obispo,3,3,9
CA3600767,CAMP TAHQUITZ,Region 9,California,Transient non-community system,100,,San Bernardino,9,8,20
CA1700510,JAGO BAY MUTUAL WATER COMPANY,Region 9,California,Transient non-community system,25,,Lake,4,16,1
CA3310006,"BANNING, CITY OF",Region 9,California,Community water system,29603,BANNING,,77,8,8
CA3600368,EMERALD COVE RESORT,Region 9,California,Transient non-community system,1000,,San Bernardino,3,24,13
CA3600377,ECHO LODGE RESORT,Region 9,California,Transient non-community system,500,,San Bernardino,3,3,13
CA2900570,THOMPSON WATER SYSTEM,Region 9,California,Transient non-community system,100,,Nevada,4,7,11
CA3601092,MID HILLS,Region 9,California,Transient non-community system,25,,San Bernardino,1,4,0
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Region 9,California,Community water system,10667,,San Bernardino,20,2,14
CA1502619,SOUTH DESERT MUTUAL WATER COMPANY,Region 9,California,Community water system,27,,Kern,2,16,1
CA3200134,BLAIRSDEN WATER USERS ASSOC.,Region 9,California,Community water system,200,,Plumas,3,32,7
CA3210001,IVCSD-GREENVILLE,Region 9,California,Community water system,1891,,Plumas,6,26,19
CA3310063,COACHELLA VWD: I.D. NO. 10,Region 9,California,Community water system,8428,,Riverside,15,1,2
CA2600543,TOPAZ LAKE MOBILE HOME PARK,Region 9,California,Transient non-community system,25,,Mono,2,27,3
CA2600565,SONORA BRIDGE CAMPGROUND,Region 9,California,Transient non-community system,50,,Mono,2,3,1
CA5403085,USFS-BLACKROCK TRAILHEAD,Region 9,California,Transient non-community system,30,,Tulare,2,0,3
CA5700815,ZAMORA MINI MART,Region 9,California,Transient non-community system,30,,Yolo,2,2,6
CA4600005,"CAMP LEONARD, SIERRA NV F.C.",Region 9,California,Transient non-community system,40,,Sierra,2,1,3
CA5410503,NPS-WOLVERTON,Region 9,California,Community water system,5,,Tulare,8,41,7
CA4900695,NORTHWEST PREP,Region 9,California,Non-Transient non-community system,325,,Sonoma,4,1,2
CA4900714,LIBERTY SCHOOL,Region 9,California,Non-Transient non-community system,225,,Sonoma,5,2,4
CA5710004,KNIGHTS LANDING SVC. DIST.,Region 9,California,Community water system,1300,,Yolo,10,5,5
CA5403030,DRY CREEK DELI,Region 9,California,Transient non-community system,50,,Tulare,4,22,8
CA5700814,95 FOODMART #3,Region 9,California,Transient non-community system,60,,Yolo,2,0,4
CA3303010,Thousand Trails Idyllwild - MHC,Region 9,California,Transient non-community system,35,,Riverside,4,2,5
CA2300820,EMPIRE REST STOP,Region 9,California,Transient non-community system,300,,Mendocino,5,0,2
CA0202529,HOPE VALLEY CG,Region 9,California,Transient non-community system,25,,Alpine,3,1,0
CA0706014,ANCHOR MARINA,Region 9,California,Transient non-community system,35,,Contra Costa,2,18,16
CA2600610,PINE GROVE CAMPGROUND,Region 9,California,Transient non-community system,30,,Mono,3,4,4
CA3600365,RIVERLAND RESORT,Region 9,California,Transient non-community system,1000,,San Bernardino,2,0,12
CA3601091,HOLE-IN-THE-WALL-CAMPGROUND,Region 9,California,Transient non-community system,25,,San Bernardino,1,4,0
CA3610008,BIG BEAR CITY CSD,Region 9,California,Community water system,10000,BIG BEAR CITY,,37,1,5
CA2902367,UNITED TRAILS RESORT,Region 9,California,Transient non-community system,100,,Nevada,2,2,8
CA2600513,WALKER RIVER RV & ESPRESSO BAR,Region 9,California,Transient non-community system,25,,Mono,3,17,8
CA4901028,GLORIA FERRER CAVES,Region 9,California,Non-Transient non-community system,80,,Sonoma,5,3,2
CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,Region 9,California,Community water system,29720,,San Mateo,6,3,11
CA4500080,LAKESHORE VILLA RV PARK,Region 9,California,Transient non-community system,55,,Shasta,2,7,5
CA2600559,GREEN CREEK CAMPGROUND,Region 9,California,Transient non-community system,75,,Mono,2,10,1
CA4500017,MOOSE CAMP,Region 9,California,Transient non-community system,50,,Shasta,4,27,4
CA4500007,VERDE VALE WATER COMPANY,Region 9,California,Community water system,450,,Shasta,8,7,9
CA3303064,Palm Gas Mart,Region 9,California,Transient non-community system,100,,Riverside,2,3,4
CA1300635,CALENERGY (ADMINISTRATIVE),Region 9,California,Non-Transient non-community system,55,,Imperial,4,0,16
CA1300642,CALENERGY (ENG. & TECH.),Region 9,California,Non-Transient non-community system,45,,Imperial,3,0,13
CA5410026,POPLAR COMM SERVICE DIST,Region 9,California,Community water system,2200,,Tulare,16,9,4
CA5500148,CHINESE CAMP SCHOOL,Region 9,California,Non-Transient non-community system,39,,Tuolumne,4,5,13
CA3901295,STOCKTON LIVESTOCK AUCTION,Region 9,California,Transient non-community system,50,,,2,2,9
CA5200551,WOODSON BRIDGE MHP,Region 9,California,Community water system,120,,Tehama,6,29,5
CA5400972,OUTSIDE CREEK SCHOOL,Region 9,California,Non-Transient non-community system,125,,Tulare,2,10,11
CA5100176,CALVARY CHRISTIAN CENTER,Region 9,California,Non-Transient non-community system,245,,Sutter,2,26,8
CA5010033,"CITY OF MODESTO, DE GRAYSON",Region 9,California,Community water system,1219,MODESTO,,10,6,11
CA3303092,Mecca Arco Travel Center,Region 9,California,Non-Transient non-community system,47,,Riverside,3,4,2
CA3901399,CHURCH OF JESUS CHRIST OF LDS,Region 9,California,Transient non-community system,25,,San Joaquin,2,1,23
CA3901421,VIEJO LTD,Region 9,California,Non-Transient non-community system,163,,San Joaquin,2,7,26
CA0900220,"GRACE FOUNDATION, THE",Region 9,California,Transient non-community system,100,,El Dorado,1,3,1
CA1000569,HIGH SIERRA CAMP,Region 9,California,Transient non-community system,25,,Fresno,1,2,1
CA1510802,KERN VALLEY STATE PRISON,Region 9,California,Community water system,6100,,Kern,5,9,2
CA3303104,Jack In The Box #5328,Region 9,California,Transient non-community system,100,,Riverside,3,0,2
CA1300624,GORDON S WELL #1,Region 9,California,Transient non-community system,50,,Imperial,2,1,6
