PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CO0135838,WELLINGTON TOWN OF,Region 8,Colorado,Community water system,7450,,Larimer,15,2,6
CO0234800,SUNDOWN ACRES RV PARK,Region 8,Colorado,Transient non-community system,65,,La Plata,3,3,2
CO0240400,FREEMONS GUEST RANCH,Region 8,Colorado,Transient non-community system,65,,Mineral,3,11,5
CO0126618,PONDEROSA PARK ASSOC,Region 8,Colorado,Community water system,25,,Gunnison,5,5,3
CO0234709,PURA VIDA CAFE,Region 8,Colorado,Transient non-community system,112,,La Plata,3,4,1
CO0136249,EL MORO HOEHNE PIPELINE ASSOC,Region 8,Colorado,Community water system,655,,Las Animas,2,4,2
CO0120184,COYOTE HILLS WS,Region 8,Colorado,Community water system,84,,Elbert,5,13,2
CO0222233,ECHO CANYON RIVER EXPEDITION,Region 8,Colorado,Transient non-community system,200,,Fremont,3,1,1
CO0149621,PRINCE CREEK HOA,Region 8,Colorado,Community water system,50,,Pitkin,7,182,5
CO0235138,BEAVER MEADOWS RESORT,Region 8,Colorado,Transient non-community system,202,,Larimer,7,7,6
CO0235318,GLEN HAVEN GENERAL STORE,Region 8,Colorado,Transient non-community system,50,,Larimer,5,0,1
CO0101115,NORTHGLENN CITY OF,Region 8,Colorado,Community water system,35357,,Adams,9,7,7
CO0253390,MALT SHOPPE THE,Region 8,Colorado,Transient non-community system,107,,Rio Grande,3,27,6
CO0257050,TELLURIDE REGIONAL AIRPORT,Region 8,Colorado,Transient non-community system,467,,San Miguel,5,6,2
CO0159119,ALPENSEE WD,Region 8,Colorado,Non-Transient non-community system,84,,Summit,5,0,0
CO0159060,HEENEY WATER INC,Region 8,Colorado,Community water system,250,,Summit,3,6,6
CO0262687,ROCKY MOUNTAIN ENERGY CENTER,Region 8,Colorado,Non-Transient non-community system,39,,Weld,4,0,1
CO0203008,CDOT DEER TRAIL REST AREA,Region 8,Colorado,Transient non-community system,354,,Arapahoe,4,9,4
CO0262735,TAGAWA GREENHOUSES INC,Region 8,Colorado,Non-Transient non-community system,250,,Weld,3,20,9
CO0115152,BONE MESA WD,Region 8,Colorado,Community water system,400,,Delta,11,34,9
CO0149188,CRYSTAL RIVER COUNTRY ESTATES WATER CO,Region 8,Colorado,Community water system,44,,Pitkin,4,45,5
CO0234600,WILLIAMS FIELD SERVICES,Region 8,Colorado,Non-Transient non-community system,62,,La Plata,6,16,3
CO0233300,CLIMAX CLIMAX MINE,Region 8,Colorado,Non-Transient non-community system,40,,Lake,18,17,4
CO0215552,NORTH FORK WATER SERVICE,Region 8,Colorado,Transient non-community system,100,,Delta,7,4,2
CO0106200,HASTY WC,Region 8,Colorado,Community water system,323,,Bent,12,15,6
CO0235667,RAWAH RANCH,Region 8,Colorado,Transient non-community system,49,,Larimer,5,1,8
CO0221760,TOTAL 4136,Region 8,Colorado,Transient non-community system,1300,,El Paso,3,20,2
CO0121245,SUNSET MD,Region 8,Colorado,Community water system,150,,El Paso,6,10,3
CO0234565,NEEDLES COUNTRY SQUARE LLC,Region 8,Colorado,Transient non-community system,145,,La Plata,3,7,3
CO0249133,COMPASS  ASPEN COMMUNITY SCHOOL,Region 8,Colorado,Non-Transient non-community system,362,,Pitkin,6,57,5
CO0235189,CRYSTAL LAKES 11TH FILING,Region 8,Colorado,Transient non-community system,32,,Larimer,9,1,1
CO0130015,BUFFALO CREEK WD,Region 8,Colorado,Community water system,125,,Jefferson,7,9,7
CO0121575,PALMER LAKE TOWN OF,Region 8,Colorado,Community water system,2450,,El Paso,10,32,6
CO0215288,FROST RVP,Region 8,Colorado,Transient non-community system,116,,Delta,4,5,5
CO0207318,GOLD HILL ELEM SCHOOL,Region 8,Colorado,Non-Transient non-community system,35,,Boulder,7,6,5
CO0235729,SYLVAN DALE RANCH,Region 8,Colorado,Transient non-community system,47,,Larimer,5,13,9
CO0135143,BIG ELK MEADOWS WA,Region 8,Colorado,Community water system,351,,Larimer,11,45,5
CO0230190,WONDERVU CONFERENCE AND RETREAT CENTER,Region 8,Colorado,Transient non-community system,228,,Jefferson,7,5,10
CO0262508,SPARBOE FARMS OF COLORADO,Region 8,Colorado,Non-Transient non-community system,105,,Weld,5,12,9
CO0159050,FARMERS KORNER MHP,Region 8,Colorado,Community water system,105,,Summit,5,165,7
CO0116552,NORTH LINCOLN WSD,Region 8,Colorado,Community water system,1300,,Adams,2,0,4
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Region 8,Colorado,Non-Transient non-community system,425,,El Paso,5,18,4
CO0240550,MOON VALLEY RANCH RESORT,Region 8,Colorado,Transient non-community system,53,,Mineral,4,17,5
