PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CT0341124,TRIANGLES CAFE,Region 1,Connecticut,Transient non-community system,25,DANBURY,Fairfield,3,6,2
CT0560214,SALMON BROOK VETERINARY HOSPITAL,Region 1,Connecticut,Transient non-community system,25,GRANBY,Hartford,3,2,2
CT0920044,CAMP SEQUASSEN (FRIENDSHIP - WELL #3),Region 1,Connecticut,Transient non-community system,25,NEW HARTFORD,Litchfield,3,2,2
CT0920104,TOWN OF NEW HARTFORD - BROWN'S CORNER,Region 1,Connecticut,Transient non-community system,200,NEW HARTFORD,Litchfield,3,35,3
CT0110041,ORCHARD HILL ASSOCIATION,Region 1,Connecticut,Community water system,30,BLOOMFIELD,Hartford,4,22,4
CT0230044,CANTON CENTER GENERAL STORE,Region 1,Connecticut,Transient non-community system,36,CANTON,Hartford,3,10,3
CT0421011,COBALT LODGE HEALTHCARE & REHAB CENTER,Region 1,Connecticut,Community water system,130,EAST HAMPTON,Middlesex,6,39,3
CT0429023,CL&P EAST HAMPTON SERVICE CTR,Region 1,Connecticut,Non-Transient non-community system,80,EAST HAMPTON,Middlesex,6,2,2
CT0560132,FIRST CONGREGATIONAL CHURCH OF GRANBY,Region 1,Connecticut,Non-Transient non-community system,40,GRANBY,Hartford,5,31,2
CT0301152,EASTCONN COLUMBIA,Region 1,Connecticut,Non-Transient non-community system,60,COLUMBIA,Tolland,3,45,3
CT1120344,SHARPE HILL VINEYARD,Region 1,Connecticut,Transient non-community system,37,POMFRET,Windham,3,0,1
CT1340194,"CHELLES 50S CAR HOP DINER, LLC",Region 1,Connecticut,Transient non-community system,25,STAFFORD,Tolland,3,3,2
CT0900143,ST LUKES FOUNDATION - ART BUILDING,Region 1,Connecticut,Non-Transient non-community system,500,NEW CANAAN,Fairfield,5,31,2
CT1200062,"ROXBURY MARKET PROPERTIES, LLC",Region 1,Connecticut,Transient non-community system,49,ROXBURY,Litchfield,4,32,2
CT0850084,LAKE ZOAR DRIVE IN,Region 1,Connecticut,Transient non-community system,25,MONROE,Fairfield,3,4,2
CT0050184,SWEET PEAS RESTAURANT,Region 1,Connecticut,Transient non-community system,25,BARKHAMSTED,Litchfield,3,0,2
CT0920084,CAMP SEQUASSEN (NORTH-WELL #5),Region 1,Connecticut,Transient non-community system,25,NEW HARTFORD,Litchfield,3,9,2
CT0290044,TOWN HALL/SENIOR CENTER/GENERAL STORE,Region 1,Connecticut,Transient non-community system,25,COLEBROOK,Litchfield,3,3,2
CT0420134,DB MART (FORMERLY DAIRY MART),Region 1,Connecticut,Transient non-community system,25,EAST HAMPTON,Middlesex,3,3,3
CT1210164,WITCH MEADOW LAKE CAMPGROUND - WELL #3,Region 1,Connecticut,Transient non-community system,25,SALEM,New London,3,0,2
CT0570094,JEHOVAH WITNESSES GREENWICH CONGREGATION,Region 1,Connecticut,Transient non-community system,25,GREENWICH,Fairfield,3,5,1
CT1120234,THE VANILLA BEAN CAFE,Region 1,Connecticut,Transient non-community system,47,POMFRET,Windham,3,0,2
CT1210154,WITCH MEADOW LAKE CAMPGROUND - WELL #2,Region 1,Connecticut,Transient non-community system,25,SALEM,New London,3,0,2
CT1050394,"163 BOSTON POST ROAD, LLC - OLD LYME",Region 1,Connecticut,Transient non-community system,25,OLD LYME,New London,3,8,2
CT0081124,VETERANS MEMORIAL PARK PAVILLION,Region 1,Connecticut,Transient non-community system,25,BETHANY,New Haven,3,0,1
CT1311044,PANTHORN PARK UPPER RESTROOM,Region 1,Connecticut,Transient non-community system,25,SOUTHINGTON,Hartford,3,11,2
CT1360154,ONECO MARKET,Region 1,Connecticut,Transient non-community system,25,STERLING,Windham,3,12,4
CT0900133,ST LUKES SCHOOL ATHLETIC CENTER,Region 1,Connecticut,Non-Transient non-community system,500,NEW CANAAN,Fairfield,5,0,2
CT0420644,BROOKS PLAZA,Region 1,Connecticut,Non-Transient non-community system,67,EAST HAMPTON,Middlesex,3,52,2
CT0080064,BETHANY TOWN CENTER,Region 1,Connecticut,Non-Transient non-community system,750,BETHANY,New Haven,10,3,3
CT0010084,7-ELEVEN #32523,Region 1,Connecticut,Transient non-community system,25,ANDOVER,Tolland,5,5,2
CT0081104,BETHANY VOLUNTEER FIRE DEPT HQ,Region 1,Connecticut,Transient non-community system,25,BETHANY,New Haven,4,2,2
CT0860031,"OAKDALE HEIGHTS ASSOCIATION, INC",Region 1,Connecticut,Community water system,876,MONTVILLE,New London,12,15,3
CT1400054,EAGLE ROCK CONG. CHURCH,Region 1,Connecticut,Transient non-community system,25,THOMASTON,Litchfield,3,2,1
CT1091102,HANSON PIPE AND PRECAST,Region 1,Connecticut,Non-Transient non-community system,30,PLAINFIELD,Windham,7,25,2
CT0631213,EASTCONN CENTRAL ADMINISTRATION,Region 1,Connecticut,Non-Transient non-community system,65,HAMPTON,Windham,4,5,2
CT0590011,GROTON UTILITIES,Region 1,Connecticut,Community water system,30200,"GROTON, LEDYARD",New London,27,0,5
CT1051011,BOXWOOD CONDOMINIUM ASSOCIATION,Region 1,Connecticut,Community water system,28,OLD LYME,New London,4,79,3
CT0779074,MANCHESTER CONG. OF JEHOVAHS WITNESSES,Region 1,Connecticut,Transient non-community system,222,MANCHESTER,Hartford,4,0,1
CT0120374,UNITED METHODIST CHURCH,Region 1,Connecticut,Transient non-community system,35,BOLTON,Tolland,3,0,3
CT0220034,FIRST CONGREGATIONAL CHURCH,Region 1,Connecticut,Transient non-community system,25,CANTERBURY,Windham,5,6,1
CT0840054,PICKLES COUNTRY STORE & DELI,Region 1,Connecticut,Transient non-community system,25,MILFORD,New Haven,5,21,2
CT0030114,BRIALEE RV & TENT PARK,Region 1,Connecticut,Non-Transient non-community system,100,ASHFORD,Windham,6,2,2
