PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
DE0002942,WHITE CLAY CREEK STATE PARK (SYSTEM 2),Region 3,Delaware,Transient non-community system,25,NEWARK,New Castle,5,10,1
DE0000472,BRANDYWINE CREEK STATE PARK,Region 3,Delaware,Transient non-community system,200,WINTERTHUR,New Castle,4,8,1
DE0000023,ST ANDREWS SCHOOL I,Region 3,Delaware,Non-Transient non-community system,200,MIDDLETOWN,New Castle,7,6,4
DE00A0809,SIGNALS/ RT 13 OPERATIONS,Region 3,Delaware,Transient non-community system,100,SMYRNA,New Castle,3,8,1
DE0000840,ANGOLA BEACH ESTS.,Region 3,Delaware,Community water system,1275,LEWES,Sussex,8,4,9
DE0001942,WHITE CLAY CREEK STATE PARK (SYSTEM 1),Region 3,Delaware,Transient non-community system,100,NEWARK,New Castle,4,10,1
DE0002023,ST ANDREWS SCHOOL II,Region 3,Delaware,Non-Transient non-community system,140,MIDDLETOWN,New Castle,7,10,1
DE0000663,WILMINGTON WATER DEPARTMENT,Region 3,Delaware,Community water system,140000,WILMINGTON,New Castle,37,4,9
DE0000523,"HOLIDAY ACRES, LLC",Region 3,Delaware,Community water system,132,DAGSBORO,Sussex,5,51,8
DE0000068,KIMOTHYS PLACE,Region 3,Delaware,Transient non-community system,50,TOWNSEND,New Castle,4,7,3
DE0000492,STRIMELS TRAILER PARK,Region 3,Delaware,Community water system,40,CHESWOLD,Kent,5,7,9
DE00A0775,KRISTINS CARE AND LEARNING CENTER,Region 3,Delaware,Non-Transient non-community system,44,NASSAU,Sussex,3,1,1
DE0000470,DELAWARE TURNPIKE ADMINISTRATION,Region 3,Delaware,Non-Transient non-community system,80,NEWARK,New Castle,7,8,1
DE00A0312,SLAUGHTER NECK COMMUNITY ACTION AGENCY,Region 3,Delaware,Non-Transient non-community system,150,LINCOLN,Sussex,7,7,1
DE0000342,BLUE COAST,Region 3,Delaware,Transient non-community system,200,BETHANY BEACH,Sussex,6,7,1
DE0001589,HIGH POINT ASSOCIATES,Region 3,Delaware,Community water system,1230,FREDERICA,Kent,16,11,12
