PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
104121120,CREEKSIDE DEVELOPMENT,Region 10,EPA Region 10,Non-Transient non-community system,9200,ROSEBURG,,12,65,2
105300094,LUCKY EAGLE CASINO,Region 10,EPA Region 10,Non-Transient non-community system,3150,OAKVILLE,,6,57,2
105300032,SWINOMISH,Region 10,EPA Region 10,Community water system,925,LACONNER,,11,6,5
105338108,NORTHERN LIGHTS CASINO,Region 10,EPA Region 10,Non-Transient non-community system,2400,LA CONNER,,2,0,0
101600010,BIG SKY N. SUBDIVISION,Region 10,EPA Region 10,Community water system,300,POCATELLO,,8,73,2
101600005,BANNOCK PEAK STORE,Region 10,EPA Region 10,Transient non-community system,309,FORT HALL,,5,22,2
105300113,END OF TRAIL II,Region 10,EPA Region 10,Transient non-community system,400,OAKVILLE,,6,7,2
104101101,SIDWALTER,Region 10,EPA Region 10,Community water system,130,WARM SPRINGS,,5,15,2
101600016,CLEARWATER RIVER CASINO & RESORT,Region 10,EPA Region 10,Non-Transient non-community system,650,LEWISTON,,5,147,2
105300091,PORT SUSAN CAMP CLUB #2,Region 10,EPA Region 10,Community water system,900,MARYSVILLE,,7,97,3
105300116,QUIL CEDA VILLAGE,Region 10,EPA Region 10,Non-Transient non-community system,30000,TULALIP,,6,41,2
105300153,LEGENDS CASINO,Region 10,EPA Region 10,Non-Transient non-community system,2144,,,6,100,0
105338102,PARKER,Region 10,EPA Region 10,Community water system,300,,,5,2,0
105300092,PORT SUSAN CAMP CLUB #3,Region 10,EPA Region 10,Community water system,700,MARYSVILLE,,7,161,3
105300090,PORT SUSAN CAMP CLUB #1,Region 10,EPA Region 10,Community water system,900,MARYSVILLE,,8,158,3
105300108,7 CEDARS CASINO,Region 10,EPA Region 10,Non-Transient non-community system,1200,SEQUIM,,6,37,2
105338106,DA STOR AT LILLIE'S CORNER,Region 10,EPA Region 10,Transient non-community system,305,WAPATO,,4,1,1
104101247,WARM SPRINGS WATER TREATMENT PLANT,Region 10,EPA Region 10,Community water system,3800,WARM SPRINGS,,8,70,1
104101102,SIMNASHO SCHOOLIE,Region 10,EPA Region 10,Community water system,350,WARM SPRINGS,,12,94,2
104100002,KLA-MO-YA CASINO,Region 10,EPA Region 10,Non-Transient non-community system,1000,CHILLOQUN,,6,101,2
105300149,SATUS LONGHOUSE,Region 10,EPA Region 10,Transient non-community system,309,TOPPENISH,,6,7,2
104101100,BURNS PAIUTE,Region 10,EPA Region 10,Community water system,155,BURNS,,6,140,3
105300073,B & D MOBILE COURT,Region 10,EPA Region 10,Community water system,100,ZILLAH,,6,82,3
105311103,MARTHA BOARDMAN,Region 10,EPA Region 10,Community water system,235,WELLPINIT,,10,150,5
105300058,RESERVATION ROAD,Region 10,EPA Region 10,Community water system,65,WELLPINIT,,7,125,3
105300134,CHEWELAH CASINO,Region 10,EPA Region 10,Non-Transient non-community system,400,CHEWELAH,,7,625,3
105300048,UPPER SKAGIT,Region 10,EPA Region 10,Community water system,250,SEDRO WOOLEY,,7,19,4
105338100,FORD-NEWHOUSE LANE,Region 10,EPA Region 10,Community water system,140,WELLPINIT,,8,139,3
105300021,MCCOY LAKE,Region 10,EPA Region 10,Community water system,320,WELLPINIT,,17,244,4
101600009,POCATELLO AIRPORT,Region 10,EPA Region 10,Non-Transient non-community system,900,POCATELLO,,5,153,3
105300012,MAKAH,Region 10,EPA Region 10,Community water system,1800,NEAH BAY,,16,143,3
105300022,WELLPINIT,Region 10,EPA Region 10,Community water system,500,WELLPINIT,,15,267,4
105300083,BLYN,Region 10,EPA Region 10,Community water system,100,SEQUIM,,5,24,2
105300123,TWO RIVERS CASINO,Region 10,EPA Region 10,Non-Transient non-community system,400,WELLPINIT,,7,101,3
104101132,BIA CHEMAWA INDIAN SCHOOL,Region 10,EPA Region 10,Community water system,1000,SALEM,,5,30,2
105300024,GEORGEVILLE,Region 10,EPA Region 10,Community water system,80,KLICKITAT,,5,96,4
105300157,SPOKO FUEL AIRWAY HEIGHTS,Region 10,EPA Region 10,Transient non-community system,508,,,6,1,2
105300025,TRIBAL/BIA COMPLEX,Region 10,EPA Region 10,Community water system,2000,WAPATO,,7,117,4
101600015,COEUR D'ALENE CASINO,Region 10,EPA Region 10,Non-Transient non-community system,1500,WORLEY,,10,38,2
105300109,BEACH,Region 10,EPA Region 10,Community water system,40,SEQUIM,,7,16,3
105300014,NISQUALLY,Region 10,EPA Region 10,Community water system,3200,OLYMPIA,,15,212,2
105300026,WHITE SWAN,Region 10,EPA Region 10,Community water system,2040,WAPATO,,13,262,3
100211202,METLAKATLA,Region 10,EPA Region 10,Community water system,1419,METLAKATLA,,10,162,3
105300139,WAPATO HEAD START,Region 10,EPA Region 10,Non-Transient non-community system,110,TOPPENISH,,5,348,1
105300104,SOUTH WHITE SWAN,Region 10,EPA Region 10,Community water system,90,WAPATO,,7,130,1
105300013,MUCKLESHOOT,Region 10,EPA Region 10,Community water system,2600,AUBURN,,14,44,3
105300130,DUNGENESS RIVER AUDUBON CENTER,Region 10,EPA Region 10,Transient non-community system,75,SEQUIM,,5,1,1
105300015,PORT GAMBLE S'KLALLAM,Region 10,EPA Region 10,Community water system,600,PORT GAMBLE,,13,77,2
105300002,LUMMI TRIBAL WATER DISTRICT,Region 10,EPA Region 10,Community water system,3669,BELLINGHAM,,39,100,4
104101133,BIA CELILO VILLAGE,Region 10,EPA Region 10,Community water system,75,,,9,147,2
105300089,CUYAMACA,Region 10,EPA Region 10,Community water system,300,OLYMPIA,,6,177,2
104101136,SILETZ,Region 10,EPA Region 10,Community water system,306,SILETZ,,6,15,2
105311105,ANGEL OF THE WINDS,Region 10,EPA Region 10,Non-Transient non-community system,2303,ARLINGTON,,10,177,2
104121121,OAK FLATS,Region 10,EPA Region 10,Community water system,140,SILETZ,,5,1,2
105300115,SEATON GROVE,Region 10,EPA Region 10,Community water system,100,NESPELEM,,7,106,3
105300047,ROCKY RIVER ROAD COMMUNITY SITE,Region 10,EPA Region 10,Community water system,135,NESPELEM,,6,130,3
105300051,WOLF POINT,Region 10,EPA Region 10,Community water system,120,WAPATO,,5,50,2
105300008,OMAK,Region 10,EPA Region 10,Community water system,380,NESPELEM,,7,187,3
105300042,ADAMS VIEW,Region 10,EPA Region 10,Community water system,250,WAPATO,,9,33,3
105300006,KELLER,Region 10,EPA Region 10,Community water system,340,MALLOTT,,7,186,3
105300007,NESPELEM AGENCY,Region 10,EPA Region 10,Community water system,445,NESPELEM,,14,108,2
105300033,MALOTT,Region 10,EPA Region 10,Community water system,95,NESPELEM,,7,185,3
105300010,TWIN LAKES HUD,Region 10,EPA Region 10,Community water system,38,NESPELEM,,4,186,3
105318112,WA HE LUT INDIAN SCHOOL,Region 10,EPA Region 10,Non-Transient non-community system,155,OLYMPIA,,6,64,3
105300129,MASI SHOP,Region 10,EPA Region 10,Transient non-community system,345,SUQUAMISH,,5,11,2
105300144,MADISON ESTATES,Region 10,EPA Region 10,Community water system,86,TULALIP,,15,129,1
105300155,TULARE ESTATES,Region 10,EPA Region 10,Community water system,35,,,6,207,1
105300135,DELIA JIMICUM WATER DISTRICT,Region 10,EPA Region 10,Community water system,35,MARYSVILLE,,9,169,2
105300098,TULALIP WATER DIST #2 (JOHN SAM),Region 10,EPA Region 10,Community water system,168,MARYSVILLE,,12,185,1
105300080,CLEARWATER CASINO,Region 10,EPA Region 10,Non-Transient non-community system,900,SUQUAMISH,,5,242,3
105300027,CHEHALIS TRIBAL HOUSING,Region 10,EPA Region 10,Community water system,350,OAKVILLE,,8,199,2
105300140,ASPEN,Region 10,EPA Region 10,Community water system,592,TULALIP,,7,13,2
105300150,MISSION HIGHLANDS,Region 10,EPA Region 10,Community water system,88,,,4,225,1
105300003,TULALIP WATER DIST #1,Region 10,EPA Region 10,Community water system,5229,MARYSVILLE,,18,216,2
105311106,SAUK-SUIATTLE,Region 10,EPA Region 10,Community water system,80,DARRINGTON,,7,29,2
105300096,SUQUAMISH TRIBAL CENTER,Region 10,EPA Region 10,Community water system,110,SUQUAMISH,,6,29,2
105300119,QUINAULT LAKE SCHOOL DIST. 97,Region 10,EPA Region 10,Non-Transient non-community system,201,AMANDA PARK,,9,183,3
105300019,SHOALWATER BAY,Region 10,EPA Region 10,Community water system,600,TOKELAND,,9,39,2
101600001,DESMET,Region 10,EPA Region 10,Community water system,300,PLUMMER,,6,99,3
101600002,COEUR D'ALENE SUB-AGENCY,Region 10,EPA Region 10,Community water system,50,PLUMMER,,9,102,3
101612110,PLUMMER TRIBAL FACILITIES,Region 10,EPA Region 10,Community water system,260,PLUMMER,,5,261,2
105300121,RAINBOW BEACH RESORT,Region 10,EPA Region 10,Transient non-community system,300,COULEE DAM,,8,27,2
105300146,SQUAXIN CONSOLIDATED,Region 10,EPA Region 10,Community water system,1200,SHELTON,,24,172,2
105300031,SACKMAN,Region 10,EPA Region 10,Community water system,700,SUQUAMISH,,4,35,2
105300085,INDIANOLA,Region 10,EPA Region 10,Community water system,90,SUQUAMISH,,4,83,2
105314113,GEORGE,Region 10,EPA Region 10,Community water system,75,POULSBO,,5,104,2
105300087,VALLEY/TRIBAL CENTER,Region 10,EPA Region 10,Community water system,511,PORT ANGELES,,5,58,2
101612113,SAGE HILL TRAVEL CENTER,Region 10,EPA Region 10,Transient non-community system,515,,,6,3,2
101612114,ARROWHEAD RV,Region 10,EPA Region 10,Transient non-community system,15,,,5,5,2
105311107,HEIGHTS,Region 10,EPA Region 10,Community water system,225,PORT ANGELES,,5,54,2
105300086,OLYMPIC PARK TRAILER CT,Region 10,EPA Region 10,Community water system,50,AMANDA PARK,,7,147,3
105300084,NOOKSACK RIVER CASINO,Region 10,EPA Region 10,Non-Transient non-community system,1200,DEMING,,18,34,2
105300088,RUTSATZ ROAD,Region 10,EPA Region 10,Community water system,500,DEMING,,6,33,2
105300028,5 CEDARS,Region 10,EPA Region 10,Community water system,200,DEMING,,5,30,3
105300120,WHISPERING CEDARS,Region 10,EPA Region 10,Community water system,50,DEMING,,7,94,2
104111101,CTUIR PWD/MISSION,Region 10,EPA Region 10,Community water system,1200,PENDELTON,,16,317,2
105300141,SULWHANON,Region 10,EPA Region 10,Community water system,100,SVERSON,,8,179,2
105300017,QUEETS,Region 10,EPA Region 10,Community water system,200,TAHOLA,,8,393,2
105300106,GENESIS II RECOVERY CENTER,Region 10,EPA Region 10,Non-Transient non-community system,25,DEMMING,,7,30,2
105300111,WATERFRONT AT POTLATCH,Region 10,EPA Region 10,Transient non-community system,35,SHELTON,,7,8,3
105300148,WOLF DEN RESTAURANT,Region 10,EPA Region 10,Transient non-community system,310,WAPATO,,5,9,2
105300151,SNOQUALMIE CASINO,Region 10,EPA Region 10,Non-Transient non-community system,4400,,,10,46,2
105300036,KALISPEL,Region 10,EPA Region 10,Community water system,300,USK,,13,25,4
104121119,THREE RIVERS CASINO,Region 10,EPA Region 10,Non-Transient non-community system,2030,FLORENCE,,6,70,3
101612108,BIA NORTH IDAHO,Region 10,EPA Region 10,Community water system,240,LAPWAI,,6,149,3
105300081,SANTIAGO WATER ASSOCIATION,Region 10,EPA Region 10,Community water system,70,MOCLIPS,,10,69,2
105300147,NORTHWOOD CASINO,Region 10,EPA Region 10,Non-Transient non-community system,900,LYNDEN,,5,60,2
105300018,TAHOLAH,Region 10,EPA Region 10,Community water system,1200,TAHOLA,,7,365,1
104121114,INDIAN LAKE CAMPGROUND,Region 10,EPA Region 10,Transient non-community system,50,PENDELTON,,5,17,3
105300009,PASCHAL SHERMAN INDIAN SCHOOL,Region 10,EPA Region 10,Community water system,200,OMAK,,6,113,2
105300133,QUI/NAI/ELT VILLAGE,Region 10,EPA Region 10,Community water system,200,QUINAULT,,17,91,1
101612109,FORT HALL,Region 10,EPA Region 10,Community water system,3320,FORT HALL,,9,48,2
105300020,SKOKOMISH,Region 10,EPA Region 10,Community water system,1150,SKOKOMISH NATION,,8,136,1
105300011,HOH TRIBE,Region 10,EPA Region 10,Community water system,100,FORKS,,11,296,3
104121115,SPIRIT MOUNTAIN CASINO,Region 10,EPA Region 10,Non-Transient non-community system,8800,GRAND RONDE,,9,20,2
