PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
HI0000370,PALEHUA SOLAR OBSERVATORY,Region 9,Hawaii,Non-Transient non-community system,50,MAKAKILO,,3,8,2
HI0000428,PRINCEVILLE,Region 9,Hawaii,Community water system,1698,PRINCEVILLE (DHO),,8,1,18
HI0000222,HALEAKALA NATIONAL PARK,Region 9,Hawaii,Community water system,1200,KULA,,3,1,10
HI0000423,KEALIA,Region 9,Hawaii,Community water system,260,KEALIA (DHO),,8,0,16
HI0000422,KAHILI MOUNTAIN PARK,Region 9,Hawaii,Non-Transient non-community system,150,KAHILI MOUNTAIN PARK,,3,2,14
HI0000260,KIPAHULU,Region 9,Hawaii,Transient non-community system,2000,HALEAKALA,,3,0,0
HI0000162,WAIKI'I RANCH,Region 9,Hawaii,Community water system,84,WAIKII RANCH (DHO),,5,0,1
HI0000320,MILILANI MEMORIAL PARK,Region 9,Hawaii,Non-Transient non-community system,100,MILILANI BWS,,4,86,9
HI0000239,KALAUPAPA NHP,Region 9,Hawaii,Community water system,110,KALAUPAPA,,3,10,9
HI0000153,HI NATL GUARD YOUTH CHALLENGE ACADEMY,Region 9,Hawaii,Non-Transient non-community system,88,SOUTH KOHALA,,3,7,11
HI0000319,KAMEHAMEHA SCHOOLS,Region 9,Hawaii,Community water system,4000,KAPALAMA,,9,0,8
HI0000348,WAIAWA CORRECTIONAL FACILITY,Region 9,Hawaii,Community water system,334,WAIPAHU,,3,87,11
HI0000425,KOKEE STATE PARK,Region 9,Hawaii,Non-Transient non-community system,2000,KOKEE STATE PARK,,8,4,16
HI0000426,POLIHALE STATE PARK,Region 9,Hawaii,Transient non-community system,300,POLIHALE STATE PARK,,3,0,6
HI0000167,PEPEEKEO WATER ASSOCIATION,Region 9,Hawaii,Community water system,10,PEPEEKEO,,3,1,2
HI0000315,KAHUKU AIR BASE,Region 9,Hawaii,Community water system,75,KAHUKU AIR BASE,,3,3,6
HI0000371,POAMOHO,Region 9,Hawaii,Community water system,319,WAHIAWA,,3,2,1
HI0000233,UALAPUE,Region 9,Hawaii,Community water system,1031,UALAPUE,,4,8,11
HI0000212,WAILUKU,Region 9,Hawaii,Community water system,68054,WAILUKU,,41,18,12
HI0000218,HONOKOHAU,Region 9,Hawaii,Community water system,42,LAHAINA,,5,80,14
HI0000234,KAUNAKAKAI,Region 9,Hawaii,Community water system,3489,KAUNAKAKAI,,7,11,11
HI0000217,HANA,Region 9,Hawaii,Community water system,1134,HANA,,8,12,14
HI0000235,KALAE,Region 9,Hawaii,Community water system,336,MAKENA,,7,1,9
HI0000135,WAIKOLOA,Region 9,Hawaii,Community water system,12100,WAIKOLOA (DHO),,10,6,10
HI0000115,MAUNA LOA MACADAMIA NUT,Region 9,Hawaii,Non-Transient non-community system,300,MAUNALOA MAC NUT DHO,,5,2,9
HI0000345,SCHOFIELD BARRACKS,Region 9,Hawaii,Community water system,41182,SCHOFIELD,,13,8,10
HI0000205,KAANAPALI,Region 9,Hawaii,Community water system,8000,KAANAPALI (DHO),,15,6,8
HI0000203,KAILUA,Region 9,Hawaii,Community water system,90,KAILUA MAUI,,5,17,6
HI0000314,ST STEPHEN'S DIOCESAN CTR,Region 9,Hawaii,Non-Transient non-community system,45,KANEOHE,,3,2,6
HI0000372,WOODLANDS AT NUUANU,Region 9,Hawaii,Community water system,48,HONOLULU,,2,0,1
HI0000337,ALIAMANU,Region 9,Hawaii,Community water system,4692,SALT LAKE,,4,4,6
HI0000165,KONA WATER SERVICE COMPANY,Region 9,Hawaii,Community water system,260,KONA,,11,0,2
HI0000240,HAWAII NATURE CENTER,Region 9,Hawaii,Transient non-community system,75,WAILUKU,,3,3,3
HI0000247,LOWER KULA,Region 9,Hawaii,Community water system,3246,KULA,,5,41,8
HI0000213,MAKAWAO,Region 9,Hawaii,Community water system,27642,MAKAWAO,,17,99,12
HI0000341,FORT SHAFTER,Region 9,Hawaii,Community water system,5301,,,8,5,6
HI0000346,TRIPLER ARMY MEDICAL CNTR,Region 9,Hawaii,Community water system,4969,MOANALUA,,6,8,8
HI0000356,MARINE CORPS BASE HAWAII,Region 9,Hawaii,Community water system,15961,KANEOHE,,6,1,8
HI0000368,WAIAHOLE,Region 9,Hawaii,Community water system,300,KAHANA VALLEY,,5,1,8
HI0000220,NAHIKU,Region 9,Hawaii,Community water system,97,NAHIKU,,3,11,10
HI0000256,MAUI HIGHLANDS,Region 9,Hawaii,Non-Transient non-community system,19,KIHEI,,4,0,0
HI0000215,UPPER KULA,Region 9,Hawaii,Community water system,6918,KULA,,6,92,13
HI0000214,LAHAINA,Region 9,Hawaii,Community water system,18598,LAHAINA,,44,61,15
HI0000219,KEANAE,Region 9,Hawaii,Community water system,255,KEANAE (DWS),,4,3,10
HI0000410,LIHUE,Region 9,Hawaii,Community water system,12004,LIHUE (DOW),Kauai,29,2,20
HI0000330,SHERATON HOTELS,Region 9,Hawaii,Non-Transient non-community system,2830,,,3,8,6
HI0000231,MAUNALOA-KALUAKOI,Region 9,Hawaii,Community water system,1000,"MAUNALOA, MOLOKAI",,8,37,9
HI0000245,KIPU,Region 9,Hawaii,Community water system,80,HALEAKALA,,6,1,10
HI0000229,KUALAPUU,Region 9,Hawaii,Community water system,500,KUALAPUU,,4,20,14
HI0000373,THE QUEEN'S MEDICAL CENTER WEST OAHU,Region 9,Hawaii,Non-Transient non-community system,400,KUNIA,,1,0,0
HI0000114,PUNALU'U,Region 9,Hawaii,Community water system,200,PUNALUU (DHO),,5,2,10
HI0000151,KOHALA RANCH WATER CO.,Region 9,Hawaii,Community water system,805,KOHALA JOINT VENTURE,,6,0,6
HI0000258,CONSOLIDATED BASEYARDS,Region 9,Hawaii,Non-Transient non-community system,69,WAIKAPU,,4,8,1
HI0000312,THE QUEEN'S MEDICAL CENTER,Region 9,Hawaii,Community water system,3400,DOWNTOWN HONOLULU,,3,2,9
HI0000354,CAMP STOVER,Region 9,Hawaii,Community water system,595,WAHIAWA,,8,0,6
