PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
IL0335030,ROBINSON-PALESTINE WATER COMMISSION,Region 5,Illinois,Community water system,12250,,Crawford,19,6,21
IL3114694,MR BS,Region 5,Illinois,Transient non-community system,75,,Will,3,1,8
IL3108597,SNOWSTAR INC,Region 5,Illinois,Transient non-community system,320,,Rock Island,4,4,10
IL0190400,LUDLOW,Region 5,Illinois,Community water system,324,LUDLOW,Champaign,8,1,23
IL0110050,ARLINGTON,Region 5,Illinois,Community water system,150,ARLINGTON,Bureau,8,20,17
IL3141556,DAHINDA UM CHURCH,Region 5,Illinois,Transient non-community system,100,,Knox,3,3,10
IL3086868,DIAMOND LAKE SCHOOL,Region 5,Illinois,Non-Transient non-community system,350,,Lake,4,21,14
IL3122150,MID AMERICAN GROWERS,Region 5,Illinois,Non-Transient non-community system,200,,Putnam,6,191,8
IL3115477,BLUE LAKE SUNBATHE PARK,Region 5,Illinois,Transient non-community system,100,,Whiteside,2,0,15
IL3149823,SEOUL GARDEN RESTAURANT,Region 5,Illinois,Transient non-community system,25,,Cook,2,1,4
IL3148965,WOODMANS,Region 5,Illinois,Transient non-community system,100,,Winnebago,2,1,5
IL3153965,TOMS FARM MARKET AND GREENHOUSE,Region 5,Illinois,Transient non-community system,25,,McHenry,3,1,2
IL0995750,WEST WALNUT TRAILER COURT,Region 5,Illinois,Community water system,47,OGLESBY,LaSalle,3,7,1
IL0310480,CHICAGO RIDGE,Region 5,Illinois,Community water system,14127,CHICAGO RIDGE,Cook,12,2,12
IL3015271,SHAMROCK GOLF COURSE MAIN WELL,Region 5,Illinois,Transient non-community system,100,,Kankakee,3,1,13
IL0810300,MOUNT VERNON,Region 5,Illinois,Community water system,17951,MOUNT VERNON,Jefferson,21,5,29
IL0110100,BUDA,Region 5,Illinois,Community water system,600,BUDA,Bureau,10,21,22
IL3016964,MILLBROOK JUNIOR HIGH,Region 5,Illinois,Non-Transient non-community system,200,,Kendall,4,24,7
IL1617925,WOODLAND A AND B MHP,Region 5,Illinois,Community water system,490,,Rock Island,8,6,25
IL3051433,FIRST BAPTIST CHRISTIAN ACADY,Region 5,Illinois,Non-Transient non-community system,90,,Christian,5,2,10
IL3046334,EICKMANS PROCESSING COMPANY,Region 5,Illinois,Transient non-community system,25,,Winnebago,4,0,11
IL3149898,LEISURE HOURS RACEWAY,Region 5,Illinois,Transient non-community system,52,,Will,2,0,5
IL3139097,AUX SABLE LIQUID PRODUCTS INC,Region 5,Illinois,Non-Transient non-community system,50,,Grundy,6,2,3
IL3085340,WEST CENTRAL,Region 5,Illinois,Non-Transient non-community system,800,,Henderson,5,28,11
