PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
IN2464109,J-MART AMOCO FOOD SHOP/ARBYS,Region 5,Indiana,Transient non-community system,504,WESTVILLE,LaPorte,4,5,3
IN2431052,CENTER/CENTER-WEST WELL,Region 5,Indiana,Transient non-community system,50,WARSAW,Kosciusko,4,1,6
IN2430987,PATONA BAY CAMPGROUND,Region 5,Indiana,Transient non-community system,150,LEESBURG,Kosciusko,9,11,3
IN2560820,LASALLE FISH & WILDLIFE AREA,Region 5,Indiana,Transient non-community system,156,LAKE VILLAGE,Newton,4,7,4
IN2300926,"CARROLLTON UNITED METHODIST CHURCH, INC.",Region 5,Indiana,Transient non-community system,60,FINLY (CARROLLTON) (REEDVILLE),Hancock,2,17,5
IN2500814,CINDYS COUNTRY PRIDE FAMILY RESTAURANT,Region 5,Indiana,Transient non-community system,53,PLYMOUTH,Marshall,4,12,10
IN2350012,ST. PAULS CHILDCARE,Region 5,Indiana,Transient non-community system,97,ANDREWS,Huntington,3,2,2
IN2090856,LOGAN ROLLER RINK,Region 5,Indiana,Transient non-community system,78,LOGANSPORT,Cass,2,53,10
IN2700008,FLATROCK AMISH SCHOOL,Region 5,Indiana,Transient non-community system,30,MILROY,Rush,3,18,6
IN2680829,KINGDOM HALL OF JEHOVAHS WITNESSES,Region 5,Indiana,Transient non-community system,60,WINCHESTER,Randolph,4,14,6
IN5284005,J & T WATER COMPANY,Region 5,Indiana,Community water system,50,TERRE HAUTE,Vigo,2,38,11
IN2910801,VICTORIAN BAY RESORT,Region 5,Indiana,Transient non-community system,25,,White,2,23,8
IN5207001,BROWN COUNTY WATER UTILITY,Region 5,Indiana,Community water system,11300,,Brown,22,38,28
IN2760939,WAGGONERS R.V. PARK,Region 5,Indiana,Transient non-community system,40,FREMONT,Steuben,2,1,3
IN2660061,BETHEL BIBLE CHURCH,Region 5,Indiana,Transient non-community system,125,WINAMAC,Pulaski,2,2,2
IN2910001,MONTICELLO PIKE CREEK CH OF THE BRETHREN,Region 5,Indiana,Transient non-community system,27,MONTICELLO,White,2,6,4
IN2710946,DAIRY QUEEN - GRANGER,Region 5,Indiana,Transient non-community system,265,GRANGER,St. Joseph,3,2,4
IN2201102,OAK HILLS GOLF COURSE,Region 5,Indiana,Transient non-community system,83,MIDDLEBURY,Elkhart,2,7,2
IN2680016,PIZZA HUT,Region 5,Indiana,Transient non-community system,58,WINCHESTER,Randolph,4,2,1
IN2300035,DOLLAR GENERAL STORE - WILKINSON,Region 5,Indiana,Transient non-community system,52,WILKINSON,Hancock,3,2,2
IN2170809,CARTER LUMBER,Region 5,Indiana,Transient non-community system,49,CORUNNA,DeKalb,3,2,6
IN2200935,"VEADA INDIANA, INC.- OFFICE #1",Region 5,Indiana,Non-Transient non-community system,80,NEW PARIS,Elkhart,3,35,6
IN2710827,ITR CONCESSIONS CO. - DIV. OFFICE,Region 5,Indiana,Non-Transient non-community system,90,GRANGER,St. Joseph,4,1,7
IN2710840,WESTWOOD MOTEL,Region 5,Indiana,Transient non-community system,25,SOUTH BEND,St. Joseph,2,33,3
IN2300024,"WILD HEART RESORT, LLC - KOA CAMPGROUND",Region 5,Indiana,Transient non-community system,200,GREENFIELD,Hancock,3,16,7
IN2330192,FREEDOM BAPTIST CHURCH,Region 5,Indiana,Transient non-community system,35,NEW CASTLE,Henry,4,129,10
IN2060809,CHRIST COVENANT CHURCH,Region 5,Indiana,Transient non-community system,140,SHERIDAN,Boone,4,9,6
IN2431091,WAWASEE EPISCOPAL CONF. CENTER,Region 5,Indiana,Transient non-community system,35,SYRACUSE,Kosciusko,4,10,4
IN2570887,"FASHION FARM, INC. - RESTAURANT",Region 5,Indiana,Transient non-community system,320,LIGONIER,Noble,4,10,2
IN2680847,SARATOGA LIONS CLUB,Region 5,Indiana,Transient non-community system,25,RIDGEVILLE,Randolph,4,16,6
IN5273003,MORRISTOWN WATER DEPARTMENT,Region 5,Indiana,Community water system,1100,MORRISTOWN,Shelby,11,61,16
IN2910944,RIVIERA COMPLEX,Region 5,Indiana,Transient non-community system,28,MONTICELLO,White,4,9,3
IN5229012,TALL TIMBERS MOBILE HOME PARK-EAST,Region 5,Indiana,Community water system,90,NOBLESVILLE,Hamilton,3,20,11
IN2170867,LAKEWOOD PARK BAPTIST CHURCH/SCHOOL,Region 5,Indiana,Non-Transient non-community system,1210,AUBURN,DeKalb,6,4,5
IN2431051,CENTER/CENTER SHOPPING CENTER-EAST WELL,Region 5,Indiana,Transient non-community system,50,WARSAW,Kosciusko,4,0,5
IN2431111,AIRPORT HANGAR,Region 5,Indiana,Transient non-community system,25,WARSAW,Kosciusko,3,0,2
IN2020097,LEO CAFE,Region 5,Indiana,Transient non-community system,82,LEO,Allen,4,43,3
IN2710152,US 31 SUPPLY,Region 5,Indiana,Transient non-community system,46,SOUTH BEND,St. Joseph,3,0,1
IN2200097,CRYSTAL SPRINGS PAROCHIAL AMISH SCHOOL,Region 5,Indiana,Transient non-community system,40,MIDDLEBURY,Elkhart,2,3,2
IN2080852,CARROLL COUNTY COUNTRY CLUB,Region 5,Indiana,Transient non-community system,42,DELPHI,Carroll,3,29,5
IN2760832,ITR CONCESSIONS CO.-TRAVEL PLAZA 8,Region 5,Indiana,Non-Transient non-community system,675,FREMONT,Steuben,6,1,9
IN2370129,COMMUNITY BIBLE CHURCH,Region 5,Indiana,Transient non-community system,90,DEMOTTE,Jasper,2,23,5
IN2430181,CLUNETTE ELEVATOR CO. INC.,Region 5,Indiana,Transient non-community system,32,LEESBURG,Kosciusko,4,7,8
IN2330823,WESTWOOD GOLF CLUB,Region 5,Indiana,Transient non-community system,100,NEW CASTLE,Henry,4,4,12
IN2460846,ST. MARYS CHURCH & HALL,Region 5,Indiana,Transient non-community system,260,OTIS,LaPorte,7,17,11
IN2480124,"AIRPORT RESTAURANT, INC.",Region 5,Indiana,Transient non-community system,99,ELWOOD,Madison,3,16,7
IN2080092,WHITE OAK ON THE LAKE RESORT,Region 5,Indiana,Transient non-community system,150,,Carroll,3,33,7
IN2520142,HONEY BEAR HOLLOW FAMILY CAMPGROUND,Region 5,Indiana,Transient non-community system,40,PERU,Miami,2,6,5
IN2520837,COE-MISSISSINEWA LAKE,Region 5,Indiana,Transient non-community system,30,PERU,Miami,2,2,2
IN2010124,WEST MISSIONARY CHURCH,Region 5,Indiana,Transient non-community system,251,BERNE,Adams,5,15,6
IN2201058,BEER AND SLABAUGH INC.,Region 5,Indiana,Transient non-community system,66,NAPPANEE,Elkhart,2,9,3
IN2800815,TRI-CENTRAL ELEMENTARY SCHOOL,Region 5,Indiana,Non-Transient non-community system,600,SHARPSVILLE,Tipton,4,5,9
IN2840825,MT. AETNA CHURCH,Region 5,Indiana,Transient non-community system,40,TERRE HAUTE,Vigo,3,20,13
