PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
IA1509901,COCKLIN FISH FARM,Region 7,Iowa,Transient non-community system,65,GRISWOLD,Cass,6,0,1
IA0345054,LANSING WATER SUPPLY,Region 7,Iowa,Community water system,999,LANSING,Allamakee,11,4,5
IA1855066,QUIMBY WATER SUPPLY,Region 7,Iowa,Community water system,319,QUIMBY,Cherokee,8,3,6
IA5225901,JOHNSON COUNTY AG ASSOCIATION,Region 7,Iowa,Transient non-community system,218,IOWA CITY,Johnson,21,2,10
IA1716203,THE MARKET AT OAKWOOD,Region 7,Iowa,Transient non-community system,122,CLEAR LAKE,Cerro Gordo,5,1,9
IA8215384,TIMBER VALLEY ESTATES (1ST & 2ND ADD),Region 7,Iowa,Community water system,192,BLUE GRASS,Scott,6,57,6
IA4453016,MOUNT PLEASANT MUNICIPAL UTILITIES,Region 7,Iowa,Community water system,8718,MOUNT PLEASANT,Henry,30,26,7
IA5758021,MOUNT VERNON WATER SUPPLY,Region 7,Iowa,Community water system,4506,MOUNT VERNON,Linn,21,7,5
IA6682801,ST PETER LUTHERAN CHURCH,Region 7,Iowa,Transient non-community system,313,TOETERVILLE,Mitchell,6,22,9
IA6677089,STACYVILLE WATER SUPPLY,Region 7,Iowa,Community water system,494,STACYVILLE,Mitchell,8,5,10
IA4115092,CRYSTAL LAKE WATER SUPPLY,Region 7,Iowa,Community water system,250,CRYSTAL LAKE,Hancock,8,3,8
IA1376201,TWIN LAKES GOLF CLUB,Region 7,Iowa,Transient non-community system,39,ROCKWELL CITY,Calhoun,7,0,2
IA5315005,CENTER JUNCTION WATER DEPT,Region 7,Iowa,Community water system,111,CENTER JUNCTION,Jones,6,18,5
IA1600301,COACH ROAD WELL ASSOCIATION,Region 7,Iowa,Community water system,40,LISBON,Cedar,6,18,7
IA1228038,CLARKSVILLE WATER SUPPLY,Region 7,Iowa,Community water system,1445,CLARKSVILLE,Butler,7,4,7
IA2166006,ROYAL MUNICIPAL WATER UTILITIES,Region 7,Iowa,Community water system,453,ROYAL,Clay,8,2,5
IA5700641,HIDE-A-WAY MANOR,Region 7,Iowa,Community water system,82,CEDAR RAPIDS,Linn,5,51,6
IA7048308,HILLTOP ROAD ASSOCIATION #2,Region 7,Iowa,Community water system,55,MUSCATINE,Muscatine,7,13,6
IA3126489,DUBUQUE YMCA CAMP,Region 7,Iowa,Transient non-community system,60,DUBUQUE,Dubuque,6,9,5
IA8251905,SCOTT CO-WILDERNESS CAMPGROUND,Region 7,Iowa,Transient non-community system,163,LONG GROVE,Scott,5,0,12
IA9630401,TWIN SPRINGS CAMP AREA,Region 7,Iowa,Transient non-community system,32,DECORAH,Winneshiek,8,4,13
IA0709084,CEDAR FALLS MUNICIPAL WATER UTILITIES,Region 7,Iowa,Community water system,39260,CEDAR FALLS,Black Hawk,41,5,5
IA8258702,THE LUCKY FROG BAR & GRILL,Region 7,Iowa,Transient non-community system,25,MCCAUSLAND,Scott,7,1,6
IA6709017,BLENCOE MUNICIPAL WATERWORKS,Region 7,Iowa,Community water system,224,BLENCOE,Monona,7,21,10
IA6915015,ELLIOTT WATER SUPPLY,Region 7,Iowa,Community water system,350,ELLIOTT,Montgomery,8,32,14
IA2613019,BLOOMFIELD MUNI WATER DEPT,Region 7,Iowa,Community water system,2640,BLOOMFIELD,Davis,10,82,6
IA0477040,MYSTIC WATER SUPPLY,Region 7,Iowa,Community water system,425,MYSTIC,Appanoose,6,2,7
IA7048320,HILLTOP ROAD ASSOCIATION #3,Region 7,Iowa,Community water system,26,MUSCATINE,Muscatine,9,2,2
IA8225043,DIXON WATER WORKS,Region 7,Iowa,Community water system,247,DIXON,Scott,6,18,8
IA0375053,POSTVILLE WATER DEPARTMENT,Region 7,Iowa,Community water system,2232,POSTVILLE,Allamakee,16,5,6
IA5700629,VERNON HEIGHTS MOBILE HOME COURT,Region 7,Iowa,Community water system,120,CEDAR RAPIDS,Linn,7,29,5
IA4910202,NITA HO VALLEY ASSOC,Region 7,Iowa,Transient non-community system,46,BELLEVUE,Jackson,5,9,4
IA5355094,OLIN WATER SUPPLY,Region 7,Iowa,Community water system,698,OLIN,Jones,10,11,7
IA4100901,"DUNCAN HEIGHTS, INC.",Region 7,Iowa,Community water system,51,GARNER,Hancock,6,12,7
IA9905302,WILSON SUBDIVISION WELL #9,Region 7,Iowa,Transient non-community system,45,CLARION,Wright,4,9,13
IA9203760,AINSWORTH 4 CORNERS RESTAURANT,Region 7,Iowa,Transient non-community system,400,AINSWORTH,Washington,11,14,8
IA7770050,POLK CITY WATER SUPPLY,Region 7,Iowa,Community water system,3418,POLK CITY,Polk,13,1,7
IA5240095,LONE TREE MUNI WATER SYSTEM,Region 7,Iowa,Community water system,1300,LONE TREE,Johnson,10,12,9
IA3371056,WADENA WATER SYSTEM,Region 7,Iowa,Community water system,262,WADENA,Fayette,8,10,6
IA3375001,WAUCOMA WATER SUPPLY,Region 7,Iowa,Community water system,257,WAUCOMA,Fayette,6,4,7
IA8503528,ISU,Region 7,Iowa,Community water system,28178,AMES,Story,6,7,7
IA1340001,KNIERIM WATER SUPPLY,Region 7,Iowa,Community water system,60,KNIERIM,Calhoun,7,3,5
IA9637201,THE ZIPPER,Region 7,Iowa,Transient non-community system,35,FESTINA,Winneshiek,7,42,13
IA1970101,NEW HAMPTON RED POWER INC,Region 7,Iowa,Transient non-community system,75,NEW HAMPTON,Chickasaw,5,19,14
IA8245323,MCCARTY CREEK HOMEOWNERS ASSN #8,Region 7,Iowa,Community water system,85,LE CLAIRE,Scott,5,18,7
IA5225304,MAKADA HOMEOWNERS ASSOCIATION,Region 7,Iowa,Community water system,75,IOWA CITY,Johnson,7,39,6
