PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
LA1017037,VIVIAN WATER SYSTEM,Region 6,Louisiana,Community water system,4425,,Caddo Parish,11,14,28
LA1045004,JEANERETTE CITY OF WATER SYSTEM,Region 6,Louisiana,Community water system,6840,,Iberia Parish,40,13,15
LA1103176,MADISONVILLE ON THE LAKE,Region 6,Louisiana,Community water system,36,,St. Tammany Parish,5,1,4
LA1119020,MIDWAY WATER SYSTEM,Region 6,Louisiana,Community water system,450,,Webster Parish,6,18,6
LA2093005,ST JAMES BOAT CLUB,Region 6,Louisiana,Transient non-community system,26,,St. James Parish,4,9,6
LA2117186,WARNERTON QUICK STOP,Region 6,Louisiana,Transient non-community system,101,,Washington Parish,4,1,2
LA1117127,SANDSTONE LAKE WATER SUPPLY,Region 6,Louisiana,Community water system,25,,St. Tammany Parish,3,0,0
LA1013023,SPRINGHILL  COMMUNITY WATER SYSTEM,Region 6,Louisiana,Community water system,183,,Bienville Parish,5,13,5
LA1079011,GLENMORA  TOWN OF,Region 6,Louisiana,Community water system,1624,,Rapides Parish,11,11,7
LA1063022,"ALBANY, TOWN OF",Region 6,Louisiana,Community water system,6063,,Livingston Parish,9,8,5
LA1107005,WATERPROOF WATER SYSTEM,Region 6,Louisiana,Community water system,1293,,Tensas Parish,9,47,5
LA2005252,GO BEARS FOOD MART #24,Region 6,Louisiana,Transient non-community system,25,,Ascension Parish,4,1,6
LA1111009,JUNCTION CITY WATER SYSTEM,Region 6,Louisiana,Community water system,810,,Union Parish,6,1,8
LA2005042,OCCIDENTAL CHEMICAL CORPORATION,Region 6,Louisiana,Non-Transient non-community system,500,,Ascension Parish,10,2,8
LA2115130,COUNTRY CORNER STORE,Region 6,Louisiana,Transient non-community system,30,,Vernon Parish,5,0,6
LA1047028,PLANTATION GARDENS,Region 6,Louisiana,Community water system,160,,Iberville Parish,2,4,4
LA1041006,WINNSBORO WATER SYSTEM,Region 6,Louisiana,Community water system,5500,,Franklin Parish,31,9,8
LA1099029,ST MARTIN PARISH INDUSTRIAL PARK WS,Region 6,Louisiana,Community water system,150,,St. Martin Parish,13,22,19
LA2103390,RUSSELLS QUICK STOP,Region 6,Louisiana,Transient non-community system,750,,St. Tammany Parish,4,1,3
LA2103317,ASSUNTAS RESTAURANT,Region 6,Louisiana,Transient non-community system,70,,St. Tammany Parish,4,0,4
LA1117002,"FRANKLINTON, TOWN OF",Region 6,Louisiana,Community water system,4150,,Washington Parish,12,10,4
LA2103183,GYMNASTICS PLUS - EDDIE RESO,Region 6,Louisiana,Non-Transient non-community system,50,,St. Tammany Parish,4,0,2
LA2095040,BEACON LOUNGE,Region 6,Louisiana,Transient non-community system,25,,St. John the Baptist Parish,4,0,8
LA1021001,CLARKS WATER SYSTEM,Region 6,Louisiana,Community water system,996,,Caldwell Parish,12,5,8
LA1023013,CAMERON PAR WW DISTRICT NO 11 - BIG LAKE,Region 6,Louisiana,Community water system,1575,,Cameron Parish,5,0,1
LA1011007,MERRYVILLE  TOWN OF   WATER SYSTEM,Region 6,Louisiana,Community water system,1200,,Beauregard Parish,9,12,4
LA1017027,PINEHILL WATERWORKS DISTRICT,Region 6,Louisiana,Community water system,4425,,Caddo Parish,28,9,5
LA1019102,COUNTRY LIVING TRAILER PARK WATER SYSTEM,Region 6,Louisiana,Community water system,25,,Calcasieu Parish,4,4,2
LA2017026,RELAY STATION,Region 6,Louisiana,Transient non-community system,999,,Caddo Parish,7,1,3
LA1015006,J & N MOBILE HOME PARK,Region 6,Louisiana,Community water system,147,,Bossier Parish,10,16,6
LA1015018,VILLAGE WATER SYSTEM,Region 6,Louisiana,Community water system,10500,,Bossier Parish,62,7,14
LA1023003,CAMERON PAR WW DISTRICT NO 7,Region 6,Louisiana,Community water system,960,,Cameron Parish,13,13,3
LA1023011,CAMERON PAR WW DIST. NO 11 - SWEET LAKE,Region 6,Louisiana,Community water system,3507,,Cameron Parish,17,6,5
LA1047001,"GROSSE TETE, VILLAGE OF",Region 6,Louisiana,Community water system,795,,Iberville Parish,3,4,5
LA1063076,JIMS TRAILER PARK,Region 6,Louisiana,Community water system,160,,Livingston Parish,5,3,8
LA2079009,LSU AT ALEXANDRIA,Region 6,Louisiana,Non-Transient non-community system,3000,,Rapides Parish,9,15,13
LA2103072,FROSTOP,Region 6,Louisiana,Transient non-community system,400,,St. Tammany Parish,4,1,4
LA2033021,EXXONMOBIL BATON ROUGE REFINERY,Region 6,Louisiana,Non-Transient non-community system,2500,,East Baton Rouge Parish,8,0,6
LA1019052,MOSSVILLE WW DISTRICT NO 2,Region 6,Louisiana,Community water system,1059,,Calcasieu Parish,5,8,4
LA1015032,SHADY PARK MHP WATER SYSTEM,Region 6,Louisiana,Community water system,75,,Bossier Parish,11,14,9
LA1019112,OAK PINE MOBILE HOME PARK WATER SYSTEM,Region 6,Louisiana,Community water system,240,,Calcasieu Parish,12,16,5
LA1079028,VETERANS ADMINISTRATION,Region 6,Louisiana,Community water system,1330,,Rapides Parish,8,7,7
LA1043001,ZONE 2 WATER SYSTEM  INC,Region 6,Louisiana,Community water system,1239,,Grant Parish,14,8,6
LA1097005,LEONVILLE TOWN OF WATER SYSTEM,Region 6,Louisiana,Community water system,8145,,St. Landry Parish,13,15,11
LA1127001,ATLANTA WATER SUPPLY,Region 6,Louisiana,Community water system,930,,Winn Parish,6,15,9
LA1059002,LASALLE WATERWORKS DISTRICT NO 1,Region 6,Louisiana,Community water system,2925,,La Salle Parish,13,5,7
LA1103040,SHADY PINES TRAILER PARK,Region 6,Louisiana,Community water system,120,,St. Tammany Parish,3,13,6
LA1103064,UTILITIES INC - LAKE VILLAGE SD,Region 6,Louisiana,Community water system,2073,,St. Tammany Parish,4,0,6
LA1097003,KROTZ SPRINGS TOWN OF  WATER SYSTEM,Region 6,Louisiana,Community water system,2331,,St. Landry Parish,11,3,7
LA1103108,UTILITIES INC - OAKMONT SD,Region 6,Louisiana,Community water system,612,,St. Tammany Parish,4,0,6
LA1103124,UTILITIES INC-NORTH PARK WATER SUPPLY,Region 6,Louisiana,Community water system,9881,,St. Tammany Parish,22,7,6
LA1055014,G AND J MOBILE HOME ESTATES WATER SYSTEM,Region 6,Louisiana,Community water system,150,,Lafayette Parish,9,5,11
LA1083006,RAYVILLE WATER SYSTEM,Region 6,Louisiana,Community water system,4842,,Richland Parish,13,25,13
LA1027001,ATHENS WATER SYSTEM,Region 6,Louisiana,Community water system,444,,Claiborne Parish,9,10,6
LA1003008,SOUTH OAKDALE WATER SYSTEM,Region 6,Louisiana,Community water system,1500,,Allen Parish,9,2,4
LA1097001,GRAND COTEAU  TOWN OF   WATER SYSTEM,Region 6,Louisiana,Community water system,947,,St. Landry Parish,8,16,11
LA2103462,PAPARAZZI,Region 6,Louisiana,Transient non-community system,500,,St. Tammany Parish,3,5,3
LA1127005,DODSON VILLAGE OF,Region 6,Louisiana,Community water system,507,,Winn Parish,8,7,8
LA2117136,STEWART SEAFOOD & STEAK,Region 6,Louisiana,Transient non-community system,125,,Washington Parish,4,6,4
LA1049022,EROS COMMUNITY WATER SYS,Region 6,Louisiana,Community water system,729,,Jackson Parish,8,1,7
LA1105026,"TANGIPAHOA, VILLAGE OF",Region 6,Louisiana,Community water system,975,,Tangipahoa Parish,7,14,7
LA2117100,BO S STEAKHOUSE,Region 6,Louisiana,Transient non-community system,300,,Washington Parish,4,7,5
LA2045057,M A  PATOUT AND SON SUGAR MILL W S,Region 6,Louisiana,Non-Transient non-community system,155,,Iberia Parish,9,8,13
LA1031008,LOGANSPORT WATER SYSTEM,Region 6,Louisiana,Community water system,1760,,De Soto Parish,9,6,10
LA1103074,UTILITIES INC - QUAIL RIDGE SUBDIVISION,Region 6,Louisiana,Community water system,1125,,St. Tammany Parish,8,2,6
LA2019098,TRUNKLINE LNG CO WATER SYSTEM,Region 6,Louisiana,Non-Transient non-community system,80,,Calcasieu Parish,6,2,3
LA2087001,DOMINO SUGAR,Region 6,Louisiana,Non-Transient non-community system,360,,St. Bernard Parish,5,14,12
LA1105083,L.TYCER(FALLER RD APTS),Region 6,Louisiana,Community water system,36,,Tangipahoa Parish,4,3,5
LA1119005,CULLEN WATER SYSTEM,Region 6,Louisiana,Community water system,1650,,Webster Parish,8,15,8
LA1031009,MANSFIELD WATER SYSTEM,Region 6,Louisiana,Community water system,6354,,De Soto Parish,35,9,17
LA1111013,ROCKY BRANCH WS,Region 6,Louisiana,Community water system,1410,,Union Parish,12,6,11
LA1103179,H2O SERVICES- I59 MOBILE HOME PARK,Region 6,Louisiana,Community water system,255,,St. Tammany Parish,4,1,4
LA1015016,"PLAIN DEALING WATER SYSTEM, TOWN OF",Region 6,Louisiana,Community water system,2778,,Bossier Parish,14,8,6
LA2045076,KNIGHT MANUFACTURING  WATER SYSTEM,Region 6,Louisiana,Non-Transient non-community system,150,,Iberia Parish,5,2,4
LA1009006,EVERGREEN  TOWN OF,Region 6,Louisiana,Community water system,2024,,Avoyelles Parish,17,9,14
LA1103148,H2O SERVICES - MONTEREY SUBDIVISION,Region 6,Louisiana,Community water system,1356,,St. Tammany Parish,4,11,6
LA2033025,DELTECH CORPORATION,Region 6,Louisiana,Non-Transient non-community system,100,,East Baton Rouge Parish,4,5,4
LA1055017,LAFAYETTE UTILITIES WATER SYSTEM,Region 6,Louisiana,Community water system,141726,,Lafayette Parish,50,1,29
LA1055026,SCOTT CITY OF WATER SYSTEM,Region 6,Louisiana,Community water system,9120,,Lafayette Parish,2,3,6
LA1115118,SOUTH VERNON PARISH WATERWORKS DISTRICT,Region 6,Louisiana,Community water system,2616,,Vernon Parish,8,5,8
LA2103487,LACOMBE STORES,Region 6,Louisiana,Transient non-community system,1001,,St. Tammany Parish,3,1,2
LA1043017,POLLOCK AREA WATER SYSTEM INC,Region 6,Louisiana,Community water system,2550,,Grant Parish,22,1,10
