PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
ME0002026,LAKESIDE PINES CAMPGROUND,Region 1,Maine,Transient non-community system,463,BRIDGTON,Cumberland,6,4,11
ME0091370,RICHMOND UTILITIES DISTRICT,Region 1,Maine,Community water system,1400,RICHMOND,Sagadahoc,9,10,17
ME0021307,NAPLES PIZZA & DUGOUT LLC,Region 1,Maine,Transient non-community system,75,NAPLES,Cumberland,4,22,6
ME0094899,PHOENIX HOUSE & WELL,Region 1,Maine,Transient non-community system,900,NEWRY,Oxford,3,10,3
ME0094495,SLEEPERS SUPERMARKET,Region 1,Maine,Transient non-community system,26,LIMINGTON,York,4,27,24
ME0000802,CAMP WEKEELA,Region 1,Maine,Transient non-community system,395,HARTFORD,Oxford,6,6,8
ME0094457,MSAD 61 SONGO LOCKS ELEM SCH,Region 1,Maine,Non-Transient non-community system,478,NAPLES,Cumberland,8,20,12
ME0098272,ARCHIBALDS ONE-STOP,Region 1,Maine,Transient non-community system,25,EAST MACHIAS,Washington,4,1,6
ME0090373,POLYOTS MOBILE HOME PARK,Region 1,Maine,Community water system,73,CORINTH,Penobscot,11,12,15
ME0016686,MSAD 61 CROOKED RIVER SCHOOL,Region 1,Maine,Non-Transient non-community system,25,CASCO,Cumberland,4,8,9
ME0094813,MOOSEHEAD COTTAGE RESORT,Region 1,Maine,Transient non-community system,25,GREENVILLE,Piscataquis,4,11,12
ME0095699,HINGHAM HEIGHTS,Region 1,Maine,Community water system,75,GLENBURN,Penobscot,5,35,7
ME0094860,CHANDLER RIVER LODGE,Region 1,Maine,Transient non-community system,54,JONESBORO,Washington,6,20,12
ME0007132,LEENS LODGE,Region 1,Maine,Transient non-community system,26,GRAND LAKE STR,Washington,4,4,6
ME0004923,KATAHDIN LODGE,Region 1,Maine,Transient non-community system,118,MORO PLT,Penobscot,3,8,8
ME0092467,LIFE CHURCH-SUNNY DAYS CHILDCARE,Region 1,Maine,Non-Transient non-community system,80,GORHAM,Cumberland,2,0,1
ME0200772,CAMP WALDEN #2,Region 1,Maine,Transient non-community system,50,DENMARK,Oxford,5,7,4
ME0000195,MSAD 72 DENMARK VILLAGE SCHOOL,Region 1,Maine,Non-Transient non-community system,125,DENMARK,Oxford,7,4,8
ME0090740,JAY VILLAGE WATER DISTRICT,Region 1,Maine,Community water system,960,JAY,Franklin,6,20,25
