PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MD1040093,PRIME TIME CHILDREN'S CENTER,Region 3,Maryland,Non-Transient non-community system,90,OWINGS,Calvert,2,5,6
MD1101332,FREDERICK CHRISTIAN FELLOWSHIP,Region 3,Maryland,Transient non-community system,188,FREDERICK,Frederick,4,1,2
MD1231020,CAPTAINS GALLEY 2,Region 3,Maryland,Transient non-community system,25,OCEAN CITY,Worcester,2,1,3
MD1231051,BAYSIDE VILLAGE,Region 3,Maryland,Community water system,50,BERLIN,Worcester,3,1,7
MD1021425,WEST RIVER YACHT HARBOR,Region 3,Maryland,Transient non-community system,50,GALESVILLE,Anne Arundel,2,1,4
MD1021569,LONDON TOWN PUBLIK HOUSE,Region 3,Maryland,Transient non-community system,31,EDGEWATER,Anne Arundel,2,0,4
MD1040070,DUNKIRK MEDICAL CENTER,Region 3,Maryland,Non-Transient non-community system,200,PRINCE FREDERICK,Calvert,2,42,9
MD1041009,BREEZY PT BEACH CLUB MARINA,Region 3,Maryland,Transient non-community system,260,ANNAPOLIS,Calvert,2,2,3
MD1041232,HARVEST FELLOWSHIP,Region 3,Maryland,Transient non-community system,103,LUSBY,Calvert,2,3,1
MD0190001,CITY OF CRISFIELD,Region 3,Maryland,Community water system,2976,CRISFIELD,Somerset,11,4,18
MD0220005,TOWN OF SHARPTOWN,Region 3,Maryland,Community water system,625,SHARPTOWN,Wicomico,5,25,25
MD1021597,HOLY FAMILY CATH. CH.,Region 3,Maryland,Transient non-community system,603,BALTIMORE,Anne Arundel,3,1,4
MD0120001,CITY OF ABERDEEN,Region 3,Maryland,Community water system,16200,ABERDEEN,Harford,17,2,21
MD0050004,KLEIN/WACHTER/NELPINE HEIGHTS,Region 3,Maryland,Community water system,100,DENTON,Caroline,2,87,17
MD0050208,MEADOW BROOK COURT,Region 3,Maryland,Community water system,50,CAMBRIDGE,Caroline,2,25,12
MD1100048,BURDETTE BROTHERS USED CARS,Region 3,Maryland,Non-Transient non-community system,25,CLARKSBURG,Frederick,2,20,14
MD0080030,MOUNT CARMEL WOODS,Region 3,Maryland,Community water system,175,LA PLATA,Charles,5,5,16
MD1031087,LEE'S TAVERN,Region 3,Maryland,Transient non-community system,30,PARKTON,Baltimore,2,2,3
MD1031016,BUTLER STORE & LIQUORS,Region 3,Maryland,Transient non-community system,506,BUTLER,Baltimore,2,1,4
MD0040010,PARIS OAKS / DAYS END,Region 3,Maryland,Community water system,275,PRINCE FREDERICK,Calvert,3,2,12
MD1190026,SOMERSET COUNTY INTERMEDIATE SCHOOL,Region 3,Maryland,Non-Transient non-community system,400,WESTOVER,Somerset,3,2,3
MD1181117,RETRIEVER'S GRILL,Region 3,Maryland,Transient non-community system,54,LEONARDTOWN,St. Mary's,2,5,1
MD1181169,ST MARY'S LANDING,Region 3,Maryland,Transient non-community system,419,CHARLOTTE HALL,St. Mary's,2,1,1
MD1061097,ST. LUKE WINTERS LUTHERAN CHUR,Region 3,Maryland,Transient non-community system,110,NEW WINDSOR,Carroll,2,0,3
MD1141108,CROW FARMSTAY BED AND BREAKFAST,Region 3,Maryland,Transient non-community system,25,KENNEDYVILLE,Kent,2,2,1
MD1181136,SPINNAKERS/PT LOOKOUT MARINA,Region 3,Maryland,Transient non-community system,31,RIDGE,St. Mary's,2,1,1
MD1141063,VFW POST #652,Region 3,Maryland,Transient non-community system,152,MILLINGTON,Kent,2,4,3
MD1181320,ST FRANCIS XAVIER,Region 3,Maryland,Transient non-community system,25,LEONARDTOWN,St. Mary's,2,1,2
MD1111122,INNSBRUCK VILLAGE A-UPPER UNIT,Region 3,Maryland,Transient non-community system,35,HUDSON,Garrett,2,2,2
MD1081054,LONE STAR CAFE,Region 3,Maryland,Transient non-community system,102,INDIAN HEAD,Charles,2,0,3
MD1101182,ST PAULS LUTHERAN CHURCH,Region 3,Maryland,Transient non-community system,50,BURKITTSVILLE,Frederick,2,2,3
MD1061048,FOUR SEASONS / TONY & JOES RESTAURANT,Region 3,Maryland,Transient non-community system,400,MT. AIRY,Carroll,2,3,1
