PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MA1256000,RUSSELL WATER DEPT,Region 1,Massachusetts,Community water system,1228,RUSSELL,Hampden,7,22,9
MA4096009,PRISTINE SPRING (FALMOUTH) VEND,Region 1,Massachusetts,Transient non-community system,100,FALMOUTH,Barnstable,4,0,2
MA3254000,ROWLEY WATER DEPARTMENT,Region 1,Massachusetts,Community water system,6000,ROWLEY,Essex,11,38,21
MA3284000,STONEHAM WATER DEPT (MWRA SUPPLY),Region 1,Massachusetts,Community water system,21437,STONEHAM,Middlesex,4,15,10
MA3298005,NEW MEADOWS GOLF CLUB,Region 1,Massachusetts,Transient non-community system,100,TOPSFIELD,Essex,1,4,2
MA1260009,M J TUCKERS LLC,Region 1,Massachusetts,Transient non-community system,25,SANDISFIELD,Berkshire,1,1,2
MA4318074,DRUMMER COVE COTTAGES,Region 1,Massachusetts,Transient non-community system,125,WELLFLEET,Barnstable,6,4,2
MA4020022,GREAT MARSH HEALTH SERVICES,Region 1,Massachusetts,Transient non-community system,25,BARNSTABLE,Barnstable,2,0,1
MA1124011,CLOVER HILL COUNTRY STORE,Region 1,Massachusetts,Transient non-community system,25,HARDWICK,Worcester,2,0,1
MA1074002,WOOLMAN HILL INC,Region 1,Massachusetts,Transient non-community system,25,DEERFIELD,Franklin,2,9,2
MA4083000,EAST BRIDGEWATER WATER DEPT,Region 1,Massachusetts,Community water system,13853,EAST BRIDGEWATER,Plymouth,19,53,12
MA2054014,CHARLTON ELEMENTARY SCHOOL,Region 1,Massachusetts,Non-Transient non-community system,450,CHARLTON,Worcester,8,2,6
MA4086048,SEAMAN COTTAGES,Region 1,Massachusetts,Transient non-community system,25,EASTHAM,Barnstable,6,37,2
MA2110001,SOUTH GRAFTON WATER DISTRICT,Region 1,Massachusetts,Community water system,2890,GRAFTON,Worcester,16,17,12
MA4334010,ST GEORGE SCHOOL,Region 1,Massachusetts,Non-Transient non-community system,200,WESTPORT,Bristol,2,44,4
MA2257008,COLONIAL CONVENIENCE STORE,Region 1,Massachusetts,Transient non-community system,125,RUTLAND,Worcester,4,0,2
MA2290014,WILKINSONVILLE WATER DISTRICT,Region 1,Massachusetts,Community water system,2596,SUTTON,Worcester,11,66,11
MA1283017,HERON POND AT STOCKBRIDGE,Region 1,Massachusetts,Community water system,25,STOCKBRIDGE,Berkshire,4,3,6
