PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MS0100007,REFORM WATER ASSOCIATION,Region 4,Mississippi,Community water system,1675,,Choctaw,6,78,17
MS0530006,CLAYTON VILLAGE W/A #1-EAST,Region 4,Mississippi,Community water system,4900,,Oktibbeha,9,194,18
MS0340020,SOSO COMMUNITY WATER SYS. INC,Region 4,Mississippi,Community water system,2082,,Jones,8,70,20
MS0580004,OAK HILL WATER ASSN #1,Region 4,Mississippi,Community water system,2353,,Pontotoc,8,159,17
MS0730001,ALPINE WATER ASSOCIATION,Region 4,Mississippi,Community water system,1000,,Union,5,138,15
MS0710006,CITY OF IUKA,Region 4,Mississippi,Community water system,7113,IUKA,Tishomingo,8,81,16
MS0820024,"TERRA MISSISSIPPI NITROGEN, INC.",Region 4,Mississippi,Non-Transient non-community system,115,,Yazoo,7,13,19
MS0530036,CLAYTON VILLAGE-UNIV HEIGHTS,Region 4,Mississippi,Community water system,287,,Oktibbeha,3,58,15
MS0340031,HATTIESBURG-LAUREL REG AIRPORT,Region 4,Mississippi,Non-Transient non-community system,220,,Jones,3,0,16
MS0610017,CITY OF PEARL,Region 4,Mississippi,Community water system,25500,PEARL,Rankin,24,222,19
MS0710010,TOWN OF TISHOMINGO,Region 4,Mississippi,Community water system,800,,Tishomingo,9,70,15
MS0360008,HOPEWELL WATER ASSOCIATION,Region 4,Mississippi,Community water system,1314,,Lafayette,4,76,18
MS0180008,CITY OF HATTIESBURG,Region 4,Mississippi,Community water system,56000,HATTIESBURG,Forrest,32,207,16
MS0360010,LAFAYETTE SPRINGS WATER ASSN,Region 4,Mississippi,Community water system,498,,Lafayette,5,479,17
MS0520024,SHUQUALAK-BUTLER W/A,Region 4,Mississippi,Community water system,540,,Noxubee,3,72,11
MS0140011,RENA LARA WATER ASSOCIATION,Region 4,Mississippi,Community water system,350,,Coahoma,7,141,16
MS0610011,GREENFIELD WATER ASSOCIATION,Region 4,Mississippi,Community water system,3225,,Rankin,10,215,18
MS0680008,PAYNES WATER ASSOCIATION,Region 4,Mississippi,Community water system,582,,Tallahatchie,5,75,14
MS0540002,CITY OF BATESVILLE,Region 4,Mississippi,Community water system,9999,BATESVILLE,Panola,13,170,14
MS0360001,ABBEVILLE WATER ASSN,Region 4,Mississippi,Community water system,450,,Lafayette,9,151,15
MS0580024,OAK HILL WATER ASSN #2,Region 4,Mississippi,Community water system,1584,,Pontotoc,5,74,13
MS0250023,SOUTH TERRY WATER ASSN,Region 4,Mississippi,Community water system,705,,Hinds,5,141,17
MS0300012,MISS. PHOSPHATES CORP.,Region 4,Mississippi,Non-Transient non-community system,250,,Jackson,3,8,14
MS0570001,FERNWOOD WATER ASSOCIATION,Region 4,Mississippi,Community water system,310,,Pike,2,7,14
MS0580017,TOCCOPOLA WATER ASSOCIATION #2,Region 4,Mississippi,Community water system,1560,,Pontotoc,7,140,17
MS0240009,CITY OF PASS CHRISTIAN,Region 4,Mississippi,Community water system,6235,PASS CHRISTIAN,Harrison,12,139,16
MS0600017,BIRDIE WATER ASSOCIATION,Region 4,Mississippi,Community water system,219,,Quitman,3,58,12
MS0060007,DELTA STATE UNIVERSITY,Region 4,Mississippi,Community water system,3000,,Bolivar,5,74,14
MS0040028,SPRINGDALE YOUTH CNT HWY 12-W,Region 4,Mississippi,Community water system,400,,Attala,2,7,17
MS0470004,TOWN OF POTTS CAMP,Region 4,Mississippi,Community water system,1566,,Marshall,5,143,14
MS0520023,PARKS UTILITIES,Region 4,Mississippi,Community water system,918,,Noxubee,3,89,14
MS0340007,J P UTILITY DISTRICT,Region 4,Mississippi,Community water system,4242,,Jones,11,306,19
MS0470057,WALL DOXEY STATE PARK,Region 4,Mississippi,Transient non-community system,300,,Marshall,3,1,18
MS0140046,DAVENPORT WATER ASSOCIATION,Region 4,Mississippi,Community water system,75,,Coahoma,2,23,14
MS0350006,PORTERVILLE W/A,Region 4,Mississippi,Community water system,2310,,Kemper,5,175,17
MS0310007,LOUIN WATER WORKS,Region 4,Mississippi,Community water system,600,,Jasper,5,184,17
MS0010005,"BROADMOOR UTILITIES, INC",Region 4,Mississippi,Community water system,1400,,Adams,7,75,18
MS0750003,EAGLE LAKE WATER DISTRICT,Region 4,Mississippi,Community water system,1560,,Warren,6,59,16
MS0640022,OKATOMA WATER ASSOCIATION #2,Region 4,Mississippi,Community water system,5304,,Simpson,9,210,18
MS0690021,INDEPENDENCE METHODIST CHURCH,Region 4,Mississippi,Transient non-community system,100,,Tate,3,8,17
MS0550050,LIBERTY ROAD TRAILER PARK,Region 4,Mississippi,Community water system,145,,Pearl River,3,150,9
MS0310003,BEAVERDAM W/A-NORTH,Region 4,Mississippi,Community water system,1800,,Jasper,8,141,17
MS0220064,YOUNGS W/S DIST #1-DIVIDING R,Region 4,Mississippi,Community water system,420,,Grenada,3,62,19
MS0410024,NORTH LEE W/A #1-BARNES CROSNG,Region 4,Mississippi,Community water system,3263,,Lee,23,423,15
MS0340017,SHADY GROVE UTILITY DISTRICT,Region 4,Mississippi,Community water system,3296,,Jones,9,287,18
MS0070007,DUNCAN HILL WATER SUPPLY,Region 4,Mississippi,Community water system,414,,Calhoun,5,143,17
MS0410040,NORTH LEE W/A #5-RED HILL,Region 4,Mississippi,Community water system,304,,Lee,3,94,7
MS0260010,HOLMES JR COLLEGE,Region 4,Mississippi,Community water system,792,,Holmes,3,145,15
MS0140008,TOWN OF JONESTOWN,Region 4,Mississippi,Community water system,1701,,Coahoma,7,153,13
MS0410035,NORTH LEE W/A #4-MACEDONIA,Region 4,Mississippi,Community water system,1087,,Lee,3,101,15
MS0430001,BOGUE CHITTO WATER ASSOCIATION,Region 4,Mississippi,Community water system,2500,,Lincoln,9,141,20
MS0570013,TOWN OF SUMMIT,Region 4,Mississippi,Community water system,1705,,Pike,10,141,17
MS0360038,ROSEBURG FOREST PRODUCTS,Region 4,Mississippi,Non-Transient non-community system,60,,Lafayette,5,6,18
MS0570014,SUNNYHILL WATER ASSOCIATION,Region 4,Mississippi,Community water system,3859,,Pike,10,233,19
MS0410001,NORTH LEE W/A-AUBURN SYSTEM #1,Region 4,Mississippi,Community water system,1066,,Lee,5,138,16
MS0800019,LIBERTY-PLATTSBURG W/A #2,Region 4,Mississippi,Community water system,1325,,Winston,6,133,16
MS0410042,NORTH LEE W/A-HUSHPUPPY,Region 4,Mississippi,Community water system,476,SALTILLO,Lee,3,8,0
MS0410041,NORTH LEE W/A-BEECH SPRINGS,Region 4,Mississippi,Community water system,1396,SALTILLO,Lee,5,15,0
MS0340002,ELLISVILLE STATE SCHOOL #1,Region 4,Mississippi,Community water system,760,,Jones,3,67,17
MS0340032,ELLISVILLE STATE SCHOOL #2,Region 4,Mississippi,Community water system,760,,Jones,4,69,16
MS0190015,FCWA-HAMBURG,Region 4,Mississippi,Community water system,651,,Franklin,3,67,5
MS0410043,NORTH LEE W/A-BO'S STORE,Region 4,Mississippi,Community water system,647,SALTILLO,Lee,3,4,0
MS0240258,THE WOODS,Region 4,Mississippi,Community water system,152,,Harrison,3,49,4
MS0220065,YOUNGS W/S DIST #2-YOUNGS SYS,Region 4,Mississippi,Community water system,849,,Grenada,3,76,18
MS0180001,BARRONTOWN W/A,Region 4,Mississippi,Community water system,6670,,Forrest,13,382,17
MS0300006,CITY OF PASCAGOULA,Region 4,Mississippi,Community water system,23692,PASCAGOULA,Jackson,19,67,19
MS0030003,TOWN OF GLOSTER,Region 4,Mississippi,Community water system,996,,Amite,5,71,20
MS0190014,FCWA - PLEASANT VALLEY,Region 4,Mississippi,Community water system,105,,Franklin,3,59,7
MS0190008,FCWA - OLDENBURG,Region 4,Mississippi,Community water system,1833,,Franklin,4,75,17
MS0580023,HOULKA-WASHINGTON EXT,Region 4,Mississippi,Community water system,609,,Pontotoc,5,138,11
MS0190010,FCWA - BERRYTOWN,Region 4,Mississippi,Community water system,285,,Franklin,3,63,16
MS0410025,NORTH LEE W/A #2-BIRMINGHAM RD,Region 4,Mississippi,Community water system,2839,,Lee,11,188,16
MS0440004,TOWN OF CRAWFORD,Region 4,Mississippi,Community water system,631,,Lowndes,5,176,17
MS0300157,JACKSON COUNTY BARN,Region 4,Mississippi,Non-Transient non-community system,86,,Jackson,3,0,10
MS0060054,NORTH BOLIVAR W/A,Region 4,Mississippi,Community water system,668,,Bolivar,5,142,8
