PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NN4900227,Monument Valley Utah Schools,Region 9,Navajo Nation,Community water system,330,Monument Valley,,6,90,3
NN0403022,Canyon De Chelly National Monument,Region 9,Navajo Nation,Community water system,55,Chinle,,6,96,6
NN0432005,Cove BIA Day School  -BIA,Region 9,Navajo Nation,Community water system,73,Cove,,5,66,6
NN0433008,Kayenta Community BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,500,Kayenta,,8,68,2
NN0433015,Rocky Ridge BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,250,Dinnebito,,8,64,3
NN3500295,Manuelito Chapter House  -O&M,Region 9,Navajo Nation,Community water system,66,Manuelito,,4,105,4
NN4900223,Rainbow Village/Navajo Mountain  -O&M,Region 9,Navajo Nation,Community water system,255,Navajo Mountain,,11,71,8
NN3500332,Chevron Coal Company/North Mine,Region 9,Navajo Nation,Non-Transient non-community system,500,P&M Coal Mine Employees,,4,82,2
NN3534026,Alamo Navajo Community BIA School  -BIA,Region 9,Navajo Nation,Non-Transient non-community system,600,Alamo,,7,18,7
NN3532009,Sanostee BIA Day School  -BIA,Region 9,Navajo Nation,Non-Transient non-community system,690,Sanostee,,6,6,3
NN0400380,St. Michaels Indian School,Region 9,Navajo Nation,Non-Transient non-community system,585,St. Michaels,,11,223,5
NN3500285,Alamo-Alamo Community,Region 9,Navajo Nation,Community water system,520,Alamo,,22,274,4
NN0433004,Dennehotso BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,300,Dennehotso,,8,66,4
NN0436018,Pine Springs BIA Day School  -BIA,Region 9,Navajo Nation,Community water system,122,"Houck, North of",,7,12,3
NN3532006,Nenahnezad Community BIA School  -BIA,Region 9,Navajo Nation,Community water system,80,Nenahnezad,,5,4,6
NN0433007,Kaibeto (Upper) BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,400,Kaibeto,,13,115,3
NN0435010,Pinon Community BIA Dormitory School  -BIA,Region 9,Navajo Nation,Community water system,500,Pinon,,6,10,4
NN0433002,Chilchinbeto BIA Day School  -BIA,Region 9,Navajo Nation,Community water system,72,Chilchinbeto,,5,63,3
NN3500329,Alamo-Chavez Springs,Region 9,Navajo Nation,Community water system,28,"Alamo, Chavez Springs",,5,108,4
NN0435006,Low Mountain BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,339,Low Mountain,,8,126,5
NN3500286,Alamo-Alamo Springs,Region 9,Navajo Nation,Community water system,210,Alamo Springs,,7,196,4
NN0436015,Kinlichee Community BIA School  -BIA,Region 9,Navajo Nation,Community water system,200,Kinlichee,,8,63,4
NN3534025,Canoncito Community BIA School  -BIA,Region 9,Navajo Nation,Non-Transient non-community system,437,Canoncito,,7,21,5
NN0436024,Wide Ruins BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,215,Wide Ruins,,11,75,4
NN0435007,Lukachukai BIA Boarding School - BIA,Region 9,Navajo Nation,Community water system,472,Lukachukai,,12,62,4
NN0432010,Teec Nos Pos BIA Boarding School  -BIA,Region 9,Navajo Nation,Community water system,300,Teec Nos Pos,,12,63,4
NN0435004,Cottonwood BIA Day School  -BIA,Region 9,Navajo Nation,Community water system,185,Cottonwood,,5,68,4
NN0436008,Greasewood (Lower) Community BIA Boarding School,Region 9,Navajo Nation,Community water system,720,Lower Greasewood,,17,73,4
NN0400181,Ft. Defiance Elementary School,Region 9,Navajo Nation,Community water system,1350,Fort Defiance,,4,96,5
NN4900225,Gouldings Trading Post & Lodge,Region 9,Navajo Nation,Community water system,300,Monument Valley,,8,115,3
NN4932002,Aneth Community BIA School  -BIA,Region 9,Navajo Nation,Community water system,192,Aneth,,11,8,5
NN4903063,Monument Valley Navajo Tribal Park,Region 9,Navajo Nation,Transient non-community system,275,Monument Valley,,5,33,4
NN0433009,Leupp BIA Contract Boarding School  -BIA,Region 9,Navajo Nation,Community water system,250,Leupp,,8,46,5
NN0433013,Red Lake (Tonalea) BIA Day School  -BIA,Region 9,Navajo Nation,Community water system,300,"Tonalea, Red Lake",,7,65,2
NN3500266,"Ramona Smith Water Users Group, Incorporated",Region 9,Navajo Nation,Community water system,77,"Twin Lakes, North of",,3,22,5
NN3510000,Fire Rock Navajo Casino,Region 9,Navajo Nation,Non-Transient non-community system,300,Fire Rock Navajo Casino,,3,10,2
NN3510003,Northern Edge Navajo Casino,Region 9,Navajo Nation,Non-Transient non-community system,25,Northern Edge Navajo Casino,,4,1,0
NN0403060,Chinle Elementary School,Region 9,Navajo Nation,Community water system,220,Chinle,,7,38,4
NN0403062,Chinle High School,Region 9,Navajo Nation,Non-Transient non-community system,975,Chinle,,7,51,6
NN3500237,Tohatchi/Mexican Springs/Twin Lakes  -NTUA,Region 9,Navajo Nation,Community water system,1809,"Tohatchi, Mexican Springs",,12,33,7
