PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NH0028070,ALMOST THERE RESTAURANT,Region 1,New Hampshire,Transient non-community system,65,ALBANY,Carroll,1,7,3
NH1795050,OZ LAND EARLY LEARNING CENTER,Region 1,New Hampshire,Non-Transient non-community system,35,NORTHWOOD,Rockingham,1,3,3
NH2348120,GREEN VALLEY MOTOR COURT,Region 1,New Hampshire,Transient non-community system,30,THORNTON,Grafton,2,5,2
NH1847180,BEARCAMP RIVER CAMPGROUND,Region 1,New Hampshire,Transient non-community system,120,OSSIPEE,Carroll,2,10,2
NH1855020,PELHAM HIGH SCH,Region 1,New Hampshire,Non-Transient non-community system,704,PELHAM,Hillsborough,2,29,3
NH2479010,BAKER RIVER BIBLE CHURCH,Region 1,New Hampshire,Transient non-community system,80,WENTWORTH,Grafton,2,2,2
NH0357040,CRESCENT CAMPSITES/NORTH,Region 1,New Hampshire,Transient non-community system,211,CANAAN,Grafton,3,3,2
NH1205060,KIDDIE KONNECTION,Region 1,New Hampshire,Non-Transient non-community system,191,HUDSON,Hillsborough,1,5,4
NH1205070,EARLY START CHILDRENS CENTER,Region 1,New Hampshire,Non-Transient non-community system,79,HUDSON,Hillsborough,2,11,3
NH1565030,CHILDRENS CHOICE,Region 1,New Hampshire,Non-Transient non-community system,33,MILFORD,Hillsborough,2,1,3
NH2546160,COMMONS AT WINDHAM 2/EAST BLDG,Region 1,New Hampshire,Non-Transient non-community system,50,WINDHAM,Rockingham,2,28,4
NH0887080,PHEASANT RIDGE COUNTRY CLUB,Region 1,New Hampshire,Transient non-community system,56,GILFORD,Belknap,2,1,2
NH0548010,CONISTON GENERAL STORE,Region 1,New Hampshire,Transient non-community system,80,CROYDON,Sullivan,1,5,2
NH2512010,POUND ROAD WATER WORKS,Region 1,New Hampshire,Community water system,53,WILMOT,Merrimack,1,57,4
NH1197030,ELM BROOK PARK,Region 1,New Hampshire,Transient non-community system,500,HOPKINTON,Merrimack,2,0,2
NH1379010,TABERNACLE CHRISTIAN SCH,Region 1,New Hampshire,Non-Transient non-community system,208,LITCHFIELD,Hillsborough,3,23,4
NH1973050,HILL TOP,Region 1,New Hampshire,Community water system,140,RAYMOND,Rockingham,5,9,8
NH1837060,JACOBS BROOK CAMPGROUND,Region 1,New Hampshire,Transient non-community system,132,ORFORD,Grafton,1,0,2
NH2232030,SALT RIVER CONDOS,Region 1,New Hampshire,Community water system,195,STRATHAM,Rockingham,3,27,3
NH0055030,ORCHARD SCH,Region 1,New Hampshire,Non-Transient non-community system,45,ALSTEAD,Cheshire,1,5,3
NH2239040,AUTOFAIR NISSAN,Region 1,New Hampshire,Transient non-community system,40,STRATHAM,Rockingham,1,0,2
NH0167010,MT ATTITASH SKI AREA/LODGE,Region 1,New Hampshire,Non-Transient non-community system,1000,BARTLETT,Carroll,3,9,3
NH2218040,SHEILAH DELI AND MARKET,Region 1,New Hampshire,Transient non-community system,25,STRAFFORD,Strafford,2,0,3
