PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NJ0217001,FAIR LAWN WATER DEPT,Region 2,New Jersey,Community water system,32573,FAIR LAWN BORO-0217,Bergen,24,114,11
NJ1351321,PHILLS II,Region 2,New Jersey,Non-Transient non-community system,222,UPPER FREEHOLD TWP.-1351,Monmouth,4,0,5
NJ1319426,MILITARY SEALIFT FIRE FI,Region 2,New Jersey,Transient non-community system,25,HOWELL TWP.-1319,Monmouth,3,10,6
NJ0506001,DELSEA WOODS COMMUNITY LLC,Region 2,New Jersey,Community water system,180,MIDDLE TWP.-0506,Cape May,7,27,14
NJ0339317,WAWA STORE #388,Region 2,New Jersey,Transient non-community system,1515,WOODLAND TWP.-0339,Burlington,4,3,7
NJ0512001,WEST CAPE MAY WATER DEPT,Region 2,New Jersey,Community water system,4600,WEST CAPE MAY BORO-0512,Cape May,7,19,7
NJ0824302,RODES FIRESIDE LOUNGE,Region 2,New Jersey,Transient non-community system,271,WOOLWICH TWP.-0824,Gloucester,4,4,4
NJ1026306,AMWELL VALLEY DINER,Region 2,New Jersey,Transient non-community system,131,WEST AMWELL TWP.-1026,Hunterdon,5,0,3
NJ1924318,CLIFTON E LAWRENCE SCHOO,Region 2,New Jersey,Non-Transient non-community system,860,WANTAGE TWP.-1924,Sussex,4,28,5
NJ1911352,BEAVER LAKE REALTY COMPANY (HAND PUMP),Region 2,New Jersey,Transient non-community system,30,HARDYSTON TWP.-1911,Sussex,3,0,1
NJ1436371,MEIER STONE COMPANY INC,Region 2,New Jersey,Transient non-community system,43,ROXBURY TWP.-1436,Morris,3,0,4
NJ1326371,NEXTGEN ENTERPRISES LLC,Region 2,New Jersey,Non-Transient non-community system,80,MANALAPAN TWP.-1326,Monmouth,3,32,2
NJ1436332,MEIER INDUSTRIAL PARK  INC,Region 2,New Jersey,Non-Transient non-community system,47,ROXBURY TWP.-1436,Morris,4,18,5
NJ1615334,OAKRIDGE PRESBYTERIAN CHURCH/MY SCH DAY,Region 2,New Jersey,Non-Transient non-community system,73,WEST MILFORD TWP.-1615,Passaic,4,2,6
NJ1904002,E BROOKWOOD PROP OWNERS,Region 2,New Jersey,Community water system,612,BYRAM TWP.-1904,Sussex,8,223,12
NJ0415313,EZ FOOD STOP,Region 2,New Jersey,Transient non-community system,52,GLOUCESTER TWP.-0415,Camden,4,5,4
NJ0332311,MULLICA WILDERNESS CAMPS,Region 2,New Jersey,Transient non-community system,300,SHAMONG TWP.-0332,Burlington,3,6,7
NJ0506319,PONDEROSA CG-SMALL BATHH,Region 2,New Jersey,Transient non-community system,55,MIDDLE TWP.-0506,Cape May,3,6,4
NJ0335301,LENAPE REGIONAL HIGH SCHOOL-SEQUOIA,Region 2,New Jersey,Non-Transient non-community system,122,TABERNACLE TWP.-0335,Burlington,4,12,6
NJ0336306,GODFREY BRIDGE CAMPSITE,Region 2,New Jersey,Transient non-community system,200,WASHINGTON TWP.-0336,Burlington,3,5,8
NJ1922367,FERGUSON-VERNON FUNERAL,Region 2,New Jersey,Transient non-community system,25,VERNON TWP.-1922,Sussex,3,8,3
NJ1914322,TRI STATE BIBLE CONF,Region 2,New Jersey,Transient non-community system,131,MONTAGUE TWP.-1914,Sussex,4,9,3
NJ1507308,"OCEAN CNTY P.I.C., INC.",Region 2,New Jersey,Non-Transient non-community system,60,TOMS RIVER-1507,Ocean,4,47,5
NJ1924364,QUICK CHEK STORE 43,Region 2,New Jersey,Transient non-community system,1319,WANTAGE TWP.-1924,Sussex,3,2,1
NJ1352342,RICHARD SCHULTZ RENTALS,Region 2,New Jersey,Non-Transient non-community system,60,WALL TWP.-1352,Monmouth,4,128,5
NJ0602307,COMMERCIAL TPW. SENIOR CENTER,Region 2,New Jersey,Transient non-community system,40,COMMERCIAL TWP.-00602,Cumberland,3,10,3
NJ1319485,TALL OAKS FARM WELL #2,Region 2,New Jersey,Transient non-community system,62,HOWELL TWP.-1319,Monmouth,2,0,4
NJ1026316,QUICK CHECK FOOD STORE,Region 2,New Jersey,Transient non-community system,620,WEST AMWELL TWP.-1026,Hunterdon,4,6,4
NJ1806355,SUPER CAR WASH,Region 2,New Jersey,Transient non-community system,162,BRIDGEWATER TWP.-1806,Somerset,3,0,2
NJ0306308,BURLINGTON GSA,Region 2,New Jersey,Non-Transient non-community system,530,BURLINGTON TWP.-0306,Burlington,5,28,5
NJ0336309,WHARTON ST FOREST BODINE,Region 2,New Jersey,Transient non-community system,200,WASHINGTON TWP.-0336,Burlington,3,4,8
