PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NM3501027,SPACEPORT AMERICA,Region 6,New Mexico,Transient non-community system,25,TRUTH OR CONSEQUENCES,Sierra,7,0,0
NM3512714,CORONA WATER SYSTEM,Region 6,New Mexico,Community water system,200,CORONA,Lincoln,10,5,15
NM3553401,CORONADO VILLAGE COUNTRY CLUB,Region 6,New Mexico,Community water system,870,ALBUQUERQUE,Bernalillo,8,23,11
NM3526804,ANGEL NEST APARTMENTS,Region 6,New Mexico,Community water system,60,ANGEL FIRE,Colfax,6,10,8
NM3502401,"GREEN RIDGE MDWCA, INC.",Region 6,New Mexico,Community water system,130,TIJERAS,Bernalillo,6,22,3
NM3590218,COYOTE CREEK STATE PARK,Region 6,New Mexico,Transient non-community system,25,GUADALUPITA,Mora,5,8,7
NM3590516,BUTTERFIELD TRAIL REST AREA,Region 6,New Mexico,Transient non-community system,95,DEMING,Luna,4,6,9
NM3501024,PINE RIVER SUBDIVISION WATER USERS ASSN,Region 6,New Mexico,Community water system,28,NAVAJO DAM,San Juan,4,47,5
NM3591816,YUCCA REST AREA-STATE HWY DEPT,Region 6,New Mexico,Transient non-community system,164,LORDSBURG,Hidalgo,8,5,7
NM3595733,ACOMITA REST AREA,Region 6,New Mexico,Transient non-community system,2501,GRANTS,Cibola,8,10,9
NM3509029,LA LOMITA TRAILER PARK,Region 6,New Mexico,Community water system,100,TAOS,Taos,7,5,9
NM3502414,ALONG THE RIVER RV CAMP,Region 6,New Mexico,Transient non-community system,120,NOGAL,Lincoln,3,0,13
NM3534519,DOG CANYON MDWCA,Region 6,New Mexico,Community water system,28,ALAMOGORDO,Otero,9,37,18
NM3510104,MAXWELL COOPERATIVE WATER USERS ASSOC,Region 6,New Mexico,Community water system,154,MAXWELL,Colfax,12,8,10
NM3501209,CALVARY CHAPEL,Region 6,New Mexico,Non-Transient non-community system,365,SILVER CITY,Grant,3,1,2
NM3510609,PINOS ALTOS MDWCA,Region 6,New Mexico,Community water system,350,PINOS ALTOS,Grant,2,4,9
NM3592307,HOLY CROSS RETREAT,Region 6,New Mexico,Transient non-community system,35,MESILLA PARK,Dona Ana,5,8,10
NM3592829,AMALIA  COSTILLA SENIOR CITIZENS CENTER,Region 6,New Mexico,Transient non-community system,30,COSTILLA,Taos,7,18,9
NM3595826,SUNRISE GENERAL STORE,Region 6,New Mexico,Transient non-community system,200,SANTA FE,Santa Fe,5,15,6
NM3501523,ANASAZI TRAILS WATER CO-OP,Region 6,New Mexico,Community water system,75,PLACITAS,Sandoval,7,22,3
NM3590128,FORT CRAIG REST AREA  EAST SIDE,Region 6,New Mexico,Transient non-community system,300,SAN ANTONIO,Socorro,7,2,13
NM3560617,MANUELITO NAVAJO CHILDRENS HOME,Region 6,New Mexico,Community water system,70,GALLUP,McKinley,4,10,9
NM3590317,MANUELITO REST AREA,Region 6,New Mexico,Transient non-community system,2501,GALLUP,McKinley,6,4,5
NM3590009,CLIFF SCHOOL,Region 6,New Mexico,Non-Transient non-community system,325,CLIFF,Grant,21,13,13
NM3590828,FORT CRAIG REST AREA  WEST SIDE,Region 6,New Mexico,Transient non-community system,300,SAN ANTONIO,Socorro,4,2,12
NM3523102,ARAGON MDWCA,Region 6,New Mexico,Community water system,45,ARAGON,Catron,7,11,14
NM3556821,OJO SARCO MDWCA,Region 6,New Mexico,Community water system,400,OJO SARCO,Rio Arriba,6,8,13
NM3506429,LLANO SAN JUAN MDWCA,Region 6,New Mexico,Community water system,84,LLANO,Taos,5,7,14
NM3591116,GAGE REST AREA,Region 6,New Mexico,Transient non-community system,130,DEMING,Luna,7,5,6
NM3545618,AGUA PURA MDWCA,Region 6,New Mexico,Community water system,123,CHACON,Mora,7,40,16
