PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NC0464131,RANSDELL FOREST S/D MHP,Region 4,North Carolina,Community water system,124,SPRING HOPE,Nash,4,16,12
NC5026008,GRAY`S CREEK CHURCH OF GOD,Region 4,North Carolina,Transient non-community system,50,HOPE MILLS,Cumberland,3,40,7
NC0474140,THOMAS MOBILE PARK  NO 2,Region 4,North Carolina,Community water system,124,GREENVILLE,Pitt,4,34,34
NC0326924,KINGDOM HALL (SR-2008),Region 4,North Carolina,Transient non-community system,130,FAYETTEVILLE,Cumberland,3,3,8
NC1056002,MARION TRAVEL PLAZA,Region 4,North Carolina,Transient non-community system,400,MARION,McDowell,5,7,18
NC0103102,HIGH MEADOWS S/D,Region 4,North Carolina,Community water system,610,ROARING GAP,Alleghany,7,24,27
NC0392083,OAKES PLANTATION S/D,Region 4,North Carolina,Community water system,64,KNIGHTDALE,Wake,4,22,14
NC0149188,PINNACLE SHORES S/D,Region 4,North Carolina,Community water system,373,MOORESVILLE,Iredell,7,98,33
NC0136197,SUBURBAN HEIGHTS S/D,Region 4,North Carolina,Community water system,66,GASTONIA,Gaston,6,12,18
NC0197528,WARRIOR CREEK PARK AREA D W-13,Region 4,North Carolina,Transient non-community system,25,WILKESBORO,Wilkes,3,4,8
NC0118778,BETHEL LUTHERAN CHURCH,Region 4,North Carolina,Transient non-community system,300,CLAREMONT,Catawba,3,21,15
NC0188538,MOUNT PISGAH,Region 4,North Carolina,Non-Transient non-community system,150,BALSAM,Transylvania,6,9,21
NC0201582,MCCRAY GRILL,Region 4,North Carolina,Transient non-community system,25,BURLINGTON,Alamance,3,38,7
NC0234165,YORKTOWN S/D,Region 4,North Carolina,Community water system,274,KERNERSVILLE,Forsyth,2,3,7
NC4392182,AMBER RIDGE S/D,Region 4,North Carolina,Community water system,722,KNIGHTDALE,Wake,8,43,13
NC4392233,MONTERREY S/D,Region 4,North Carolina,Community water system,69,GARNER,Wake,4,32,6
NC0498045,SIMS TOWN OF,Region 4,North Carolina,Community water system,317,SIMS,Wilson,6,47,23
NC0424661,POLEY BRIDGE MISS BAPT CH,Region 4,North Carolina,Transient non-community system,75,NAKINA,Columbus,3,9,10
NC0424813,GEORGIA-PACIFIC CORPORATION,Region 4,North Carolina,Non-Transient non-community system,120,WHITEVILLE,Columbus,5,47,23
NC0332106,WHISPERING PINES MHP,Region 4,North Carolina,Community water system,293,DURHAM,Durham,6,153,23
NC0362106,CAROLINA FOREST  WATER SYSTEM,Region 4,North Carolina,Community water system,558,TROY,Montgomery,3,25,25
NC0149511,BIG DADDY`S RESTAURANT,Region 4,North Carolina,Non-Transient non-community system,55,MOORESVILLE,Iredell,5,128,22
NC0351187,RIVERWOOD S/D,Region 4,North Carolina,Community water system,425,CLAYTON,Johnston,8,1,10
NC0392095,AMHERST S/D,Region 4,North Carolina,Community water system,325,FUQUAY-VARINA,Wake,6,22,14
NC0382771,GREENSBRIDGE COUNTRY CLUB,Region 4,North Carolina,Transient non-community system,50,GARLAND,Sampson,3,1,6
NC0392324,HIDDEN HOLLOW S/D,Region 4,North Carolina,Community water system,123,KNIGHTDALE,Wake,5,35,15
NC0392077,SANDY TRAIL S/D,Region 4,North Carolina,Community water system,672,KNIGHTDALE,Wake,10,4,20
NC0160195,WESTWOOD FOREST MHP,Region 4,North Carolina,Community water system,333,CHARLOTTE,Mecklenburg,8,43,22
NC0392168,NEUSE WOODS MH S/D,Region 4,North Carolina,Community water system,305,RALEIGH,Wake,7,12,16
NC0416035,"ATLANTIC BEACH, TOWN OF",Region 4,North Carolina,Community water system,6380,ATLANTIC BEACH,Carteret,11,7,59
NC0160211,HARBOR HOUSE S/D,Region 4,North Carolina,Community water system,160,CHARLOTTE,Mecklenburg,6,40,28
NC0160281,STONE HOLLOW S/D,Region 4,North Carolina,Community water system,574,HUNTERSVILLE,Mecklenburg,6,28,22
NC0465211,OYSTER POINT S/D,Region 4,North Carolina,Community water system,99,WILMINGTON,New Hanover,4,18,22
NC4392630,ST MARY`S FWB CHURCH,Region 4,North Carolina,Transient non-community system,150,APEX,Wake,4,92,7
NC0416163,BRANDYWINE BAY,Region 4,North Carolina,Community water system,2143,MOREHEAD CITY,Carteret,7,40,31
NC0273403,OLD COUNTRY CLUB STEAK HOUSE,Region 4,North Carolina,Transient non-community system,170,ROXBORO,Person,3,8,8
NC0155496,MARYVALE DAY SCHOOL & ST KATES,Region 4,North Carolina,Non-Transient non-community system,115,VALE,Lincoln,3,1,13
NC0136758,CATFISH COVE INC,Region 4,North Carolina,Transient non-community system,25,BELMONT,Gaston,3,3,19
NC0197524,BOOMER PARK BP-9 SCOTT DAM,Region 4,North Carolina,Transient non-community system,25,WILKESBORO,Wilkes,3,4,10
NC0156477,LINVILLE FALLS LODGE,Region 4,North Carolina,Transient non-community system,200,LINVILLE FALLS,McDowell,4,45,30
NC0149586,WESLEY CHAPEL UMC,Region 4,North Carolina,Transient non-community system,25,TROUTMAN,Iredell,4,36,19
NC0150111,CAROLINA VILLAGE APARTMENTS,Region 4,North Carolina,Community water system,59,CULLOWHEE,Jackson,3,63,18
NC0150123,UNIVERSITY MHP,Region 4,North Carolina,Community water system,41,CULLOWHEE,Jackson,3,46,17
NC0136106,BEECHBROOK S/D,Region 4,North Carolina,Community water system,97,MCADENVILLE,Gaston,6,34,22
NC0241700,COMMUNITY LUTHERAN CHURCH,Region 4,North Carolina,Transient non-community system,25,SUMMERFIELD,Guilford,3,23,4
NC0201560,STEP BY STEP CHILD CARE,Region 4,North Carolina,Non-Transient non-community system,60,BURLINGTON,Alamance,4,98,31
NC3099004,HAMPTONVILLE GROCERY,Region 4,North Carolina,Transient non-community system,25,HAMPTONVILLE,Yadkin,4,8,12
NC0382434,CARR`S CHAPEL HOLY CHURCH,Region 4,North Carolina,Transient non-community system,50,GARLAND,Sampson,3,0,10
NC0465165,TREASURE COVE S/D,Region 4,North Carolina,Community water system,737,OGDEN,New Hanover,6,13,27
NC4392195,EAGLES CROSSING S/D,Region 4,North Carolina,Community water system,196,KNIGHDALE,Wake,7,92,12
NC0234191,ABINGTON S/D,Region 4,North Carolina,Community water system,1506,KERNERSVILLE,Forsyth,16,5,45
NC0195110,CRYSTAL MOUNTAIN,Region 4,North Carolina,Community water system,78,BOONE,Watauga,7,42,17
NC0195119,SKI MOUNTAIN S/D,Region 4,North Carolina,Community water system,375,BOONE,Watauga,8,32,22
NC0276010,"ASHEBORO, CITY OF",Region 4,North Carolina,Community water system,28047,ASHEBORO,Randolph,9,0,56
NC3076024,AGAPE CHRISTIAN ACADEMY,Region 4,North Carolina,Non-Transient non-community system,74,,Randolph,4,0,6
NC0160156,LAMPLIGHTER SOUTH-DANBY,Region 4,North Carolina,Community water system,3264,CHARLOTTE,Mecklenburg,17,15,35
NC0351160,WHITE OAK PLANTATION,Region 4,North Carolina,Community water system,526,CLAYTON,Johnston,3,28,20
NC0392099,JORDAN WOODS S/D,Region 4,North Carolina,Community water system,70,GARNER,Wake,6,21,15
NC0392333,TUCKAHOE S/D,Region 4,North Carolina,Community water system,221,WAKE FOREST,Wake,8,16,16
NC0416446,WILLIAM & GARLAND MOTEL,Region 4,North Carolina,Transient non-community system,25,SALTER PATH,Carteret,4,3,9
NC0156101,COATS AMERICAN,Region 4,North Carolina,Non-Transient non-community system,390,MARION,McDowell,4,7,23
NC0180705,ROGERS PARK REFORMED CHURCH,Region 4,North Carolina,Transient non-community system,50,KANNAPOLIS,Rowan,3,4,14
NC0136148,HOLLY ACRES,Region 4,North Carolina,Community water system,135,MOUNT HOLLY,Gaston,6,9,19
NC0424545,UNION CHAPEL BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,30,HALLSBORO,Columbus,3,4,9
NC0100010,"BURNSVILLE, TOWN OF",Region 4,North Carolina,Community water system,3802,BURNSVILLE,Yancey,8,101,100
NC0474142,THOMAS MOBILE PARK  NO 3,Region 4,North Carolina,Community water system,200,GREENVILLE,Pitt,6,162,32
NC0106107,SUGAR MOUNTAIN UTILITY,Region 4,North Carolina,Community water system,3000,BANNER ELK,Avery,49,0,63
NC0425132,FAIRFIELD HARBOUR,Region 4,North Carolina,Community water system,4597,BRIDGETON,Craven,10,3,40
NC0276631,FARMER ELEMENTARY SCHOOL,Region 4,North Carolina,Non-Transient non-community system,446,ASHEBORO,Randolph,7,24,11
NC0161432,GEM MOUNTAIN STORE & MUSEUM,Region 4,North Carolina,Transient non-community system,100,SPRUCE PINE,Mitchell,3,11,8
NC0155531,LEONARD`S FORK BAPT CHURCH,Region 4,North Carolina,Transient non-community system,150,LINCOLNTON,Lincoln,3,8,17
NC0156134,WATERGLYN S/D,Region 4,North Carolina,Community water system,88,NEBO,McDowell,7,0,9
NC0197527,WARRIOR CREEK PARK AREA C W-14,Region 4,North Carolina,Transient non-community system,25,WILKESBORO,Wilkes,3,4,9
NC0197531,WARRIOR CREEK PARK AREA F W17,Region 4,North Carolina,Transient non-community system,50,WILKESBORO,Wilkes,3,4,10
NC0145140,HIGH VISTA ESTATES,Region 4,North Carolina,Community water system,738,HENDERSONVILLE,Henderson,4,32,20
NC0118622,MIDWAY BOATHOUSE GRILL,Region 4,North Carolina,Transient non-community system,25,TERRELL,Catawba,3,7,14
NC0150105,CAMPUS APARTMENTS,Region 4,North Carolina,Community water system,40,CULLOWHEE,Jackson,3,73,14
NC0188116,SHERWOOD FOREST WATER SYSTEM,Region 4,North Carolina,Community water system,610,BREVARD,Transylvania,11,27,21
NC0285409,QUAKER GAP BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,25,KING,Stokes,4,7,18
NC0195108,CHAPEL HILL S/D,Region 4,North Carolina,Community water system,245,BOONE,Watauga,7,24,20
NC0195122,POWDER HORN MOUNTAIN,Region 4,North Carolina,Community water system,522,BOONE,Watauga,13,69,27
NC0285452,FRIENDSHIP BAPT CHURCH,Region 4,North Carolina,Transient non-community system,25,GERMANTON,Stokes,3,21,10
NC0326342,TANGLEWOOD ESTATES S/D,Region 4,North Carolina,Community water system,309,FAYETTEVILLE,Cumberland,6,2,32
NC0326367,TANGLEWOOD SOUTH MHPFAYETTEVILLE PWC,Region 4,North Carolina,Community water system,267,FAYETTEVILLE,Cumberland,7,25,53
NC0111130,JEWEL ACRES WATER SERVICE,Region 4,North Carolina,Community water system,90,ASHEVILLE,Buncombe,4,104,27
NC0309548,ROWAN PFWB CHURCH,Region 4,North Carolina,Transient non-community system,75,IVANHOE,Bladen,3,3,8
NC0156548,RIVERSIDE FOOD MART,Region 4,North Carolina,Transient non-community system,500,MARION,McDowell,4,8,8
NC0145147,WOODHAVEN S/D,Region 4,North Carolina,Community water system,198,HENDERSONVILLE,Henderson,6,2,20
NC0181484,GREEN HILL BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,120,RUTHERFORDTON,Rutherford,2,10,9
NC0156492,BAXTER HEALTH CARE CORP,Region 4,North Carolina,Non-Transient non-community system,2086,MARION,McDowell,13,2,23
NC0197440,UNION BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,25,MILLERS CREEK,Wilkes,3,41,6
NC0150107,FOREST HILLS WATER SYSTEM,Region 4,North Carolina,Community water system,315,CULLOWHEE,Jackson,7,70,23
NC0150113,FAIRFIELD SAPPHIRE,Region 4,North Carolina,Community water system,2842,CASHIERS,Jackson,26,24,92
NC0464040,"SHARPSBURG, TOWN OF",Region 4,North Carolina,Community water system,2210,SHARPSBURG,Nash,6,32,30
NC4392148,WOOD TRACE S/D,Region 4,North Carolina,Community water system,117,WENDELL,Wake,4,1,7
NC2080039,SANDY'S ONE STOP,Region 4,North Carolina,Transient non-community system,25,CHINA GROVE,Rowan,3,5,16
NC7016040,SMYRNA PENTECOSTAL HOLINESS CHURCH,Region 4,North Carolina,Transient non-community system,200,SMYRNA,Carteret,4,0,2
NC3097005,PARSON`S QUICK STOP,Region 4,North Carolina,Transient non-community system,25,ROARING RIVER,Wilkes,3,4,7
NC2049002,WIGGINS ROAD BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,60,MOORESVILLE,Iredell,3,14,13
NC2080049,DUNNS MOUNTAIN PARK,Region 4,North Carolina,Transient non-community system,28,SALISBURY,Rowan,3,0,6
NC0467549,HAMMOCKS BEACH STATE PARK-BEAR,Region 4,North Carolina,Transient non-community system,450,SWANSBORO,Onslow,8,2,12
NC0149509,WILLIAMS GAS PIPELINE-TRANCSO,Region 4,North Carolina,Non-Transient non-community system,25,MT MOURNE,Iredell,4,13,20
NC0392346,AMBER ACRES NORTH S/D,Region 4,North Carolina,Community water system,752,KNIGHTDALE,Wake,10,47,19
NC0136382,COVINGTON ACRES MHP,Region 4,North Carolina,Community water system,224,GASTONIA,Gaston,7,33,28
NC0149408,VANDERBERG UNITED METHODIST CH,Region 4,North Carolina,Transient non-community system,180,MOORESVILLE,Iredell,4,17,21
NC0383437,SCOTLAND CO SCHOOLS TRAN DEPT,Region 4,North Carolina,Transient non-community system,25,LAURINBURG,Scotland,3,10,12
NC0136352,OLDE LAMP PLACE,Region 4,North Carolina,Community water system,119,GASTONIA,Gaston,4,5,24
NC0180741,RON`S QUICK GROCERY,Region 4,North Carolina,Transient non-community system,50,KANNAPOLIS,Rowan,3,37,15
NC0190572,UNION SPRINGS AME ZION CHURCH,Region 4,North Carolina,Transient non-community system,25,MONROE,Union,3,93,16
NC0145586,SUGARLOAF BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,75,HENDERSONVILLE,Henderson,3,6,6
NC0180670,DAN NICHOLAS PARK-NATURE,Region 4,North Carolina,Transient non-community system,100,SALISBURY,Rowan,3,4,16
NC0149473,PLEASANT GROVE BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,75,STONY POINT,Iredell,3,22,12
NC0351166,WILLOWBROOK DEVELOPMENT,Region 4,North Carolina,Community water system,419,CLAYTON,Johnston,9,35,19
NC0392340,COUNTRY CROSSING S/D,Region 4,North Carolina,Community water system,135,ROLESVILLE,Wake,6,28,16
NC0180595,MT HOPE UNITED CH OF CHRIST,Region 4,North Carolina,Transient non-community system,100,SALISBURY,Rowan,4,10,14
NC0180584,ELLIS PARK,Region 4,North Carolina,Transient non-community system,100,SALISBURY,Rowan,3,7,22
NC0180680,DAN NICHOLAS PARK-PICNIC AREA,Region 4,North Carolina,Transient non-community system,100,SALISBURY,Rowan,4,4,19
NC0158101,WOLF LAUREL RESORT,Region 4,North Carolina,Community water system,1663,MARS HILL,Madison,19,51,50
NC0368463,WHITE CROSS RECREATION ASSO,Region 4,North Carolina,Transient non-community system,70,CHAPEL HILL,Orange,4,14,8
NC0392542,WIL MAR GOLF COURSE,Region 4,North Carolina,Transient non-community system,75,RALEIGH,Wake,2,21,9
NC0160200,WILDWOOD GREEN/MCILWAINE,Region 4,North Carolina,Community water system,688,CHARLOTTE,Mecklenburg,7,57,20
NC0160203,BAHIA BAY S/D,Region 4,North Carolina,Community water system,350,CORNELIUS,Mecklenburg,9,17,24
NC0118776,HARVEST BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,75,NEWTON,Catawba,3,4,13
NC0120103,BEAR PAW RESORT,Region 4,North Carolina,Community water system,840,MURPHY,Cherokee,13,18,23
NC0195480,ZIONVILLE BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,50,ZIONVILLE,Watauga,2,1,5
NC0188139,WESTRIDGE OUTDOOR RESORTS,Region 4,North Carolina,Transient non-community system,400,LAKE TOXAWAY,Transylvania,7,0,17
NC0201635,YESTERDAY`S GRILL,Region 4,North Carolina,Transient non-community system,25,SNOW CAMP,Alamance,2,36,7
NC0234124,GRANDVIEW WATER SYSTEM,Region 4,North Carolina,Community water system,193,PFAFFTOWN,Forsyth,8,3,30
NC0285505,THE VINEYARD INC,Region 4,North Carolina,Transient non-community system,300,WESTFIELD,Stokes,3,6,9
NC0351189,BUFFALO CREEK S/D,Region 4,North Carolina,Community water system,609,ZEBULON,Johnston,11,21,14
NC0136205,FORESTBROOK S/D,Region 4,North Carolina,Community water system,213,GASTONIA,Gaston,10,13,20
NC0136211,KINGS GRANT S/D,Region 4,North Carolina,Community water system,462,GASTONIA,Gaston,9,23,20
NC0136214,COLLEGE PARK SD,Region 4,North Carolina,Community water system,208,DALLAS,Gaston,6,9,20
NC0363407,PINE GROVE BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,40,ROBBINS,Moore,3,18,12
NC0100103,MT MITCHELL LANDS,Region 4,North Carolina,Community water system,650,MICAVILLE,Yancey,11,28,17
NC0299420,SHADY GROVE BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,25,BOONVILLE,Yadkin,3,15,5
NC4064030,FREEDOM INDUSTRIES,Region 4,North Carolina,Non-Transient non-community system,30,ROCKY MOUNT,Nash,4,0,4
NC0276659,NORTHEASTERN RANDOLPH MID SCH,Region 4,North Carolina,Non-Transient non-community system,757,LIBERTY,Randolph,7,25,8
NC0197526,WARRIOR CREEK PARK SITES 1-21,Region 4,North Carolina,Transient non-community system,51,WILKESBORO,Wilkes,5,11,13
NC0197530,WARRIOR CREEK PARK AREA F W-16,Region 4,North Carolina,Transient non-community system,56,WILKESBORO,Wilkes,4,14,12
NC0279121,STANFIELD MH COURT,Region 4,North Carolina,Community water system,70,REIDSVILLE,Rockingham,3,108,18
NC0276524,NEW MARKET SCHOOL,Region 4,North Carolina,Non-Transient non-community system,505,SOPHIA,Randolph,5,4,16
NC0136583,BEREA BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,100,GASTONIA,Gaston,3,0,16
NC0378045,"PARKTON, TOWN OF",Region 4,North Carolina,Community water system,487,PARKTON,Robeson,11,360,84
NC0392464,NEW PROVIDENCE BAPTIST CH,Region 4,North Carolina,Transient non-community system,75,FUQUAY-VARINA,Wake,3,14,6
NC0150169,BIG SHEEP CLIFF,Region 4,North Carolina,Community water system,93,CASHIERS,Jackson,14,52,23
NC0197595,THURMOND GROCERY,Region 4,North Carolina,Transient non-community system,25,THURMOND,Wilkes,4,11,9
NC0111481,WORDS OF LIFE TABERNACLE CH,Region 4,North Carolina,Transient non-community system,200,ARDEN,Buncombe,4,14,11
NC7065046,SOUTHERN INDUSTRIAL CONSTRUCTORS,Region 4,North Carolina,Transient non-community system,25,,New Hanover,3,1,2
NC0235487,NELSON CHAPEL BAPT CHURCH,Region 4,North Carolina,Transient non-community system,100,LOUISBURG,Franklin,2,42,9
NC0239460,BULLOCK BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,50,BULLOCK,Granville,3,6,8
