PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
ND2810395,TRIANGLE Y CAMP,Region 8,North Dakota,Transient non-community system,100,,McLean,6,20,21
ND2210933,TAPPEN PUBLIC SCHOOL,Region 8,North Dakota,Non-Transient non-community system,160,,Kidder,3,8,10
ND0801215,MISSOURI RIVER CORRECTIONAL CENTER,Region 8,North Dakota,Community water system,151,,Burleigh,3,11,13
ND0100476,HETTINGER CITY OF,Region 8,North Dakota,Community water system,1226,HETTINGER,Adams,18,3,16
ND2001061,DAKOTA RURAL WATER DISTRICT NORTH,Region 8,North Dakota,Community water system,963,SHARON,Griggs,7,0,13
ND2001121,DAKOTA RURAL WATER DISTRICT SOUTH,Region 8,North Dakota,Community water system,1048,,Griggs,8,1,14
ND0800648,APPLE VALLEY COOP,Region 8,North Dakota,Community water system,200,,Burleigh,9,7,15
ND3200944,TOLNA CITY OF,Region 8,North Dakota,Community water system,166,TOLNA,Nelson,6,8,17
ND5311497,LITTLE BEAVER BAY REC AREA,Region 8,North Dakota,Transient non-community system,40,,Williams,3,1,1
ND3900196,COLFAX CITY OF,Region 8,North Dakota,Community water system,121,COLFAX,Richland,6,10,16
ND5000691,MINTO CITY OF,Region 8,North Dakota,Community water system,604,MINTO,Walsh,8,0,17
ND5001075,WALSH RURAL WATER DISTRICT,Region 8,North Dakota,Community water system,2600,,Walsh,12,0,16
ND2910914,LELAND OLDS STATION,Region 8,North Dakota,Non-Transient non-community system,120,,Mercer,7,3,23
ND3001431,MISSOURI WEST WATER SYSTEM,Region 8,North Dakota,Community water system,3238,,Morton,5,1,11
ND4500934,TAYLOR CITY OF,Region 8,North Dakota,Community water system,148,TAYLOR,Stark,6,9,18
ND0900017,AMENIA CITY OF,Region 8,North Dakota,Community water system,94,AMENIA,Cass,4,4,19
ND4700922,STREETER CITY OF,Region 8,North Dakota,Community water system,170,STREETER,Stutsman,5,4,17
ND0900035,ARTHUR CITY OF,Region 8,North Dakota,Community water system,337,ARTHUR,Cass,10,2,17
ND2710418,LONG X SALOON,Region 8,North Dakota,Transient non-community system,50,,McKenzie,4,44,30
ND2710909,JUNIPER CAMPGROUND,Region 8,North Dakota,Transient non-community system,67,,McKenzie,4,0,21
ND3900976,WALCOTT CITY OF,Region 8,North Dakota,Community water system,235,WALCOTT,Richland,7,8,12
ND0200226,DAZEY CITY OF,Region 8,North Dakota,Community water system,104,DAZEY,Barnes,6,18,16
ND1100758,OAKES CITY OF,Region 8,North Dakota,Community water system,1856,OAKES,Dickey,19,7,18
ND3611390,WOODLAND RESORT,Region 8,North Dakota,Transient non-community system,300,,Ramsey,7,6,15
ND4711228,CARGILL MALT,Region 8,North Dakota,Non-Transient non-community system,100,SPIRITWOOD,Stutsman,15,10,19
ND2300544,FAIRVIEW COLONY,Region 8,North Dakota,Community water system,100,,LaMoure,9,11,3
ND0711443,THE FOOD BARN,Region 8,North Dakota,Transient non-community system,50,POWERS LAKE,Burke,3,5,16
ND0900492,HUNTER CITY OF,Region 8,North Dakota,Community water system,261,HUNTER,Cass,3,2,20
ND0210511,CLAUSEN SPRINGS REC COMPLEX,Region 8,North Dakota,Transient non-community system,25,,Barnes,3,1,21
ND0700569,LIGNITE CITY OF,Region 8,North Dakota,Community water system,155,LIGNITE,Burke,7,7,14
ND1101481,MAPLE RIVER HUTTERIAN ASSOCIATION,Region 8,North Dakota,Community water system,140,,Dickey,6,16,2
ND5111616,VIRGIL WORKMAN VILLAGE,Region 8,North Dakota,Non-Transient non-community system,1800,,Ward,3,0,1
ND5300809,RAY CITY OF,Region 8,North Dakota,Community water system,592,,Williams,13,0,2
ND2511433,TOWNER STATE NURSERY,Region 8,North Dakota,Transient non-community system,45,,McHenry,9,6,12
ND2911480,HAZEN BAY RECREATION AREA,Region 8,North Dakota,Transient non-community system,25,,Mercer,4,2,6
ND5111615,DESOURIS VALLEY HEIGHTS,Region 8,North Dakota,Non-Transient non-community system,150,,Ward,3,0,1
ND3900703,MOORETON CITY OF,Region 8,North Dakota,Community water system,197,MOORETON,Richland,3,0,14
ND3000473,HEBRON CITY OF,Region 8,North Dakota,Community water system,747,HEBRON,Morton,8,8,19
ND0510149,STRAWBERRY LAKE CAMPGROUND,Region 8,North Dakota,Transient non-community system,25,,Bottineau,3,9,23
ND0511413,PELICAN LAKE CAMPGROUND,Region 8,North Dakota,Transient non-community system,40,,Bottineau,3,0,19
ND3011166,R M HESKETT STATION (MDU),Region 8,North Dakota,Non-Transient non-community system,40,,Morton,5,0,12
ND3111643,SYLVERLAND RENTALS,Region 8,North Dakota,Transient non-community system,24,,Mountrail,2,1,1
ND1100379,FULLERTON CITY OF,Region 8,North Dakota,Community water system,54,FULLERTON,Dickey,7,9,11
ND0200510,KATHRYN CITY OF,Region 8,North Dakota,Community water system,52,KATHRYN,Barnes,7,11,13
ND1801062,GRAND FORKS-TRAILL WATER DISTRICT,Region 8,North Dakota,Community water system,5995,,Grand Forks,21,0,15
ND3010601,FORT LINCOLN STATE PARK,Region 8,North Dakota,Transient non-community system,330,,Morton,5,4,14
ND4600341,FINLEY CITY OF,Region 8,North Dakota,Community water system,445,FINLEY,Steele,5,1,16
ND0511414,SANDY LAKE RECREATION AREA,Region 8,North Dakota,Transient non-community system,40,,Bottineau,3,2,20
ND2410716,NAPOLEON LIVESTOCK,Region 8,North Dakota,Transient non-community system,400,,Logan,3,18,15
ND3100775,PARSHALL CITY OF,Region 8,North Dakota,Community water system,903,PARSHALL,Mountrail,12,4,20
ND0800096,DAKOTA ADVENTIST ACADEMY,Region 8,North Dakota,Community water system,80,,Burleigh,10,18,17
ND2811296,INDIAN HILLS RESORT,Region 8,North Dakota,Transient non-community system,25,,McLean,5,19,24
ND3111672,EGAN CREST,Region 8,North Dakota,Transient non-community system,26,,Mountrail,4,0,1
ND3111592,LB TRAILER PARK,Region 8,North Dakota,Non-Transient non-community system,25,,Mountrail,3,1,1
ND2800953,UNDERWOOD CITY OF,Region 8,North Dakota,Community water system,778,UNDERWOOD,McLean,17,5,16
