PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
OH7255412,LOYAL ORDER OF MOOSE 1286 PWS,Region 5,Ohio,Transient non-community system,234,,Sandusky,5,16,5
OH8750812,FAITH UNITED METHODIST CHRCH-LUCKEY,Region 5,Ohio,Transient non-community system,60,,Wood,5,7,3
OH3844812,MILLERSBURG UNITED METHODIST CHURCH,Region 5,Ohio,Transient non-community system,140,,Holmes,6,19,4
OH8638512,WEST BETHESDA PRESBYTERIAN CHURCH,Region 5,Ohio,Transient non-community system,65,,Williams,5,0,4
OH7738512,FIREHOUSE GRILL AND PUB,Region 5,Ohio,Transient non-community system,100,,Summit,6,36,6
OH7605012,SHADY KNOLL MHP,Region 5,Ohio,Community water system,32,,Stark,5,134,15
OH8100412,OHIO CITY,Region 5,Ohio,Community water system,745,,Van Wert,16,18,15
OH8301012,OH/CR LEBANON CORRECTIONAL INSTUTION,Region 5,Ohio,Community water system,4867,,Warren,15,23,11
OH0444812,PYMATUNING VALLEY RESORT 2 PWS,Region 5,Ohio,Transient non-community system,45,,Ashtabula,5,12,5
OH1246512,SUGAR ISLE GOLF COURSE,Region 5,Ohio,Transient non-community system,175,,Clark,6,11,4
OH1301411,WILLIAMSBURG VILLAGE PWS,Region 5,Ohio,Community water system,2500,,Clermont,7,35,20
OH3437412,TWIN HILLS PARK CAMPGROUND PWS,Region 5,Ohio,Transient non-community system,150,,Harrison,7,10,8
OH3400112,BOWERSTON VILLAGE PWS,Region 5,Ohio,Community water system,517,,Harrison,10,9,25
OH1036812,GREAT TRAIL GOLF,Region 5,Ohio,Transient non-community system,50,,Carroll,5,18,6
OH8542512,PRAIRIE LANE LAKE PARK-BACK PWS,Region 5,Ohio,Transient non-community system,90,,Wayne,5,5,4
OH4651012,LAKEVIEW CLARK,Region 5,Ohio,Transient non-community system,50,,Logan,6,10,4
OH5743512,MELODY POOL,Region 5,Ohio,Transient non-community system,600,,Montgomery,5,7,5
OH4938612,JEHOVAH WITNESS ASSEMBLY HALL,Region 5,Ohio,Transient non-community system,800,,Madison,8,8,13
OH6745712,PIONEER TRAIL CAMPGROUND (LDS) PWS,Region 5,Ohio,Transient non-community system,72,,Portage,5,2,4
OH6900512,KALIDA VILLAGE WATER,Region 5,Ohio,Community water system,1075,,Putnam,8,12,17
OH4643712,MIDDLEBURG UNITED METHODIST CHURCH,Region 5,Ohio,Transient non-community system,140,,Logan,5,9,4
OH6735012,CHEROKEE PARK COMPANY,Region 5,Ohio,Transient non-community system,63,,Portage,5,4,4
OH6434712,MOOSE LODGE 2434 PWS,Region 5,Ohio,Transient non-community system,50,,Perry,4,9,5
OH6500412,CIRCLEVILLE CITY PWS,Region 5,Ohio,Community water system,13389,,Pickaway,14,7,47
OH8832412,HICKORY GROVE GOLF CLUB,Region 5,Ohio,Transient non-community system,75,,Wyandot,6,5,6
OH7051712,GORMAN NATURE CENTER,Region 5,Ohio,Transient non-community system,35,,Richland,7,3,5
OH2346812,PICKERINGTON CHURCH OF CHRIST,Region 5,Ohio,Transient non-community system,65,,Fairfield,6,16,5
OH7900612,MIDVALE VILLAGE PWS,Region 5,Ohio,Community water system,2275,,Tuscarawas,10,30,23
OH7767012,REDWOOD SWIM CLUB,Region 5,Ohio,Transient non-community system,200,,Summit,5,6,4
OH3538512,PATHSTONE,Region 5,Ohio,Transient non-community system,60,,Henry,7,6,9
OH5730312,AULLWOOD AUDUBON NATURE CENTER PWS,Region 5,Ohio,Transient non-community system,200,,Montgomery,9,24,6
OH2845512,RIVERVIEW CHURCH,Region 5,Ohio,Transient non-community system,200,,Geauga,5,14,4
OH2001103,BRUNERSBURG WATER DISTRICT,Region 5,Ohio,Community water system,1527,,Defiance,10,19,9
OH2900803,GREENE COUNTY - DAY,Region 5,Ohio,Community water system,997,,Greene,5,12,11
OH1000412,GREEN ACRES MOBILE ESTATES,Region 5,Ohio,Community water system,100,,Carroll,6,9,15
OH2904103,GREENE COUNTY - SWIGART PWS,Region 5,Ohio,Community water system,275,,Greene,5,2,4
OH5551612,OLD GERMAN BAPTIST BRETHREN CHURCH PWS,Region 5,Ohio,Transient non-community system,300,,Miami,5,0,3
OH7675912,KIDS COUNTRY PWS,Region 5,Ohio,Non-Transient non-community system,101,,Stark,4,94,3
OH7949412,AUMAN TIMBERS GOLF PWS,Region 5,Ohio,Transient non-community system,25,,Tuscarawas,5,2,2
OH6770112,JOHNSON FARM,Region 5,Ohio,Transient non-community system,60,,Portage,5,8,4
OH8563312,RABER PROFESSIONAL BLDG PWS,Region 5,Ohio,Transient non-community system,56,,Wayne,5,1,2
OH7053412,OHIO BIRD SANCTUARY - LOWER BUILDING,Region 5,Ohio,Transient non-community system,50,,Richland,6,0,3
OH7235412,SACHS FARMS AMLC 2,Region 5,Ohio,Transient non-community system,25,,Sandusky,5,13,11
OH4242412,GLEN HILL ORCHARDS - AG CAMP PWS,Region 5,Ohio,Transient non-community system,25,,Knox,5,15,7
OH5700812,ENGLEWOOD CITY PWS,Region 5,Ohio,Community water system,12500,,Montgomery,14,3,11
OH7042712,LAKE TIMBERLIN CAMP RESORT,Region 5,Ohio,Transient non-community system,100,,Richland,5,7,6
OH7002112,WATERFALL ESTATES,Region 5,Ohio,Community water system,40,,Richland,5,189,15
OH5002303,YOUNGSTOWN CITY PWS,Region 5,Ohio,Community water system,148000,,Mahoning,23,0,21
OH8841412,ODOT REST AREA 1-33 1-34,Region 5,Ohio,Transient non-community system,1000,,Wyandot,10,0,2
OH7248512,CASA FIESTA,Region 5,Ohio,Transient non-community system,106,,Sandusky,5,20,8
OH0439212,PINE LAKES CAMP - PUMP 3 PWS,Region 5,Ohio,Transient non-community system,50,,Ashtabula,5,0,6
OH7937712,TATMANS RESTAURANT PWS,Region 5,Ohio,Transient non-community system,100,,Tuscarawas,5,7,7
OH2954912,"HOMECROFT, INC. PWS",Region 5,Ohio,Non-Transient non-community system,42,,Greene,5,12,6
OH3102303,TWIN RIVERS WATER CORPORATION,Region 5,Ohio,Community water system,220,,Hamilton,5,17,8
OH3830212,HOMESTEAD RESTAURANT,Region 5,Ohio,Transient non-community system,90,,Holmes,5,7,4
OH0247812,ODOT REST AREA 1-31 EB,Region 5,Ohio,Transient non-community system,225,,Allen,7,20,4
OH2866412,BAINBRIDGE TWP-SETTLERS,Region 5,Ohio,Transient non-community system,100,,Geauga,5,1,3
OH3438612,HILLBILLY HIDEAWAY CAMP,Region 5,Ohio,Transient non-community system,50,,Harrison,13,4,7
OH1540812,EAST ROCHESTER UNITED METHODIST CHURCH,Region 5,Ohio,Transient non-community system,25,,Columbiana,5,11,4
OH2903512,GREENE CO.-NORTHWEST REG WATER,Region 5,Ohio,Community water system,36785,,Greene,37,20,17
OH0400611,ROAMING SHORES VILLAGE PWS,Region 5,Ohio,Community water system,1300,,Ashtabula,5,16,16
