PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
OK2000612,OKEENE,Region 6,Oklahoma,Community water system,1240,,Blaine,11,4,17
OK3005717,GRAYHORSE RWD,Region 6,Oklahoma,Community water system,100,,Osage,3,12,15
OK3006036,TWIN HILLS MHP,Region 6,Oklahoma,Community water system,45,,Payne,2,20,13
OK2007102,HOLLISTER,Region 6,Oklahoma,Community water system,60,,Tillman,6,43,24
OK2001466,HOLLYWOOD GROCERY,Region 6,Oklahoma,Transient non-community system,50,,Cleveland,3,1,6
OK2004223,RODEO CORNER,Region 6,Oklahoma,Transient non-community system,25,,Logan,2,36,20
OK2002202,CAMARGO RWD #2,Region 6,Oklahoma,Community water system,150,,Dewey,15,5,21
OK3006137,NARCONON-ARROWHEAD,Region 6,Oklahoma,Community water system,350,,Pittsburg,3,26,13
OK4001468,COUNTRY CORNER,Region 6,Oklahoma,Transient non-community system,26,,Cleveland,2,10,8
OK3005747,MCCORD RWD #3,Region 6,Oklahoma,Community water system,1800,,Osage,4,4,16
OK6005527,OKLA NATL STOCKYARDS,Region 6,Oklahoma,Non-Transient non-community system,60,,Oklahoma,6,4,14
OK2000458,JIMENEZ MHP SITE 2,Region 6,Oklahoma,Transient non-community system,30,,Beaver,2,33,10
OK2001305,CIMARRON FEEDERS,Region 6,Oklahoma,Non-Transient non-community system,49,,Cimarron,4,10,15
OK1021621,CHEROKEE CO RWD # 1 (FT GIBSON),Region 6,Oklahoma,Community water system,710,,Cherokee,5,44,52
OK2005111,HASKELL PWA-WELLS,Region 6,Oklahoma,Community water system,1765,,Muskogee,36,47,36
OK2004263,WATERLOO WOODS,Region 6,Oklahoma,Transient non-community system,40,,Logan,3,5,5
OK1020420,SAND SPRINGS,Region 6,Oklahoma,Community water system,18764,,Tulsa,21,21,58
OK2006052,JALOPY DRIVE-IN,Region 6,Oklahoma,Transient non-community system,25,,Payne,2,33,10
OK2002516,GARVIN CO RWD #1,Region 6,Oklahoma,Community water system,1445,,Garvin,6,8,45
OK2004808,DIERKS (GLOVER) SCOUT CAMP,Region 6,Oklahoma,Transient non-community system,100,,McCurtain,2,8,5
OK2004279,MARK'S SHORT STOP/SUMMIT CAFE,Region 6,Oklahoma,Transient non-community system,750,,Logan,3,5,5
OK3000909,UNION CITY,Region 6,Oklahoma,Community water system,1375,,Canadian,3,7,20
OK3005527,GRANADA VILLAGE,Region 6,Oklahoma,Community water system,334,,Oklahoma,2,0,12
OK2004342,SHANGRI LA RV PARK,Region 6,Oklahoma,Transient non-community system,115,,Love,5,2,2
OK2007708,QUINLAN COMMUNITY RWD #1,Region 6,Oklahoma,Community water system,185,,Woodward,10,13,21
OK2006906,STEPHENS CO RW&SD #1,Region 6,Oklahoma,Community water system,400,,Stephens,8,4,34
OK2000803,BINGER PWA,Region 6,Oklahoma,Community water system,708,,Caddo,7,33,24
OK6005582,HI-10 MARKET,Region 6,Oklahoma,Transient non-community system,26,,Oklahoma,3,0,11
OK2003703,OKARCHE,Region 6,Oklahoma,Community water system,1110,,Kingfisher,6,45,45
OK1221605,PINE ISLAND RV RESORT,Region 6,Oklahoma,Transient non-community system,80,,Delaware,6,13,36
OK1021217,OG&E SOONER STATION,Region 6,Oklahoma,Non-Transient non-community system,125,,b,4,12,51
OK2004290,TOOTHIES BAR AND GRILL,Region 6,Oklahoma,Transient non-community system,26,,Logan,2,0,0
OK3004947,"TWIN RIVERS ESTATES, INC.",Region 6,Oklahoma,Community water system,250,,McIntosh,2,2,21
OK3005611,OKMULGEE CO RWD # 6 (HECTORVILLE RWD #6),Region 6,Oklahoma,Community water system,8052,,Okmulgee,22,26,16
OK3005128,MUSKOGEE CO RWD #10,Region 6,Oklahoma,Community water system,330,,Muskogee,4,21,6
OK1021772,CAMP GRUBER / OK MILITARY DEPT,Region 6,Oklahoma,Non-Transient non-community system,2469,,Muskogee,5,12,32
OK3005576,BURNTWOOD COURT,Region 6,Oklahoma,Community water system,804,,Oklahoma,2,41,8
OK3003204,HUGHES CO RWD #5,Region 6,Oklahoma,Community water system,800,,Hughes,7,35,15
OK1021616,SPAVINAW,Region 6,Oklahoma,Community water system,700,,Mayes,7,38,45
OK2001409,LEXINGTON,Region 6,Oklahoma,Community water system,2086,,Cleveland,7,79,33
OK3003624,KAY COUNTY RWD # 4,Region 6,Oklahoma,Community water system,190,,Kay,2,16,16
OK2002199,ELK RIVER LANDING,Region 6,Oklahoma,Transient non-community system,50,,Delaware,4,35,31
OK3003203,HUGHES CO RWD #4,Region 6,Oklahoma,Community water system,800,,Hughes,3,2,12
OK5005516,POINTONS REDWOOD MANOR,Region 6,Oklahoma,Community water system,168,,Oklahoma,5,14,20
OK2005539,SHADYSIDE MHP,Region 6,Oklahoma,Community water system,105,,Oklahoma,9,31,31
OK3001140,SALVATION ARMY HEART O'HILLS CHURCH CAMP,Region 6,Oklahoma,Transient non-community system,409,,Cherokee,2,5,9
OK2004920,STIDHAM COMMUNITY CENTER,Region 6,Oklahoma,Transient non-community system,26,,McIntosh,2,2,3
OK2007006,HOOKER,Region 6,Oklahoma,Community water system,1788,,Texas,13,13,32
OK3006503,HAMMON,Region 6,Oklahoma,Community water system,469,,Roger Mills,3,3,15
OK2004295,"TWIN LAKES SPORTSMAN CLUB, INC",Region 6,Oklahoma,Transient non-community system,40,,Logan,4,0,1
OK3001701,DEVOL,Region 6,Oklahoma,Community water system,150,,Cotton,2,40,18
OK2007103,GRANDFIELD,Region 6,Oklahoma,Community water system,1110,,Tillman,14,123,35
OK2001499,NEIGHBORS GROCERY C/O KSG FAMILY LLC,Region 6,Oklahoma,Transient non-community system,25,,Cleveland,3,0,6
OK2003405,TERRAL,Region 6,Oklahoma,Community water system,386,,Jefferson,8,10,40
OK3005122,HASKELL PWA-SWP,Region 6,Oklahoma,Community water system,60,,Muskogee,2,33,22
OK3006653,COE VERDIGRIS RIVER PARK,Region 6,Oklahoma,Transient non-community system,25,,Rogers,2,6,7
OK3005514,STONETOWN APOLLO MHC,Region 6,Oklahoma,Community water system,250,,Oklahoma,2,7,13
OK3003613,COE WASHUNGA BAY (KAW),Region 6,Oklahoma,Transient non-community system,25,,Kay,2,10,17
OK2000868,ALL 4 ONE STOP,Region 6,Oklahoma,Transient non-community system,26,,Caddo,3,9,6
OK4005532,FROG POND,Region 6,Oklahoma,Transient non-community system,50,,Oklahoma,3,5,12
OK2002301,GAGE,Region 6,Oklahoma,Community water system,429,,Ellis,10,13,20
OK3004009,WATER DIST INC,Region 6,Oklahoma,Community water system,3875,,Le Flore,2,20,14
OK3007305,RED BIRD,Region 6,Oklahoma,Community water system,153,,Wagoner,3,24,6
OK2001468,PRAIRIE CREEK VILLAGE MHP,Region 6,Oklahoma,Community water system,120,,Cleveland,5,16,29
OK2005506,HARRAH,Region 6,Oklahoma,Community water system,5148,,Oklahoma,16,16,32
OK2004855,BATTIEST (HACE),Region 6,Oklahoma,Transient non-community system,30,,McCurtain,3,21,9
OK1021611,VINITA UTILITIES AUTHORITY,Region 6,Oklahoma,Community water system,6472,,Craig,6,50,69
OK2002001,THOMAS,Region 6,Oklahoma,Community water system,1238,,Custer,12,25,32
OK2003704,HENNESSEY,Region 6,Oklahoma,Community water system,2058,,Kingfisher,15,76,42
OK2000123,CHEWEY STORE,Region 6,Oklahoma,Transient non-community system,125,,Adair,3,3,10
OK3005547,MOORE ESTATES,Region 6,Oklahoma,Community water system,183,,Oklahoma,2,15,14
OK3003113,MARINA VILLAGE RV PARK,Region 6,Oklahoma,Community water system,90,,Haskell,2,5,17
OK2004301,MARIETTA PWA,Region 6,Oklahoma,Community water system,2445,,Love,12,10,27
OK2002413,FAIRMONT,Region 6,Oklahoma,Community water system,147,,Garfield,5,75,27
OK2003003,BUFFALO,Region 6,Oklahoma,Community water system,1200,,Harper,11,11,27
OK3004005,SPIRO EAST RW,Region 6,Oklahoma,Community water system,1817,,Le Flore,5,9,16
OK2001304,BLACK MESA STATE PARK,Region 6,Oklahoma,Transient non-community system,26,,Cimarron,6,4,12
OK2005002,OKLA VET CENTER,Region 6,Oklahoma,Community water system,400,,Murray,5,3,20
OK3005701,STRIKE-AXE HWY 60,Region 6,Oklahoma,Community water system,450,,Osage,3,0,14
OK3007401,WASHINGTON CO RWD #1,Region 6,Oklahoma,Community water system,1100,,Washington,3,4,15
OK1021305,AVANT UTILITIES AUTH,Region 6,Oklahoma,Community water system,361,,Osage,7,82,78
OK2003518,WAPANUCKA,Region 6,Oklahoma,Community water system,445,,Johnston,5,29,38
OK4006336,OLDCASTLE BUILDING ENVELOPE,Region 6,Oklahoma,Non-Transient non-community system,74,,Pottawatomie,2,2,12
OK5002192,GRAND COUNTRY LAKESIDE RV & MHP,Region 6,Oklahoma,Transient non-community system,12,,Delaware,3,0,7
OK3006812,VIAN,Region 6,Oklahoma,Community water system,1445,,Sequoyah,6,12,24
OK3005307,NOWATA CO RWD #5,Region 6,Oklahoma,Community water system,70,,Nowata,2,1,12
OK2005813,MIAMI,Region 6,Oklahoma,Community water system,13704,,Ottawa,21,31,35
OK2001998,ROUTE 66 RALLY STAGE AREA,Region 6,Oklahoma,Transient non-community system,30,,Creek,2,6,7
OK3001504,ROUNDHILL RWD #4,Region 6,Oklahoma,Community water system,219,,Coal,2,7,15
OK3004609,PRYOR EAST RWD #1,Region 6,Oklahoma,Community water system,125,,Mayes,3,13,15
OK2007104,DAVIDSON,Region 6,Oklahoma,Community water system,375,,Tillman,9,59,28
OK2002157,COLCORD PWA,Region 6,Oklahoma,Community water system,819,,Delaware,6,20,45
OK1021507,ROGERS CO RWD # 5,Region 6,Oklahoma,Community water system,10145,,Rogers,11,17,65
