PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
PA5100079,SLIPPERY ROCK MUNI AUTH,Region 3,Pennsylvania,Community water system,8350,,Butler,6,15,3
PA3540861,SHOLL FAMILY RESTAURANT,Region 3,Pennsylvania,Transient non-community system,540,,Schuylkill,3,0,2
PA5040851,PTC ALLIANCE,Region 3,Pennsylvania,Non-Transient non-community system,56,,Beaver,4,18,4
PA4490830,"PA ST POLICE-TROOP ""F""",Region 3,Pennsylvania,Transient non-community system,25,,Northumberland,3,3,2
PA6610038,COUNTRY ESTATES MHP,Region 3,Pennsylvania,Community water system,59,,Venango,4,22,4
PA6370883,MOHAWK COMBINED ELEMENTARY SCH,Region 3,Pennsylvania,Non-Transient non-community system,800,,Lawrence,2,83,1
PA7010972,R & L #2,Region 3,Pennsylvania,Transient non-community system,40,,Adams,4,9,2
PA6250089,RAINBOW VALLEY MOBILE HOME,Region 3,Pennsylvania,Community water system,474,,Erie,3,20,3
PA6610014,VENANGO WATER CO,Region 3,Pennsylvania,Community water system,600,,Venango,15,33,3
PA6250987,CRAB APPLE RIDGE,Region 3,Pennsylvania,Transient non-community system,25,,Erie,2,17,6
PA2660333,SUSQUEHANNA SHORE CAMPGROUND,Region 3,Pennsylvania,Transient non-community system,36,,Wyoming,3,9,1
PA2450490,SHAWNEE GOLF COURSE HALFWAY HS,Region 3,Pennsylvania,Transient non-community system,200,,Monroe,3,6,1
PA2520962,RED CARPET INN,Region 3,Pennsylvania,Transient non-community system,55,,Pike,3,0,1
PA4290813,MOUNTAIN HOUSE BAR AND GRILL,Region 3,Pennsylvania,Transient non-community system,75,,Fulton,4,34,2
PA4560002,SOMERSET TWP LISTIE WATER SYS,Region 3,Pennsylvania,Community water system,200,,Somerset,4,36,5
PA6431022,SHENANGO TWP VFD,Region 3,Pennsylvania,Transient non-community system,25,,Mercer,3,7,4
PA7360940,FLORYS CAMPING,Region 3,Pennsylvania,Transient non-community system,70,,Lancaster,3,4,2
PA5100804,MORAINE STATE PARK WATER SYST,Region 3,Pennsylvania,Non-Transient non-community system,1200,,Butler,5,240,3
PA5100449,SUNCREST GOLF COURSE,Region 3,Pennsylvania,Transient non-community system,200,,Butler,4,2,2
PA4110016,HIGHLAND S&W AUTH NORTHERN END,Region 3,Pennsylvania,Community water system,139,,Cambria,10,6,2
PA5100306,HARRISVILLE UNITED METH CHURCH,Region 3,Pennsylvania,Transient non-community system,100,,Butler,4,14,3
PA6430955,GODDARD PARK VACTIONLAND,Region 3,Pennsylvania,Transient non-community system,25,,Mercer,9,8,3
PA5650401,TWIN LAKES SKATE PARK,Region 3,Pennsylvania,Transient non-community system,25,,Westmoreland,4,1,2
PA2451222,DUNKIN DONUTS MT EFFORT,Region 3,Pennsylvania,Transient non-community system,25,,Monroe,6,0,2
PA5650927,TONYS DOG HOUSE,Region 3,Pennsylvania,Transient non-community system,25,,Westmoreland,2,4,4
PA7671177,MENGES RT30 DINER & DAIRY BAR,Region 3,Pennsylvania,Transient non-community system,25,,York,3,17,2
PA3480974,COMM PRESB CH OF MT BETHEL,Region 3,Pennsylvania,Transient non-community system,60,,Northampton,2,6,2
PA6170303,SNAPPYS 9,Region 3,Pennsylvania,Transient non-community system,25,,Clearfield,3,3,3
PA2400404,MORGAN HILLS GOLF COURSE,Region 3,Pennsylvania,Transient non-community system,35,,Luzerne,3,11,1
