PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
RI2980372,NORMAN A & PAMELA MACHON DBA SOPHIES COF,Region 1,Rhode Island,Transient non-community system,100,EXETER,Washington,3,9,7
RI2000111,CHOPMIST HILL COMMUNITY CENTER,Region 1,Rhode Island,Non-Transient non-community system,100,SCITUATE,Providence,6,3,15
RI2788012,"NANCY ANN NURSING HOME, INC.",Region 1,Rhode Island,Community water system,35,FOSTER,Providence,5,8,45
RI1647512,CENTRAL BEACH FIRE DISTRICT,Region 1,Rhode Island,Community water system,470,CHARLESTOWN,Washington,5,8,57
RI2980009,"BRICK OVEN RESTAURANT, THE, INC.",Region 1,Rhode Island,Transient non-community system,212,HOPKINTON,Washington,4,3,38
RI2051323,NUTZ,Region 1,Rhode Island,Transient non-community system,50,WEST GREENWICH,Kent,3,9,51
RI1592019,"OAKLAND ASSOCIATION, INC.",Region 1,Rhode Island,Community water system,175,BURRILLVILLE,Providence,5,9,66
RI1000097,HOG ISLAND WATER ASSOCIATION-SOUTH END,Region 1,Rhode Island,Transient non-community system,100,PORTSMOUTH,Newport,5,5,2
RI2980199,CAMP JORI,Region 1,Rhode Island,Transient non-community system,25,SOUTH KINGSTOWN,Washington,3,6,22
RI2980449,LELAND POINT HOMEOWNERS ASSOC.,Region 1,Rhode Island,Community water system,25,PORTSMOUTH,Newport,2,0,0
RI1592025,QUONSET BUSINESS PARK,Region 1,Rhode Island,Non-Transient non-community system,6500,NORTH KINGSTOWN,Washington,12,10,17
RI2980346,EARLY LEARNING CENTERS OF RI,Region 1,Rhode Island,Non-Transient non-community system,40,NORTH KINGSTOWN,Washington,4,2,17
RI2980109,ROSE FARM INN RENTALS INC. DBA ROSE FARM,Region 1,Rhode Island,Transient non-community system,55,NEW SHOREHAM,Washington,5,0,26
RI2980019,TOWN OF CHARLESTOWN SENIOR CITIZENS,Region 1,Rhode Island,Non-Transient non-community system,40,CHARLESTOWN,Washington,4,2,50
RI2980421,CHARLESTOWN POLICE STATION,Region 1,Rhode Island,Non-Transient non-community system,28,CHARLESTOWN,Washington,2,51,1
RI2753327,PEABODYS BEACH,Region 1,Rhode Island,Transient non-community system,400,MIDDLETOWN,Newport,3,7,24
RI2980039,"ALBACO,L.L.C.   (A.K.A. SHORELINE PLAZA)",Region 1,Rhode Island,Transient non-community system,40,CHARLESTOWN,Washington,3,1,40
RI1900027,CHARLESTOWN MUNICIPAL OFFICES,Region 1,Rhode Island,Non-Transient non-community system,30,CHARLESTOWN,Washington,5,1,42
RI1615610,EAST PROVIDENCE-CITY OF,Region 1,Rhode Island,Community water system,48688,EAST PROVIDENCE,Providence,4,6,7
RI2980088,LITTLE COUNTRY PIZZA,Region 1,Rhode Island,Transient non-community system,60,EXETER,Washington,4,7,42
RI2980175,NINIGRET PARK-LITTLE NINI POND,Region 1,Rhode Island,Transient non-community system,125,CHARLESTOWN,Washington,4,6,29
RI2980014,CASA FERNANDES,Region 1,Rhode Island,Transient non-community system,60,BURRILLVILLE,Providence,3,5,15
RI2980095,NEWPORT BOYS & GIRLS CLUB CAMP,Region 1,Rhode Island,Transient non-community system,125,NORTH KINGSTOWN,Washington,5,4,24
RI2000040,PASTORE LEISURE CENTER (LADD SCHOOL CAMP,Region 1,Rhode Island,Transient non-community system,25,CHARLESTOWN,Washington,3,4,28
RI2519415,BLUE SHUTTERS,Region 1,Rhode Island,Transient non-community system,200,CHARLESTOWN,Washington,3,1,20
RI2980174,NINIGRET PARK-TENNIS COURT,Region 1,Rhode Island,Transient non-community system,27,CHARLESTOWN,Washington,4,0,31
