PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TX1011135,TUBOSCOPE A VARCO COMPANY,Region 6,Texas,Non-Transient non-community system,35,,Harris,10,15,3
TX1870019,LAKE LIVINGSTON BASS BAY INDIAN HILL  1,Region 6,Texas,Community water system,141,,Polk,6,26,5
TX2260002,DADS SAN ANGELO STATE SUPPORTED LIVING C,Region 6,Texas,Community water system,1250,,Tom Green,11,2,10
TX2500018,RAMEY WSC,Region 6,Texas,Community water system,4632,,Wood,42,0,6
TX1013098,ROYAL BATHS BUSCHONG ROAD FACILITY,Region 6,Texas,Non-Transient non-community system,105,,Harris,8,6,2
TX0270127,LITTLE TEXANS PUBLIC WATER SYSTEM,Region 6,Texas,Non-Transient non-community system,50,,Burnet,5,31,1
TX1870009,ONALASKA WSC,Region 6,Texas,Community water system,4722,,Polk,39,1,7
TX2450003,CITY OF LYFORD,Region 6,Texas,Community water system,2509,,Willacy,10,13,13
TX2370056,KROLCZYK MEATS & DRIVE IN,Region 6,Texas,Transient non-community system,200,,Waller,5,7,4
TX2460047,CHAPARRAL III,Region 6,Texas,Community water system,207,,Williamson,8,52,4
TX1012865,KINGS MANOR MUD,Region 6,Texas,Community water system,4383,,Harris,13,0,5
TX1010884,NORTHWEST HARRIS COUNTY MUD 5,Region 6,Texas,Community water system,11835,,Harris,27,6,6
TX0610055,TRAIL DUST CITY LINCOLN PARK,Region 6,Texas,Community water system,432,,Denton,12,17,6
TX0720026,SCHREIBER FOODS,Region 6,Texas,Non-Transient non-community system,425,,Erath,11,2,4
TX0730023,FOREST GLEN SPRINGS,Region 6,Texas,Transient non-community system,175,,Falls,6,9,2
TX1012698,BAYBROOK MUD 1,Region 6,Texas,Community water system,1065,,Harris,11,8,4
TX0370029,BLACKJACK WSC,Region 6,Texas,Community water system,885,,Cherokee,16,27,4
TX1330136,VILLAGE WEST WATER SYSTEM,Region 6,Texas,Non-Transient non-community system,100,,Kerr,8,7,3
TX0200611,J C KORNER,Region 6,Texas,Transient non-community system,250,,Brazoria,5,0,0
TX1110120,BROADWAY EXPRESS,Region 6,Texas,Transient non-community system,200,,Hood,7,2,4
TX2270171,EMMA LONG METRO PARK,Region 6,Texas,Transient non-community system,3840,,Travis,7,12,12
TX1870068,LAKE LIVINGSTON FOREST HILLS WATER,Region 6,Texas,Community water system,396,,Polk,9,25,6
TX1520235,GOULDS PUMPS,Region 6,Texas,Non-Transient non-community system,160,,Lubbock,8,0,8
TX1013010,TAQUERIA BUEY DE Y VACA,Region 6,Texas,Transient non-community system,150,,Harris,5,6,6
TX1840087,PONDEROSA HILLS SUBDIVISION,Region 6,Texas,Community water system,168,,Parker,9,16,6
TX1840089,NEW PROGRESS WSC SPRING VALLEY ESTATES,Region 6,Texas,Community water system,111,,Parker,11,16,6
TX2460017,WEIR WATER WORKS,Region 6,Texas,Community water system,363,,Williamson,9,10,4
TX2100001,CITY OF CENTER,Region 6,Texas,Community water system,8430,,Shelby,23,52,12
TX1520002,LUBBOCK PUBLIC WATER SYSTEM,Region 6,Texas,Community water system,218327,,Lubbock,370,1,15
TX1080007,CITY OF MERCEDES,Region 6,Texas,Community water system,15700,,Hidalgo,16,37,13
TX2350063,FASTOP 6,Region 6,Texas,Transient non-community system,25,,Victoria,5,0,0
TX0430035,FROGNOT WSC,Region 6,Texas,Community water system,1716,,Collin,21,1,7
TX0270022,CITY OF GRANITE SHOALS SHERWOOD III,Region 6,Texas,Community water system,537,,Burnet,11,3,4
TX0750004,CITY OF SCHULENBURG,Region 6,Texas,Community water system,3130,,Fayette,29,4,4
TX1010495,MALCOMSON ROAD UTILITY DISTRICT,Region 6,Texas,Community water system,7020,,Harris,22,4,5
TX1810009,CITY OF PINEHURST,Region 6,Texas,Community water system,3204,,Orange,11,4,6
TX1870025,LAKE LIVINGSTON PINE SHADOWS WATER,Region 6,Texas,Community water system,2274,,Polk,17,0,5
TX1330093,MARY MEAD WATER SYSTEM,Region 6,Texas,Community water system,211,,Kerr,9,13,5
TX0840214,GALVESTON COUNTY MUD 29,Region 6,Texas,Community water system,1734,,Galveston,6,23,6
TX1700313,CONROE ISD SAN JACINTO ELEMENTARY,Region 6,Texas,Non-Transient non-community system,672,,Montgomery,8,13,6
TX1460027,HOOP N HOLLER LAKE ESTATES,Region 6,Texas,Community water system,291,,Liberty,12,0,7
TX0200550,SUBURBAN GARDEN TRAILER PARK,Region 6,Texas,Community water system,63,,Brazoria,8,16,6
TX2410009,H & L NEW GULF,Region 6,Texas,Community water system,98,,Wharton,11,3,6
TX1450004,CITY OF NORMANGEE,Region 6,Texas,Community water system,685,,Leon,6,13,5
TX1840103,NEW PROGRESS WSC MAR LYNN SUBDIVISION,Region 6,Texas,Community water system,42,,Parker,8,20,6
TX1150007,HUDSPETH COUNTY WCID 1,Region 6,Texas,Community water system,770,,Hudspeth,22,7,9
TX2490002,CITY OF BOYD,Region 6,Texas,Community water system,1250,,Wise,14,4,7
TX1870065,LAKE LIVINGSTON NATASHA HEIGHTS WATER,Region 6,Texas,Community water system,525,,Polk,13,6,6
TX0560016,HILMAR CHEESE COMPANY,Region 6,Texas,Non-Transient non-community system,340,,Dallam,6,0,3
TX1840151,QUICK PICK FOOD STORE,Region 6,Texas,Transient non-community system,400,,Parker,5,2,2
TX1290047,KAUFMAN COUNTY MUD 12,Region 6,Texas,Community water system,0,,Kaufman,9,0,2
TX1000070,RANCHLAND,Region 6,Texas,Community water system,48,,Hardin,5,0,6
TX0790543,FORT BEND COUNTY MUD 194,Region 6,Texas,Non-Transient non-community system,25,,Fort Bend,3,2,0
TX1470013,CITY OF TEHUACANA,Region 6,Texas,Community water system,309,,Limestone,12,0,4
TX1330086,RUSTIC HILLS WATER,Region 6,Texas,Community water system,111,,Kerr,10,12,6
TX1360003,FORT CLARK SPRINGS MUD,Region 6,Texas,Community water system,1200,,Kinney,6,6,6
TX0360085,GULF COAST FRACTIONATORS,Region 6,Texas,Non-Transient non-community system,30,,Chambers,9,3,5
TX1070196,CAMP LONE STAR,Region 6,Texas,Transient non-community system,629,,Henderson,9,9,3
TX1330006,CANYON SPRINGS WATER WORKS,Region 6,Texas,Community water system,570,,Kerr,24,24,6
TX1910024,UMBARGER COMMUNITY WATER SUPPLY,Region 6,Texas,Community water system,180,,Randall,6,26,7
TX0760001,CITY OF ROBY,Region 6,Texas,Community water system,617,,Fisher,12,15,7
TX0270049,CITY OF GRANITE SHOALS,Region 6,Texas,Community water system,6096,,Burnet,19,16,11
TX0710009,GASLIGHT SQUARE MOBILE HOME PARK,Region 6,Texas,Community water system,448,,El Paso,6,3,9
TX1010763,SATSUMA PARK VILLA MOBILE HOME PARK,Region 6,Texas,Community water system,28,,Harris,5,17,6
TX1700583,CONROE ISD MOOREHEAD JR HIGH SCHOOL,Region 6,Texas,Non-Transient non-community system,3581,,Montgomery,13,13,6
TX2270001,CITY OF AUSTIN WATER & WASTEWATER,Region 6,Texas,Community water system,903570,,Travis,172,2,11
TX1890015,CIBOLO CREEK RANCH,Region 6,Texas,Transient non-community system,25,,Presidio,9,22,6
TX2200029,BENBROOK WATER AUTHORITY,Region 6,Texas,Community water system,21360,,Tarrant,115,0,13
TX2460153,MESA ROSA RESTAURANT,Region 6,Texas,Transient non-community system,250,,Williamson,4,19,2
TX1012951,NORTHWEST HARRIS COUNTY MUD 30,Region 6,Texas,Community water system,3294,,Harris,6,0,5
TX1080238,SOL Y MAR,Region 6,Texas,Community water system,84,,Hidalgo,4,66,1
TX1330034,CHILDRENS ASSOCIATIONS FOR MAXIMUM POTEN,Region 6,Texas,Transient non-community system,320,,Kerr,6,13,4
TX1570001,CITY OF MADISONVILLE,Region 6,Texas,Community water system,4971,,Madison,21,3,5
TX1810189,ORANGE COUNTY ICE,Region 6,Texas,Transient non-community system,29,,Orange,4,2,1
TX2490083,SKYVIEW RANCH RV PARK,Region 6,Texas,Transient non-community system,54,,Wise,4,3,0
TX2200353,MUSTANG CREEK ESTATES,Region 6,Texas,Community water system,213,,Tarrant,10,2,4
TX1290050,FOUR POST COMMUNITY WATER SYSTEM,Region 6,Texas,Community water system,66,,Kaufman,5,167,0
TX0160006,SOUTHWEST CENTER,Region 6,Texas,Transient non-community system,150,,Blanco,7,16,3
TX0170010,BORDEN COUNTY WATER SYSTEM,Region 6,Texas,Community water system,200,,Borden,8,72,9
