PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
UTAH05020,LITTLE HOLE CAMPGROUND,Region 8,Utah,Transient non-community system,181,,Daggett,4,1,6
UTAH05026,RED SPRINGS-LODGEPOLE CAMPGROUND,Region 8,Utah,Transient non-community system,240,,Daggett,6,5,5
UTAH24042,JOHNSON WATER DISTRICT - INDEPENDENCE,Region 8,Utah,Community water system,132,,Uintah,4,4,3
UTAH05008,BROWNS LAKE CAMPGROUND,Region 8,Utah,Transient non-community system,40,,Daggett,2,2,1
UTAH07006,JOHNSON WATER DISTRICT,Region 8,Utah,Community water system,1730,,Duchesne,15,50,7
UTAH19008,MEXICAN HAT SSD,Region 8,Utah,Community water system,40,,San Juan,9,186,6
UTAH07055,UPPER STILLWATER CAMPGROUND,Region 8,Utah,Transient non-community system,320,,Duchesne,6,5,4
UTAH09030,FOREST GARDEN SUBDIVISION,Region 8,Utah,Transient non-community system,50,,Garfield,4,33,4
UTAH25020,OREM CITY WATER SYSTEM,Region 8,Utah,Community water system,94025,,Utah,30,21,6
UTAH13039,ZION FRONTIER RESORT,Region 8,Utah,Transient non-community system,25,,Kane,4,29,4
UTAH02043,PARK VALLEY SCHOOL,Region 8,Utah,Non-Transient non-community system,50,,Box Elder,7,45,4
UTAH05019,HIDEOUT CANYON CAMPGROUND,Region 8,Utah,Transient non-community system,90,,Daggett,4,4,4
UTAH18088,CAMP TUTTLE (EPISCOPAL),Region 8,Utah,Transient non-community system,80,,Salt Lake,7,16,8
UTAH24015,EAST PARK CAMPGROUND,Region 8,Utah,Transient non-community system,35,,Uintah,4,2,5
UTAH09034,BEAR PAW LAKEVIEW RESORT,Region 8,Utah,Transient non-community system,80,,Garfield,5,19,4
UTAH14006,KANOSH TOWN WATER SYSTEM,Region 8,Utah,Community water system,525,,Millard,12,47,7
UTAH10016,SLICKROCK CAMPGROUND,Region 8,Utah,Transient non-community system,200,,Grand,4,31,5
