PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
VT0021377,HUBBARD STORE,Region 1,Vermont,Transient non-community system,25,HANCOCK,Addison,2,1,1
VT0021403,NORWICH COMMERCE PARK,Region 1,Vermont,Transient non-community system,47,NORWICH,Windsor,2,0,0
VT0005617,DAIRY CENTER,Region 1,Vermont,Community water system,109,ENOSBURG,Franklin,11,12,16
VT0020800,100 MOUNTAIN VIEW ROAD PARK,Region 1,Vermont,Community water system,290,BENNINGTON,Bennington,3,7,4
VT0020831,VALLEY CENTER COMPLEX,Region 1,Vermont,Non-Transient non-community system,252,DOVER,Windham,6,78,4
VT0000783,QUECHEE INN AT MARSHLAND,Region 1,Vermont,Transient non-community system,144,HARTFORD,Windsor,4,6,2
VT0006674,ORANGE CENTER SCHOOL,Region 1,Vermont,Non-Transient non-community system,183,ORANGE,Orange,7,8,10
VT0020999,DELTA INDUSTRIES LLC,Region 1,Vermont,Non-Transient non-community system,120,BRATTLEBORO,Windham,7,44,3
VT0005471,GORE ROAD MHP,Region 1,Vermont,Community water system,100,BENNINGTON,Bennington,5,38,9
VT0020080,SOUTH HERO FIRE DISTRICT 4,Region 1,Vermont,Community water system,760,SOUTH HERO,Grand Isle,8,15,10
VT0005248,GRANITEVILLE FIRE DISTRICT 4,Region 1,Vermont,Community water system,700,BARRE TOWN,Washington,48,2,13
VT0021095,STONES LODGE,Region 1,Vermont,Transient non-community system,350,WINHALL,Bennington,2,8,3
VT0005057,HILLCREST MHP INC,Region 1,Vermont,Community water system,615,COLCHESTER,Chittenden,8,9,10
VT0020361,KIDS IN THE COUNTRY,Region 1,Vermont,Non-Transient non-community system,30,DOVER,Windham,6,3,17
VT0006702,NEWTON ELEMENTARY SCHOOL,Region 1,Vermont,Non-Transient non-community system,170,STRAFFORD,Orange,9,19,11
VT0021199,NOTCHBROOK III,Region 1,Vermont,Community water system,39,STOWE,Lamoille,5,24,2
