PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
WV3301405,ROMNEY WATER DEPT,Region 3,West Virginia,Community water system,1935,ROMNEY,Hampshire,6,36,13
WV3305535,HERNDON COMMUNITY WATER,Region 3,West Virginia,Community water system,56,HERNDON,Wyoming,4,2956,7
WV3304803,SISTERSVILLE MUNICIPAL WATER,Region 3,West Virginia,Community water system,1892,SISTERSVILLE,Tyler,5,77,50
WV3302517,MONUMENTAL PSD,Region 3,West Virginia,Community water system,1966,FAIRMONT,Marion,13,11,5
WV3303130,PLEASANT VALLEY PSD - NORTH CASSVILLE,Region 3,West Virginia,Community water system,119,MAIDSVILLE,Monongalia,2,13,4
WV3301610,HARDY COUNTY PSD-ROUTE 55,Region 3,West Virginia,Community water system,801,MOOREFIELD,Hardy,7,2,2
WV3301607,HARDY COUNTY PSD 220 SOUTH,Region 3,West Virginia,Community water system,1996,MOOREFIELD,Hardy,12,3,5
WV3303112,PLEASANT VALLEY PSD,Region 3,West Virginia,Community water system,1860,MAIDSVILLE,Monongalia,11,12,4
WV9936061,"FRONT PORCH, THE",Region 3,West Virginia,Transient non-community system,25,SENECA ROCKS,Pendleton,3,58,3
WV9915021,WOODVIEW GOLF COURSE,Region 3,West Virginia,Transient non-community system,50,CHESTER,Hancock,3,4,4
WV9942043,ALPINE SHORE INC - CAMPGROUND,Region 3,West Virginia,Transient non-community system,25,BOWDEN,Randolph,4,13,5
WV9936073,CAVE COUNTRY CAMPGROUND,Region 3,West Virginia,Transient non-community system,25,FRANKLIN,Pendleton,3,4,2
WV9955071,CASTLE ROCK RESTAURANT INC,Region 3,West Virginia,Transient non-community system,25,JESSE,Wyoming,3,6,11
WV9939125,NEW FRONTIER,Region 3,West Virginia,Transient non-community system,25,KINGWOOD,Preston,3,66,7
WV3301609,HARDY COUNTY PSD-TROUT RUN,Region 3,West Virginia,Community water system,245,WARDENSVILLE,Hardy,5,7,4
WV3300516,WEIRTON AREA WATER BOARD,Region 3,West Virginia,Community water system,22694,WEIRTON,Brooke,26,33,49
WV3303918,TUNNELTON TOWN OF,Region 3,West Virginia,Community water system,908,TUNNELTON,Preston,13,6,14
WV3304139,COOL RIDGE FLAT TOP PSD,Region 3,West Virginia,Community water system,3727,COOL RIDGE,Raleigh,10,9,43
WV9942096,ALPINE SHORES - UPPER CAMPGROUND,Region 3,West Virginia,Transient non-community system,60,BOWDEN,Randolph,3,7,3
WV9945055,RIVER REST HOME OWNERS ASSOC,Region 3,West Virginia,Transient non-community system,25,ALDERSON,Summers,3,71,27
WV9938004,BOYER MOTEL,Region 3,West Virginia,Transient non-community system,50,ARBOVALE,Pocahontas,3,17,3
WV9931009,COOPERS ROCK STATE FOREST,Region 3,West Virginia,Transient non-community system,834,PISGAH,Monongalia,4,84,15
WV9927049,PANTHER WILDLIFE MANAGEMENT AREA 1,Region 3,West Virginia,Transient non-community system,200,PANTHER,McDowell,3,17,9
WV3301611,HARDY COUNTY PSD-SOUTH FORK,Region 3,West Virginia,Community water system,244,MOOREFIELD,Hardy,5,0,2
WV3303207,UNION TOWN OF,Region 3,West Virginia,Community water system,972,UNION,Monroe,13,12,52
WV9914061,AVALON RESORT LLC,Region 3,West Virginia,Transient non-community system,25,PAW PAW,Hampshire,4,12,2
WV3303002,GILBERT WATER WORKS,Region 3,West Virginia,Community water system,1145,GILBERT,Mingo,8,179,22
WV3304202,BEVERLY TOWN OF,Region 3,West Virginia,Community water system,2420,BEVERLY,Randolph,8,17,15
WV3301307,LEWISBURG,Region 3,West Virginia,Community water system,10050,LEWISBURG,Greenbrier,19,11,47
WV9939119,SILVER LAKE PARK,Region 3,West Virginia,Transient non-community system,40,HORSE SHOE RUN,Preston,3,29,3
WV3301613,HARDY COUNTY PSD BAKER,Region 3,West Virginia,Community water system,150,MOOREFIELD,Hardy,4,1,0
WV9927068,PANTHER WILDLIFE MANAGEMENT AREA,Region 3,West Virginia,Transient non-community system,25,PANTHER,McDowell,3,12,10
WV3302533,MONUMENTAL P S D - CHESAPEAKE,Region 3,West Virginia,Community water system,194,FAIRMONT,Marion,3,23,7
WV9923012,HUGH DINGESS ELEMENTARY,Region 3,West Virginia,Non-Transient non-community system,145,SHIVELY,Logan,3,77,10
WV3301608,HARDY COUNTY PSD 220 N,Region 3,West Virginia,Community water system,1331,MOOREFIELD,Hardy,10,4,6
WV3305203,NEW MARTINSVILLE,Region 3,West Virginia,Community water system,8257,NEW MARTINSVILLE,Wetzel,18,31,13
WV9936007,CAVE COUNTRY STORE,Region 3,West Virginia,Transient non-community system,30,FRANKLIN,Pendleton,3,3,3
WV9938019,GREEN BANK SCHOOL,Region 3,West Virginia,Non-Transient non-community system,308,GREEN BANK,Pocahontas,4,4,16
WV9919040,RAINBOW DINER,Region 3,West Virginia,Transient non-community system,25,RIPPON,Jefferson,3,57,3
WV9950086,VAMC - HUNTINGTON,Region 3,West Virginia,Non-Transient non-community system,1759,HUNTINGTON,Wayne,4,4,9
WV9942002,ALPINE SPRINGS LODGE,Region 3,West Virginia,Transient non-community system,25,BOWDEN,Randolph,5,30,5
WV3302437,BRADSHAW WATER WORKS,Region 3,West Virginia,Community water system,233,BRADSHAW,McDowell,4,38,9
WV3302828,PINNACLE WATER ASSOCIATION,Region 3,West Virginia,Community water system,85,MCCOMAS,Mercer,5,472,8
WV9936063,RIVER MART,Region 3,West Virginia,Transient non-community system,25,RIVERTON,Pendleton,3,27,3
WV9914069,APPALACHIAN BEER GARDEN RESTAURANT,Region 3,West Virginia,Transient non-community system,25,AUGUSTA,Hampshire,3,23,2
WV9916048,RIO GENERAL STORE,Region 3,West Virginia,Transient non-community system,25,RIO,Hardy,3,8,1
WV3301904,CAVE QUARTER ESTATES,Region 3,West Virginia,Community water system,58,CHARLES TOWN,Jefferson,5,235,3
WV3300506,FOLLANSBEE MUNICIPAL,Region 3,West Virginia,Community water system,2628,FOLLANSBEE,Brooke,11,5,9
WV3302357,LOGAN CO PSD-GREENVILLE SYSTEM,Region 3,West Virginia,Community water system,3960,GREENVILLE,Logan,15,57,21
WV3303904,DENVER WATER ASSOC,Region 3,West Virginia,Community water system,313,TUNNELTON,Preston,5,4,5
WV3305516,OCEANA COMMUNITY OF,Region 3,West Virginia,Community water system,4410,OCEANA,Wyoming,10,58,31
WV3302514,MINISTERS RUN WATER ASSOC,Region 3,West Virginia,Community water system,382,RIVESVILLE,Marion,2,39,6
WV3302519,RIVESVILLE TOWN OF,Region 3,West Virginia,Community water system,1386,RIVESVILLE,Marion,8,16,4
WV3303914,ROWLESBURG WATER WORKS,Region 3,West Virginia,Community water system,707,ROWLESBURG,Preston,7,31,15
WV9914055,CONCORD RETREAT,Region 3,West Virginia,Transient non-community system,25,YELLOW SPRING,Hampshire,5,46,3
WV9938067,POCAHONTAS CO PARKS REC BD,Region 3,West Virginia,Transient non-community system,25,MARLINTON,Pocahontas,3,29,4
WV9925018,"RAIN CII CARBON, L.L.C.",Region 3,West Virginia,Non-Transient non-community system,50,MOUNDSVILLE,Marshall,5,5,6
WV9950009,CABWAYLINGO STATE FOREST WELL NO 2,Region 3,West Virginia,Transient non-community system,57,DUNLOW,Wayne,3,9,7
WV9914063,S O M E INC MAYA ANGELOU,Region 3,West Virginia,Transient non-community system,25,HIGH VIEW,Hampshire,3,12,2
WV3302504,FARMINGTON TOWN OF,Region 3,West Virginia,Community water system,417,FARMINGTON,Marion,4,7,6
WV3303923,PRESTON COUNTY PSD 4,Region 3,West Virginia,Community water system,5171,ALBRIGHT,Preston,21,18,10
WV3302605,GLEN DALE WATER WORKS,Region 3,West Virginia,Community water system,2495,GLEN DALE,Marshall,11,30,21
WV9928065,C AND L COUNTRY CORNER,Region 3,West Virginia,Transient non-community system,25,CAMP CREEK,Mercer,3,53,26
WV3305505,BROOKSIDE OTSEGO COMMUNITY WATER,Region 3,West Virginia,Community water system,74,MULLENS,Wyoming,5,1443,6
WV9914062,S O M E  INC EXODUS,Region 3,West Virginia,Transient non-community system,40,HIGH VIEW,Hampshire,4,14,2
WV9948010,ARLINGTON CABINS,Region 3,West Virginia,Transient non-community system,100,FRIENDLY,Tyler,3,43,3
WV9933031,VFW POST 4019,Region 3,West Virginia,Transient non-community system,25,BERKELEY SPRINGS,Morgan,3,24,3
WV3301022,MEADOW BRIDGE TOWN OF,Region 3,West Virginia,Community water system,725,MEADOW BRIDGE,Fayette,5,13,27
WV3301302,GREENBRIER COUNTY PSD 2,Region 3,West Virginia,Community water system,1188,CRICHTON,Greenbrier,8,6,30
WV3303011,DELBARTON TOWN OF,Region 3,West Virginia,Community water system,249,DELBARTON,Mingo,6,40,6
WV3300703,PLEASANT HILL P S D RT 16 DISTRICT,Region 3,West Virginia,Community water system,1392,FIVE FORKS,Calhoun,12,42,7
WV3304011,PUTNAM P S D,Region 3,West Virginia,Community water system,21719,SCOTT DEPOT (RR NAME SCOTT),Putnam,31,0,60
WV3302354,LOGAN COUNTY PSD - MUD FORK,Region 3,West Virginia,Community water system,338,LOGAN,Logan,2,4,6
WV3304707,PARSONS CITY OF,Region 3,West Virginia,Community water system,1556,PARSONS,Tucker,7,89,22
