PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
WI8260022,IRON COUNTY-SAXON HARBOR MAIN WELL,Region 5,Wisconsin,Transient non-community system,200,HURLEY,Iron,2,0,2
WI7371430,B S A CAMP PHILLIPS SCOUT CAMP,Region 5,Wisconsin,Transient non-community system,25,WESTON,Marathon,3,1,6
WI7290208,BODY SHOP BAR & GRILL,Region 5,Wisconsin,Transient non-community system,25,NEW LISBON,Juneau,4,3,5
WI7440811,LAKE TERRACE ESTATES WEST,Region 5,Wisconsin,Transient non-community system,34,THREE LAKES,Oneida,2,0,1
WI7440869,B S A CAMP TESOMAS HANNAH SHOWER HOUSE,Region 5,Wisconsin,Transient non-community system,200,RHINELANDER,Oneida,3,0,1
WI7441083,B S A CAMP TESOMAS FAMILY CAMP,Region 5,Wisconsin,Transient non-community system,25,RHINELANDER,Oneida,2,0,8
WI7441084,B S A CAMP TESOMAS SCOOLEY LODGE WELL,Region 5,Wisconsin,Transient non-community system,25,RHINELANDER,Oneida,2,1,8
WI7640483,COONTAIL CORNER,Region 5,Wisconsin,Transient non-community system,40,BOULDER JCT,Vilas,2,3,7
WI2685119,DEER HAVEN GOLF COURSE,Region 5,Wisconsin,Transient non-community system,110,NEW BERLIN,Waukesha,2,1,9
WI2680332,THE BRICK HOUSE,Region 5,Wisconsin,Transient non-community system,50,MUSKEGO,Waukesha,3,2,9
WI2680341,EAGLE SPRINGS GOLF RESORT,Region 5,Wisconsin,Transient non-community system,25,EAGLE,Waukesha,3,3,9
WI2680440,NINETEENTH HOLE COUNTRY CLUB,Region 5,Wisconsin,Transient non-community system,25,NEW BERLIN,Waukesha,2,4,11
WI4390310,OXFORD ELEMENTARY,Region 5,Wisconsin,Non-Transient non-community system,240,OXFORD,Marquette,3,2,5
WI4390480,LAST CHANCE RESTAURANT,Region 5,Wisconsin,Transient non-community system,200,OXFORD,Marquette,2,4,7
WI4390595,NESHKORO STAN O GENE PARK,Region 5,Wisconsin,Transient non-community system,50,NESHKORO,Marquette,2,4,5
WI4150223,ON DECK CLOTHING CO,Region 5,Wisconsin,Transient non-community system,56,FISH CREEK,Door,2,6,2
WI2681251,SUMMIT TOWN HALL,Region 5,Wisconsin,Transient non-community system,35,OCONOMOWOC,Waukesha,3,1,8
WI4310419,SUNSET BEACH MOTEL & CONDOS,Region 5,Wisconsin,Transient non-community system,25,DYCKESVILLE,Kewaunee,3,3,6
WI4150675,WHISPERING SANDS RESORT,Region 5,Wisconsin,Transient non-community system,50,STURGEON BAY,Door,2,5,4
WI2683098,ASSOCIATED BANK OF OCONOMOWOC,Region 5,Wisconsin,Transient non-community system,104,OCONOMOWOC,Waukesha,3,1,10
WI6090559,LOOPYS,Region 5,Wisconsin,Transient non-community system,100,CHIPPEWA FALLS,Chippewa,2,6,15
WI4590503,CECIL FIRESIDE INN MOTEL,Region 5,Wisconsin,Transient non-community system,50,CECIL,Shawano,2,2,6
WI6480334,SPRING VALLEY GOLF COURSE,Region 5,Wisconsin,Transient non-community system,50,SPRING VALLEY,Pierce,3,1,9
WI4600615,JOHNSONVILLE SAUSAGE RIVERSIDE PLANT,Region 5,Wisconsin,Non-Transient non-community system,160,SHEBOYGAN FALLS,Sheboygan,8,3,5
WI8070417,HILLSIDE INN,Region 5,Wisconsin,Transient non-community system,50,DANBURY,Burnett,2,1,7
WI8070642,HERZL CAMP SOCCERFIELD,Region 5,Wisconsin,Transient non-community system,25,WEBSTER,Burnett,2,9,4
WI4601159,JOHNSONVILLE SAUSAGE GLOBAL HEADQUARTERS OFFICE,Region 5,Wisconsin,Non-Transient non-community system,175,SHEBOYGAN FALLS,Sheboygan,5,0,3
WI4690397,OAKWOOD ESTATES MHP,Region 5,Wisconsin,Community water system,110,NEW LONDON,Waupaca,2,7,8
WI4690593,FREMONT ELEMENTARY SCHOOL,Region 5,Wisconsin,Non-Transient non-community system,120,FREMONT,Waupaca,2,7,5
WI6031014,SIX LAKES RESORT-PLAYGROUND,Region 5,Wisconsin,Transient non-community system,25,CHETEK,Barron,2,0,2
WI6060166,BUFFALO COUNTY OUTFITTERS,Region 5,Wisconsin,Transient non-community system,30,MONDOVI,Buffalo,2,0,1
WI6561025,YMCA CAMP ST CROIX - FARM HOUSE,Region 5,Wisconsin,Transient non-community system,25,HUDSON,St. Croix,2,1,2
WI6620355,SULLIVANS SUPPER CLUB,Region 5,Wisconsin,Transient non-community system,25,TREMPEALEAU,Trempealeau,3,2,7
WI6320428,MUDDY CREEK,Region 5,Wisconsin,Transient non-community system,30,MINDORO,La Crosse,4,8,8
WI7370233,BIG EAU PLEINE CO PARK 3,Region 5,Wisconsin,Transient non-community system,75,WAUSAU,Marathon,3,7,7
WI7370928,NEW HOPE COMMUNITY CHURCH,Region 5,Wisconsin,Transient non-community system,300,WAUSAU,Marathon,3,10,9
WI7371423,EAU CLAIRE DELLS 3 CAMPGRD,Region 5,Wisconsin,Transient non-community system,75,ANIWA,Marathon,2,1,4
WI7371464,ELDERON FOOD STORE,Region 5,Wisconsin,Transient non-community system,25,ELDERON,Marathon,3,3,5
WI7441377,B S A AKELAS WORLD,Region 5,Wisconsin,Transient non-community system,25,RHINELANDER,Oneida,3,0,4
WI7640517,FUDDS BIG DIPPER,Region 5,Wisconsin,Transient non-community system,50,ST GERMAIN,Oneida,2,1,5
WI7640541,MAPLE VIEW RESORT 1 LODGE,Region 5,Wisconsin,Transient non-community system,60,CONOVER,Vilas,5,7,7
WI8510539,PRICE CO FORESTRY-CONCRETE PARK,Region 5,Wisconsin,Transient non-community system,25,PHILLIPS,Price,3,4,4
WI8040073,TRI-LAKE TIMBERS HILL CAMPSITES,Region 5,Wisconsin,Transient non-community system,25,IRON RIVER,Bayfield,2,0,2
WI1110308,LEVEE,Region 5,Wisconsin,Transient non-community system,108,PORTAGE,Columbia,2,3,8
WI1130495,BEL AIRE MOTEL,Region 5,Wisconsin,Transient non-community system,27,MAZOMANIE,Dane,2,0,6
WI1110457,LAKE WI EVANGELICAL FREE CHURCH,Region 5,Wisconsin,Transient non-community system,203,LODI,Columbia,4,0,5
WI2300918,MARINOS COUNTRY AIRE BANQUET HALL,Region 5,Wisconsin,Transient non-community system,25,NEW MUNSTER,Kenosha,3,8,8
WI1540130,MILTON WATERWORKS,Region 5,Wisconsin,Community water system,5588,MILTON,Rock,12,21,19
WI2522544,ROHNER RANGE,Region 5,Wisconsin,Transient non-community system,40,CALEDONIA,Racine,3,3,1
WI8610188,THE INN BETWEEN,Region 5,Wisconsin,Transient non-community system,25,MEDFORD,Taylor,2,0,8
WI8510184,BIG FALLS COUNTY PARK,Region 5,Wisconsin,Transient non-community system,25,KENNAN,Price,2,2,6
WI1541223,FULTON UTILITY DISTRICT,Region 5,Wisconsin,Community water system,200,EDGERTON,Rock,3,3,13
WI1220228,ARTHUR HAUS,Region 5,Wisconsin,Transient non-community system,208,PLATTEVILLE,Grant,2,0,8
WI2461335,AMERICAN BEHAVIORAL CLINIC,Region 5,Wisconsin,Transient non-community system,165,MEQUON,Ozaukee,3,3,4
