PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
AL0001537,RANDOLPH COUNTY WATER & SEWER AUTHORITY,Region 4,Alabama,Community water system,9600,ROANOKE,Randolph,18,13,31
AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),Region 4,Alabama,Community water system,1572,SILVERHILL,Baldwin,8,62,36
AL0000593,SOLON DIXON FORESTRY EDUCATION CENTER,Region 4,Alabama,Transient non-community system,25,ANDALUSIA,Covington,7,3,34
AL0000500,SOUTH DALLAS WATER AUTHORITY,Region 4,Alabama,Community water system,3669,SARDIS,Dallas,13,4,38
AL0000909,FAUNSDALE WATER WORKS,Region 4,Alabama,Community water system,414,FAUNSDALE,Marengo,5,40,37
AL0000865,STAR-MINDINGALL WATER AUTHORITY,Region 4,Alabama,Community water system,1962,,Macon,12,14,39
AL0000761,TRUSSVILLE UTILITIES,Region 4,Alabama,Community water system,36300,TRUSSVILLE,Jefferson,46,1,45
AL0001225,"CLEAR CREEK HARBOR, LLC",Region 4,Alabama,Transient non-community system,50,TALLADEGA,Talladega,7,7,33
AL0000413,"V.A.W. WATER SYSTEM, INC",Region 4,Alabama,Community water system,15582,VINEMONT,Cullman,17,3,39
AL0001236,FAYETTEVILLE WATER  AUTHORITY,Region 4,Alabama,Community water system,5565,FAYETTEVILLE,Talladega,10,2,29
AL0000378,RED LEVEL WATER WORKS,Region 4,Alabama,Community water system,846,RED LEVEL,Covington,6,1,58
AL0000814,LOACHAPOKA WATER AUTHORITY,Region 4,Alabama,Community water system,11649,LOACHAPOKA,Lee,17,26,35
AL0001490,"PERDIDO BAY WATER, SEWER & FPA",Region 4,Alabama,Community water system,10824,ELBERTA,Baldwin,11,3,49
AL0001056,URIAH WATER SYSTEM INC.,Region 4,Alabama,Community water system,3420,URIAH,Monroe,10,101,43
AL0000943,GUNTERSVILLE WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,12612,GUNTERSVILLE,Marshall,26,2,52
AL0001769,"BLUE HOLE WATER COMPANY, INC., THE",Region 4,Alabama,Community water system,462,,Blount,2,8,22
AL0001072,PILGRIM-PROVIDENCE WATER AUTHORITY,Region 4,Alabama,Community water system,588,RAMER,Montgomery,8,2,29
AL0000177,HUGULEY WATER AUTHORITY,Region 4,Alabama,Community water system,6900,HUGULEY,Chambers,15,6,32
AL0001100,UNIONTOWN UTILITIES BOARD,Region 4,Alabama,Community water system,3894,UNIONTOWN,Perry,9,40,43
AL0001322,BOLDO WATER & FIRE PROT. AUTHORITY,Region 4,Alabama,Community water system,4440,JASPER,Walker,6,1,33
AL0000187,CEDAR BLUFF UTILITIES BOARD,Region 4,Alabama,Community water system,3753,CEDAR BLUFF,Cherokee,3,4,29
AL0000824,ATHENS UTILITIES,Region 4,Alabama,Community water system,27534,ATHENS,Limestone,11,22,41
AL0001071,PINE LEVEL WATER AUTHORITY,Region 4,Alabama,Community water system,2700,PINE LEVEL,Montgomery,10,9,36
AL0000277,EDWARDSVILLE WATER & FIRE PRO AUTHORITY,Region 4,Alabama,Community water system,600,EDWARDSVILLE,Cleburne,4,9,30
AL0001433,GOLDEN ROD BROILERS,Region 4,Alabama,Non-Transient non-community system,350,CULLMAN,Cullman,4,43,41
AL0000949,SWEARENGIN WATER SYSTEM,Region 4,Alabama,Community water system,2160,GRANT,Marshall,9,4,29
AL0000769,KENNEDY WATER WORKS BOARD,Region 4,Alabama,Community water system,723,KENNEDY,Lamar,6,0,36
AL0000671,ASHFORD WATER WORKS,Region 4,Alabama,Community water system,3768,ASHFORD,Houston,12,73,44
AL0000085,EUFAULA WATER WORKS,Region 4,Alabama,Community water system,17958,EUFAULA,Barbour,32,69,39
AL0001250,WALDO WATER SYSTEM,Region 4,Alabama,Community water system,401,"TALLADEGA, WALDO",Talladega,2,34,30
AL0000559,FLOMATON WATER WORKS,Region 4,Alabama,Community water system,2409,FLOMATON,Escambia,11,45,33
AL0000256,JACKSON WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,11715,JACKSON,Clarke,14,24,48
AL0000279,HEFLIN WATER WORKS,Region 4,Alabama,Community water system,4287,HEFLIN,Cleburne,11,7,49
AL0000561,FREEMANVILLE WATER SYSTEM,Region 4,Alabama,Community water system,3414,ATMORE,Escambia,9,1,34
AL0000013,"MARBURY WATER SYSTEM, INC.",Region 4,Alabama,Community water system,8670,MARBURY,Autauga,28,2,55
AL0000017,PRATTVILLE (WATER WORKS BOARD OF),Region 4,Alabama,Community water system,45444,PRATTVILLE,Autauga,62,27,60
AL0001270,CAMP HILL UTILITIES BOARD,Region 4,Alabama,Community water system,1710,CAMP HILL,Tallapoosa,7,7,30
AL0000702,TAYLOR WATER SYSTEM,Region 4,Alabama,Community water system,9339,TAYLOR,Houston,12,1,60
AL0000689,KINSEY WATER SYSTEM,Region 4,Alabama,Community water system,2010,DOTHAN,Houston,6,1,43
AL0000023,NORTH BALDWIN UTILITIES,Region 4,Alabama,Community water system,28713,BAY MINETTE,Baldwin,37,156,42
AL0000188,CENTRE WATER & SEWER BOARD,Region 4,Alabama,Community water system,7050,CENTRE,Cherokee,6,2,115
AL0000502,JCG FOODS OF ALABAMA LLC,Region 4,Alabama,Non-Transient non-community system,860,COLLINSVILLE,DeKalb,7,28,37
AL0001293,"CITIZENS WATER SERVICE, INC.",Region 4,Alabama,Community water system,10950,BROOKWOOD,Tuscaloosa,14,6,41
AL0001022,SATSUMA WATER WORKS,Region 4,Alabama,Community water system,7248,SATSUMA,Mobile,9,8,37
AL0001021,SARALAND WATER SERVICE,Region 4,Alabama,Community water system,13827,SARALAND,Mobile,16,3,38
AL0000967,SOUTH ALABAMA UTILITIES WATER SYSTEM,Region 4,Alabama,Community water system,39249,CITRONELLE,Mobile,74,2,39
AL0001149,BETHEL WATER SYSTEM,Region 4,Alabama,Community water system,4110,WILSONVILLE,Shelby,5,3,34
AL0000257,OLD LINE WATER SYSTEM,Region 4,Alabama,Community water system,5145,JACKSON,Clarke,17,1,32
AL0001715,I-65 RV CAMPGROUND,Region 4,Alabama,Transient non-community system,246,CREOLA,Mobile,5,3,28
AL0000344,REPTON WATER WORKS,Region 4,Alabama,Community water system,510,REPTON,Conecuh,5,84,63
AL0000930,WINFIELD WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,8631,WINFIELD,Marion,23,6,44
AL0001423,GREENHILL WATER & FIRE PRO AUTHORITY,Region 4,Alabama,Community water system,8013,FLORENCE,Lauderdale,11,8,76
AL0000993,KUSHLA WATER DISTRICT,Region 4,Alabama,Community water system,6294,EIGHT MILE,Mobile,17,4,31
AL0001780,FIVE STAR WATER SUPPLY DISTRICT,Region 4,Alabama,Community water system,100,PRATTVILLE,Elmore,6,8,35
AL0001516,HAMDEN RIDGE WATER AUTHORITY,Region 4,Alabama,Community water system,2196,EVERGREEN,Conecuh,7,64,34
AL0001302,FOSTERS-RALPH WATER AUTHORITY,Region 4,Alabama,Community water system,5985,RALPH,Tuscaloosa,14,1,32
AL0000296,ENTERPRISE WATER WORKS,Region 4,Alabama,Community water system,48000,ENTERPRISE,Coffee,57,137,47
AL0001283,NEW SITE WATER SYSTEM,Region 4,Alabama,Community water system,1644,NEWSITE,Tallapoosa,8,1,31
AL0001411,HALEYVILLE WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,11835,HALEYVILLE,Winston,8,0,36
AL0000772,SULLIGENT (CITY OF),Region 4,Alabama,Community water system,2643,SULLIGENT,Lamar,13,4,37
AL0000994,"LEMOYNE WATER SYSTEM, INC.",Region 4,Alabama,Community water system,3825,AXIS,Mobile,10,76,35
AL0000546,POLLARD WATER SYSTEM,Region 4,Alabama,Community water system,216,POLLARD,Escambia,5,9,31
AL0001783,BLOUNT COUNTY WATER,Region 4,Alabama,Community water system,17400,CLEVELAND,Blount,34,72,26
AL0000108,SNEAD WATER WORKS,Region 4,Alabama,Community water system,5958,,Blount,12,8,31
AL0001374,CAMDEN WATER & SEWER DEPARTMENT,Region 4,Alabama,Community water system,4170,CAMDEN,Wilcox,13,19,51
AL0000805,BEAUREGARD WATER AUTHORITY,Region 4,Alabama,Community water system,11178,OPELIKA,Lee,18,9,121
AL0000095,RANDOLPH WATER SYSTEM,Region 4,Alabama,Community water system,1239,RANDOLPH,Bibb,5,0,28
AL0001814,GULF STATE PARK INTERPRETIVE CENTER WTS,Region 4,Alabama,Transient non-community system,50,GULF SHORES,Baldwin,5,0,1
AL0001816,"DOLLAR GENERAL #19936 GORDON, AL",Region 4,Alabama,Transient non-community system,32,GORDON,Houston,3,0,1
AL0000104,PINE BLUFF WATER  AUTHORITY,Region 4,Alabama,Community water system,6099,LOCUST FORK,Blount,12,4,37
AL0000763,WARRIOR RIVER WATER AUTHORITY,Region 4,Alabama,Community water system,37263,BESSEMER,Jefferson,35,2,90
AL0000789,ROGERSVILLE WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,4845,ROGERSVILLE,Lauderdale,12,4,37
AL0001702,HILLTOP RV PARK,Region 4,Alabama,Transient non-community system,65,ROBERTSDALE,Baldwin,5,5,27
AL0000122,NECTAR WATER SYSTEM,Region 4,Alabama,Community water system,3120,CLEVELAND,Blount,10,79,38
AL0000415,DALE COUNTY WATER AUTHORITY,Region 4,Alabama,Community water system,7932,OZARK,Dale,16,2,49
AL0000338,EVERGREEN WATER WORKS,Region 4,Alabama,Community water system,4950,EVERGREEN,Conecuh,15,4,58
AL0000573,WHORTON BEND WATER AUTHORITY,Region 4,Alabama,Community water system,2301,GADSDEN,Etowah,3,4,28
AL0001139,HURTSBORO WATER & SEWER BOARD,Region 4,Alabama,Community water system,1182,HURTSBORO,Russell,8,4,35
AL0000572,ATTALLA WATER WORKS BOARD,Region 4,Alabama,Community water system,8415,ATTALLA,Etowah,16,3,48
AL0000926,HAMILTON WATER AND WASTEWATER DEPARTMENT,Region 4,Alabama,Community water system,10500,HAMILTON,Marion,33,2,45
AL0000643,GREENE COUNTY WATER AUTHORITY,Region 4,Alabama,Community water system,4062,EUTAW,Greene,11,11,30
AL0000161,OHATCHEE WATER SYSTEM,Region 4,Alabama,Community water system,1425,OHATCHEE,Calhoun,5,3,30
AL0000068,SPANISH FORT WATER SYSTEM,Region 4,Alabama,Community water system,9264,SPANISH FORT,Baldwin,22,26,138
AL0001031,ST. ELMO-IRVINGTON WATER AUTHORITY,Region 4,Alabama,Community water system,10020,,Mobile,11,43,36
AL0001364,MILLRY WATER WORKS,Region 4,Alabama,Community water system,2217,MILLRY,Washington,12,41,34
AL0000232,BUTLER WATER SYSTEM,Region 4,Alabama,Community water system,6852,BUTLER,Choctaw,8,7,50
AL0000598,GLEN ALLEN WATER SYSTEM,Region 4,Alabama,Community water system,1500,GLEN ALLEN,Fayette,7,9,37
AL0000181,CAA-CTC PLAINVIEW HEAD START PROGRAM,Region 4,Alabama,Non-Transient non-community system,245,DADEVILLE,Chambers,5,17,43
AL0000322,NATCHEZ TRACE PARKWAY,Region 4,Alabama,Transient non-community system,50,CHEROKEE,Colbert,6,5,26
AL0001813,FACKLER TRUCK STOP,Region 4,Alabama,Transient non-community system,50,FACKLER,Jackson,5,6,5
AL0001163,PELHAM WATER WORKS,Region 4,Alabama,Community water system,38061,PELHAM,Shelby,36,10,40
AL0001265,ALEXANDER CITY WATER DEPARTMENT,Region 4,Alabama,Community water system,29565,ALEXANDER CITY,Tallapoosa,14,11,46
AL0000097,WEST BLOCTON WATER WORKS,Region 4,Alabama,Community water system,4140,WEST BLOCTON,Bibb,13,5,37
AL0001817,"DOLLAR GENERAL-BROADWAY GROUP, LLC",Region 4,Alabama,Transient non-community system,25,LINEVILLE,Clay,3,0,1
AL0001102,ALICEVILLE WATER & SEWER BOARD,Region 4,Alabama,Community water system,5655,ALICEVILLE,Pickens,16,6,31
AL0000929,TWIN WATER AUTHORITY,Region 4,Alabama,Community water system,804,GUIN,Marion,5,18,44
AL0000093,GREEN POND WATER SYSTEM,Region 4,Alabama,Community water system,8631,GREEN POND,Bibb,22,0,44
AL0001097,MARION WATER DEPARTMENT,Region 4,Alabama,Community water system,4323,MARION,Perry,16,59,47
AL0000788,LEXINGTON WATER WORKS AND SEWER,Region 4,Alabama,Community water system,2799,LEXINGTON,Lauderdale,7,9,32
AL0001050,"MEXIA WATER SYSTEM, INC.",Region 4,Alabama,Community water system,2550,MEXIA,Monroe,6,11,31
AL0000918,SWEETWATER WATER & SEWER BOARD,Region 4,Alabama,Community water system,465,SWEET WATER,Marengo,5,9,44
AL0001307,NORTHPORT WATER WORKS,Region 4,Alabama,Community water system,40551,NORTHPORT,Tuscaloosa,15,1,58
AL0000337,CASTLEBERRY WATER SYSTEM,Region 4,Alabama,Community water system,1095,CASTLEBERRY,Conecuh,4,73,42
AL0000110,"TYSON FARM, INC. (BLOUNT CO.)",Region 4,Alabama,Non-Transient non-community system,670,BLOUNTSVILLE,Blount,7,5,91
AL0001721,DORA UTILITIES,Region 4,Alabama,Community water system,4128,DORA,Walker,6,10,33
AL0001506,MYRTLEWOOD WATER SYSTEM,Region 4,Alabama,Community water system,4095,MYRTLEWOOD,Marengo,19,2,53
AL0001274,DAVISTON WATER SYSTEM (TOWN OF),Region 4,Alabama,Community water system,630,DAVISTON,Tallapoosa,3,11,34
AL0000820,SMITHS WATER AND SEWER AUTHORITY,Region 4,Alabama,Community water system,30684,SMITHS,Lee,19,0,93
AL0001273,DADEVILLE WATER WORKS & SEWAGE BOARD,Region 4,Alabama,Community water system,3744,DADEVILLE,Tallapoosa,9,34,33
AL0001371,WILCOX COUNTY WATER AUTHORITY,Region 4,Alabama,Community water system,6594,CAMDEN,Wilcox,21,9,41
AL0001361,HOBSON WATER SYSTEM,Region 4,Alabama,Community water system,621,CHATOM,Washington,4,0,29
AL0000798,MOULTON WATER WORKS BOARD,Region 4,Alabama,Community water system,8940,MOULTON,Lawrence,14,3,81
AL0000624,HARTFORD WATER WORKS,Region 4,Alabama,Community water system,4323,HARTFORD,Geneva,11,47,30
AL0001205,PINEDALE SHORES WSFPA,Region 4,Alabama,Community water system,1050,ASHVILLE,St. Clair,2,9,28
AL0000606,PHIL CAMPBELL WATER WORKS,Region 4,Alabama,Community water system,7065,PHIL CAMPBELL,Franklin,11,1,31
AL0000592,WALNUT GROVE (TOWN OF),Region 4,Alabama,Community water system,1164,WALNUT GROVE,Etowah,5,56,51
AL0000765,WEST JEFFERSON WATER WORKS (TOWN OF),Region 4,Alabama,Community water system,3177,QUINTON,Jefferson,5,1,29
AL0000905,TRIANA WATER WORKS,Region 4,Alabama,Community water system,3813,TRIANA,Madison,6,30,36
AL0000924,GUIN WATER & SEWER BOARD,Region 4,Alabama,Community water system,4416,GUIN,Marion,9,46,60
AL0000321,MUSCLE SHOALS UTILITY BOARD,Region 4,Alabama,Community water system,18303,MUSCLE SHOALS,Colbert,8,19,36
AL0000397,SOUTH CRENSHAW COUNTY WATER AUTHORITY,Region 4,Alabama,Community water system,5490,BRANTLEY,Crenshaw,20,1,38
AL0001460,COWIKEE WATER AUTHORITY,Region 4,Alabama,Community water system,1989,EUFAULA,Barbour,9,0,30
AL0000372,LOCKHART WATER WORKS,Region 4,Alabama,Community water system,720,LOCKHART,Covington,7,2,37
AL0000628,SAMSON WATER WORKS,Region 4,Alabama,Community water system,4125,SAMSON,Geneva,8,3,32
AL0000088,LOUISVILLE WATER WORKS,Region 4,Alabama,Community water system,1380,LOUISVILLE,Barbour,11,4,66
AL0000341,LYEFFION WATER AND FIRE PRO AUTHORITY,Region 4,Alabama,Community water system,1419,EVERGREEN,Conecuh,5,29,34
AL0001491,FARLEY NUCLEAR PLANT,Region 4,Alabama,Non-Transient non-community system,1000,BIRMINGHAM,Houston,12,4,34
AL0001673,OASIS TRAVEL CENTER,Region 4,Alabama,Transient non-community system,250,ROBERTSDALE,Baldwin,4,19,33
AL0000133,ANNISTON WATER & SEWER BOARD,Region 4,Alabama,Community water system,55368,ANNISTON,Calhoun,31,0,47
AL0000484,ORRVILLE WATER DEPARTMENT (TOWN OF),Region 4,Alabama,Community water system,435,ORRVILLE,Dallas,5,9,35
AL0000116,MIDWAY WATER WORKS,Region 4,Alabama,Community water system,1050,"CLAYTON, MIDWAY",Bullock,7,5,47
AL0001108,BANKS WATER SYSTEM,Region 4,Alabama,Community water system,1260,BANKS,Pike,7,6,33
AL0000575,FORDS VALLEY & HWY 278 WATER,Region 4,Alabama,Community water system,5532,PIEDMONT,Etowah,6,9,32
AL0000092,CENTREVILLE WATER & SEWER,Region 4,Alabama,Community water system,5985,CENTREVILLE,Bibb,21,23,41
AL0000229,THORSBY WATER WORKS BOARD,Region 4,Alabama,Community water system,3465,THORSBY,Chilton,17,2,41
AL0000392,RUTLEDGE WATER WORKS,Region 4,Alabama,Community water system,882,RUTLEDGE,Crenshaw,10,30,57
AL0001172,WILTON WATER WORKS,Region 4,Alabama,Community water system,3048,WILTON,Shelby,10,22,51
AL0000558,EAST BREWTON WATER & SEWER BOARD,Region 4,Alabama,Community water system,3120,EAST BREWTON,Escambia,7,106,34
AL0000549,TRI COMMUNITY WATER SYSTEM,Region 4,Alabama,Community water system,11505,MILLBROOK,Elmore,17,2,42
AL0001324,CARBON HILL UTILITIES BOARD,Region 4,Alabama,Community water system,3243,CARBON HILL,Walker,9,5,43
AL0001326,CORDOVA WATER WORKS & GAS BOARD,Region 4,Alabama,Community water system,3939,CORDOVA,Walker,8,1,34
AL0000221,MAPLESVILLE WATER WORKS,Region 4,Alabama,Community water system,1062,MAPLESVILLE,Chilton,4,3,32
AL0000004,ALABAMA DOT/I-10 AL/FL WELCOME CENTER,Region 4,Alabama,Transient non-community system,500,BAY MINETTE,Baldwin,8,4,31
AL0000393,OWASSA-BROWNSVILLE WATER AUTHORITY,Region 4,Alabama,Community water system,3300,EVERGREEN,Conecuh,6,38,94
AL0001642,TAC-X AAF,Region 4,Alabama,Transient non-community system,25,,Geneva,4,0,18
AL0000117,SOUTH BULLOCK COUNTY WATER AUTHORITY,Region 4,Alabama,Community water system,8601,UNION SPRINGS,Bullock,23,7,41
AL0000368,HEATH WATER SYSTEM,Region 4,Alabama,Community water system,450,ANDALUSIA,Covington,2,2,29
AL0000612,VINA WATER WORKS BOARD,Region 4,Alabama,Community water system,1263,VINA,Franklin,8,1,37
AL0000617,CAMP VICTORY,Region 4,Alabama,Transient non-community system,170,SAMSON,Geneva,11,9,33
AL0000622,GENEVA WATER WORKS,Region 4,Alabama,Community water system,8700,GENEVA,Geneva,34,5,40
AL0000570,RIVERVIEW WATER WORKS,Region 4,Alabama,Community water system,903,EAST BREWTON,Escambia,9,82,45
AL0000398,CULLMAN UTILITIES BOARD,Region 4,Alabama,Community water system,32,CULLMAN,Cullman,3,18,86
AL0000414,WALTER WATER AUTHORITY,Region 4,Alabama,Community water system,1296,HANCEVILLE,Cullman,3,2,31
AL0000439,NEWTON WATER WORKS BOARD,Region 4,Alabama,Community water system,2190,NEWTON,Dale,10,5,38
AL0000441,OZARK UTILITIES BOARD,Region 4,Alabama,Community water system,14907,OZARK,Dale,26,44,136
AL0000456,INTERNATIONAL PAPER COMPANY (SELMA),Region 4,Alabama,Non-Transient non-community system,730,SELMA,Dallas,7,5,32
AL0000555,BREWTON WATER WORKS,Region 4,Alabama,Community water system,9756,BREWTON,Escambia,19,5,87
AL0000331,TUSCUMBIA WATER WORKS,Region 4,Alabama,Community water system,13338,TUSCUMBIA,Colbert,10,9,60
AL0000339,FAIRVIEW WATER SYSTEM (CONECUH),Region 4,Alabama,Community water system,975,EVERGREEN,Conecuh,5,8,40
AL0000359,FLORALA REST AREA   (U.S. 331),Region 4,Alabama,Transient non-community system,500,ANDALUSIA,Covington,7,4,35
AL0000154,"JACKSONVILLE WATER WORKS, GAS AND SEWER",Region 4,Alabama,Community water system,13809,JACKSONVILLE,Calhoun,16,122,36
AL0001716,MARION COUNTY PUBLIC WATER AUTHORITY,Region 4,Alabama,Community water system,3435,GUIN,Marion,14,18,26
AL0000925,HACKLEBURG WATER & SEWER BOARD,Region 4,Alabama,Community water system,2403,HACKLEBURG,Marion,9,5,35
AL0001410,DOUBLE SPRINGS (TOWN OF) W&S BOARD,Region 4,Alabama,Community water system,5715,DOUBLE SPRINGS,Winston,10,32,34
AL0000666,NEWVILLE WATER SYSTEM,Region 4,Alabama,Community water system,912,NEWVILLE,Henry,7,4,38
AL0000490,SELMA WATER WORKS & SEWER BOARD,Region 4,Alabama,Community water system,24039,SELMA,Dallas,27,17,53
AL0000438,MIDLAND CITY WATER DEPARTMENT,Region 4,Alabama,Community water system,2880,MIDLAND CITY,Dale,9,2,36
AL0000356,ANDALUSIA (UTILITIES BOARD OF),Region 4,Alabama,Community water system,15114,ANDALUSIA,Covington,28,18,55
AL0000354,STEWARTVILLE WATER AUTHORITY,Region 4,Alabama,Community water system,4890,SYLACAUGA,Coosa,10,1,32
AL0000402,EAST CULLMAN WATER SYSTEM,Region 4,Alabama,Community water system,12444,CULLMAN,Cullman,12,5,32
AL0000408,JOHNSONS CROSSING WATER SYSTEM,Region 4,Alabama,Community water system,3303,CULLMAN,Cullman,3,4,32
AL0001786,"CULLMAN WATER WORKS, CITY OF",Region 4,Alabama,Community water system,35922,CULLMAN,Cullman,9,1,23
AL0000537,FRIENDSHIP WATER WORKS,Region 4,Alabama,Community water system,4293,FRIENDSHIP,Elmore,9,37,31
AL0001015,PRICHARD WATER WORKS BOARD,Region 4,Alabama,Community water system,32400,PRICHARD,Mobile,8,25,51
AL0000149,HOBSON CITY WATER SYSTEM,Region 4,Alabama,Community water system,664,HOBSON CITY,Calhoun,5,17,36
AL0000179,LANETT WATER WORKS,Region 4,Alabama,Community water system,8076,LANETT,Chambers,7,9,30
AL0000566,MCCALL WATER SYSTEM INC,Region 4,Alabama,Community water system,7500,BREWTON,Escambia,19,7,123
