PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
AK2310976,CAMP LI - WA,Region 10,Alaska,Transient non-community system,230,FAIRBANKS,Fairbanks North Star Borough,4,13,4
AK2211952,WHITTIER WATER SYSTEM,Region 10,Alaska,Community water system,650,WHITTIER,Valdez-Cordova Census Area,7,52,8
AK2241177,USFWS KNWR RUSSIAN RIVER FERRY,Region 10,Alaska,Transient non-community system,25,SOLDOTNA,Kenai Peninsula Borough,3,10,7
AK2392017,TONGLEN LAKE LODGE,Region 10,Alaska,Transient non-community system,49,DENALI PARK,Denali Borough,3,3,2
AK2300222,ARCTIC VILLAGE WATER SYSTEM,Region 10,Alaska,Community water system,175,ARCTIC VILLAGE,Yukon-Koyukuk Census Area,6,744,7
AK2225753,SLAVIC EVANGELICAL CHURCH,Region 10,Alaska,Non-Transient non-community system,368,WASILLA,Matanuska-Susitna Borough,2,76,4
AK2250582,JAVA FLATS/RUSSIAN RIVER ROADHOUSE,Region 10,Alaska,Transient non-community system,39,KODIAK,Kodiak Island Borough,2,54,3
AK2223080,ROADSIDE INN,Region 10,Alaska,Transient non-community system,75,WASILLA,Matanuska-Susitna Borough,3,8,6
AK2220190,FLYING SQUIRREL BAKERY,Region 10,Alaska,Transient non-community system,48,TALKEETNA,Matanuska-Susitna Borough,2,7,2
AK2220094,UTOPIA MEADOWS SD,Region 10,Alaska,Community water system,145,WASILLA,Matanuska-Susitna Borough,5,93,5
AK2220161,SUBWAY  KNIK GOOSE BAY ROAD,Region 10,Alaska,Transient non-community system,112,WASILLA,Matanuska-Susitna Borough,2,9,3
AK2227432,PALMER FAMILY CHURCH OF THE NAZARENE,Region 10,Alaska,Transient non-community system,50,PALMER,Matanuska-Susitna Borough,2,21,6
AK2223593,SUMMIT WORSHIP CENTER,Region 10,Alaska,Transient non-community system,204,WASILLA,Matanuska-Susitna Borough,4,24,5
AK2214104,LIFE CHURCH,Region 10,Alaska,Transient non-community system,140,ANCHORAGE,Anchorage Municipality,4,44,5
AK2215922,GREEK ORTHODOX CHURCH,Region 10,Alaska,Transient non-community system,60,ANCHORAGE,Anchorage Municipality,4,12,4
AK2130148,PETERSBURG,Region 10,Alaska,Community water system,3218,PETERSBURG,Wrangell City and Borough,10,44,11
AK2300272,HUGHES PUBLIC WATER SUPPLY,Region 10,Alaska,Community water system,107,HUGHES,Yukon-Koyukuk Census Area,7,257,8
AK2120127,SAXMAN,Region 10,Alaska,Community water system,450,SAXMAN,Ketchikan Gateway Borough,5,290,14
AK2270207,NUNAM IQUA WATER SYSTEM,Region 10,Alaska,Community water system,213,NUNAM IQUA,Bethel Census Area,5,789,10
AK2312415,SALCHA COMMUNITY WATERING POINT,Region 10,Alaska,Community water system,500,SALCHA,Fairbanks North Star Borough,4,8,3
AK2216407,PORTAGE GLACIER CRUISES,Region 10,Alaska,Transient non-community system,400,GIRDWOOD,Anchorage Municipality,5,16,4
AK2260090,MANOKOTAK WATER SYSTEM,Region 10,Alaska,Community water system,293,MANOKOTAK,Dillingham Census Area,5,656,6
AK2262246,MANOKOTAK HEIGHTS W/S,Region 10,Alaska,Community water system,215,MANOKOTAK,Dillingham Census Area,8,772,7
AK2220414,IMMANUEL BAPTIST CHURCH,Region 10,Alaska,Transient non-community system,60,PALMER,Matanuska-Susitna Borough,4,0,2
