PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
ARN000189,R V A F TEXARKANA,Region 6,Arkansas,Non-Transient non-community system,120,,Miller,5,5,7
AR0000101,COMMUNITY WATER SYSTEM,Region 6,Arkansas,Community water system,17038,,"Cleburne, Faulkner, Van Buren",7,8,11
ARN000080,BLACK BEAR SPRINGS,Region 6,Arkansas,Transient non-community system,25,,Polk,3,0,7
AR0000726,LAKESHORE ESTATES WATER ASSN,Region 6,Arkansas,Community water system,634,,Crittenden,2,27,8
AR0000799,BIG CLIFTY WATER,Region 6,Arkansas,Community water system,170,,Carroll,3,14,6
AR0000803,MADISON CO REGIONAL WATER,Region 6,Arkansas,Community water system,3,,"Benton, Carroll, Madison",3,3,8
AR0000590,SEARCY WATERWORKS,Region 6,Arkansas,Community water system,23650,,White,3,5,9
AR0000720,PLEASANT GROVE,Region 6,Arkansas,Community water system,2202,,Stone,5,2,7
AR0000699,GENTRYVILLE PUBLIC WATER AUTH,Region 6,Arkansas,Community water system,402,,Sharp,3,0,7
ARN000022,ALBEMARLE CORPORATION SOUTH,Region 6,Arkansas,Non-Transient non-community system,550,,Columbia,3,3,5
AR0000883,PARON-OWENSVILLE WATER AUTHORITY,Region 6,Arkansas,Community water system,2025,,Saline,5,48,9
AR0001069,N E WHITE COUNTY PUBLIC FACILITIES BOARD,Region 6,Arkansas,Community water system,0,,White,2,0,4
AR0000824,LAKE TABLE ROCK ESTATES,Region 6,Arkansas,Community water system,33,,Carroll,3,9,6
AR0000722,CLAY CO REG WATER DISTRICT,Region 6,Arkansas,Community water system,5515,,"Clay, Greene, Randolph",10,6,8
AR0000693,GATEWAY PUBLIC WATER AUTHORITY,Region 6,Arkansas,Community water system,1890,,Benton,4,14,10
AR0000709,MORRISON BLUFF WATER SYSTEM,Region 6,Arkansas,Community water system,325,,Logan,3,8,9
AR0000716,LISBON WATER ASSOCIATION,Region 6,Arkansas,Community water system,439,,Union,5,2,6
ARN000214,GEORGIA PACIFIC WOOD PRODUCTS LLC,Region 6,Arkansas,Non-Transient non-community system,100,,Calhoun,3,0,5
AR0001123,WILSON GUN SHOP #2,Region 6,Arkansas,Non-Transient non-community system,175,,Carroll,3,5,4
AR0000749,HWY 64 WATER ASSOCIATION,Region 6,Arkansas,Community water system,215,,Crittenden,2,34,6
AR0000753,OLD BELLA VISTA POA,Region 6,Arkansas,Community water system,105,,Benton,4,56,8
AR0000882,SYLAMORE VALLEY WATER ASSN,Region 6,Arkansas,Community water system,270,,Stone,2,28,6
AR0000805,NASHVILLE RURAL WATER AUTHORITY,Region 6,Arkansas,Community water system,7291,,Howard,6,46,5
AR0000273,HARDIN WATER ASSOCIATION,Region 6,Arkansas,Community water system,4600,,Jefferson,3,2,7
AR0000768,EAST NEWTON COUNTY WATER ASSN,Region 6,Arkansas,Community water system,1815,,Newton,9,45,9
AR0000770,MARION COUNTY REG WATER DIST,Region 6,Arkansas,Community water system,0,,Marion,3,11,9
AR0000737,BUENA VISTA-OGEMAW WATER ASSOCIATION,Region 6,Arkansas,Community water system,384,,Ouachita,4,27,8
AR0000785,BARKADA WATER ASSOCIATION,Region 6,Arkansas,Community water system,381,,Drew,2,9,5
AR0000786,MILL POND VILLAGE MHP,Region 6,Arkansas,Community water system,160,,Garland,3,10,8
AR0000792,SOUTHERN HILLS WATER SYSTEM,Region 6,Arkansas,Community water system,45,,Carroll,3,4,7
AR0000741,CLARK COUNTY COUNTRY WATER FACILITIES,Region 6,Arkansas,Community water system,2450,,Clark,3,4,6
AR0000837,BRUNNER HILL WATER ASSOC,Region 6,Arkansas,Community water system,1023,,Izard,5,5,6
AR0000844,BEAVERFORK VOLUNTEER FD WSD,Region 6,Arkansas,Community water system,3458,,Faulkner,3,14,6
AR0000827,KINGS HILL ESTATES,Region 6,Arkansas,Community water system,25,,Carroll,3,16,8
AR0000832,OSAGE POINT MHP,Region 6,Arkansas,Community water system,80,,Carroll,3,8,6
AR0000833,RIVER VALLEY WATER ASSN,Region 6,Arkansas,Community water system,1181,,Clark,4,6,6
AR0000835,RICHWOODS WATER ASSOCIATION,Region 6,Arkansas,Community water system,1436,,Stone,3,13,7
AR0000704,WESTERN GREENE COUNTY R W D,Region 6,Arkansas,Community water system,7342,,Greene,8,7,6
AR0000705,MC NEIL RURAL WATER ASSOC,Region 6,Arkansas,Community water system,900,,Columbia,6,21,7
AR0000706,KROOKED KREEK WATER ASSN,Region 6,Arkansas,Community water system,2153,,"Boone, Newton",7,4,6
AR0000776,RIDGEFIELD ESTATES WATER SYS,Region 6,Arkansas,Community water system,150,,Pulaski,6,19,7
AR0000383,YARBRO WATERWORKS,Region 6,Arkansas,Community water system,392,,Mississippi,4,13,7
AR0000567,ELKINS WATERWORKS,Region 6,Arkansas,Community water system,3473,,Washington,2,19,8
AR0000322,OGDEN WATERWORKS,Region 6,Arkansas,Community water system,495,,Little River,4,5,7
AR0000873,CRESTWOOD MOBILE HOME PARK,Region 6,Arkansas,Community water system,34,,Baxter,3,3,8
AR0000855,TWIN OAKS MOBILE HOME PARK,Region 6,Arkansas,Transient non-community system,25,,Baxter,3,9,6
AR0000755,STARLIGHT ESTATES,Region 6,Arkansas,Community water system,44,,Baxter,4,3,6
AR0000588,KENSETT WATERWORKS,Region 6,Arkansas,Community water system,1348,,White,2,10,6
AR0001177,ANCHORS LANDING AT WOOD POINT RV PARK,Region 6,Arkansas,Transient non-community system,72,,Baxter,3,0,3
AR0000289,CLARKSVILLE CONNECTED UTILITIES,Region 6,Arkansas,Community water system,9288,,Johnson,4,3,9
AR0000222,PARAGOULD LIGHT WATER & CABLE,Region 6,Arkansas,Community water system,25281,,Greene,11,5,8
ART000068,BAYOU RESORT,Region 6,Arkansas,Transient non-community system,25,,Baxter,3,11,7
AR0000471,LIBERTY WOODSON HENSLEY,Region 6,Arkansas,Community water system,1000,,"Pulaski, Saline",5,2,8
ART000316,LAKESIDE COUNTRY CLUB,Region 6,Arkansas,Transient non-community system,120,,Saline,4,2,3
AR0000045,SYLVAN SHORES SD WATERWORKS,Region 6,Arkansas,Community water system,85,,Carroll,5,4,8
AR0000372,JOINER WATERWORKS,Region 6,Arkansas,Community water system,508,,Mississippi,3,5,7
AR0000040,RAMBO WATER DISTRICT #1 INC.,Region 6,Arkansas,Community water system,93,,Benton,3,12,7
AR0000680,MT SHERMAN WATER ASSOCIATION,Region 6,Arkansas,Community water system,855,,Newton,6,76,6
AR0000150,EARLE WATERWORKS,Region 6,Arkansas,Community water system,1720,,Crittenden,6,20,6
AR0000986,CEDAR GLADES PARK,Region 6,Arkansas,Transient non-community system,25,,Garland,3,10,5
AR0000689,BALD KNOB NORTH WATER ASSOC,Region 6,Arkansas,Community water system,2354,,"Jackson, White",6,3,7
AR0000542,MOUNTAIN VIEW WATERWORKS,Region 6,Arkansas,Community water system,7313,,Stone,3,5,10
AR0000107,HWY 63 WATER ASSOCIATION,Region 6,Arkansas,Community water system,7185,,Cleveland,13,20,8
AR0000392,MOUNT IDA WATERWORKS,Region 6,Arkansas,Community water system,3218,,Montgomery,5,60,8
AR0000129,BAY WATERWORKS,Region 6,Arkansas,Community water system,1821,,Craighead,4,4,9
AR0000782,TRI-COUNTY WATER DISTBR DIST,Region 6,Arkansas,Community water system,16671,,Pope,13,14,9
AR0000599,MC CRORY WATERWORKS,Region 6,Arkansas,Community water system,1744,,Woodruff,9,2,6
AR0000932,MOUNTAIN DEVELOPMENT,Region 6,Arkansas,Non-Transient non-community system,50,,Benton,3,13,7
AR0000059,BELLEFONTE WATER,Region 6,Arkansas,Community water system,490,,Boone,5,3,8
AR0000801,OAK GROVE WATER,Region 6,Arkansas,Community water system,433,,Carroll,3,25,5
AR0000288,LAMAR WATERWORKS,Region 6,Arkansas,Community water system,1885,,Johnson,3,16,9
AR0000024,BRIARCLIFF WATERWORKS,Region 6,Arkansas,Community water system,313,,Baxter,3,2,7
AR0000351,FLIPPIN WATERWORKS,Region 6,Arkansas,Community water system,3625,,Marion,5,29,9
AR0000300,IMBODEN WATERWORKS,Region 6,Arkansas,Community water system,675,,Lawrence,6,12,7
AR0000255,HORSESHOE BEND WATERWORKS,Region 6,Arkansas,Community water system,2178,,Izard,11,2,8
AR0000814,FULTON COUNTY WATER ASSOC,Region 6,Arkansas,Community water system,2152,,Fulton,9,4,6
AR0000585,DOGWOOD WATER ASSOCIATION,Region 6,Arkansas,Community water system,1345,,Mississippi,4,3,7
AR0000127,CARAWAY WATERWORKS,Region 6,Arkansas,Community water system,1375,,Craighead,6,0,7
AR0000248,NEWARK WATERWORKS,Region 6,Arkansas,Community water system,1410,,Independence,5,11,8
AR0000513,JAMES FORK REGIONAL WATER DISTRICT,Region 6,Arkansas,Community water system,11538,,Sebastian,3,19,10
AR0000793,LAURELWOOD HOMEOWNERS ASSOCIATION,Region 6,Arkansas,Community water system,90,,Baxter,5,35,8
