PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
FL3425075,SPARR FOOD MART,Region 4,Florida,Transient non-community system,25,SPARR,Marion,2,1,9
FL5364150,PINE LAKES MOBILE HOME PARK,Region 4,Florida,Community water system,1220,N. FORT MYERS,Lee,3,1,64
FL6254750,THOUSAND TRAILS,Region 4,Florida,Non-Transient non-community system,50,WAUCHULA,Hardee,3,9,32
FL6534506,SUNRISE MANAGEMENT,Region 4,Florida,Transient non-community system,25,MULBERRY,Polk,2,0,16
FL6296305,CHILDRENS ACADEMY FISHHAWK,Region 4,Florida,Non-Transient non-community system,224,LITHIA,Hillsborough,3,3,18
FL6294850,MEADOWS OF COUNTRYWOOD,Region 4,Florida,Community water system,2342,PLANT CITY,Hillsborough,4,40,69
FL1034162,BEAR CREEK ASSEMBLY OF GOD,Region 4,Florida,Transient non-community system,25,PANAMA CITY,Bay,1,6,7
FL1034164,BUCKS PIGGLY WIGGLY EXPRESS,Region 4,Florida,Transient non-community system,25,FOUNTAIN,Bay,2,0,4
FL6424591,RIDGE MEADOWS,Region 4,Florida,Community water system,228,OCALA,Marion,3,1,26
FL6251954,PEACE RIVER HEIGHTS,Region 4,Florida,Community water system,250,WAUCHULA,Hardee,3,17,29
FL3354645,THOUSAND TRAILS ORLANDO PARK,Region 4,Florida,Non-Transient non-community system,1835,CLERMONT,Lake,2,7,21
FL6296309,WHITE'S RIVERSIDE FARM,Region 4,Florida,Non-Transient non-community system,65,DURANT,Hillsborough,2,0,14
FL5360011,THE ALVA SCHOOL,Region 4,Florida,Non-Transient non-community system,1400,ALVA,Lee,3,2,159
FL4434564,AMVETS POST #14,Region 4,Florida,Transient non-community system,25,HOBE SOUND,Martin,1,1,10
FL4474504,KISSIMMEE PRAIRIE PRESERVE STATE PARK,Region 4,Florida,Transient non-community system,50,OKEECHOBEE,Okeechobee,2,14,16
