PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
GA1090000,BELLVILLE,Region 4,Georgia,Community water system,365,BELLVILLE,Evans,6,18,5
GA1790122,DUTCHMAN`S COVE SUBDIVISION,Region 4,Georgia,Community water system,62,,Liberty,7,6,4
GA0810000,ARABI,Region 4,Georgia,Community water system,450,ARABI,Crisp,8,5,4
GA2930027,CRESTSIDE GRILL,Region 4,Georgia,Transient non-community system,150,THOMASTON,Upson,3,9,3
GA1790048,C.R.STANFORD APARTMENTS,Region 4,Georgia,Community water system,52,HINESVILLE,Liberty,6,99,5
GA2890023,TWIGGS CO.-BLACKBOTTOM WS,Region 4,Georgia,Community water system,47,,Twiggs,4,12,6
GA2890012,TWIGGS CO.-KAOLIN HEIGHTS S/D,Region 4,Georgia,Community water system,42,DRY BRANCH,Twiggs,4,20,6
GA2890032,TWIGGS COUNTY- GENERAL TWIGGS DRIVE,Region 4,Georgia,Community water system,34,DRY BRANCH,Twiggs,3,1,2
GA2890031,TWIGGS COUNTY HWY 96/I16,Region 4,Georgia,Community water system,284,,Twiggs,5,2,5
GA0110026,BANKS CO - MOUNTAIN CREEK,Region 4,Georgia,Community water system,6453,,Banks,7,7,33
GA1770000,LEESBURG,Region 4,Georgia,Community water system,3266,LEESBURG,Lee,10,49,4
GA1830001,CEDAR BROOK MOBILE HOME PARK,Region 4,Georgia,Community water system,50,,Long,5,10,4
GA1830025,COUNTRY MEADOWS MOBILE HOME PARK,Region 4,Georgia,Community water system,58,,Long,3,9,4
GA0130002,WINDER,Region 4,Georgia,Community water system,40820,WINDER,Barrow,10,9,24
GA2750021,NEWARK,Region 4,Georgia,Community water system,34,THOMASVILLE,Thomas,6,7,4
GA0230003,MIDDLE GEORGIA STATE UNIVERSITY,Region 4,Georgia,Community water system,1952,COCHRAN,Bleckley,10,7,6
GA2510046,WATERS GROVE MOBILE HOME PARK,Region 4,Georgia,Community water system,37,,Screven,3,62,10
