PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
GU0000009,ANDERSEN AIR FORCE BASE WATER SYSTEM,Region 9,Guam,Community water system,7700,,Guam,44,4,0
GU0000010,U.S. NAVY WATER SYSTEM,Region 9,Guam,Community water system,10000,"APRA HEIGHTS, GUAM NAVAL FACILITY, GUAM NAVAL MAGAZINE, GUAM NAVAL REGIONAL MEDICAL CE, GUAM NAVAL SHIP REPAIR FACILIT, GUAM NAVAL STATION, GUAM NAVAL SUPPLY DEPOT, NAVAL COMMUNICATIONS AREA MAST, NORTH TIPALAO, SOUTH TIPALAO, SUMAY",Guam,62,5,1
GU0000018,GUAM INTERNATIONAL AIRPORT AUTHORITY,Region 9,Guam,Non-Transient non-community system,500,,Guam,5,0,0
GU0000003,GWA CENTRAL WATER SYSTEM,Region 9,Guam,Community water system,22000,"ADELUP, AGANA HEIGHTS, AGAT, ANIGUA, APRA HEIGHTS, ASAN, PIGO, PITI, SANTA RITA",Guam,9,38,0
GU0000011,COCOS ISLAND WATER SYSTEM,Region 9,Guam,Non-Transient non-community system,115,MERIZO,Guam,15,2,1
GU0000015,GUAM PLAZA RESORT AND SPA WATER SYSTEM,Region 9,Guam,Non-Transient non-community system,500,TUMON,Guam,11,2,2
GU0000017,COCO PALM RESORT WATER SYSTEM,Region 9,Guam,Non-Transient non-community system,65,"DEDEDO, TAMUNING, TUMON",Guam,6,9,2
GU0000006,GWA NORTHERN WATER SYSTEM,Region 9,Guam,Community water system,146050,"ADACAO, ADELUP, AGANA HEIGHTS, ANIGUA, ASAN, DEDEDO, PIGO, TALOFOFO, TAMUNING, TUMON",Guam,294,15,0
GU0000001,GWA SOUTHERN WATER SYSTEM,Region 9,Guam,Community water system,6036,"TALOFOFO, UNATAC",Guam,33,10,5
GU0000019,GUAM REGIONAL MEDICAL CITY,Region 9,Guam,Non-Transient non-community system,1000,DEDEDO,Guam,5,0,1
