PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
ID5420098,SNYDER WINERY,Region 10,Idaho,Transient non-community system,25,,Twin Falls,3,13,3
ID1050031,IDPR MISSION MOUNTAIN WATER SYSTEM,Region 10,Idaho,Transient non-community system,45,BENEWAH,Benewah,3,0,1
ID1050013,IDPR HEYBURN SP CHATCOLET CG,Region 10,Idaho,Transient non-community system,400,,Benewah,6,19,8
ID1050012,IDPR HEYBURN SP BENEWAH CG,Region 10,Idaho,Transient non-community system,100,,Benewah,4,8,6
ID3140161,CTI FOOD SERVICE,Region 10,Idaho,Non-Transient non-community system,216,,Canyon,12,17,11
ID1280247,SAINT DOMINIC SCHOOL,Region 10,Idaho,Community water system,228,,Kootenai,3,25,8
ID4200039,RIVERVIEW SUBD WATER ASSN,Region 10,Idaho,Transient non-community system,26,,Elmore,3,20,5
ID5270027,JEROME CHEESE COMPANY,Region 10,Idaho,Non-Transient non-community system,300,,Jerome,5,16,6
ID1090189,MUZZY FAST STOP,Region 10,Idaho,Transient non-community system,75,,Bonner,3,48,6
ID1280226,HENRY POINT HOA INC,Region 10,Idaho,Transient non-community system,35,,Kootenai,3,11,7
ID7190041,ROD AND GUN CLUB,Region 10,Idaho,Transient non-community system,25,,Custer,2,25,7
ID2180037,WEIPPE CITY OF,Region 10,Idaho,Community water system,441,,Clearwater,4,6,12
ID5160078,PIT STOP,Region 10,Idaho,Transient non-community system,25,,Cassia,3,13,5
ID2250032,KOOSKIA WATER DEPT,Region 10,Idaho,Community water system,607,,Idaho,7,8,13
ID4080047,TERRACE LAKES WATER COMPANY,Region 10,Idaho,Community water system,475,,Boise,14,86,11
ID3140087,OWYHEE VILLAGE SUBD WATER ASSN INC,Region 10,Idaho,Community water system,200,,Canyon,5,13,10
ID1280081,HARDING ACRES TRACTS WATER ASSN INC,Region 10,Idaho,Community water system,64,,Kootenai,2,16,9
ID1280046,CHATEAUX WATER ASSN INC,Region 10,Idaho,Community water system,275,,Kootenai,4,20,10
ID6040006,BENNINGTON WATER SYSTEM,Region 10,Idaho,Community water system,250,,Bear Lake,7,74,11
ID6030089,MOOSE MOUNTAIN,Region 10,Idaho,Community water system,27,,Bannock,4,4,4
ID4010036,TERRACE WATER CORP INC,Region 10,Idaho,Community water system,84,,Ada,3,4,9
ID7260035,ROBERTS CITY OF,Region 10,Idaho,Community water system,600,,Jefferson,8,42,11
ID6060038,LDS JAMESTON CHURCH,Region 10,Idaho,Transient non-community system,421,,Bingham,2,5,8
ID6060024,LDS GOSHEN CHURCH,Region 10,Idaho,Transient non-community system,423,,Bingham,2,4,9
ID1280172,SILVER BEACH RESORT,Region 10,Idaho,Transient non-community system,26,,Kootenai,3,3,9
ID7190043,SALMON RIVER EMERGENCY CLINIC,Region 10,Idaho,Transient non-community system,25,STANLEY,Custer,2,36,6
ID3230084,LIVE LOVE LAUGH DAYCARE,Region 10,Idaho,Non-Transient non-community system,82,,Gem,3,1,2
ID4200098,SOUTH FORK SENIOR CENTER,Region 10,Idaho,Transient non-community system,25,,Elmore,2,0,5
ID4200020,FEATHERVILLE TOWNSITE WATER CORP,Region 10,Idaho,Transient non-community system,100,,Elmore,4,58,8
ID3140068,MANGUM HEIGHTS SUBD,Region 10,Idaho,Community water system,75,,Canyon,2,33,14
ID7410039,LINN GUEST RANCH,Region 10,Idaho,Transient non-community system,30,VICTOR,Teton,2,3,4
ID1280029,CAMP LUTHERHAVEN,Region 10,Idaho,Transient non-community system,195,,Kootenai,8,12,9
ID2250036,WILDERNESS INN,Region 10,Idaho,Transient non-community system,80,,Idaho,2,15,9
ID6060026,GREENFIELD WATER AND SEWER,Region 10,Idaho,Community water system,240,,Bingham,5,38,12
ID7100107,WOODLAND HEIGHTS WATER ASSN #1,Region 10,Idaho,Community water system,54,,Bonneville,4,85,9
ID1090129,SOURDOUGH POINT,Region 10,Idaho,Community water system,135,,Bonner,9,66,12
ID3230073,B AND W FUELS INC,Region 10,Idaho,Transient non-community system,25,,Gem,2,8,6
ID6210017,STRAWBERRY MINK CREEK WATER ASSN,Region 10,Idaho,Community water system,34,,Franklin,3,50,12
ID6210002,CLIFTON CITY OF,Region 10,Idaho,Community water system,250,,Franklin,5,20,13
ID1090118,SAGLE VALLEY WATER DIST,Region 10,Idaho,Community water system,290,,Bonner,7,10,7
