PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
KS2004906,ELK CO RWD 2,Region 7,Kansas,Community water system,206,HOWARD,Elk,8,11,7
KS2003725,PUBLIC WHOLESALE WSD 11,Region 7,Kansas,Community water system,1,GIRARD,Crawford,11,36,10
KS2015509,"HUTCHINSON, CITY OF",Region 7,Kansas,Community water system,40623,HUTCHINSON,Reno,49,8,15
KS2013317,NEOSHO CO RWD 4,Region 7,Kansas,Community water system,2095,PARSONS,Neosho,18,5,14
KS2013101,"SABETHA, CITY OF",Region 7,Kansas,Community water system,2568,SABETHA,Nemaha,10,17,15
KS2016911,SALINE CO RWD 2,Region 7,Kansas,Community water system,465,GYPSUM,Saline,9,21,14
KS2016916,SALINE CO RWD 6,Region 7,Kansas,Community water system,93,SALINA,Saline,10,3,10
KS2012704,MORRIS CO RWD 1,Region 7,Kansas,Community water system,1091,DWIGHT,Morris,13,2,10
KS2010323,LEAVENWORTH CO RWD 1C,Region 7,Kansas,Community water system,3200,BASEHOR,Leavenworth,18,11,11
KS2014107,OSBORNE CO RWD 2,Region 7,Kansas,Community water system,55,NATOMA,Osborne,5,11,12
KS2007706,HARPER CO RWD 1,Region 7,Kansas,Community water system,50,ANTHONY,Harper,4,34,22
KS2020508,"ALTOONA, CITY OF",Region 7,Kansas,Community water system,380,ALTOONA,Wilson,8,88,17
KS2016902,"ASSARIA, CITY OF",Region 7,Kansas,Community water system,407,ASSARIA,Saline,10,4,15
KS2012109,MARAIS DES CYGNES PUBLIC UTILITY AUTH,Region 7,Kansas,Community water system,1,PAOLA,Miami,9,2,7
KS2012106,"LOUISBURG, CITY OF",Region 7,Kansas,Community water system,4508,LOUISBURG,Miami,16,48,12
KS2000706,"HARDTNER, CITY OF",Region 7,Kansas,Community water system,158,HARDTNER,Barber,11,9,19
KS2019504,TREGO CO RWD 2,Region 7,Kansas,Community water system,1500,WAKEENEY,Trego,18,7,9
KS2016709,"WALDO, CITY OF",Region 7,Kansas,Community water system,30,WALDO,Russell,4,4,9
KS2014301,"MINNEAPOLIS, CITY OF",Region 7,Kansas,Community water system,1933,MINNEAPOLIS,Ottawa,22,5,11
KS2011110,LYON CO RWD 4,Region 7,Kansas,Community water system,980,NEOSHO RAPIDS,Lyon,6,6,10
KS2002121,CHEROKEE CO RWD 8,Region 7,Kansas,Community water system,1235,RIVERTON,Cherokee,13,2,11
