PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MI0006900,"WARREN, CITY OF",Region 5,Michigan,Community water system,134056,WARREN,Macomb,3,1,11
MI2001828,"MDOT-ACME, P314",Region 5,Michigan,Transient non-community system,150,,Grand Traverse,2,8,3
MI0040680,HEARTHSIDE GROVE MOTOR COACH RESORT,Region 5,Michigan,Community water system,100,,Emmet,5,0,13
MI0040352,GREENBRIER ESTATES,Region 5,Michigan,Community water system,142,,Montcalm,4,6,13
MI2101841,DEER TRACKS JUNCTION,Region 5,Michigan,Transient non-community system,200,,Kent,2,0,1
MI0006490,SUPERIOR TOWNSHIP,Region 5,Michigan,Community water system,6765,YPSILANTI,Washtenaw,4,0,8
MI2005252,CROSSROADS RESTAURANT,Region 5,Michigan,Transient non-community system,75,,Marquette,2,1,2
MI0006624,TILLICUM FARMS,Region 5,Michigan,Community water system,216,,Kent,9,2,12
MI2013433,INGHAM CO. PARKS-LK. LANS. N.,Region 5,Michigan,Transient non-community system,25,,Ingham,2,10,2
MI0007104,WHITTEMORE SQUARE APARTMENTS,Region 5,Michigan,Community water system,30,,Iosco,7,21,13
MI2000580,TIMBER TRAILS R.V. PARK,Region 5,Michigan,Transient non-community system,648,,Van Buren,4,2,3
MI0001768,DEERFIELD VILLA,Region 5,Michigan,Community water system,72,HOUGHTON LAKE,Roscommon,5,9,11
MI2011874,MISTER Z'S PALACE,Region 5,Michigan,Transient non-community system,25,,St. Clair,2,10,2
MI0006477,SUNNY CREST YOUTH RANCH,Region 5,Michigan,Community water system,41,SUNFIELD,Eaton,4,0,2
MI2028224,PETOSKEY ICE ARENA,Region 5,Michigan,Transient non-community system,300,,Emmet,3,7,3
MI0002090,"ELK RAPIDS, VILLAGE OF",Region 5,Michigan,Community water system,1642,ELK RAPIDS,Antrim,8,3,17
MI2016964,ROTHBURY WESCO - STORE #51,Region 5,Michigan,Transient non-community system,700,,Oceana,2,0,3
MI0005260,PENTWATER,Region 5,Michigan,Community water system,857,PENTWATER,Oceana,7,8,13
MI0000580,BELLEVILLE,Region 5,Michigan,Community water system,3964,BELLEVILLE,Wayne,3,7,8
MI0000410,BARAGA,Region 5,Michigan,Community water system,2139,BARAGA,Baraga,5,1,77
MI2031747,BRIGHTON CONG. OF THE JEHOVAH'S WITNES,Region 5,Michigan,Transient non-community system,150,,Livingston,2,4,3
MI0040476,GOLDEN POND ESTATES,Region 5,Michigan,Community water system,102,,St. Joseph,6,5,9
MI0002845,GREGG APARTMENTS,Region 5,Michigan,Community water system,64,,Kent,5,4,12
MI0000796,GENERAL WHITE APARTMENTS,Region 5,Michigan,Community water system,50,,Van Buren,5,10,10
