PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MN5310326,Hayslip Corner,Region 5,Minnesota,Transient non-community system,50,,Itasca,7,0,8
MN5310327,Back O' The Moon,Region 5,Minnesota,Transient non-community system,25,,Itasca,3,0,7
MN5310339,Spider Lake Resort,Region 5,Minnesota,Transient non-community system,27,,Itasca,3,0,7
MN5310343,Geiger's Trails End Resort,Region 5,Minnesota,Transient non-community system,40,,Itasca,9,0,8
MN5310232,Camp Deer Resort,Region 5,Minnesota,Transient non-community system,25,,Itasca,4,0,7
MN5310322,Cedar Point Resort,Region 5,Minnesota,Transient non-community system,26,,Itasca,4,0,8
MN5310323,Sunset Point Resort,Region 5,Minnesota,Transient non-community system,60,,Itasca,4,1,8
MN5310781,Williams Narrows Resort,Region 5,Minnesota,Transient non-community system,25,,Itasca,6,0,7
MN5330103,Living Hope Church,Region 5,Minnesota,Transient non-community system,70,,Kanabec,5,1,10
MN5310248,Pincherry Grove Resort,Region 5,Minnesota,Transient non-community system,50,,Itasca,5,0,7
MN5310255,Hundred Acre Wood Resort,Region 5,Minnesota,Transient non-community system,45,,Itasca,7,2,7
MN5310258,Antler Lodge,Region 5,Minnesota,Transient non-community system,25,,Itasca,3,0,7
MN5310262,Linden Grove Resort,Region 5,Minnesota,Transient non-community system,25,,Itasca,3,1,7
MN5310276,Maple Ridge Resort,Region 5,Minnesota,Transient non-community system,25,,Itasca,4,0,7
MN5360069,Nelson Park/Sault Rapids Access,Region 5,Minnesota,Transient non-community system,25,,Koochiching,3,1,9
MN5360066,Frontier Public Access,Region 5,Minnesota,Transient non-community system,25,,Koochiching,3,0,10
MN5360064,Loman City Park,Region 5,Minnesota,Transient non-community system,25,,Koochiching,3,0,10
MN5181099,Goodwill Crosslake,Region 5,Minnesota,Transient non-community system,900,,Crow Wing,2,0,0
MN5181087,Dollar General Store 17764 - Garrison,Region 5,Minnesota,Transient non-community system,25,,Crow Wing,2,0,1
MN5181086,Dollar General Store 17531 - Merrifield,Region 5,Minnesota,Transient non-community system,25,,Crow Wing,2,0,1
MN5181085,Dollar General Store 18094 - Crosslake,Region 5,Minnesota,Transient non-community system,25,,Crow Wing,2,0,1
MN5561009,Dollar General Store 15641 - Battle Lake,Region 5,Minnesota,Transient non-community system,50,,Otter Tail,2,0,2
MN5111166,Dollar General Store 18047 - Longville,Region 5,Minnesota,Transient non-community system,25,,Cass,2,0,1
MN5111162,Dollar General Store 17385 - Backus,Region 5,Minnesota,Transient non-community system,50,,Cass,2,0,2
