PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MO5010025,ARCOLA PWS,Region 7,Missouri,Community water system,45,ARCOLA,Dade,4,20,16
MO3024490,PULASKI COUNTY PWSD 1,Region 7,Missouri,Community water system,4500,"BUCKHORN, LAQUEY",Pulaski,19,9,14
MO3240880,HUZZAH VALLEY STABLES INC,Region 7,Missouri,Transient non-community system,150,,Crawford,21,27,11
MO5272956,THE SUMMIT CHURCH,Region 7,Missouri,Transient non-community system,125,ROGERSVILLE,Greene,6,17,3
MO5036258,EASTBOUROUGH SUBD,Region 7,Missouri,Community water system,144,ROGERSVILLE,Greene,6,45,16
MO5048267,WHITE PINE VILLAGE,Region 7,Missouri,Community water system,80,NIXA,Christian,8,12,14
MO2010559,NELSON PWS,Region 7,Missouri,Community water system,189,NELSON,Saline,4,21,12
MO5253089,MAPLE HILL HOA,Region 7,Missouri,Transient non-community system,22,,Stone,4,7,2
MO5162714,MILLER COUNTY HEALTH CENTER,Region 7,Missouri,Transient non-community system,25,,Miller,5,14,4
MO5031435,AIRPORT HOMEOWNERS ASSN INC,Region 7,Missouri,Community water system,50,,Barry,6,1,5
MO5272948,DIGGINS APOSTOLIC CHURCH,Region 7,Missouri,Transient non-community system,90,SEYMOUR,Webster,5,16,3
MO1036130,DAVIESS COUNTY PWSD 3,Region 7,Missouri,Community water system,337,,Daviess,9,24,16
MO3036065,SOUTHERN HILLS WATER CO,Region 7,Missouri,Community water system,144,SEDALIA,Pettis,5,19,13
MO3290673,BEE LINE,Region 7,Missouri,Transient non-community system,25,,Moniteau,5,24,10
MO3240054,HANSON HILLS,Region 7,Missouri,Transient non-community system,40,,Callaway,5,23,13
MO4010853,WEST PLAINS PWS,Region 7,Missouri,Community water system,12248,WEST PLAINS,Howell,40,9,26
MO5211955,SHEPHERD OF THE HILLS,Region 7,Missouri,Non-Transient non-community system,1000,,Taney,9,15,12
MO5258080,FLYIN W CONVENIENCE STORE,Region 7,Missouri,Transient non-community system,25,,Jasper,5,31,10
MO5283168,JARRMIC LLC,Region 7,Missouri,Transient non-community system,25,,Taney,4,9,4
MO5048294,LUCKY LADY MHP,Region 7,Missouri,Community water system,46,MOUNT VERNON,Lawrence,5,21,14
MO5031408,BOLIVAR SOUTHTOWN UTILITIES COMPANY INC,Region 7,Missouri,Community water system,573,BOLIVAR,Polk,12,2,13
MO5010085,BOLIVAR PWS,Region 7,Missouri,Community water system,10885,BOLIVAR,Polk,17,14,23
MO3251432,HORIZONS AT THE LAKE CONDOS,Region 7,Missouri,Transient non-community system,45,,Camden,4,3,5
MO5302865,POINTE ROYALE,Region 7,Missouri,Transient non-community system,75,,Camden,6,0,2
MO6031387,BROOK HILL SUBDIVISION,Region 7,Missouri,Community water system,65,,Lincoln,4,4,5
MO6171159,LONEDELL R XIV ELEMENTARY SCHOOL,Region 7,Missouri,Non-Transient non-community system,475,,Franklin,6,14,9
MO4172863,POTOSI R III SCHOOLS BALLFIELD COMPLEX,Region 7,Missouri,Transient non-community system,25,POTOSI,Washington,4,1,5
MO6272942,PROSPECT BAPTIST CHURCH LONEDELL,Region 7,Missouri,Transient non-community system,50,,Franklin,5,2,3
MO5282809,BRANDY STATION,Region 7,Missouri,Transient non-community system,34,,Barry,4,10,3
MO3248239,CAMP HERITAGE,Region 7,Missouri,Transient non-community system,145,,Camden,9,34,8
MO4180635,DOE RUN COMPANY BUICK SMELTER,Region 7,Missouri,Non-Transient non-community system,300,,Iron,7,23,7
MO1021080,DAVIESS COUNTY PWSD 2,Region 7,Missouri,Community water system,2448,JAMESON,Daviess,14,2,7
MO4142876,TWIN PINES CONSERVATION EDUCATION FACILI,Region 7,Missouri,Transient non-community system,30,,Shannon,4,8,6
MO1010061,BELTON PWS,Region 7,Missouri,Community water system,23290,BELTON,Cass,10,7,19
MO5031104,BRIAR CLIFF SUBDIVISION,Region 7,Missouri,Community water system,165,,Stone,19,25,9
MO3010400,IONIA PWS,Region 7,Missouri,Community water system,105,IONA,Benton,5,11,21
MO5171119,SHELL KNOB ELEMENTARY SCHOOL,Region 7,Missouri,Non-Transient non-community system,200,,Barry,6,16,16
MO3212409,BRIDAL CAVE DEVELOPMENT COMPANY INC,Region 7,Missouri,Transient non-community system,25,,Camden,6,0,5
MO3031302,SHALOM MOUNTAIN,Region 7,Missouri,Community water system,318,,Pulaski,7,0,6
MO5211485,TIMBEROC VILLAGE SHOPPING CENTER,Region 7,Missouri,Transient non-community system,25,,Barry,10,37,9
MO5036312,TURNER ESTATES SUBD,Region 7,Missouri,Community water system,25,,Stone,7,58,13
MO3181615,DIAMOND PET FOODS,Region 7,Missouri,Non-Transient non-community system,230,,Osage,5,10,8
MO5031298,BLUE RIDGE ESTATES SUBD,Region 7,Missouri,Community water system,34,,Taney,8,11,5
MO2010268,FARBER PWS,Region 7,Missouri,Community water system,450,FARBER,Audrain,5,7,14
MO4193238,RUBYS LANDING,Region 7,Missouri,Transient non-community system,25,,Pulaski,4,0,1
MO1024032,BATES COUNTY PWSD 3,Region 7,Missouri,Community water system,423,,Bates,4,2,10
MO1212807,MARYS CATFISH AND MORE LLC,Region 7,Missouri,Transient non-community system,25,WARSAW,Benton,5,39,4
MO6041184,WALKER HILL MHP,Region 7,Missouri,Community water system,30,,Jefferson,6,39,8
MO6031215,FRANKLIN COUNTY PWSD 1 CARDINAL MEADOWS,Region 7,Missouri,Community water system,52,,Franklin,6,9,8
MO6024211,FRANKLIN COUNTY PWSD 1,Region 7,Missouri,Community water system,3500,WASHINGTON,Franklin,13,12,14
MO5243264,RUSTIC MEADOW RV PARK,Region 7,Missouri,Transient non-community system,25,,Webster,4,0,2
MO3010712,ST JAMES PWS,Region 7,Missouri,Community water system,4119,ST. JAMES,Phelps,14,7,14
MO5031102,WILDERNESS PINEWOOD WATER SERVICE TRUST,Region 7,Missouri,Community water system,218,,Taney,8,40,11
MO3192338,BUNKHOUSE LODGE,Region 7,Missouri,Transient non-community system,40,,Benton,5,12,6
MO2010224,DOWNING PWS,Region 7,Missouri,Community water system,335,DOWNING,Schuyler,7,6,14
MO2010587,NOVINGER PWS,Region 7,Missouri,Community water system,550,NOVINGER,Adair,8,10,20
MO6036037,CRAWFORD COUNTY PWSD 1,Region 7,Missouri,Community water system,160,,Crawford,6,51,11
MO5292590,GATEWAY TO BRANSON EXPRESS STOP,Region 7,Missouri,Transient non-community system,25,,Taney,6,49,3
MO5273003,LIFEPOINT CHURCH,Region 7,Missouri,Transient non-community system,385,OZARK,Christian,4,15,3
