PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MT0004896,HOVING BUSINESS CENTER,Region 8,Montana,Non-Transient non-community system,47,HELENA,Lewis and Clark,5,83,1
MT0001018,PARADISE PINES,Region 8,Montana,Community water system,95,POLSON,Lake,4,10,9
MT0003778,SPRUCE PARK MH AND RV PARK,Region 8,Montana,Transient non-community system,144,KALISPELL,Flathead,3,50,4
MT0000079,SPRUCE PARK MOBILE VILLAGE,Region 8,Montana,Community water system,48,KALISPELL,Flathead,3,85,7
MT0001342,TERRA NOVA CABINS,Region 8,Montana,Transient non-community system,150,WEST YELLOWSTONE,Gallatin,8,18,7
MT0004598,DYKSTERHOUSE WELL USERS ASSOC,Region 8,Montana,Community water system,28,MANHATTAN,Gallatin,5,1,4
MT0002893,THOMPSON RANCHETTES II,Region 8,Montana,Community water system,100,KALISPELL,Flathead,3,34,8
MT0004681,HIGHWOOD MOBILE HOME PARK,Region 8,Montana,Community water system,400,GREAT FALLS,Cascade,2,7,4
MT0004154,KINGDOM HALL,Region 8,Montana,Transient non-community system,100,LIBBY,Lincoln,3,2,4
MT0001914,NEW MIAMI COLONY,Region 8,Montana,Community water system,130,CONRAD,Pondera,7,21,8
MT0000613,TRAILS WEST TRAILER COURT,Region 8,Montana,Transient non-community system,68,GLASGOW,Valley,4,29,7
MT0000770,FRONTIER INN,Region 8,Montana,Transient non-community system,300,GREAT FALLS,Cascade,5,3,6
MT0003078,INGOMAR WATER DISTRICT,Region 8,Montana,Transient non-community system,30,INGOMAR,Rosebud,7,7,4
MT0003219,BLANCHARD HOLLOW ESTATES WUA,Region 8,Montana,Community water system,53,WHITEFISH,Flathead,3,6,8
MT0004683,BIG SKY MOBILE HOME PARK,Region 8,Montana,Community water system,40,GREAT FALLS,Cascade,3,5,3
MT0004628,MIDWAY COLONY INC,Region 8,Montana,Community water system,92,CONRAD,Pondera,11,7,4
MT0001603,LIVINGSTON CAMPGROUND,Region 8,Montana,Transient non-community system,91,LIVINGSTON,Park,3,39,7
MT0000946,GLACIER BIBLE CAMP,Region 8,Montana,Transient non-community system,903,HUNGRY HORSE,Flathead,7,4,6
MT0000209,ESSEX COUNTY WATER AND OR SEWER DISTRICT,Region 8,Montana,Transient non-community system,59,ESSEX,Flathead,6,24,4
MT0003541,SHAKOPEE HEIGHTS WATER DISTRICT,Region 8,Montana,Transient non-community system,70,ANACONDA,Granite,5,7,3
MT0003178,KIRCHER SCHOOL DIST 03,Region 8,Montana,Non-Transient non-community system,45,MILES CITY,Custer,4,7,7
MT0001515,NORRIS HOT SPRINGS,Region 8,Montana,Transient non-community system,54,NORRIS,Madison,5,28,5
MT0004783,WOOD CREEK ACADEMY,Region 8,Montana,Non-Transient non-community system,35,THOMPSON FALLS,Sanders,6,86,2
MT0001251,DEER PARK CHALET,Region 8,Montana,Transient non-community system,1500,BOZEMAN,Gallatin,7,8,8
MT0004092,BRIDGER BOWL EMPLOYEE LOCKER BLDG,Region 8,Montana,Transient non-community system,25,BOZEMAN,Gallatin,4,4,4
MT0001252,BRIDGER BOWL BASE,Region 8,Montana,Transient non-community system,1507,BOZEMAN,Gallatin,10,22,8
MT0004885,ALPINE CABIN - BRIDGER BOWL,Region 8,Montana,Transient non-community system,50,BOZEMAN,Gallatin,4,0,1
MT0004988,TWO BIT OUTFIT RV PARK,Region 8,Montana,Transient non-community system,52,LIBBY,Lincoln,2,1,1
MT0001362,WILLOW CREEK SCHOOL DIST NO 15,Region 8,Montana,Non-Transient non-community system,94,WILLOW CREEK,Gallatin,4,171,7
MT0001191,KINSEY SCHOOL DISTRICT 63,Region 8,Montana,Non-Transient non-community system,86,KINSEY,Custer,4,34,7
MT0003932,HIDDEN LAKE COLONY,Region 8,Montana,Community water system,80,CUT BANK,Glacier,13,51,6
MT0000584,SUNSET MOBILE HOME PARK,Region 8,Montana,Community water system,45,GREAT FALLS,Cascade,5,7,6
MT0001784,EASTGATE VILLAGE SEWER AND WATER,Region 8,Montana,Community water system,2000,EAST HELENA,Lewis and Clark,13,5,6
MT0000429,FOSTERS COUNTRY VIEW TR PK LLC,Region 8,Montana,Community water system,50,KALISPELL,Flathead,6,0,7
MT0001779,SAGE CREEK COLONY,Region 8,Montana,Community water system,130,CHESTER,Liberty,13,16,7
MT0004390,IVANHOE WATER INC,Region 8,Montana,Transient non-community system,230,POLSON,Lake,3,40,3
MT0000497,PINE CREST TR PK,Region 8,Montana,Community water system,54,LIVINGSTON,Park,5,252,10
MT0003221,TIMBERLANE RESORT,Region 8,Montana,Transient non-community system,26,POLSON,Lake,6,8,6
MT0003736,BARNABY LAKE HOA,Region 8,Montana,Community water system,75,EUREKA,Lincoln,6,78,6
MT0062380,ST REGIS WORK CENTER,Region 8,Montana,Transient non-community system,33,ST REGIS,Mineral,3,7,4
MT0062381,QUARTZ FLAT CAMPGROUND,Region 8,Montana,Transient non-community system,50,SUPERIOR,Mineral,3,12,4
MT0062786,LAKE ALVA CAMPGROUND,Region 8,Montana,Transient non-community system,104,SEELEY LAKE,Missoula,3,7,4
MT0062374,RIVERPOINT CAMPGROUND,Region 8,Montana,Transient non-community system,104,SEELEY LAKE,Missoula,4,7,5
MT0062375,SEELEY LAKE CAMPGROUND,Region 8,Montana,Transient non-community system,404,SEELEY LAKE,Missoula,4,5,6
MT0062377,SLOWAY CAMPGROUND,Region 8,Montana,Transient non-community system,27,SUPERIOR,Mineral,3,10,4
MT0000765,ULM SCHOOL DIST  85,Region 8,Montana,Non-Transient non-community system,94,ULM,Cascade,8,32,10
MT0005012,BIGFORK MOTORCOACH RV RESORT,Region 8,Montana,Transient non-community system,30,BIGFORK,Flathead,2,4,0
MT0000601,MOBILE CITY HOME PARK NO 1,Region 8,Montana,Community water system,100,HELENA,Lewis and Clark,9,56,6
MT0003043,MOBILE CITY HOME PARK NO 2,Region 8,Montana,Community water system,300,HELENA,Lewis and Clark,13,231,7
MT0003679,HELENA NORTH KOA,Region 8,Montana,Transient non-community system,140,HELENA,Lewis and Clark,5,46,3
MT0000359,WHITEHALL  TOWN OF,Region 8,Montana,Community water system,1100,WHITEHALL,Jefferson,8,191,5
MT0000540,EMKAYAN VILLAGE CO WATER AND SEWER DIST,Region 8,Montana,Community water system,160,LIBBY,Lincoln,9,16,9
MT0002633,TRAVELERS INN  MOTEL,Region 8,Montana,Transient non-community system,60,MISSOULA,Missoula,3,8,6
