PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NE3120601,EAGLES NEST,Region 7,Nebraska,Transient non-community system,30,SURPRISE,Butler,3,38,7
NE3108101,"AURORA, CITY OF",Region 7,Nebraska,Community water system,4479,AURORA,Hamilton,10,8,21
NE3120375,KENTON HEIGHTS,Region 7,Nebraska,Community water system,35,GRANT,Perkins,6,20,16
NE3121402,KRAMPER LAKE/DANISH ALPS RECREATION AREA,Region 7,Nebraska,Transient non-community system,25,HUBBARD,Dakota,6,2,3
NE3120706,SANDHILL OIL COMPANY,Region 7,Nebraska,Transient non-community system,50,THEDFORD,Thomas,2,5,15
NE3112301,"BROADWATER, VILLAGE OF",Region 7,Nebraska,Community water system,70,BROADWATER,Morrill,23,30,34
NE3115302,SARPY CO SID 79 - MEADOW OAKS,Region 7,Nebraska,Community water system,300,SARPY COUNTY,Sarpy,5,22,14
NE3120390,STAGECOACH LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,30,HICKMAN,Lancaster,4,3,4
NE3120391,WAGON TRAIN LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,9,2,4
NE3120392,BLUESTEM SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,12,5,4
NE3120393,OLIVE CREEK LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,4,4,5
NE3120388,PAWNEE LAKE SRA - NG &PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,25,5,5
NE3114114,"CRESTON, VILLAGE OF",Region 7,Nebraska,Community water system,215,CRESTON,Platte,5,31,18
NE3120649,JRCS EXPRESS,Region 7,Nebraska,Transient non-community system,80,SARPY COUNTY,Sarpy,3,5,6
NE3103904,"WEST POINT, CITY OF",Region 7,Nebraska,Community water system,3465,WEST POINT,Cuming,16,5,23
