PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NV0000866,AIR SAILING INC GLIDERPORT,Region 9,Nevada,Transient non-community system,25,,Washoe,3,5,4
NV0002174,KOA OF ELY CAMPGROUND,Region 9,Nevada,Community water system,80,,White Pine,5,131,8
NV0002075,ELKO RV PARK AT RYNDON,Region 9,Nevada,Community water system,357,,Elko,9,23,11
NV0003072,TURN 3 RV PARK AND STORE,Region 9,Nevada,Transient non-community system,25,,Pershing,5,25,7
NV0000819,PALM GARDENS WATER CO OP,Region 9,Nevada,Community water system,42,,Clark,10,86,4
NV0002071,JIGGS BAR,Region 9,Nevada,Transient non-community system,25,,Elko,3,29,9
NV0000341,CARMENS MEXICAN RESTAURANT,Region 9,Nevada,Transient non-community system,25,,Lyon,3,20,4
NV0000226,IMLAY WATER SYSTEM,Region 9,Nevada,Community water system,200,IMLAY,Pershing,10,242,9
NV0001125,HUMBOLDT RIVER RANCH ASSOCIATION,Region 9,Nevada,Transient non-community system,150,,Pershing,6,1,4
NV0000761,SLIDE MOUNTAIN SKI AREA,Region 9,Nevada,Transient non-community system,200,,Washoe,7,10,5
NV0000744,MT ROSE SKI AREA SKI RENO,Region 9,Nevada,Transient non-community system,800,,Washoe,5,9,5
NV0005056,CANYON GID,Region 9,Nevada,Community water system,1310,,Storey,8,13,8
NV0000757,MELS DINER,Region 9,Nevada,Transient non-community system,1000,,Washoe,6,12,9
NV0000273,LAMOILLE WATER USERS ASSOC,Region 9,Nevada,Community water system,200,LAMOILLE,Elko,5,26,10
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,5050,,Lyon,24,145,10
NV0001119,MANDALAY BAY RESORT AND CASINO,Region 9,Nevada,Non-Transient non-community system,10549,,Clark,34,0,2
NV0005029,GOLCONDA GID,Region 9,Nevada,Community water system,300,GOLCONDA,Humboldt,10,112,6
NV0004117,GREYSTONE MINE,Region 9,Nevada,Non-Transient non-community system,36,BATTLE MOUNTAIN,Lander,11,152,2
NV0003075,EP MINERALS LLC CLARK,Region 9,Nevada,Non-Transient non-community system,50,,Storey,4,13,6
NV0004120,EP MINERALS LLC FERNLEY,Region 9,Nevada,Non-Transient non-community system,41,,Churchill,5,9,1
NV0005020,CHURCHILL BUTTE COMPLEX,Region 9,Nevada,Transient non-community system,25,,Lyon,4,20,6
NV0000921,OASIS SPRINGS,Region 9,Nevada,Transient non-community system,25,,Churchill,4,4,5
NV0002581,SKIPS MINI MARKET,Region 9,Nevada,Transient non-community system,25,,Churchill,6,6,7
NV0003098,EAST 50 BAR,Region 9,Nevada,Transient non-community system,25,,Lyon,4,39,8
NV0000167,VIRGIN VALLEY WATER DISTRICT,Region 9,Nevada,Community water system,18000,MESQUITE,Clark,51,617,10
NV0004040,STAGECOACH MARKET,Region 9,Nevada,Transient non-community system,25,,Lyon,3,23,6
NV0004112,RUBY 360 LODGE,Region 9,Nevada,Transient non-community system,25,,Elko,3,1,1
NV0000045,FALLON CITY OF,Region 9,Nevada,Community water system,8500,FALLON,Churchill,15,69,11
NV0002024,KENNAMETAL INC,Region 9,Nevada,Non-Transient non-community system,75,,Churchill,9,14,6
NV0000248,WINNEMUCCA CITY OF,Region 9,Nevada,Community water system,8066,WINNEMUCCA,Humboldt,31,57,14
NV0005033,ANCHOR IN MHP,Region 9,Nevada,Community water system,36,,Nye,3,5,5
NV0000732,MOUNT ROSE BOWL PROPERTY OWNERS WATER CO,Region 9,Nevada,Community water system,40,,Washoe,5,48,5
NV0005034,PAHRUMP RV PARK,Region 9,Nevada,Transient non-community system,120,,Nye,8,9,4
NV0000218,CARVERS SMOKEY VALLEY RV AND MHP,Region 9,Nevada,Community water system,250,,Nye,6,62,9
NV0000754,RIVER BEND MHP,Region 9,Nevada,Community water system,45,,Washoe,10,14,7
NV0000196,VERDI MEADOWS UTILITY COMPANY INC,Region 9,Nevada,Community water system,510,,Washoe,8,31,9
NV0000030,SIERRA ESTATES GID,Region 9,Nevada,Community water system,160,,Douglas,5,12,9
NV0003001,RIVERBELLE PROPERTIES LLC  SASQUATCH INN,Region 9,Nevada,Transient non-community system,1000,,Washoe,9,8,8
NV0003074,SHORT BRANCH,Region 9,Nevada,Transient non-community system,25,,Nye,3,18,6
NV0005059,BORDER INN,Region 9,Nevada,Transient non-community system,25,,White Pine,6,14,5
NV0003076,COEUR ROCHESTER INC,Region 9,Nevada,Non-Transient non-community system,32,,Pershing,15,7,9
NV0000193,CRYSTAL TP,Region 9,Nevada,Community water system,80,,Washoe,47,87,9
NV0000004,KINGSBURY GID,Region 9,Nevada,Community water system,3839,KINGSBURY,Douglas,21,19,18
NV0002192,LITTLE A LE INN,Region 9,Nevada,Transient non-community system,60,,Lincoln,4,8,8
NV0000070,TOPAZ LAKE WATER CO INC,Region 9,Nevada,Community water system,40,TOPAZ,Douglas,8,18,10
NV0000717,CROSBYS LODGE,Region 9,Nevada,Transient non-community system,25,,Washoe,3,8,6
NV0000765,SUTCLIFFE MOBILE PARK,Region 9,Nevada,Community water system,60,,Washoe,7,57,6
NV0004048,WALKER RIVER RESORT,Region 9,Nevada,Transient non-community system,25,,Lyon,12,23,5
NV0000942,LAKER PLAZA INC,Region 9,Nevada,Transient non-community system,27,,Clark,15,3,3
NV0001010,MT CHARLESTON PUB LLC,Region 9,Nevada,Transient non-community system,450,,Clark,6,19,6
