PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NY5530301,LEARNING TOGETHER,Region 2,New York,Non-Transient non-community system,125,LLOYD (T),Ulster,6,1,3
NY5208913,CAMP DARKEI EMUNAH,Region 2,New York,Transient non-community system,240,THOMPSON (T),Sullivan,12,16,11
NY4830037,DIX  WATER DISTRICT #1,Region 2,New York,Community water system,201,DIX (T),Schuyler,13,15,19
NY6112880,PARK 735,Region 2,New York,Transient non-community system,50,BARRINGTON (T),Yates,7,16,5
NY5730091,"FORT ANN SERVICE CENTER, INC.",Region 2,New York,Transient non-community system,53,FORT ANN (T),Washington,4,35,8
NY4108951,HATHAWAY DRIVE IN,Region 2,New York,Transient non-community system,25,HOOSICK FALLS (V),Rensselaer,6,3,15
NY2600023,MAD TACO,Region 2,New York,Transient non-community system,26,NELSON (T),Madison,7,0,4
NY4998092,ZUGIBE WINERY,Region 2,New York,Transient non-community system,25,FAYETTE (T),Seneca,3,13,6
NY1312152,TROOP K HEADQUARTERS,Region 2,New York,Non-Transient non-community system,40,PLEASANT VALLEY (T),Dutchess,8,4,53
NY5917426,BARNWELL BUILDING,Region 2,New York,Non-Transient non-community system,25,POUND RIDGE (T),Westchester,5,91,19
NY5120939,FAIRWAY RESTAURANT AT POXABOGUE GOLF,Region 2,New York,Transient non-community system,150,SOUTHAMPTON (T),Suffolk,3,1,15
NY3503563,"KNOLLS WATER CO., INC.",Region 2,New York,Community water system,230,WARWICK (T),Orange,4,37,18
NY5219469,WILD & SCENIC RIVERS EDGE CG,Region 2,New York,Transient non-community system,70,HIGHLAND (T),Sullivan,2,13,15
NY1330430,RENNYS STORE,Region 2,New York,Transient non-community system,52,AMENIA (T),Dutchess,2,0,101
NY5530276,PETERSKILL CLIMBING CENTER - MINNEWASKA,Region 2,New York,Transient non-community system,50,ROCHESTER (T),Ulster,3,10,0
NY4111575,METHODIST FARM ASSOC,Region 2,New York,Transient non-community system,73,SAND LAKE (T),Rensselaer,3,11,17
NY3512133,STERLING LAKE,Region 2,New York,Community water system,225,WARWICK (T),Orange,3,14,15
NY3512132,BLUE LAKE,Region 2,New York,Community water system,1850,"TUXEDO (T), WARWICK (T)",Orange,4,6,16
NY3503034,N.Y.U. HOUSING,Region 2,New York,Community water system,45,TUXEDO (T),Orange,3,0,13
NY3503592,INDIAN KILL,Region 2,New York,Community water system,1000,TUXEDO (T),Orange,4,1,15
NY2430028,SLIDERS FOODMART,Region 2,New York,Transient non-community system,25,WATSON (T),Lewis,3,3,18
NY0905067,OWLYOUT BAR + RESTAURANT,Region 2,New York,Transient non-community system,75,ELLENBURG (T),Clinton,5,74,17
NY1719202,LAKESIDE TAVERN,Region 2,New York,Transient non-community system,101,MAYFIELD (T),Fulton,6,77,17
NY1330559,VALLEY COMMUNITY CHURCH OF THE NAZARENE,Region 2,New York,Transient non-community system,103,CLINTON (T),Dutchess,3,29,27
NY0330082,ANNIES BAR & GRILL,Region 2,New York,Transient non-community system,25,WINDSOR (T),Broome,5,2,12
NY4117259,CHERRY PLAIN SCHOOL,Region 2,New York,Non-Transient non-community system,600,BERLIN (T),Rensselaer,4,5,17
NY5030003,BIRDY'S CAFE,Region 2,New York,Transient non-community system,25,HOWARD (T),Steuben,4,39,19
NY3706696,"11 NORTH BAR & GRILL, LLC",Region 2,New York,Transient non-community system,165,RICHLAND (T),Oswego,3,29,12
NY3500559,APPLEWOOD ORCHARD AND WINERY,Region 2,New York,Transient non-community system,50,WARWICK (T),Orange,3,4,5
NY3519760,OAKLAND VALLEY RACE PARK,Region 2,New York,Transient non-community system,30,DEERPARK (T),Orange,6,61,15
NY5203917,CAMP KENNYBROOK,Region 2,New York,Transient non-community system,266,THOMPSON (T),Sullivan,10,13,15
NY2808938,EL RANCHO DRIVE IN,Region 2,New York,Transient non-community system,75,PALATINE (T),Montgomery,4,7,12
NY5206255,FANTASY LAKE RESORT INC.,Region 2,New York,Transient non-community system,80,HIGHLAND (T),Sullivan,4,10,16
NY5130179,TWO SOUTH FERRY B & B,Region 2,New York,Transient non-community system,30,SHELTER ISLAND (T),Suffolk,3,4,11
NY1418653,HOLLAND HILLS COUNTRY CLUB,Region 2,New York,Transient non-community system,75,HOLLAND (T),Erie,3,8,7
NY1450022,TIM HORTONS,Region 2,New York,Transient non-community system,25,SARDINIA (T),Erie,11,0,14
NY0200402,RYAN ROAD DEVELOPMENT,Region 2,New York,Transient non-community system,75,RUSHFORD (T),Allegany,2,0,1
NY1303224,LAKE LODGES APARTMENTS,Region 2,New York,Community water system,30,PLEASANT VALLEY (T),Dutchess,9,4,19
NY0600808,BUSTI MOBILE HOME PARK,Region 2,New York,Community water system,97,BUSTI (T),Chautauqua,4,36,6
NY1330669,CROSSROADS ALLIANCE CHURCH,Region 2,New York,Transient non-community system,25,UNION VALE (T),Dutchess,4,5,14
NY2600009,TROYER'S COUNTRY STORE,Region 2,New York,Transient non-community system,26,FENNER (T),Madison,7,0,13
NY5217657,"CEDAR RAPIDS RESTAURANT, BAR & CG",Region 2,New York,Transient non-community system,90,HIGHLAND (T),Sullivan,3,20,26
NY5907701,JOHN JAY MIDDLE SCHOOL,Region 2,New York,Non-Transient non-community system,945,LEWISBORO (T),Westchester,6,15,22
NY5907702,LEWISBORO ELEMENTARY SCHOOL,Region 2,New York,Non-Transient non-community system,50,LEWISBORO (T),Westchester,5,8,14
NY5614852,GREEN HAVEN RESORT,Region 2,New York,Transient non-community system,75,LAKE GEORGE (T),Warren,2,6,14
NY0904641,THE LITTLE PIZZA SHOP,Region 2,New York,Transient non-community system,25,PERU (T),Clinton,5,16,13
NY3502947,VISION COMMUNITY CHURCH,Region 2,New York,Transient non-community system,100,WARWICK (T),Orange,4,49,10
NY3401150,CANANDAIGUA CITY,Region 2,New York,Community water system,11264,CANANDAIGUA (C),Ontario,21,32,10
NY1330461,PLEASANT VALLEY MEADOWS,Region 2,New York,Community water system,45,PLEASANT VALLEY (T),Dutchess,4,29,14
NY5121217,PIESANO'S,Region 2,New York,Transient non-community system,60,SHELTER ISLAND (T),Suffolk,5,5,12
NY0600395,POMFRET CHESTNUT ROAD WATER DISTRICT,Region 2,New York,Community water system,64,POMFRET (T),Chautauqua,2,1,4
NY0600369,POMFRET BERRY ROAD WATER DISTRICT,Region 2,New York,Community water system,160,POMFRET (T),Chautauqua,2,1,4
NY5503396,ROSENDALE PLAINS HOMEOWNERS,Region 2,New York,Community water system,140,ROSENDALE (T),Ulster,5,18,7
NY5206929,PINE TREE BUNGALOW COLONY,Region 2,New York,Transient non-community system,200,THOMPSON (T),Sullivan,10,13,11
NY5230021,CAMP MORRIS BOYS AND GIRLS DAY CAMP,Region 2,New York,Transient non-community system,700,FALLSBURG (T),Sullivan,9,14,12
NY1316255,AVOCADO'S RESTAURANT,Region 2,New York,Transient non-community system,26,FISHKILL (T),Dutchess,3,11,44
NY4413903,"STONE FENCE MOTEL, THE",Region 2,New York,Transient non-community system,100,OSWEGATCHIE (T),St. Lawrence,20,22,17
NY2230001,WRIGHT DINER (THE),Region 2,New York,Transient non-community system,25,CLAYTON (T),Jefferson,7,4,19
NY0611651,TOP A RISE CAMPING AREA,Region 2,New York,Transient non-community system,100,ELLINGTON (T),Chautauqua,4,0,7
NY2419209,CORNER CORRAL,Region 2,New York,Transient non-community system,40,WATSON (T),Lewis,6,0,18
NY2405532,BELFORT INN,Region 2,New York,Transient non-community system,50,CROGHAN (T),Lewis,8,4,9
NY3530117,BULLVILLE FOOD MART,Region 2,New York,Transient non-community system,200,CRAWFORD (T),Orange,3,65,12
NY1130018,LYNN'S PLACE,Region 2,New York,Transient non-community system,25,CUYLER (T),Cortland,5,5,19
NY3730081,ALTMAR UNION STATION,Region 2,New York,Transient non-community system,25,ALBION  (T),Oswego,5,2,16
NY5507876,HOTEL DYLAN,Region 2,New York,Transient non-community system,30,HURLEY (T),Ulster,7,16,9
NY0930074,TURNPIKE GAS N GO,Region 2,New York,Transient non-community system,25,CHAZY (T),Clinton,5,29,11
NY3730070,ALTMAR REDNECK ROADSIDE RETREAT,Region 2,New York,Transient non-community system,50,ALTMAR (V),Oswego,10,7,9
NY4512612,WHITE PINES NORTH,Region 2,New York,Community water system,50,MILTON (T),Saratoga,6,20,11
NY4510772,WHITE PINES CENTRAL,Region 2,New York,Community water system,40,MILTON (T),Saratoga,5,77,17
NY4501821,WHITE PINES SOUTH,Region 2,New York,Community water system,40,BALLSTON SPA (V),Saratoga,5,16,12
NY0530006,STERLING RENAISSANCE FESTIVAL,Region 2,New York,Transient non-community system,3523,STERLING (T),Cayuga,12,0,16
NY0130008,NORTHEAST W.D.,Region 2,New York,Community water system,370,NEW SCOTLAND (T),Albany,4,1,18
