PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MP0000003,COMMONWEALTH UTILITIES CORP. (ROTA),Region 9,Northern Mariana Islands,Community water system,3283,,Rota Municipality,24,12,4
MP0000002,COMMONWEALTH UTILITIES CORP. (TINIAN),Region 9,Northern Mariana Islands,Community water system,3005,SAN JOSE VILLAGE,Tinian Municipality,16,10,4
MP0000219,TRUONG'S RESTAURANT,Region 9,Northern Mariana Islands,Transient non-community system,75,SUSUPE,Saipan Municipality,5,0,0
MP0000085,KINGFISHER GOLF RESORT,Region 9,Northern Mariana Islands,Non-Transient non-community system,130,TALAFOFU,Saipan Municipality,16,134,3
MP0000158,KENTUCKY FRIED CHICKEN,Region 9,Northern Mariana Islands,Transient non-community system,289,CHALAN KANOA,Saipan Municipality,7,4,2
MP0000010,CORAL OCEAN POINT,Region 9,Northern Mariana Islands,Non-Transient non-community system,190,KOBLERVILLE,Saipan Municipality,14,16,3
MP0000218,SUHANA WATER CO.,Region 9,Northern Mariana Islands,Community water system,104,KOBLERVILLE,Saipan Municipality,6,0,0
MP0000028,SUN PALACE HOTEL,Region 9,Northern Mariana Islands,Transient non-community system,32,SUSUPE,Saipan Municipality,6,2,4
MP0000113,FINASISU TERRACE APARTMENT/TAN HOLDINGS,Region 9,Northern Mariana Islands,Community water system,393,FINASISU,Saipan Municipality,16,11,3
MP0000027,JG SABLAN ICE AND WATER,Region 9,Northern Mariana Islands,Community water system,173,GARAPAN,Saipan Municipality,10,271,4
MP0000075,SAIPAN WORLD RESORT,Region 9,Northern Mariana Islands,Non-Transient non-community system,1061,SUSUPE,Saipan Municipality,12,16,4
MP0000084,LAO LAO BAY GOLF RESORT,Region 9,Northern Mariana Islands,Community water system,314,KAGMAN,Saipan Municipality,25,7,3
MP0000053,MODERN STATIONARY,Region 9,Northern Mariana Islands,Community water system,60,SAN JOSE,Saipan Municipality,16,193,3
MP0000040,DAE YOO CORP/SUITE PALMS,Region 9,Northern Mariana Islands,Community water system,88,CHALAN KIYA,Saipan Municipality,7,74,3
