PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
OR4100628,COUNTRY CLUB WATER DISTRICT,Region 10,Oregon,Community water system,150,,Clackamas,7,52,6
OR4190299,LAST CHANCE SALOON,Region 10,Oregon,Transient non-community system,60,,Marion,5,68,3
OR4193484,MERLIN MOBILE HOME PARK,Region 10,Oregon,Transient non-community system,25,,Josephine,5,9,4
OR4100522,"MILTON-FREEWATER, CITY OF",Region 10,Oregon,Community water system,7070,,Umatilla,20,194,4
OR4190413,ONEYS RESTAURANT/LOUNGE,Region 10,Oregon,Transient non-community system,60,,Clatsop,5,46,4
OR4191912,SMOKE ON THE WATER,Region 10,Oregon,Transient non-community system,29,,Josephine,5,26,3
OR4190178,COE MCNARY DAM,Region 10,Oregon,Non-Transient non-community system,120,,Umatilla,10,184,3
OR4192114,WELLS CREEK INN,Region 10,Oregon,Transient non-community system,25,,Douglas,5,29,3
OR4194129,SUTTLE LODGE AND BOATHOUSE,Region 10,Oregon,Transient non-community system,70,,Jefferson,3,28,3
OR4194172,BROTHERS STAGE STOP,Region 10,Oregon,Transient non-community system,30,,Deschutes,3,42,4
OR4100431,WISEMANS MOBILE COURT,Region 10,Oregon,Community water system,114,,Klamath,7,140,6
OR4101536,FORDICE WATER SYSTEM,Region 10,Oregon,Community water system,36,,Umatilla,3,2,1
OR4195327,BROADACRES STORE/TAVERN,Region 10,Oregon,Transient non-community system,50,,Marion,3,4,3
OR4193556,LONE ELDER STORE,Region 10,Oregon,Transient non-community system,150,,Clackamas,3,77,3
OR4101509,DEAN MINARD WATER DISTRICT,Region 10,Oregon,Community water system,135,,Coos,3,32,5
OR4105395,NORTH BRIGHTWOOD IMPROV ASSN,Region 10,Oregon,Community water system,50,,Clackamas,10,287,6
OR4190376,YMCA LOW ECHO,Region 10,Oregon,Transient non-community system,35,,Klamath,3,40,2
OR4194724,BEND RESEARCH INC,Region 10,Oregon,Non-Transient non-community system,110,,Deschutes,9,10,4
OR4101058,SEVENTH MOUNTAIN RESORT,Region 10,Oregon,Non-Transient non-community system,400,,Deschutes,4,71,4
OR4105661,CANBY GROVE CONF CTR WELL 3,Region 10,Oregon,Transient non-community system,40,,Clackamas,3,28,4
OR4194996,CANBY GROVE CONF CTR WELL 2,Region 10,Oregon,Transient non-community system,40,,Clackamas,5,20,4
OR4190047,CANBY GROVE CONF CTR WELL 1,Region 10,Oregon,Transient non-community system,40,,Clackamas,7,24,4
OR4190234,SMITH FROZEN FOODS INC,Region 10,Oregon,Non-Transient non-community system,175,,Umatilla,8,73,3
OR4194399,MARION CO PUBLIC WORKS,Region 10,Oregon,Non-Transient non-community system,200,,Marion,5,147,4
OR4194699,BROOKS CSD,Region 10,Oregon,Non-Transient non-community system,400,,Marion,3,69,2
OR4195469,MCKENZIE STATION ESPRESSO,Region 10,Oregon,Transient non-community system,30,,Lane,3,5,2
OR4193577,TENNIS WEST RAQUET CLUB,Region 10,Oregon,Transient non-community system,39,,Benton,9,20,4
OR4193749,PIONEER ELEMENTARY SD 8C,Region 10,Oregon,Non-Transient non-community system,120,,Malheur,5,14,2
OR4190267,THE DALLES COUNTRY CLUB,Region 10,Oregon,Transient non-community system,25,,Wasco,12,15,3
OR4195036,HORSE RANCH RV PARK,Region 10,Oregon,Transient non-community system,45,,Lake,4,21,2
OR4194110,HORIZON VIEW HILLS WS,Region 10,Oregon,Transient non-community system,15,,Tillamook,7,5,4
OR4190401,MOUNTAIN VIEW MOTEL,Region 10,Oregon,Transient non-community system,30,,Columbia,5,9,3
OR4100705,SOUTH UMPQUA WATER ASSOCIATION,Region 10,Oregon,Community water system,575,,Douglas,3,25,5
OR4100374,NORTH HILL WATER CORPORATION,Region 10,Oregon,Community water system,100,,Umatilla,10,170,6
OR4100828,INDIAN MEADOW WATER COMPANY,Region 10,Oregon,Community water system,500,,Deschutes,5,15,7
OR4192005,FALL CREEK CHRISTIAN CHURCH,Region 10,Oregon,Transient non-community system,35,,Lane,3,10,4
OR4193602,BLM PAGE SPRINGS REC SITE,Region 10,Oregon,Transient non-community system,30,,Harney,3,9,4
OR4194796,CATFISH JUNCTION #2,Region 10,Oregon,Transient non-community system,50,,Malheur,5,53,3
OR4194980,CATFISH JUNCTION LLC,Region 10,Oregon,Transient non-community system,50,,Malheur,3,45,4
OR4194765,BECKLIN HOLDINGS INC,Region 10,Oregon,Non-Transient non-community system,205,,Josephine,5,71,3
OR4193513,PINE TREE TAVERN,Region 10,Oregon,Transient non-community system,40,,Josephine,3,49,4
OR4190607,GRONER ELEMENTARY SD 1J,Region 10,Oregon,Non-Transient non-community system,250,,Washington,5,132,4
OR4190606,FARMINGTON VIEW ELEM SD 1J,Region 10,Oregon,Non-Transient non-community system,340,,Washington,5,19,4
OR4193774,WEST UNION ELEM SD 1,Region 10,Oregon,Non-Transient non-community system,400,,Washington,6,85,4
OR4192159,SANTIAM GOLF CLUB,Region 10,Oregon,Transient non-community system,200,,Marion,3,15,5
OR4105261,KLAMATH CO PKS HENZEL PARK,Region 10,Oregon,Transient non-community system,57,,Klamath,3,23,4
OR4190818,KLAMATH CO PKS HAGELSTEIN PARK,Region 10,Oregon,Transient non-community system,50,,Klamath,3,22,4
OR4190192,METOLIUS MEADOWS PROP OWNERS,Region 10,Oregon,Community water system,300,,Jefferson,4,66,5
OR4101138,DESERT MOBILE HOME ESTATES,Region 10,Oregon,Community water system,100,,Jackson,4,23,5
OR4101143,WELDON MOBILE HOME PARK,Region 10,Oregon,Community water system,108,,Jackson,6,44,6
OR4101148,COLUMBIA ACRES WATER ASSOC,Region 10,Oregon,Community water system,110,,Columbia,6,78,5
OR4101158,NORTH CORVALLIS MHP-WELL #1,Region 10,Oregon,Community water system,100,,Benton,7,58,4
OR4192783,USFS HUMBUG CAMPGROUND,Region 10,Oregon,Transient non-community system,25,,Marion,5,4,3
OR4194526,USFS BIG MEADOWS HORSE CAMP HP,Region 10,Oregon,Transient non-community system,45,,Linn,3,5,4
OR4192785,USFS HOOVER CAMPGROUND,Region 10,Oregon,Transient non-community system,185,,Linn,3,9,4
OR4193814,USFS BREITENBUSH CG,Region 10,Oregon,Transient non-community system,125,,Marion,5,65,5
OR4192787,USFS RIVERSIDE CAMPGROUND,Region 10,Oregon,Transient non-community system,60,,Linn,5,64,6
OR4192786,USFS WHISPERING FALLS CG,Region 10,Oregon,Transient non-community system,50,,Marion,5,61,5
OR4195005,USFS COVE CREEK CG,Region 10,Oregon,Transient non-community system,100,,Linn,6,3,3
OR4101223,WALNUT MOBILE HOME PARK,Region 10,Oregon,Community water system,175,,Clackamas,9,149,5
OR4194451,WILLAMETTE EGG FARMS - CANBY,Region 10,Oregon,Non-Transient non-community system,100,,Clackamas,8,189,4
OR4100810,HARMONY ACRES MOBILE PARK,Region 10,Oregon,Community water system,31,,Linn,6,159,6
OR4100808,COUNTRY VIEW MH ESTATES,Region 10,Oregon,Community water system,132,,Jackson,8,158,9
OR4195001,SHADY COVE SUBWAY,Region 10,Oregon,Transient non-community system,150,,Jackson,3,35,4
OR4193606,FIR RIDGE CAMPGROUND,Region 10,Oregon,Transient non-community system,21,,Lincoln,5,15,4
OR4190887,KIDCO HEAD START-RIVERSIDE,Region 10,Oregon,Non-Transient non-community system,150,,Linn,3,43,3
OR4194028,CHEMULT BUDGET INN,Region 10,Oregon,Transient non-community system,50,,Klamath,3,29,5
OR4100626,"PILOT ROCK, CITY OF",Region 10,Oregon,Community water system,1540,,Umatilla,5,55,4
OR4100657,PORTLAND WATER BUREAU,Region 10,Oregon,Community water system,614059,,Multnomah,47,16,8
OR4101495,SWEDETOWN WATER ASSOC,Region 10,Oregon,Community water system,40,,Columbia,3,67,5
OR4101264,SPAR TREE MHP,Region 10,Oregon,Community water system,25,,Clackamas,5,109,4
OR4195272,APPLEGATE VALLEY FAM MED PRAC,Region 10,Oregon,Transient non-community system,25,,Josephine,3,0,3
OR4101067,ROGUE RIVER MOBILE ESTATES,Region 10,Oregon,Community water system,75,,Jackson,9,101,6
OR4191681,KIDCO HEAD START-SUNNYSIDE,Region 10,Oregon,Non-Transient non-community system,50,,Linn,5,68,4
OR4194102,TOUVELLE LODGE,Region 10,Oregon,Transient non-community system,50,,Jackson,5,62,3
OR4101288,EAST YAMHILL RURAL WD,Region 10,Oregon,Community water system,90,,Yamhill,3,19,7
OR4101013,ALDRIDGE DITCH CO WS,Region 10,Oregon,Community water system,49,,Hood River,4,32,5
OR4100139,RANCHERO PETITE IMPROV DIST,Region 10,Oregon,Community water system,40,,Clackamas,4,47,5
OR4101323,SOUTH YAMHILL WATER DISTRICT,Region 10,Oregon,Community water system,40,,Yamhill,3,42,4
OR4100984,MOBILE VILLAGE INC,Region 10,Oregon,Community water system,100,,Multnomah,5,78,5
OR4195061,UNITED STATES BASKETBALL ACADEMY,Region 10,Oregon,Transient non-community system,45,,Lane,5,29,4
OR4194862,EAST LAKE RV PARK,Region 10,Oregon,Transient non-community system,50,,Deschutes,3,12,4
OR4190497,EAST LAKE RESORT,Region 10,Oregon,Transient non-community system,50,,Deschutes,3,19,5
OR4195055,FLYING EAGLE MARKET & VIDEO,Region 10,Oregon,Transient non-community system,100,,Jackson,10,46,4
OR4194706,KELLYS CORNER MARKET,Region 10,Oregon,Transient non-community system,200,,Clackamas,6,44,4
OR4101448,SMGV/WIDGI CREEK,Region 10,Oregon,Community water system,300,,Deschutes,3,21,4
OR4100842,"STANFIELD, CITY OF",Region 10,Oregon,Community water system,2115,,Umatilla,14,182,6
OR4194049,WALTS RV PARK,Region 10,Oregon,Transient non-community system,70,,Klamath,3,27,5
OR4193542,BOMBER MOTEL,Region 10,Oregon,Transient non-community system,50,,Clackamas,5,17,4
OR4191547,NORTH ASHLAND PROFESSIONAL CONDO ASSN,Region 10,Oregon,Transient non-community system,150,,Jackson,5,36,4
OR4100772,CHAPARRAL MOBILE RANCH,Region 10,Oregon,Community water system,103,,Marion,5,5,5
OR4194440,BONANZA CITY LIBRARY,Region 10,Oregon,Transient non-community system,40,,Klamath,5,19,4
OR4195373,DIAMOND MEADOWS,Region 10,Oregon,Transient non-community system,15,,Klamath,3,13,3
OR4101368,TUMALO WEST WATER SYSTEM,Region 10,Oregon,Community water system,75,,Deschutes,4,23,5
OR4101367,DEER TRAIL WATER SYSTEM,Region 10,Oregon,Community water system,45,,Deschutes,3,30,6
OR4100863,SMITH ROCK MOBILE ESTATES,Region 10,Oregon,Community water system,60,,Deschutes,5,164,6
OR4100123,SUN COUNTRY WTR SADDLEBACK,Region 10,Oregon,Community water system,300,,Deschutes,4,10,5
OR4100118,FOUR SEASONS MHP,Region 10,Oregon,Community water system,100,,Deschutes,5,64,6
OR4100117,DESCHUTES MOBILE PARK,Region 10,Oregon,Community water system,62,,Deschutes,3,13,5
OR4100090,HUNNELL HILLS WATER SYSTEM,Region 10,Oregon,Community water system,45,,Deschutes,4,44,7
OR4100111,SUN MOUNTAIN WATER SYSTEM LLC,Region 10,Oregon,Community water system,740,,Deschutes,7,18,7
OR4101182,COUNTRY GARDEN ESTATES MHP,Region 10,Oregon,Community water system,175,,Morrow,7,188,5
OR4100565,CARMEL BEACH WATER DISTRICT,Region 10,Oregon,Community water system,36,,Lincoln,6,78,7
OR4100992,ARNEYS FOREST VIEW MHP,Region 10,Oregon,Community water system,50,,Lane,6,46,5
OR4101073,RAINBOW PARK MHP,Region 10,Oregon,Community water system,30,,Lane,5,65,5
OR4192061,SAWYERS LANDING RV PARK,Region 10,Oregon,Transient non-community system,25,,Lincoln,5,138,6
OR4195173,SHORT STOP #1,Region 10,Oregon,Transient non-community system,200,,Umatilla,5,22,3
OR4101233,DEER ISLAND WATERWORKS,Region 10,Oregon,Community water system,90,,Columbia,5,148,6
OR4101254,CLOVERCREST COMMUNITY WATER SYSTEM,Region 10,Oregon,Community water system,65,,Josephine,6,90,5
OR4101256,PARKDALE WATER SYSTEM,Region 10,Oregon,Community water system,100,,Josephine,4,13,5
OR4101276,VALLEY COURT APARTMENTS,Region 10,Oregon,Community water system,34,,Josephine,3,56,5
OR4190060,CAMP HOWARD-CYO,Region 10,Oregon,Transient non-community system,160,,Clackamas,8,29,4
OR4195210,RICE HILL RV PARK,Region 10,Oregon,Transient non-community system,50,,Douglas,5,27,3
OR4100224,WOODLAND MOBILE HOME PARK,Region 10,Oregon,Community water system,88,,Linn,10,7,6
OR4190476,LITTLE RIVER CHRISTIAN CAMP,Region 10,Oregon,Transient non-community system,30,,Douglas,5,24,6
OR4194777,GALES CREEK SHELL & GROCERY,Region 10,Oregon,Transient non-community system,600,,Washington,3,12,4
OR4101258,MAYFAIR MOORAGE INC,Region 10,Oregon,Community water system,28,,Multnomah,6,30,6
OR4191532,ROGUE RIVER INN,Region 10,Oregon,Transient non-community system,65,,Jackson,3,77,3
OR4100637,SALMON RIVER PARK WTR IMP DIST,Region 10,Oregon,Transient non-community system,40,,Clackamas,3,68,4
OR4101502,RED HILLS ESTATES,Region 10,Oregon,Community water system,25,,Yamhill,5,65,3
OR4100988,TILLICUM PARK LLC,Region 10,Oregon,Community water system,34,,Lane,4,23,6
OR4194818,POWELL BUTTE CHRISTIAN CHURCH,Region 10,Oregon,Transient non-community system,200,,Crook,4,17,3
OR4105157,ROCK OF AGES REST HOME,Region 10,Oregon,Community water system,97,,Yamhill,7,120,4
OR4194711,FOREST RIVER HARRISBURG,Region 10,Oregon,Non-Transient non-community system,120,,Linn,7,23,3
OR4100994,RIVERWOOD MHP LANE CO,Region 10,Oregon,Community water system,325,,Lane,7,16,6
