PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
PR0563145,PR INTERNATIONAL SPEEDWAY CORP.,Region 2,Puerto Rico,Transient non-community system,400,SALINAS,Salinas Municipio,3,12,2
PR0457164,COMITE RESIDENTE SECTOR BELLEZA,Region 2,Puerto Rico,Community water system,58,PENUELAS,Penuelas Municipio,3,70,4
PR0644126,CENTURY PACKING CORP.,Region 2,Puerto Rico,Non-Transient non-community system,50,LAS PIEDRAS,Las Piedras Municipio,3,1,3
PR0523125,LA PRIETA,Region 2,Puerto Rico,Community water system,116,COMERIO,Comerio Municipio,3,134,5
PR0367053,ACUEDUCTO RURAL GUADALUPE MARTI,Region 2,Puerto Rico,Community water system,81,SAN SEBASTIAN,San Sebastian Municipio,2,24,2
PR0003294,RAFAEL MATIAS,Region 2,Puerto Rico,Community water system,1139,AGUADA,Aguada Municipio,4,65,10
PR0116051,PLT.  MUNICIPAL CAROLINA,Region 2,Puerto Rico,Community water system,25,CAROLINA,Carolina Municipio,3,16,3
PR0677066,SODOMA,Region 2,Puerto Rico,Community water system,571,YABUCOA,Yabucoa Municipio,5,146,18
PR0508025,SISTEMA DE AGUA POTABLE STRYKER P.R. LTD,Region 2,Puerto Rico,Non-Transient non-community system,700,ARROYO,Arroyo Municipio,3,0,0
PR0518115,ASSMCA,Region 2,Puerto Rico,Transient non-community system,400,CAYEY,Cayey Municipio,3,0,0
PR0478114,SISTEMA DE AGUA CACAO,Region 2,Puerto Rico,Community water system,120,YAUCO,Yauco Municipio,3,95,2
PR0468064,MOTEL LAS VEGAS,Region 2,Puerto Rico,Transient non-community system,52,SANTA ISABEL,Santa Isabel Municipio,3,19,2
PR0132051,"U.S. ARMY, FORT BUCHANAN",Region 2,Puerto Rico,Community water system,6411,GUAYNABO,Guaynabo Municipio,4,122,0
