PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
SC0210004,WAGENER TOWN OF (0210004),Region 4,South Carolina,Community water system,1081,,Aiken,8,8,42
SC2270921,HIDDEN MARINA & CAMPGROUND (SC2270921),Region 4,South Carolina,Transient non-community system,30,GEORGETOWN,Georgetown,2,0,6
SC0870853,LOCKLAIR'S LANDING (0870853),Region 4,South Carolina,Transient non-community system,26,MONCKS CORNER,Berkeley,3,0,11
SC4360010,CEDAR HILL MHP (4360010),Region 4,South Carolina,Community water system,128,SUMTER,Sumter,5,7,43
SC1570924,FAITH CATHEDRAL FELLOWSHIP INC (1570924),Region 4,South Carolina,Community water system,40,WALTERBORO,Colleton,4,15,15
SC3970675,MCCALL RA CAMP (SC3970675),Region 4,South Carolina,Transient non-community system,181,,Pickens,5,2,23
SC3710004,WALHALLA CITY OF (SC3710004),Region 4,South Carolina,Community water system,15768,WALHALLA,Oconee,5,16,29
SC3950005,RIVER BLUFF S/D (3950005),Region 4,South Carolina,Community water system,190,TRAVELERS REST,Pickens,3,4,29
SC4070937,TEMPLE OF YAHSHUA (SC4070937),Region 4,South Carolina,Transient non-community system,40,COLUMBIA,Richland,2,0,0
SC0220007,BURNETTOWN W/D (SC0220007),Region 4,South Carolina,Community water system,1040,BATH,Aiken,7,23,42
SC4679002,JOKERS (4679002),Region 4,South Carolina,Transient non-community system,25,ROCK HILL,York,2,0,8
SC3772003,COMMON WELLHOUSE & WATER SUPP(SC3772003),Region 4,South Carolina,Transient non-community system,25,,Oconee,2,1,6
SC4610003,FORT MILL TOWN OF (4610003),Region 4,South Carolina,Community water system,16943,FORT MILL,York,4,6,20
SC4420002,BROWNS CREEK W/D (SC4420002),Region 4,South Carolina,Community water system,2871,UNION,Union,2,8,36
SC2910001,LANCASTER CITY OF (SC2910001),Region 4,South Carolina,Community water system,13075,LANCASTER,Lancaster,3,17,24
SC4670252,DIXIE DINER (SC4670252),Region 4,South Carolina,Transient non-community system,28,CLOVER,York,3,3,8
SC3660006,GATEWAY RV PARK (SC3660006),Region 4,South Carolina,Transient non-community system,80,POMARIA,Newberry,9,1,18
SC3910001,PICKENS WTP (3910001),Region 4,South Carolina,Community water system,10871,PICKENS,Pickens,5,20,23
SC0220006,BREEZY HILL W/D (0220006),Region 4,South Carolina,Community water system,15282,GRANITEVILLE,Aiken,33,4,35
SC2570677,WEBB WILDLIFE CENTER (2570677),Region 4,South Carolina,Transient non-community system,30,GARNETT,Hampton,2,1,18
SC0572002,B&D BBQ (0572002),Region 4,South Carolina,Transient non-community system,55,SMOAKS,Bamberg,2,2,6
SC0760001,LAKEVIEW MHP (SC0760001),Region 4,South Carolina,Community water system,114,BURTON,Beaufort,3,23,45
SC1560002,EAGLES RV CAMPGROUND (1560002),Region 4,South Carolina,Transient non-community system,26,WALTERBORO,Colleton,6,0,14
SC0210006,PERRY TOWN OF (0210006),Region 4,South Carolina,Community water system,701,,Aiken,12,32,44
SC0210007,NEW ELLENTON-CPW (0210007),Region 4,South Carolina,Community water system,6071,,Aiken,9,33,43
SC0420004,HIGHWAY 88 W/D (0420004),Region 4,South Carolina,Community water system,2963,LA FRANCE,Anderson,4,6,39
SC0420003,SANDY SPRINGS WATER CO INC (0420003),Region 4,South Carolina,Community water system,11077,LA FRANCE,Anderson,3,4,40
SC0210008,MONETTA TOWN OF (SC0210008),Region 4,South Carolina,Community water system,974,,Aiken,18,19,42
SC1470405,LENORAS SANTEE RESORT (SC1470405),Region 4,South Carolina,Transient non-community system,50,SUMMERTON,Clarendon,3,9,24
SC3970800,TABLE ROCK RETREAT AND CONF CENTER,Region 4,South Carolina,Transient non-community system,210,PICKENS,Pickens,3,3,25
SC4210003,SWS-LANDRUM WTP (4210003),Region 4,South Carolina,Community water system,4269,LANDRUM,Spartanburg,5,17,23
SC4210001,SPARTANBURG WATER SYSTEM (4210001),Region 4,South Carolina,Community water system,142671,SPARTANBURG,Spartanburg,5,8,24
SC4060009,BELAIRE MHP (4060009),Region 4,South Carolina,Community water system,34,HOPKINS,Richland,3,8,28
SC3772008,HUMBLE PIE RESTAURANT (SC3772008),Region 4,South Carolina,Transient non-community system,30,LONGCREEK,Oconee,2,0,4
SC4030005,INTERNATIONAL PAPER (SC4030005),Region 4,South Carolina,Non-Transient non-community system,750,EASTOVER,Richland,5,4,25
