PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
SD4600100,BHHEC-HILLSIDE LODGE,Region 8,South Dakota,Transient non-community system,25,HERMOSA,Custer,3,6,2
SD4602270,SUN VALLEY DEVELOPMENT,Region 8,South Dakota,Community water system,530,RAPID CITY,Meade,5,1,2
SD4602273,HOLY SMOKE CABINS,Region 8,South Dakota,Transient non-community system,37,KEYSTONE,Pennington,6,3,2
SD4602274,PRAIRIE BERRY WINERY,Region 8,South Dakota,Transient non-community system,1000,HILL CITY,Pennington,6,1,3
SD4602276,BOXELDER HIGH COUNTRY ASSOCIATION,Region 8,South Dakota,Community water system,47,RAPID CITY,Pennington,2,8,3
SD4602277,CLARK RURAL WATER-KAMPESKA,Region 8,South Dakota,Community water system,578,"CLARK, FLORENCE","Clark, Codington, Day, Hamlin",6,43,4
SD4602285,"SHERIDAN LAKE HIGHLANDS, INC.",Region 8,South Dakota,Community water system,66,"PIEDMONT, RAPID CITY",Pennington,5,18,2
SD4602323,PARADISE WATER COMPANY LLC,Region 8,South Dakota,Community water system,55,"LEAD, SIOUX FALLS",Lawrence,7,0,3
SD4602301,CEDAR GULCH I,Region 8,South Dakota,Community water system,45,RAPID CITY,Pennington,2,127,4
SD4602304,RAINBOW BIBLE RANCH,Region 8,South Dakota,Transient non-community system,50,STURGIS,Meade,6,29,2
SD4602305,COSMOS MYSTERY AREA,Region 8,South Dakota,Transient non-community system,600,"COLUMBUS, RAPID CITY",Pennington,5,15,2
SD4600337,TYNDALL,Region 8,South Dakota,Community water system,1067,TYNDALL,Bon Homme,6,4,10
SD4602342,NORTHWOOD FIRST SUBDIVISION,Region 8,South Dakota,Community water system,90,ABERDEEN,Brown,3,1,3
SD4602287,VIEWFIELD RURAL WATER SYSTEM,Region 8,South Dakota,Community water system,150,"BLACK HAWK, NEW UNDERWOOD",Meade,7,26,2
SD4600321,STURGIS,Region 8,South Dakota,Community water system,6627,STURGIS,Meade,20,29,10
SD4600263,COLONIAL PINE HILLS SANITARY DISTRIC,Region 8,South Dakota,Community water system,1200,RAPID CITY,Pennington,19,23,7
SD4602336,GILDED MOUNTAIN HOMEOWNERS ASSOCIATI,Region 8,South Dakota,Transient non-community system,45,"LEAD, SPEARFISH",Lawrence,5,1,2
SD4602297,BLACK HILLS RETREAT CENTER 2,Region 8,South Dakota,Transient non-community system,25,"DEADWOOD, SIOUX FALLS",Lawrence,4,4,1
SD4602300,WHISPERING WINDS COTTAGES,Region 8,South Dakota,Transient non-community system,38,"HILL CITY, RAPID CITY",Pennington,4,5,1
SD4602340,COUNTRY STORE AT THREE FORKS,Region 8,South Dakota,Transient non-community system,1000,"BLACK HAWK, RAPID CITY",Pennington,3,4,1
SD4602356,RIMROCK HEIGHTS HOMEOWNERS ASSOCIATI,Region 8,South Dakota,Community water system,28,RAPID CITY,Pennington,4,0,1
SD4602359,RUSHMORE MOUNTAIN COASTER,Region 8,South Dakota,Transient non-community system,300,KEYSTONE,Pennington,2,0,1
SD4602360,MYSTIC HILLS HIDEAWAY SOUTH,Region 8,South Dakota,Transient non-community system,63,DEADWOOD,Lawrence,5,0,1
SD4602361,VALLEY HEIGHTS ESTATES INC,Region 8,South Dakota,Community water system,320,"RAPID CITY, WESTMINSTER",Pennington,3,3,1
SD4600039,BISON,Region 8,South Dakota,Community water system,333,BISON,Perkins,11,44,9
SD4602295,CEDAR GULCH II,Region 8,South Dakota,Community water system,39,"PIEDMONT, RAPID CITY",Pennington,6,136,2
SD4602272,TIMBERWOOD PARK ESTATES,Region 8,South Dakota,Community water system,75,"PIEDMONT, RAPID CITY",Meade,5,1,2
SD4602326,PILLAR PEAK,Region 8,South Dakota,Community water system,25,"DEADWOOD, SCRANTON, SPEARFISH",Lawrence,3,0,1
SD4602358,COLLINS COLONY,Region 8,South Dakota,Community water system,92,"ABERDEEN, IROQUOIS",Clark,5,50,2
SD4602286,UNITED ORDER OF SOUTH DAKOTA,Region 8,South Dakota,Community water system,75,HOT SPRINGS,Custer,5,25,2
SD4602289,NORTHERN LIGHTS MOBILE HOME PARK,Region 8,South Dakota,Community water system,57,YANKTON,Yankton,3,15,3
SD4602290,CREATIVE KIDS TOO PRESCHOOL & DAYCAR,Region 8,South Dakota,Non-Transient non-community system,87,"PIEDMONT, RAPID CITY",Pennington,3,7,2
SD4602347,MCNENNY STATE FISH HATCHERY,Region 8,South Dakota,Transient non-community system,25,SPEARFISH,Lawrence,3,0,1
SD4602349,NORRIS PEAK WATER USERS ASSOC,Region 8,South Dakota,Community water system,30,"BLACK HAWK, RAPID CITY",Pennington,4,0,1
SD4602156,WR/LJ - CREIGHTON PROJECT,Region 8,South Dakota,Community water system,1082,"MURDO, PHILIP","Jones, Pennington",19,0,4
SD4602159,STAGEBARN SANITARY DISTRICT,Region 8,South Dakota,Community water system,293,"BLACK HAWK, RAPID CITY",Meade,7,24,4
SD4602160,SPEARFISH CANYON RESORT LLC,Region 8,South Dakota,Transient non-community system,100,"LEAD, SPEARFISH",Lawrence,4,8,4
SD4602341,RUSTIC RIDGE GUEST CABINS,Region 8,South Dakota,Transient non-community system,30,KEYSTONE,Pennington,3,0,1
SD4602000,PEACEFUL PINES II,Region 8,South Dakota,Community water system,102,BLACK HAWK,Meade,2,69,8
SD4602001,SUNNYSIDE MOBILE HOME PARK II,Region 8,South Dakota,Community water system,250,"BLACK HAWK, RAPID CITY",Pennington,4,33,7
SD4600723,SCHMIDT'S LANDING,Region 8,South Dakota,Transient non-community system,75,BIG STONE CITY,Roberts,4,25,6
SD4600771,CSP-BLUE BELL,Region 8,South Dakota,Transient non-community system,413,CUSTER,Custer,6,0,7
SD4600773,CSP-CENTER LAKE & PLAYHOUSE,Region 8,South Dakota,Transient non-community system,120,CUSTER,Custer,9,0,7
SD4600774,CSP-GAME LODGE,Region 8,South Dakota,Non-Transient non-community system,751,CUSTER,Custer,8,0,6
SD4600775,CSP-LEGION LAKE,Region 8,South Dakota,Transient non-community system,278,CUSTER,Custer,9,0,7
SD4600777,CSP-PARK SHOP,Region 8,South Dakota,Transient non-community system,50,CUSTER,Custer,7,0,4
SD4600778,CSP-STOCKADE LAKE CG-SOUTH,Region 8,South Dakota,Transient non-community system,83,CUSTER,Custer,7,0,5
SD4602337,BROKEN ARROW HORSE CAMP,Region 8,South Dakota,Transient non-community system,92,CUSTER,Custer,2,7,3
SD4600095,BHHEC-MAIN LODGE,Region 8,South Dakota,Transient non-community system,25,HERMOSA,Custer,6,11,6
SD4680108,HILL CITY VISITOR CENTER,Region 8,South Dakota,Transient non-community system,38,HILL CITY,Pennington,3,0,1
SD4600364,WHITE,Region 8,South Dakota,Community water system,485,WHITE,Brookings,3,5,8
SD4600366,WHITE LAKE,Region 8,South Dakota,Community water system,372,WHITE LAKE,Aurora,4,5,9
SD4600367,WHITE RIVER,Region 8,South Dakota,Community water system,581,"VALENTINE, WHITE RIVER",Mellette,11,24,9
SD4600368,WHITEWOOD,Region 8,South Dakota,Community water system,927,WHITEWOOD,Lawrence,13,45,9
SD4600370,WILLOW LAKE,Region 8,South Dakota,Community water system,275,WILLOW LAKE,Clark,6,19,8
SD4600371,WILMOT,Region 8,South Dakota,Community water system,492,WILMOT,Roberts,5,55,8
SD4600373,WINNER,Region 8,South Dakota,Community water system,3100,WINNER,Tripp,12,12,10
SD4600375,WOLSEY,Region 8,South Dakota,Community water system,376,WOLSEY,Beadle,5,48,8
SD4600376,WOONSOCKET,Region 8,South Dakota,Community water system,655,WOONSOCKET,Sanborn,6,60,9
SD4600377,WORTHING,Region 8,South Dakota,Community water system,877,WORTHING,Lincoln,6,53,8
SD4600383,COUNTRY ACRES MHP,Region 8,South Dakota,Community water system,70,YANKTON,Yankton,4,26,7
SD4600384,CUSTER DOC,Region 8,South Dakota,Community water system,25,CUSTER,Custer,10,11,8
SD4600385,ARLINGTON,Region 8,South Dakota,Community water system,930,ARLINGTON,Kingsbury,5,7,10
SD4600386,BERESFORD,Region 8,South Dakota,Community water system,2005,BERESFORD,Union,8,2,7
SD4600387,BESTGEN ADDITION WATER COMPANY,Region 8,South Dakota,Community water system,73,STURGIS,Meade,3,7,11
SD4600388,BRITTON,Region 8,South Dakota,Community water system,1241,BRITTON,Marshall,6,32,9
SD4600390,COLTON,Region 8,South Dakota,Community water system,689,COLTON,Minnehaha,5,47,7
SD4600124,FAITH,Region 8,South Dakota,Community water system,421,FAITH,Meade,4,8,10
SD4600125,FAULKTON,Region 8,South Dakota,Community water system,736,FAULKTON,Faulk,10,8,11
SD4600127,FLANDREAU,Region 8,South Dakota,Community water system,2341,FLANDREAU,Moody,10,8,8
SD4600128,FLORENCE,Region 8,South Dakota,Community water system,374,FLORENCE,Codington,4,22,8
SD4600391,CROOKS,Region 8,South Dakota,Community water system,1269,CROOKS,Minnehaha,5,48,9
SD4600392,D & E WATER COMPANY,Region 8,South Dakota,Community water system,100,"BLACK HAWK, SPEARFISH",Lawrence,4,36,7
SD4600046,BOX ELDER,Region 8,South Dakota,Community water system,8300,BOX ELDER,Pennington,24,135,10
SD4600047,BRADLEY,Region 8,South Dakota,Community water system,72,BRADLEY,Clark,3,43,10
SD4600236,PARKSTON,Region 8,South Dakota,Community water system,1508,PARKSTON,Hutchinson,6,14,8
SD4600237,PEEVER,Region 8,South Dakota,Community water system,165,"BRITTON, PEEVER",Roberts,7,10,8
SD4600238,PHILIP,Region 8,South Dakota,Community water system,779,PHILIP,Haakon,8,34,9
SD4600241,PIERPONT,Region 8,South Dakota,Community water system,135,PIERPONT,Day,9,9,8
SD4600242,PIERRE,Region 8,South Dakota,Community water system,13938,PIERRE,Hughes,30,6,10
SD4600245,PLANKINTON,Region 8,South Dakota,Community water system,726,PLANKINTON,Aurora,8,23,9
SD4600246,PLATTE,Region 8,South Dakota,Community water system,1230,PLATTE,Charles Mix,3,9,8
SD4600247,POLLOCK,Region 8,South Dakota,Community water system,241,POLLOCK,Campbell,5,10,6
SD4600248,PRESHO,Region 8,South Dakota,Community water system,497,PRESHO,Lyman,8,20,9
SD4600250,PUKWANA,Region 8,South Dakota,Community water system,285,"CHAMBERLAIN, PUKWANA",Brule,3,31,8
SD4600252,RAMONA,Region 8,South Dakota,Community water system,174,RAMONA,Lake,7,151,8
SD4600253,WESTBERRY TRAILS WATER USERS ASSOC,Region 8,South Dakota,Community water system,152,"PIEDMONT, RAPID CITY",Pennington,3,75,5
SD4600257,RAPID CITY MOBILE HOME PARK,Region 8,South Dakota,Community water system,160,"BLACK HAWK, CEDAREDGE",Pennington,4,123,7
SD4600259,PLAINSVIEW MOBILE MANOR,Region 8,South Dakota,Community water system,210,"BOX ELDER, ORANGEVALE, RAPID CITY",Pennington,6,119,8
SD4600260,PONDEROSA MOBILE HOME RANCH,Region 8,South Dakota,Community water system,50,RAPID CITY,Pennington,3,62,7
SD4600264,CHAPEL LANE WATER COMPANY,Region 8,South Dakota,Community water system,1200,RAPID CITY,Pennington,7,4,9
SD4600265,CARRIAGE HILLS,Region 8,South Dakota,Community water system,267,"PIEDMONT, RAPID CITY",Pennington,5,5,7
SD4600268,WHISPERING PINES WATER ASSOCIATION,Region 8,South Dakota,Community water system,45,RAPID CITY,Pennington,4,144,6
SD4600269,HIDDEN VALLEY WATER ASSOCIATION INC,Region 8,South Dakota,Community water system,30,RAPID CITY,Pennington,4,24,8
SD4600270,PINE CLIFF ESTATES,Region 8,South Dakota,Community water system,180,"BLACK HAWK, RAPID CITY",Pennington,4,51,8
SD4600271,HISEGA MEADOWS WATER INC,Region 8,South Dakota,Community water system,486,RAPID CITY,Pennington,13,5,8
SD4600516,GOLDEN MEADOWS,Region 8,South Dakota,Community water system,96,BLACK HAWK,Meade,3,66,8
SD4600518,MERCHEN'S MOBILE HOME ACRES,Region 8,South Dakota,Community water system,68,HOT SPRINGS,Fall River,4,37,8
SD4601014,OUTLAW RANCH,Region 8,South Dakota,Transient non-community system,35,"CUSTER, WAUBAY",Custer,3,2,5
SD4601019,HILLSIDE COUNTRY CABINS,Region 8,South Dakota,Transient non-community system,54,RAPID CITY,Pennington,2,29,6
SD4601029,SUNSHINE BIBLE ACADEMY,Region 8,South Dakota,Community water system,240,MILLER,Hand,8,124,8
SD4601031,MEDICINE MOUNTAIN SCOUT CAMP,Region 8,South Dakota,Transient non-community system,250,RAPID CITY,Pennington,5,13,6
SD4601032,STORM MOUNTAIN CENTER,Region 8,South Dakota,Transient non-community system,80,"MITCHELL, RAPID CITY",Pennington,9,11,6
SD4601033,MOONSHINE GULCH SALOON,Region 8,South Dakota,Transient non-community system,25,HILL CITY,Pennington,2,5,5
SD4601035,SALVATION ARMY CAMP,Region 8,South Dakota,Transient non-community system,25,RAPID CITY,Pennington,4,14,5
SD4601036,CAMP RIMROCK - PRESBYTERY OF SOUTH D,Region 8,South Dakota,Transient non-community system,25,"ONIDA, RAPID CITY",Pennington,3,14,8
SD4601038,RUSH MOUNTAIN ADVENTURE PARK,Region 8,South Dakota,Transient non-community system,300,KEYSTONE,Pennington,3,9,5
SD4601039,KLEIN RANCH,Region 8,South Dakota,Transient non-community system,45,"SIOUX FALLS, TIMBER LAKE",Corson,2,23,5
SD4602281,WILD TURKEY ESTATES I,Region 8,South Dakota,Community water system,33,SPEARFISH,Lawrence,3,0,1
SD4600361,WESSINGTON,Region 8,South Dakota,Community water system,175,WESSINGTON,"Beadle, Hand",6,46,9
SD4600362,WESSINGTON SPRINGS,Region 8,South Dakota,Community water system,956,WESSINGTON SPRINGS,Jerauld,8,4,6
SD4602309,SOUTHERN BLACK HILLS WATER,Region 8,South Dakota,Community water system,492,"BUFFALO GAP, HOT SPRINGS","Custer, Fall River",8,0,2
SD4602303,PIEDMONT,Region 8,South Dakota,Community water system,800,PIEDMONT,Meade,1,2,2
SD4602312,KEMP'S KAMP MIDDLE,Region 8,South Dakota,Transient non-community system,43,KEYSTONE,Pennington,4,1,2
SD4602315,KEMP'S KAMP WEST,Region 8,South Dakota,Transient non-community system,40,KEYSTONE,Pennington,4,1,2
SD4602313,SPEARFISH FOREST PRODUCTS,Region 8,South Dakota,Non-Transient non-community system,205,SPEARFISH,Lawrence,4,0,3
SD4600011,HIGH MEADOWS RANCHETTES,Region 8,South Dakota,Community water system,58,"BLACK HAWK, RAPID CITY",Pennington,4,152,8
SD4602243,CUSTERS GULCH RV PARK,Region 8,South Dakota,Transient non-community system,100,CUSTER,Custer,5,1,1
SD4600546,SACORA MOBILE HOME PARK,Region 8,South Dakota,Community water system,42,"PIEDMONT, STURGIS",Meade,4,223,9
SD4600547,LAUGHING WATER RESTAURANT AT CRAZY H,Region 8,South Dakota,Non-Transient non-community system,2055,"CRAZY HORSE, CUSTER",Custer,13,39,7
SD4600549,DEER MOUNTAIN,Region 8,South Dakota,Community water system,125,LEAD,Lawrence,4,85,8
SD4601045,TAM'S CORNER BAR,Region 8,South Dakota,Transient non-community system,25,CAMP CROOK,Harding,2,94,8
SD4601047,SAINT ONGE LIVESTOCK CAFE,Region 8,South Dakota,Transient non-community system,30,"SPEARFISH, ST ONGE",Lawrence,4,126,5
SD4601049,BLACK HILLS RETREAT CENTER 1,Region 8,South Dakota,Transient non-community system,71,"DEADWOOD, SIOUX FALLS",Lawrence,4,15,4
SD4601050,TRAILSHEAD LODGE,Region 8,South Dakota,Transient non-community system,50,LEAD,Lawrence,3,4,6
SD4601052,THUNDERHEAD EPISCOPAL CAMP,Region 8,South Dakota,Transient non-community system,45,"PIERRE, RAPID CITY, SIOUX FALLS",Lawrence,3,29,5
SD4601061,DINOSAUR MUSEUM,Region 8,South Dakota,Transient non-community system,500,"COLUMBUS, RAPID CITY",Pennington,4,15,7
SD4601062,CEDAR CANYON WESLEYAN CAMP,Region 8,South Dakota,Transient non-community system,62,RAPID CITY,Pennington,6,35,5
SD4601067,PLACERVILLE CAMP,Region 8,South Dakota,Transient non-community system,84,RAPID CITY,Pennington,4,10,5
SD4601069,PACTOLA PINES STORE,Region 8,South Dakota,Transient non-community system,35,"CUSTER, RAPID CITY",Pennington,4,24,7
SD4601082,KEYSTONE,Region 8,South Dakota,Community water system,370,KEYSTONE,Pennington,14,16,8
SD4601089,WEB WATER DEVELOPMENT ASSOCIATION,Region 8,South Dakota,Community water system,16568,"ABERDEEN, EUREKA","Brown, Campbell, Day, Edmunds, Faulk, Marshall, McPherson, Potter, Spink, Walworth",32,4,8
SD4601090,DAVISON RURAL WATER SYSTEM INC,Region 8,South Dakota,Community water system,3130,MITCHELL,"Aurora, Davison, Douglas, Sanborn",6,1,7
SD4601096,M-T CORNER,Region 8,South Dakota,Transient non-community system,37,"MADISON, WOONSOCKET",Sanborn,2,40,5
SD4600540,CHEYENNE CROSSING STORE,Region 8,South Dakota,Transient non-community system,150,LEAD,Lawrence,4,13,6
SD4600542,SPRING CREEK INN,Region 8,South Dakota,Transient non-community system,56,HILL CITY,Pennington,4,14,7
SD4600004,ALCESTER,Region 8,South Dakota,Community water system,885,ALCESTER,Union,5,7,10
SD4600007,BIG STONE CITY,Region 8,South Dakota,Community water system,467,BIG STONE CITY,Grant,8,44,10
SD4600008,BOWDLE,Region 8,South Dakota,Community water system,485,BOWDLE,Edmunds,11,10,10
SD4600009,CORONA,Region 8,South Dakota,Community water system,82,CORONA,Roberts,3,44,10
SD4600010,EAGLE BUTTE,Region 8,South Dakota,Community water system,4000,EAGLE BUTTE,Dewey,3,20,10
SD4600014,PRAIRIE ACRES LLC,Region 8,South Dakota,Community water system,325,RAPID CITY,Pennington,4,56,8
SD4600015,SPRING CANYON WATER COMPANY,Region 8,South Dakota,Community water system,89,"PIEDMONT, RAPID CITY",Pennington,6,6,7
SD4600019,JOBEE ACRES,Region 8,South Dakota,Community water system,75,ABERDEEN,Brown,1,34,10
SD4600020,ABERDEEN,Region 8,South Dakota,Community water system,26091,ABERDEEN,Brown,19,32,8
SD4600021,COUNTRY VILLAGE PARK,Region 8,South Dakota,Community water system,340,"ABERDEEN, CANDO",Brown,4,29,9
SD4600022,LAKESIDE ESTATES,Region 8,South Dakota,Community water system,460,"ABERDEEN, ST LOUIS PARK",Brown,5,28,10
SD4600890,REPTILE GARDENS INC,Region 8,South Dakota,Transient non-community system,1169,RAPID CITY,Pennington,6,6,4
SD4600902,PACTOLA WATER ASSOCIATION,Region 8,South Dakota,Transient non-community system,25,"BLACK HAWK, RAPID CITY",Pennington,4,4,6
SD4600903,YMCA GIRAFFIC PARK,Region 8,South Dakota,Transient non-community system,250,RAPID CITY,Pennington,2,20,5
SD4600214,MITCHELL,Region 8,South Dakota,Community water system,15539,MITCHELL,Davison,8,37,9
SD4600215,MOBRIDGE,Region 8,South Dakota,Community water system,3465,MOBRIDGE,Walworth,6,21,9
SD4600562,KEMP'S KAMP EAST,Region 8,South Dakota,Transient non-community system,48,KEYSTONE,Pennington,9,23,9
SD4600563,RAPID CITY RV PARK AND CG,Region 8,South Dakota,Transient non-community system,188,RAPID CITY,Pennington,4,50,5
SD4600568,GUADALAJARA MEXICAN RESTAURANT,Region 8,South Dakota,Transient non-community system,300,SPEARFISH,Lawrence,4,71,7
SD4600580,MOUNTAIN VIEW LODGE,Region 8,South Dakota,Transient non-community system,68,HILL CITY,Pennington,4,64,7
SD4600581,POWDER HOUSE LODGE,Region 8,South Dakota,Transient non-community system,300,"KEYSTONE, RAPID CITY",Pennington,7,5,7
SD4600582,RAFTER-J BAR RANCH,Region 8,South Dakota,Transient non-community system,350,HILL CITY,Pennington,12,0,6
SD4600583,ROBIN'S ROOST CABINS,Region 8,South Dakota,Transient non-community system,38,HILL CITY,Pennington,5,17,7
SD4600595,BLACK HILLS CHAIRLIFT,Region 8,South Dakota,Transient non-community system,150,"BLACK HAWK, LEAD",Lawrence,5,6,7
SD4600597,TOMAHAWK COUNTRY CLUB-CLUBHOUSE,Region 8,South Dakota,Transient non-community system,60,"DEADWOOD, LEAD",Lawrence,3,22,6
SD4600598,THREE FORKS CAMPGROUND AND RV PARK,Region 8,South Dakota,Transient non-community system,25,HILL CITY,Pennington,7,16,7
SD4600599,JOHNSON SIDING/RIMROCK TAVERN,Region 8,South Dakota,Transient non-community system,100,RAPID CITY,Pennington,2,17,9
SD4600605,WILD BILL'S CAMPGROUND,Region 8,South Dakota,Transient non-community system,50,DEADWOOD,Lawrence,3,10,7
SD4600395,HIGH MEADOWS WATER COMPANY,Region 8,South Dakota,Community water system,140,BLACK HAWK,Meade,3,11,8
SD4600396,PROVO AREA WATER SYSTEM,Region 8,South Dakota,Community water system,42,EDGEMONT,Fall River,5,197,9
SD4600397,IPSWICH,Region 8,South Dakota,Community water system,954,IPSWICH,Edmunds,8,6,9
SD4600398,LAKE PRESTON,Region 8,South Dakota,Community water system,565,LAKE PRESTON,Kingsbury,5,14,10
SD4600404,PLEASANT VALLEY ESTATES,Region 8,South Dakota,Community water system,105,ABERDEEN,Brown,1,8,8
SD4600405,PONDEROSA PARK,Region 8,South Dakota,Community water system,31,RAPID CITY,Pennington,3,91,8
SD4600406,RAPID CITY,Region 8,South Dakota,Community water system,66481,RAPID CITY,Pennington,48,6,8
SD4600407,SPENCER,Region 8,South Dakota,Community water system,154,SPENCER,McCook,6,33,8
SD4600408,STRATFORD,Region 8,South Dakota,Community water system,72,"ABERDEEN, STRATFORD",Brown,2,30,8
SD4602288,LEWIS AND CLARK REGIONAL WATER SYSTE,Region 8,South Dakota,Community water system,0,"LUVERNE, TEA, VERMILLION",Minnehaha,19,0,2
SD4600167,HUMBOLDT,Region 8,South Dakota,Community water system,589,HUMBOLDT,Minnehaha,5,18,9
SD4600168,HURLEY,Region 8,South Dakota,Community water system,415,HURLEY,Turner,4,30,8
SD4600169,HURON,Region 8,South Dakota,Community water system,12592,HURON,Beadle,20,4,9
SD4600172,HIDDEN VALLEY CAMPGROUND,Region 8,South Dakota,Transient non-community system,50,"BLACK HAWK, DEADWOOD",Lawrence,5,35,4
SD4600173,IRENE,Region 8,South Dakota,Community water system,420,IRENE,"Clay, Turner, Yankton",4,15,9
SD4600174,IROQUOIS,Region 8,South Dakota,Community water system,260,IROQUOIS,"Beadle, Kingsbury",7,6,9
SD4600175,ISABEL,Region 8,South Dakota,Community water system,135,ISABEL,Dewey,5,103,9
SD4600176,JAVA,Region 8,South Dakota,Community water system,129,JAVA,Walworth,4,17,10
SD4600179,WESTPORT SANITARY DISTRICT,Region 8,South Dakota,Community water system,125,"ABERDEEN, WESTPORT",Brown,1,9,7
SD4600181,KADOKA,Region 8,South Dakota,Community water system,654,KADOKA,Jackson,9,56,8
SD4600182,KENNEBEC,Region 8,South Dakota,Community water system,265,KENNEBEC,Lyman,7,34,9
SD4602293,ROOST RESORT - EAST WELL,Region 8,South Dakota,Transient non-community system,30,CUSTER,Custer,4,0,3
SD4602298,ROOST RESORT - CAMPGROUND WELL,Region 8,South Dakota,Transient non-community system,25,CUSTER,Custer,4,1,4
SD4600184,KIMBALL,Region 8,South Dakota,Community water system,703,KIMBALL,Brule,5,6,10
SD4600185,LAKE ANDES,Region 8,South Dakota,Community water system,879,LAKE ANDES,Charles Mix,5,18,8
SD4600186,LAKE CITY,Region 8,South Dakota,Community water system,51,"BRITTON, LAKE CITY",Marshall,4,122,9
SD4600187,LAKE NORDEN,Region 8,South Dakota,Community water system,424,LAKE NORDEN,Hamlin,18,6,10
SD4600189,LANGFORD,Region 8,South Dakota,Community water system,313,LANGFORD,Marshall,4,4,10
