PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TN0005028,HILLSHIRE BRANDS COMPANY,Region 4,Tennessee,Non-Transient non-community system,750,,Dyer,9,4,9
TN0000546,FIRST U.D. OF HARDIN COUNTY,Region 4,Tennessee,Community water system,6889,COUNCE,Hardin,9,21,138
TN0000593,ROGERSVILLE WATER SYSTEM,Region 4,Tennessee,Community water system,11443,ROGERSVILLE,Hawkins,14,116,62
TN0000249,FRIENDSVILLE WATER WORKS,Region 4,Tennessee,Community water system,5570,,Blount,8,11,71
TN0000069,BRENTWOOD WATER DEPTARTMENT,Region 4,Tennessee,Community water system,29513,BRENTWOOD,Williamson,15,3,15
TN0000405,LIVINGSTON WATER DEPT,Region 4,Tennessee,Community water system,14388,LIVINGSTON,Overton,15,23,18
TN0000469,MINOR HILL WATER UTIL DIST,Region 4,Tennessee,Community water system,6808,,Giles,10,14,16
TN0003110,ENON MISSIONARY BAPTIST CHURCH,Region 4,Tennessee,Transient non-community system,68,,Carroll,8,12,16
TN0001623,ALAMO BAPTIST CHURCH,Region 4,Tennessee,Transient non-community system,30,,Obion,9,5,10
TN0003701,CAMP MARYMOUNT,Region 4,Tennessee,Transient non-community system,250,,Williamson,6,31,12
TN0004640,WILD PLUM TEA ROOM,Region 4,Tennessee,Transient non-community system,60,,Sevier,5,8,16
TN0000537,SOUTH PARIS WATER CO OP,Region 4,Tennessee,Community water system,2142,,Henry,3,3,18
TN0000117,CLEVELAND UTILITIES,Region 4,Tennessee,Community water system,87960,CLEVELAND,Bradley,13,4,60
TN0000264,GLADEVILLE UTILITY DISTRICT,Region 4,Tennessee,Community water system,19510,LEBANON,Wilson,20,10,17
TN0003425,MOUNTAIN RIDGE GOLF CLUB,Region 4,Tennessee,Transient non-community system,30,,Cumberland,5,13,14
TN0000646,SOUTH ELIZABETHTON UTILITY DIS,Region 4,Tennessee,Community water system,6304,,Carter,9,8,45
TN0004390,"FATE SANDERS MARINA, LLC",Region 4,Tennessee,Transient non-community system,150,,Rutherford,5,19,9
TN0000095,CARTHAGE WATER SYSTEM,Region 4,Tennessee,Community water system,3445,"CARTAHAGE, CARTHAGE",Smith,10,15,15
TN0000496,NEWBERN WATER DEPT,Region 4,Tennessee,Community water system,8935,NEWBERN,Dyer,19,30,35
TN0000402,LEXINGTON WATER SYSTEMS,Region 4,Tennessee,Community water system,24571,LEXINGTON,Henderson,6,41,148
TN0000369,FIRST UTIL DIST OF KNOX COUNTY,Region 4,Tennessee,Community water system,89521,KNOXVILLE,Knox,17,29,36
TN0004016,INSPIRATION POINT CAMPGROUND,Region 4,Tennessee,Transient non-community system,82,,Jefferson,8,15,21
TN0000429,MANCHESTER WATER DEPARTMENT,Region 4,Tennessee,Community water system,19933,,Coffee,9,2,16
TN0000457,ROANE CENTRAL UTILITY DISTRICT,Region 4,Tennessee,Community water system,6236,,Roane,9,22,27
TN0004885,CHEROKEE LANDING RESORT,Region 4,Tennessee,Transient non-community system,50,,Hardeman,5,1,12
TN0000515,NORTHEAST KNOX U D,Region 4,Tennessee,Community water system,24390,"CORRYTON, KNOXVILLE",Knox,15,6,44
TN0000474,MORRISTOWN WATER SYSTEM,Region 4,Tennessee,Community water system,37625,MORRISTOWN,Hamblen,21,6,39
TN0005152,DEER RUN RV RESORT,Region 4,Tennessee,Transient non-community system,36,,Cumberland,2,0,6
TN0000736,WAYNESBORO WATER SYSTEM,Region 4,Tennessee,Community water system,4194,WAYNESBORO,Wayne,12,52,27
TN0000707,TRENTON WATER SYSTEM,Region 4,Tennessee,Community water system,5295,TRENTON,Gibson,14,29,43
TN0005189,"HIWASSEE WHITEWATER CO, LLC",Region 4,Tennessee,Transient non-community system,50,,Polk,5,0,3
TN0000393,LEBANON WATER SYSTEM,Region 4,Tennessee,Community water system,38426,LEBANON,Wilson,12,5,18
TN0000790,WILSON CO WATER & WASTEWATER,Region 4,Tennessee,Community water system,21354,,Wilson,12,10,16
TN0000756,WOODBURY WATER SYSTEM,Region 4,Tennessee,Community water system,10505,WOODBURY,Cannon,14,45,17
TN0000392,LAWRENCEBURG UTILITY SYSTEMS,Region 4,Tennessee,Community water system,19989,LAWRENCEBURG,Lawrence,18,28,22
TN0005124,LHOIST NORTH AMERICA,Region 4,Tennessee,Non-Transient non-community system,51,,Franklin,9,8,8
TN0000678,THE FARM WATER SYSTEM,Region 4,Tennessee,Community water system,180,SUMMERTOWN,Lewis,9,51,17
TN0000626,SHADY GROVE UTILITY DISTRICT,Region 4,Tennessee,Community water system,22375,,Jefferson,11,5,33
TN0000745,WHITE HOUSE UTILITY DISTRICT,Region 4,Tennessee,Community water system,101775,"HENDERSONVILLE, WHITE HOUSE",Sumner,25,6,17
TN0000513,NORRIS WATER COMMISSION,Region 4,Tennessee,Community water system,2081,NORRIS,Anderson,9,10,19
TN0000232,ESTILL SPRINGS WATER DEPARTMENT,Region 4,Tennessee,Community water system,4249,ESTILL SPRINGS,Franklin,10,48,24
TN0002524,GILMORE DOCK,Region 4,Tennessee,Transient non-community system,30,,Grainger,7,8,18
TN0005083,LAUREL HILL LAKE,Region 4,Tennessee,Transient non-community system,25,,Lawrence,5,1,11
TN0004483,SHAWNETTE U M CHURCH,Region 4,Tennessee,Transient non-community system,125,,Wayne,5,24,13
TN0000936,LAUREL MTN LAKES WATER ASSOC.,Region 4,Tennessee,Community water system,254,"ETOWAH, MADISONVILLE",Monroe,11,29,36
TN0005141,MIDDLEFORK ROAD BAPTIST CHURCH,Region 4,Tennessee,Transient non-community system,200,,Henderson,4,0,6
TN0000590,ROCKWOOD WATER SYSTEM,Region 4,Tennessee,Community water system,11594,ROCKWOOD,Roane,10,26,31
TN0000033,ATOKA WATER SYSTEM,Region 4,Tennessee,Community water system,9336,,Tipton,5,14,14
TN0000738,WESTMORELAND WATER SYSTEM,Region 4,Tennessee,Community water system,4545,WESTMORELAND,Sumner,9,8,17
TN0008279,SEVIER COUNTY WATER DEPARTMENT,Region 4,Tennessee,Community water system,4740,,Sevier,10,1,5
TN0000470,MONTEAGLE PUBLIC UTILITY BOARD,Region 4,Tennessee,Community water system,3459,MONTEAGLE,Grundy,11,20,59
TN0000667,SPRING HILL WATER DEPT,Region 4,Tennessee,Community water system,45130,SPRING HILL,Maury,12,6,20
TN0004763,HIDDEN VALLEY LAKES #5,Region 4,Tennessee,Transient non-community system,50,,Hickman,7,9,12
TN0004759,HIDDEN VALLEY LAKES #3,Region 4,Tennessee,Transient non-community system,30,,Hickman,5,7,13
