PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
VI1000105,RITZ CARLTON,Region 2,US Virgin Islands,Non-Transient non-community system,741,,St. Thomas Island,4,23,0
VI0000094,COWPET BAY VILLAGE-WEST,Region 2,US Virgin Islands,Community water system,300,,St. Thomas Island,4,23,2
VI0000523,ISLAND VIEW GUEST HOUSE,Region 2,US Virgin Islands,Transient non-community system,30,,St. Thomas Island,4,14,1
VI1000175,FAIRWAY VILLAGE,Region 2,US Virgin Islands,Community water system,31,,St. Thomas Island,4,17,1
VI0000277,WINDWARD PASSAGE/HOLIDAY INN,Region 2,US Virgin Islands,Non-Transient non-community system,306,,St. Thomas Island,5,13,1
VI0000293,THIRTEEN RESTAURANT,Region 2,US Virgin Islands,Transient non-community system,60,,St. Thomas Island,4,30,1
VI1000158,ST. PETER GREAT HOUSE,Region 2,US Virgin Islands,Transient non-community system,409,,St. Thomas Island,4,9,1
VI0000479,WATERGATE EAST- BLDG. 14,Region 2,US Virgin Islands,Transient non-community system,107,,St. Thomas Island,4,6,1
VI0000042,"WATERGATE EAST (B-15,16,17)",Region 2,US Virgin Islands,Transient non-community system,133,,St. Thomas Island,4,14,1
VI1000284,TUTU PARK MALL,Region 2,US Virgin Islands,Non-Transient non-community system,800,,St. Thomas Island,5,12,1
VI3000054,GENTLE WINDS RESORT K,Region 2,US Virgin Islands,Transient non-community system,26,,St. Croix Island,5,9,1
VI3000055,GENTLE WINDS RESORT L/C,Region 2,US Virgin Islands,Transient non-community system,32,,St. Croix Island,5,21,1
VI0000055,GENTLE WINDS RESORT A/B,Region 2,US Virgin Islands,Transient non-community system,28,,St. Croix Island,7,25,1
VI3000056,GENTLE WINDS RESORT D/E,Region 2,US Virgin Islands,Transient non-community system,32,,St. Croix Island,5,22,1
VI3000052,GENTLE WINDS RESORT J,Region 2,US Virgin Islands,Transient non-community system,32,,St. Croix Island,5,16,1
VI3000053,GENTLE WINDS RESORT I,Region 2,US Virgin Islands,Transient non-community system,28,,St. Croix Island,5,17,1
VI1000042,AMERICAN YACHT HARBOR,Region 2,US Virgin Islands,Non-Transient non-community system,400,,St. Thomas Island,4,8,1
VI0000122,BURNETT TOWERS,Region 2,US Virgin Islands,Community water system,100,,St. Thomas Island,4,30,1
VI1000131,CABRITA POINT RESORT,Region 2,US Virgin Islands,Community water system,40,,St. Thomas Island,4,41,2
VI0000558,CANEELL BAY & TURTLE RESORT,Region 2,US Virgin Islands,Non-Transient non-community system,328,,St. John Island,4,20,1
VI1000086,COMPASS POINT MARINA,Region 2,US Virgin Islands,Community water system,81,,St. Thomas Island,4,12,2
VI1000080,ELYSIAN BEACH RESORT,Region 2,US Virgin Islands,Community water system,197,,St. Thomas Island,4,13,1
VI0000236,PLANTATION MANOR- PAPAYA,Region 2,US Virgin Islands,Community water system,32,,St. Thomas Island,4,11,1
VI0000235,PLANTATION MANOR- BANANA,Region 2,US Virgin Islands,Community water system,26,,St. Thomas Island,4,9,1
VI0000234,PLANTATION MANOR- HIBISCUS,Region 2,US Virgin Islands,Community water system,35,,St. Thomas Island,4,8,1
VI0000237,PLANTATION MANOR- POINSETTA,Region 2,US Virgin Islands,Community water system,42,,St. Thomas Island,4,11,1
VI1000304,LOVENLUND APARTMENTS,Region 2,US Virgin Islands,Community water system,510,,St. Thomas Island,4,4,2
VI0000607,SEVENTH DAY ADVENTIST- PRIMARY,Region 2,US Virgin Islands,Non-Transient non-community system,219,,St. Croix Island,3,7,0
VI3000115,SEVENTH DAY ADVENTIST HIGH,Region 2,US Virgin Islands,Non-Transient non-community system,135,,,5,3,0
VI3000026,CARAMBOLA BEACH RESORT,Region 2,US Virgin Islands,Non-Transient non-community system,260,,St. Croix Island,5,12,0
VI3000223,REHABILITATION CENTER AT BEESTON HILL,Region 2,US Virgin Islands,Non-Transient non-community system,628,,St. Croix Island,4,24,2
VI0000075,ASSOCIATION OF ST.X CONDO'S,Region 2,US Virgin Islands,Community water system,199,,St. Croix Island,4,11,3
VI1000029,SAPPHIRE BCH RESORT & MARINA,Region 2,US Virgin Islands,Non-Transient non-community system,400,,St. Thomas Island,4,16,0
VI1000030,SAPPHIRE VILL.CONDOS (WEST),Region 2,US Virgin Islands,Community water system,225,,St. Thomas Island,4,13,0
VI0000535,SECRET HARBOR BEACH RESORT,Region 2,US Virgin Islands,Non-Transient non-community system,180,,St. Thomas Island,4,18,0
VI0000469,SECRET HARBOR HOUSE III,Region 2,US Virgin Islands,Transient non-community system,59,,St. Thomas Island,4,10,1
VI1000085,PROFESSIONAL CENTER,Region 2,US Virgin Islands,Community water system,154,,St. Thomas Island,4,30,0
VI1000084,EMERALD BEACH RESORT II,Region 2,US Virgin Islands,Non-Transient non-community system,165,,St. Thomas Island,4,26,1
VI1000083,EMERALD BEACH RESORT,Region 2,US Virgin Islands,Non-Transient non-community system,195,,St. Thomas Island,4,16,1
VI0000253,WEST INDIAN COMPANY,Region 2,US Virgin Islands,Non-Transient non-community system,880,,St. Thomas Island,5,12,0
VI0000251,SEVENTH DAY ADVENTIST SCHOOL,Region 2,US Virgin Islands,Non-Transient non-community system,200,,St. Thomas Island,4,18,0
VI1000071,SHIPWRECK LANDING,Region 2,US Virgin Islands,Transient non-community system,215,,St. John Island,4,13,0
VI1000037,NISKY CENTER,Region 2,US Virgin Islands,Non-Transient non-community system,550,,St. Thomas Island,4,24,0
VI1000149,OLD STONE FARMHOUSE,Region 2,US Virgin Islands,Transient non-community system,150,,St. Thomas Island,4,25,0
VI1000147,ST. THOMAS SKYRIDE,Region 2,US Virgin Islands,Transient non-community system,250,,St. Thomas Island,4,15,0
VI2000019,ST. JOHN SCHOOL ON GIFT HILL LOWER,Region 2,US Virgin Islands,Non-Transient non-community system,84,,St. John Island,4,14,0
VI1000309,FOOD CENTER,Region 2,US Virgin Islands,Non-Transient non-community system,765,,St. Thomas Island,4,14,2
VI0000095,FRENCHMAN COVE,Region 2,US Virgin Islands,Non-Transient non-community system,750,,St. Thomas Island,5,12,1
VI1000291,WHARFSIDE VILLAGE LP,Region 2,US Virgin Islands,Non-Transient non-community system,350,,St. John Island,6,10,0
VI0000066,LORRAINE VILLAGE,Region 2,US Virgin Islands,Community water system,1008,,St. Croix Island,4,11,3
VI3000067,VI NATIONAL GUARD/ JACKSON ARMORY,Region 2,US Virgin Islands,Non-Transient non-community system,434,,St. Croix Island,4,26,2
VI0000076,SUGAR BEACH CONDO,Region 2,US Virgin Islands,Transient non-community system,53,,St. Croix Island,5,18,2
